lgd,state,district,rwi_mean,rwi_spread,nl_2023,nl_2012,elev_mean,elev_range,nfhs4_ins,nfhs5_ins,irrig_pct,rbi_total,rbi_bc,rbi_branch,rbi_rural,cap_total,nrlm_shg,pmgsy_roads,cdr_latest,deposit_latest,advance_latest,pmjdy_total,pmjdy_zerobal,pmjdy_rural,pmjdy_rupay,pmjdy_female,kcc_total,digi_cov_pct
119,Uttar Pradesh,Aligarh,-0.072,2.887,1.8973,0.9362,185.7,131.0,4.5,17.6,99.3,7755.0,7099.0,330.0,4873.0,434.0,15736.0,167.0,52.66,31076.95,16366.52,1261404.0,126463.0,657648.0,893807.0,726633.0,122262.0,
120,Uttar Pradesh,Prayagraj,-0.03,2.456,2.4415,1.6418,102.6,334.0,7.1,20.6,77.4,13286.0,11902.0,622.0,10186.0,1216.0,24231.0,221.0,35.43,63073.97,37.4,3483413.0,154818.0,2875484.0,2302556.0,1776696.0,,
121,Uttar Pradesh,Ambedkar Nagar,-0.086,1.971,1.3408,0.4142,89.1,88.0,5.4,23.0,93.1,5775.0,5428.0,187.0,4890.0,59.0,12465.0,38.0,52.32,9350.0,4891.9,1297592.0,75166.0,1127535.0,1065506.0,667929.0,26438.0,
122,Uttar Pradesh,Auraiya,-0.232,1.724,1.8591,1.0187,141.0,82.0,3.0,18.4,85.3,2859.0,2675.0,106.0,2371.0,17.0,8887.0,146.0,38.51,5183.78,1996.44,459559.0,49976.0,377506.0,283451.0,245994.0,11249.0,
123,Uttar Pradesh,Azamgarh,-0.001,2.178,1.6686,0.491,80.6,57.0,4.3,9.0,85.5,12227.0,11601.0,348.0,10676.0,128.0,18950.0,126.0,,20361.35,5737.55,1711529.0,256548.0,1447647.0,746178.0,994479.0,16.0,
124,Uttar Pradesh,Baghpat,0.06,1.714,2.1776,0.7216,225.9,76.0,5.7,12.5,99.6,2037.0,1794.0,134.0,1455.0,33.0,5197.0,189.0,58.65,4228.33,48.97,273154.0,21705.0,184797.0,185628.0,155556.0,115.0,
125,Uttar Pradesh,Bahraich,-0.272,2.543,0.8887,0.2111,125.2,119.0,9.2,10.1,66.1,6243.0,5882.0,214.0,5202.0,53.0,18431.0,202.0,76.18,9792.45,7460.14,1427629.0,,1187226.0,,759746.0,93.0,
126,Uttar Pradesh,Ballia,-0.074,2.177,1.5623,0.5919,63.5,89.0,3.7,10.6,82.6,6478.0,6009.0,259.0,5199.0,98.0,12815.0,128.0,29.07,14723.3,4279.83,1908516.0,165456.0,1621576.0,924722.0,1044616.0,14.0,
127,Uttar Pradesh,Balrampur,-0.257,2.213,0.7235,0.2011,117.7,285.0,5.1,13.0,53.8,3706.0,3474.0,146.0,3152.0,32.0,10360.0,188.0,49.6,5626.86,2790.76,885017.0,31159.0,874838.0,316312.0,468303.0,,
128,Uttar Pradesh,Banda,-0.266,2.022,0.6438,0.2501,123.5,354.0,1.0,13.3,50.4,3639.0,3405.0,153.0,3003.0,45.0,8666.0,119.0,46.14,8582.12,47.62,593124.0,26750.0,583482.0,161952.0,707331.0,57.0,
129,Uttar Pradesh,Barabanki,-0.1,2.008,1.3724,0.3517,116.3,73.0,3.6,14.6,88.5,7196.0,6750.0,269.0,5484.0,78.0,18103.0,189.0,73.9,12133.51,8932.55,1483029.0,,1430007.0,,811008.0,,
130,Uttar Pradesh,Bareilly,-0.177,2.522,1.9574,0.8073,175.8,69.0,4.8,18.7,95.3,9665.0,8720.0,416.0,5894.0,575.0,13282.0,196.0,62.43,35057.2,71.76,2563106.0,104750.0,1884999.0,1535353.0,1316703.0,,
131,Uttar Pradesh,Basti,-0.051,2.199,1.0918,0.6448,89.3,68.0,16.0,15.8,82.6,4535.0,4183.0,181.0,4112.0,89.0,15954.0,374.0,42.2,9902.3,4178.47,1353705.0,87453.0,1202211.0,629347.0,719371.0,,
132,Uttar Pradesh,Bijnor,-0.132,2.006,1.116,0.4778,244.2,218.0,5.6,18.8,96.4,6695.0,6146.0,312.0,5004.0,162.0,17930.0,372.0,57.3,18374.17,10528.65,1754954.0,157941.0,1714237.0,985651.0,1026198.0,,
133,Uttar Pradesh,Budaun,-0.321,1.802,0.9758,0.3737,171.0,70.0,0.0,13.6,96.4,7717.0,7410.0,171.0,5961.0,59.0,19131.0,238.0,69.28,8497.58,6957.25,1925319.0,51854.0,1711779.0,1173240.0,1017698.0,,
134,Uttar Pradesh,Bulandshahr,-0.033,2.264,2.0467,0.9115,199.7,122.0,3.1,20.5,99.4,7263.0,6752.0,265.0,5147.0,133.0,11426.0,183.0,53.92,8001.28,6434.16,1538068.0,94010.0,1246302.0,986245.0,866790.0,17.0,
135,Uttar Pradesh,Chandauli,-0.058,2.422,1.4493,0.7299,139.0,346.0,8.5,28.1,86.1,5220.0,4904.0,177.0,4531.0,49.0,11531.0,264.0,46.35,9545.28,52.2,1070205.0,87777.0,950373.0,475639.0,569859.0,11733.0,
136,Uttar Pradesh,Chitrakoot,-0.358,2.016,0.5685,0.2672,163.3,424.0,2.7,17.4,35.9,2394.0,2261.0,87.0,2021.0,15.0,6448.0,40.0,61.17,3474.52,1881.66,469104.0,21782.0,460804.0,171229.0,232083.0,12.0,
137,Uttar Pradesh,Deoria,0.093,2.225,1.558,0.6911,74.3,69.0,5.6,10.5,93.0,7749.0,7235.0,260.0,6878.0,112.0,16356.0,161.0,41.92,16236.36,6898.6,1667133.0,159108.0,1316084.0,722383.0,939113.0,134.0,
138,Uttar Pradesh,Etah,-0.154,1.971,1.1965,0.4971,167.2,78.0,8.3,12.8,95.1,4172.0,3945.0,128.0,3344.0,43.0,6669.0,199.0,77.7,6744.56,5240.56,899898.0,76645.0,687174.0,577995.0,472792.0,110832.0,
139,Uttar Pradesh,Etawah,-0.147,2.368,1.5289,1.5461,144.3,116.0,10.9,17.9,85.5,3694.0,3406.0,128.0,2843.0,85.0,9548.0,148.0,42.61,9061.17,4016.74,494246.0,55637.0,506676.0,378015.0,273314.0,,
140,Uttar Pradesh,Ayodhya,-0.115,2.063,1.6025,0.7693,103.2,74.0,,,88.4,3794.0,3246.0,254.0,2823.0,114.0,10871.0,334.0,,5337.17,32.76,1189574.0,53760.0,977521.0,957627.0,633564.0,20487.0,
141,Uttar Pradesh,Farrukhabad,-0.227,2.182,1.1571,0.339,148.4,53.0,5.9,13.5,89.4,3521.0,3296.0,134.0,2619.0,58.0,6379.0,214.0,49.14,7557.94,3928.08,966989.0,98516.0,736563.0,670396.0,514709.0,,
142,Uttar Pradesh,Fatehpur,-0.287,2.028,1.0971,0.3911,113.6,79.0,1.2,16.8,67.3,4495.0,4150.0,200.0,3514.0,65.0,16013.0,113.0,50.03,12169.58,6089.0,1424288.0,30834.0,1223026.0,867630.0,712460.0,19069.0,
143,Uttar Pradesh,Firozabad,-0.012,1.941,1.8597,1.2167,162.1,81.0,2.6,13.4,97.4,6792.0,6395.0,172.0,5069.0,204.0,7746.0,115.0,65.5,8242.45,72.15,1422314.0,98533.0,798144.0,845752.0,751893.0,22340.0,
144,Uttar Pradesh,Gautam Buddha Nagar,0.374,2.526,12.9279,7.9574,200.9,97.0,19.2,23.8,98.7,7974.0,5828.0,734.0,3764.0,1669.0,1698.0,101.0,58.16,167410.8,89628.22,1252034.0,91205.0,363423.0,753301.0,480334.0,6004.0,
145,Uttar Pradesh,Ghaziabad,0.191,2.539,6.8944,3.7863,213.5,109.0,0.0,20.0,99.1,7788.0,6303.0,534.0,3410.0,1727.0,2818.0,188.0,47.49,86718.64,41182.31,1227538.0,73946.0,265368.0,691260.0,641208.0,,
146,Uttar Pradesh,Ghazipur,-0.041,2.102,1.5594,0.7375,70.7,61.0,8.8,10.6,84.5,9138.0,8591.0,306.0,7976.0,129.0,9926.0,85.0,34.08,52301.83,56.33,2013462.0,209283.0,1869739.0,827857.0,1074092.0,,
147,Uttar Pradesh,Gonda,-0.217,1.984,1.1208,0.4829,103.4,66.0,10.6,13.4,81.6,5708.0,5301.0,239.0,4897.0,77.0,12511.0,152.0,44.19,7103.99,37.37,1701029.0,44933.0,1448823.0,658350.0,901223.0,,
148,Uttar Pradesh,Gorakhpur,0.084,2.294,2.8731,1.0909,79.2,81.0,7.8,17.9,81.2,12653.0,11525.0,501.0,9876.0,699.0,20188.0,612.0,48.55,41570.45,20183.83,2429426.0,178304.0,1782402.0,1166185.0,1407476.0,,
149,Uttar Pradesh,Hamirpur,-0.278,2.095,0.6271,0.2787,131.7,171.0,3.4,21.9,41.6,2707.0,2540.0,109.0,2218.0,27.0,7340.0,65.0,55.35,5170.77,2861.86,465434.0,10376.0,452451.0,230398.0,237694.0,,
150,Uttar Pradesh,Hardoi,-0.32,2.464,0.9219,0.1487,138.3,74.0,8.1,16.0,92.0,8676.0,8227.0,263.0,6830.0,84.0,18689.0,212.0,52.59,6476.84,69.45,2087843.0,149668.0,1858711.0,1314728.0,1101216.0,15.0,
151,Uttar Pradesh,Jalaun,-0.327,2.207,0.8139,0.3905,139.9,134.0,4.1,17.6,60.4,2911.0,2688.0,138.0,2114.0,52.0,8766.0,97.0,47.45,4829.21,67.23,642516.0,20491.0,503366.0,297018.0,335554.0,75.0,
152,Uttar Pradesh,Jaunpur,0.036,1.835,1.8023,0.3581,86.5,67.0,3.4,12.0,85.3,14317.0,13699.0,367.0,12575.0,172.0,17943.0,205.0,40.76,22889.46,9330.21,3116031.0,335462.0,2851647.0,1094561.0,1751875.0,407794.0,
153,Uttar Pradesh,Jhansi,-0.231,2.427,1.314,0.748,202.3,316.0,5.8,11.4,61.1,3799.0,3274.0,242.0,2501.0,308.0,7538.0,158.0,45.46,25549.31,11613.54,775169.0,47243.0,503857.0,448190.0,412772.0,16.0,
154,Uttar Pradesh,Amroha,-0.116,2.09,1.7692,0.6585,207.2,75.0,,,99.0,3713.0,3416.0,203.0,2698.0,66.0,5734.0,228.0,62.08,3802.07,2360.22,453974.0,29353.0,305088.0,335032.0,258131.0,,
155,Uttar Pradesh,Kannauj,-0.295,2.108,1.6616,0.8697,142.4,60.0,5.2,15.3,91.8,,,,,39.0,8615.0,66.0,62.55,6719.35,4202.71,924725.0,66998.0,909018.0,477330.0,490169.0,22077.0,
156,Uttar Pradesh,Kanpur Dehat,-0.294,1.973,1.2599,0.4128,132.4,92.0,3.4,17.9,77.5,4753.0,4480.0,171.0,4187.0,24.0,6842.0,162.0,64.56,3636.82,50.5,908066.0,47780.0,827369.0,638486.0,439105.0,17379.0,
157,Uttar Pradesh,Kanpur Nagar,-0.165,2.599,3.6085,2.0383,125.9,73.0,4.9,16.1,74.6,8673.0,6912.0,708.0,4029.0,2423.0,7164.0,73.0,48.63,6727.11,3271.6,1789658.0,82801.0,683938.0,1078558.0,932678.0,,
158,Uttar Pradesh,Kaushambi,-0.157,2.594,1.5337,0.4555,101.9,118.0,6.1,20.2,71.3,3300.0,3073.0,139.0,2808.0,30.0,7196.0,99.0,46.31,5702.19,2640.52,934773.0,31764.0,878941.0,591160.0,469377.0,12424.0,
159,Uttar Pradesh,Kheri,-0.34,2.056,0.7581,0.2113,150.1,132.0,5.1,22.0,89.8,9896.0,9409.0,282.0,7271.0,102.0,22206.0,152.0,76.72,11934.85,9156.37,2120295.0,81498.0,1925303.0,796234.0,1116562.0,14.0,
160,Uttar Pradesh,Kushi Nagar,-0.005,2.015,1.5876,0.3525,85.4,61.0,14.2,15.6,87.8,8679.0,8250.0,243.0,7867.0,96.0,13062.0,378.0,48.72,10239.24,4912.91,2173569.0,148392.0,1997096.0,683478.0,1156854.0,16.0,
161,Uttar Pradesh,Lalitpur,-0.352,2.269,0.4989,0.2348,366.0,404.0,1.8,11.7,83.1,2338.0,2172.0,103.0,1950.0,40.0,7102.0,168.0,78.09,4394.13,82.72,677299.0,29011.0,506460.0,421747.0,350090.0,102213.0,
162,Uttar Pradesh,Lucknow,0.186,2.78,7.2532,5.1769,122.4,74.0,5.9,15.8,92.9,10751.0,7621.0,1149.0,4805.0,2478.0,9718.0,220.0,44.96,282790.25,130431.55,1729845.0,128386.0,718710.0,1036674.0,915215.0,,
163,Uttar Pradesh,Hathras,-0.088,2.177,1.6055,1.1244,176.5,80.0,,,99.1,2904.0,2662.0,140.0,2019.0,63.0,4045.0,205.0,63.44,6727.13,53.84,730110.0,80052.0,529737.0,418260.0,393729.0,87.0,
164,Uttar Pradesh,Maharajganj,-0.037,1.935,1.0232,0.2842,93.7,65.0,3.1,16.2,81.3,6698.0,6366.0,183.0,5885.0,52.0,13166.0,102.0,70.34,7228.59,5084.88,1400369.0,128333.0,1319722.0,578115.0,783807.0,,
165,Uttar Pradesh,Mahoba,-0.317,2.127,0.7787,0.2942,182.9,230.0,10.0,18.2,40.8,1778.0,1664.0,71.0,1392.0,11.0,4227.0,99.0,,,,406059.0,12429.0,401179.0,161751.0,207810.0,,
166,Uttar Pradesh,Mainpuri,-0.179,1.936,1.2854,0.9667,155.8,70.0,9.2,16.1,98.7,4553.0,4311.0,132.0,3562.0,42.0,10373.0,101.0,71.1,7377.27,5245.05,1057171.0,101721.0,867906.0,749246.0,546847.0,,
167,Uttar Pradesh,Mathura,-0.032,2.18,2.3448,1.4209,180.3,124.0,5.6,10.8,97.5,5289.0,4652.0,303.0,3329.0,268.0,6511.0,166.0,62.52,16864.39,64.64,1040382.0,49815.0,795680.0,573388.0,534607.0,33216.0,
168,Uttar Pradesh,Mau,0.068,2.09,2.182,1.2988,73.1,56.0,1.6,16.0,91.5,5553.0,5226.0,179.0,4795.0,82.0,8599.0,102.0,37.91,11626.22,4407.73,1473306.0,,1189126.0,,813424.0,11211.0,
169,Uttar Pradesh,Meerut,0.025,2.179,3.1316,1.6248,225.0,55.0,8.0,18.4,99.0,7042.0,5859.0,499.0,3613.0,812.0,7396.0,248.0,54.42,30978.19,57.01,1422274.0,68627.0,820269.0,803577.0,787975.0,18034.0,
170,Uttar Pradesh,Mirzapur,-0.139,2.22,1.0965,0.4008,158.5,438.0,6.3,15.0,63.4,6354.0,5967.0,220.0,5534.0,21.0,14542.0,64.0,46.8,12818.17,5998.57,1247204.0,27730.0,1032779.0,519606.0,670899.0,13686.0,
171,Uttar Pradesh,Moradabad,-0.091,2.656,1.9132,0.9399,200.2,70.0,0.0,17.1,97.9,8268.0,7601.0,340.0,5902.0,500.0,10328.0,380.0,65.76,28027.49,18430.55,1551632.0,87121.0,960344.0,737193.0,826387.0,11880.0,
172,Uttar Pradesh,Muzaffarnagar,-0.016,2.455,1.7459,0.9187,241.6,88.0,0.0,8.2,98.5,5020.0,4433.0,305.0,3159.0,217.0,5659.0,170.0,84.16,18115.69,87.83,1130701.0,45409.0,856467.0,737561.0,613375.0,,
173,Uttar Pradesh,Pilibhit,-0.283,2.004,0.7336,0.1852,182.2,105.0,3.4,21.4,98.2,4082.0,3774.0,156.0,3065.0,71.0,10054.0,192.0,89.65,7090.46,6356.74,1247192.0,,1050191.0,,656356.0,34224.0,
174,Uttar Pradesh,Pratapgarh,-0.06,1.842,1.2862,0.5466,99.9,65.0,6.0,14.9,87.0,6177.0,5746.0,257.0,5621.0,64.0,13098.0,151.0,32.06,12827.23,4112.64,1909016.0,69332.0,1855489.0,980413.0,973958.0,17.0,
175,Uttar Pradesh,Rae Bareli,-0.173,1.991,1.2211,0.5577,113.8,115.0,0.0,16.8,78.7,,,,,453.0,13539.0,322.0,42.88,18296.1,9230.21,1216420.0,29503.0,1067543.0,627907.0,609356.0,,
176,Uttar Pradesh,Rampur,-0.102,2.175,1.7346,1.1386,192.6,76.0,4.3,13.1,98.3,4179.0,3821.0,208.0,2874.0,90.0,6131.0,229.0,72.96,9433.89,6882.97,1141587.0,59495.0,895580.0,646352.0,587666.0,,
177,Uttar Pradesh,Saharanpur,-0.004,2.029,1.8622,0.8136,302.6,698.0,3.1,11.8,95.9,7951.0,7312.0,343.0,5363.0,264.0,9723.0,318.0,69.72,22424.22,15633.23,1845520.0,115472.0,1350024.0,992590.0,1004506.0,33464.0,
178,Uttar Pradesh,Sant Kabeer Nagar,-0.039,1.893,1.085,0.4784,82.2,38.0,13.8,20.4,87.5,3860.0,3636.0,132.0,3532.0,20.0,7759.0,207.0,40.79,4911.1,86.21,918466.0,95528.0,897514.0,427254.0,503078.0,10578.0,
179,Uttar Pradesh,Bhadohi,0.123,1.826,2.7748,1.0268,86.4,71.0,,,81.4,,,,,174.0,,118.0,43.5,7972.97,3804.93,1085176.0,108102.0,1007009.0,496832.0,596880.0,130653.0,
180,Uttar Pradesh,Shahjahanpur,-0.327,2.21,1.1687,0.384,156.3,73.0,3.1,14.2,93.3,7084.0,6646.0,239.0,5257.0,88.0,13278.0,127.0,82.62,11703.35,9669.59,1966614.0,77684.0,1584452.0,1351700.0,986033.0,,
181,Uttar Pradesh,Shravasti,-0.291,2.057,0.7911,0.1827,130.6,296.0,8.4,13.5,71.8,2451.0,2333.0,81.0,2234.0,4.0,6413.0,94.0,,2009.96,62.62,404958.0,6158.0,398765.0,104047.0,212292.0,,
182,Uttar Pradesh,Siddharth Nagar,-0.006,1.904,0.918,0.3681,90.5,52.0,5.3,12.2,82.5,,,,,19.0,12487.0,282.0,39.82,6489.42,38.3,1395577.0,118731.0,1358502.0,620219.0,771416.0,,
183,Uttar Pradesh,Sitapur,-0.36,2.399,0.907,0.2219,131.9,78.0,2.8,23.2,87.7,8150.0,7627.0,309.0,6036.0,2957.0,14844.0,206.0,,6094.08,57.02,1947978.0,109528.0,1711033.0,675676.0,1042249.0,175630.0,
184,Uttar Pradesh,Sonbhadra,-0.286,2.158,0.7468,0.4547,305.7,519.0,15.1,19.7,52.6,7339.0,6998.0,182.0,6319.0,94.0,13746.0,220.0,51.93,11986.1,50.73,828983.0,24950.0,802560.0,346058.0,425096.0,,
185,Uttar Pradesh,Sultanpur,-0.098,1.947,1.5506,0.6063,99.7,88.0,0.0,20.7,83.1,5558.0,5213.0,194.0,4921.0,3.0,15856.0,415.0,42.1,11690.04,4922.09,1657140.0,46375.0,1497529.0,1031029.0,853765.0,18777.0,
186,Uttar Pradesh,Unnao,-0.254,2.481,1.0419,0.3076,124.0,68.0,5.4,15.3,92.7,7097.0,6686.0,227.0,5420.0,323.0,13302.0,268.0,30.49,14459.67,4408.75,1167857.0,85649.0,1110260.0,680731.0,669834.0,,
187,Uttar Pradesh,Varanasi,0.248,2.381,4.7602,2.6963,80.2,57.0,8.3,12.8,85.2,9758.0,8322.0,581.0,6755.0,1464.0,11811.0,248.0,55.47,66165.03,36704.62,2067057.0,130886.0,1319820.0,1045508.0,1102549.0,,
188,Bihar,Araria,-0.144,2.206,0.8782,0.1733,56.5,56.0,5.4,19.5,55.1,9363.0,9070.0,171.0,5015.0,33.0,27529.0,221.0,89.9,6540.61,5880.16,2042423.0,150639.0,,1328141.0,,15512.0,
189,Bihar,Aurangabad,-0.106,1.907,1.4497,0.2253,119.3,370.0,20.5,15.4,76.1,5102.0,4731.0,212.0,3884.0,73.0,,363.0,48.6,11503.29,5590.51,1535227.0,125147.0,,1019249.0,,18653.0,
190,Bihar,Banka,-0.19,1.873,0.7868,0.1133,124.9,364.0,16.0,13.6,74.4,5636.0,5408.0,131.0,3952.0,44.0,25360.0,122.0,50.36,6154.8,3099.76,1447601.0,116855.0,,581806.0,,12367.0,
191,Bihar,Begusarai,-0.021,2.027,2.4684,0.6001,43.6,57.0,12.2,13.2,70.0,6964.0,6526.0,232.0,5305.0,162.0,26151.0,91.0,74.57,14511.04,10820.88,1650177.0,126752.0,,847415.0,,21228.0,
192,Bihar,Bhagalpur,-0.084,2.502,1.7963,0.6084,38.1,164.0,23.9,16.3,53.7,8755.0,8141.0,294.0,6519.0,310.0,28198.0,121.0,52.18,21160.12,11042.3,1797028.0,130880.0,,876359.0,,26656.0,
193,Bihar,Bhojpur,-0.072,2.528,1.7974,0.2311,67.3,71.0,14.7,9.6,74.3,4359.0,3915.0,241.0,3212.0,160.0,20328.0,109.0,42.6,15205.87,6477.05,1338196.0,90163.0,,788373.0,,22371.0,
194,Bihar,Buxar,-0.145,2.096,1.5865,0.2652,68.8,63.0,10.9,11.4,85.0,3478.0,3227.0,152.0,2896.0,49.0,13161.0,132.0,44.24,8637.27,3821.51,1074554.0,68681.0,,631934.0,,14439.0,
195,Bihar,Darbhanga,0.033,2.276,1.7338,0.1974,50.8,61.0,15.2,25.3,51.0,11043.0,10529.0,264.0,9040.0,156.0,38538.0,49.0,51.32,18390.7,9437.51,1880542.0,157846.0,,1257577.0,,23300.0,
196,Bihar,Gaya,0.027,2.679,1.4955,0.3537,145.2,466.0,2.8,9.7,70.9,8710.0,7989.0,337.0,7266.0,298.0,43699.0,258.0,55.45,25248.6,13999.09,2701439.0,159023.0,,1802856.0,,30299.0,
197,Bihar,Gopalganj,0.104,2.181,1.533,0.1627,71.1,50.0,8.7,12.7,71.9,6267.0,5930.0,186.0,5249.0,58.0,23611.0,280.0,45.69,12081.21,5519.96,1656096.0,183556.0,,1065652.0,,18083.0,
198,Bihar,Jamui,-0.212,1.786,0.832,0.0461,181.0,500.0,2.7,14.3,41.0,6369.0,6175.0,127.0,5569.0,52.0,18228.0,190.0,46.22,6738.46,3114.34,1099535.0,55999.0,,601812.0,,11866.0,
199,Bihar,Jehanabad,0.047,2.365,2.3539,0.369,71.9,257.0,17.7,13.2,82.3,1966.0,1795.0,95.0,1554.0,78.0,12342.0,123.0,45.22,5417.51,2449.82,524093.0,37793.0,,352700.0,,8869.0,
200,Bihar,Kaimur (bhabua),-0.244,2.047,0.7937,0.1427,194.7,594.0,20.0,18.1,78.9,,,,,35.0,,134.0,60.07,5724.34,3438.5,912142.0,63269.0,,587526.0,,11866.0,
201,Bihar,Katihar,-0.167,2.202,0.9317,0.145,32.9,53.0,15.7,8.4,55.5,8665.0,8351.0,188.0,5761.0,81.0,34796.0,122.0,77.39,9813.62,7595.2,2027932.0,128758.0,,1183134.0,,17582.0,
202,Bihar,Khagaria,-0.169,2.133,0.9659,0.1047,38.6,91.0,7.9,15.6,69.1,4661.0,4465.0,118.0,3233.0,52.0,19625.0,21.0,61.23,5460.07,3343.34,1002170.0,58673.0,,450976.0,,10795.0,
203,Bihar,Kishanganj,-0.068,1.834,0.7329,0.1865,61.1,77.0,10.9,8.1,34.9,3675.0,3489.0,109.0,3127.0,30.0,18214.0,76.0,80.21,4858.43,3896.71,1346618.0,85112.0,,986413.0,,10225.0,
204,Bihar,Lakhisarai,-0.127,1.887,1.305,0.1922,71.3,432.0,9.3,15.1,59.4,2590.0,2453.0,91.0,2174.0,18.0,8289.0,55.0,44.26,4600.23,2036.03,580590.0,41932.0,,286392.0,,8296.0,
205,Bihar,Madhepura,-0.172,1.973,1.2336,0.1269,45.5,51.0,9.3,9.5,61.2,7933.0,7703.0,129.0,5791.0,13.0,25495.0,40.0,74.39,5250.16,3905.7,16853211168532.0,67835.0,,865403.0,,11153.0,
206,Bihar,Madhubani,0.136,2.282,1.47,0.1688,62.7,68.0,12.1,19.2,45.0,10947.0,10478.0,284.0,8911.0,39.0,48086.0,55.0,52.85,13647.45,7212.67,2536059.0,243824.0,,1632233.0,,26084.0,
207,Bihar,Munger,-0.111,2.146,1.3267,0.2379,76.4,483.0,8.1,15.2,63.7,2937.0,2662.0,143.0,2256.0,42.0,11820.0,43.0,33.37,10362.55,3457.63,628191.0,42723.0,,319985.0,,13010.0,
208,Bihar,Muzaffarpur,0.035,2.191,2.1603,0.4302,57.2,59.0,10.2,13.2,49.7,12389.0,11513.0,418.0,10410.0,333.0,46713.0,351.0,71.02,27806.42,19747.66,2999173.0,312207.0,,1833401.0,,37369.0,
209,Bihar,Nalanda,0.03,2.567,2.0581,0.5944,59.2,416.0,27.2,12.8,79.6,5636.0,5189.0,252.0,4550.0,243.0,28840.0,122.0,42.54,16167.45,6878.1,1253640.0,59068.0,,674011.0,,23511.0,
210,Bihar,Nawada,-0.074,2.186,1.2597,0.0811,134.7,628.0,18.7,8.1,62.9,4760.0,4522.0,151.0,3776.0,68.0,22992.0,107.0,53.07,8121.05,4310.04,1240224.0,69680.0,,714039.0,,14440.0,
211,Bihar,Pashchim Champaran,-0.105,2.285,0.7221,0.0982,110.4,829.0,10.0,20.0,60.8,,,,,17.0,36390.0,277.0,83.44,9514.81,7939.12,2801714.0,267683.0,,1863481.0,,22155.0,
212,Bihar,Patna,0.126,2.632,4.0532,1.6794,54.2,72.0,9.4,10.2,68.0,10824.0,8158.0,1013.0,5022.0,1976.0,37906.0,195.0,50.04,185418.29,92776.19,2760994.0,249258.0,,1630948.0,,87373.0,
213,Bihar,Purbi Champaran,0.035,2.349,1.5884,0.1119,69.7,76.0,10.8,19.4,62.5,14306.0,13742.0,310.0,11252.0,158.0,48408.0,,79.19,15261.82,12086.47,3279150.0,293564.0,,2121176.0,,27583.0,
214,Bihar,Purnia,-0.212,2.427,1.1741,0.272,41.8,60.0,17.0,10.2,63.1,9196.0,8741.0,243.0,7671.0,47.0,34414.0,250.0,97.49,11302.98,11019.55,19422212221194.0,154502.0,,1503880.0,,21726.0,
215,Bihar,Rohtas,-0.162,2.485,1.2381,0.2171,150.6,549.0,5.6,17.2,87.3,5351.0,4932.0,244.0,4312.0,111.0,24449.0,246.0,51.32,14409.0,7394.38,1478446.0,104767.0,,908877.0,,23010.0,
216,Bihar,Saharsa,-0.144,2.258,1.4307,0.2071,43.9,55.0,9.3,12.8,56.5,6025.0,5806.0,107.0,5287.0,38.0,18303.0,35.0,67.57,6379.34,4310.57,1062553.0,84405.0,,769127.0,,9369.0,
217,Bihar,Samastipur,0.048,1.926,1.6454,0.2144,47.9,61.0,11.6,19.0,72.7,13304.0,12770.0,312.0,11013.0,1573.0,44273.0,151.0,61.9,16071.39,9948.97,2516197.0,129476.0,,1584051.0,,27726.0,
218,Bihar,Saran,0.169,2.532,1.8374,0.3462,56.7,76.0,8.3,9.4,69.5,9738.0,9207.0,286.0,8722.0,173.0,33117.0,313.0,44.07,18423.02,8119.29,2716524.0,220671.0,,1900562.0,,24868.0,
219,Bihar,Sheikhpura,-0.087,1.689,1.8146,0.208,52.2,161.0,21.1,9.7,66.3,1621.0,1514.0,66.0,1246.0,14.0,6149.0,25.0,50.47,3077.43,1553.09,332934.0,15246.0,,175084.0,,6011.0,
220,Bihar,Sheohar,-0.101,1.779,1.6301,0.0543,66.1,44.0,7.5,18.1,60.6,1829.0,1746.0,45.0,1432.0,11.0,7952.0,31.0,74.52,1528.01,1138.6,401609.0,40201.0,,233383.0,,4154.0,
221,Bihar,Sitamarhi,0.02,2.008,1.505,0.1042,67.1,55.0,6.5,20.7,44.2,8137.0,7840.0,171.0,6069.0,48.0,38345.0,159.0,59.36,9766.8,5797.55,2246015.0,170111.0,,1380688.0,,15797.0,
222,Bihar,Siwan,0.153,1.813,1.4782,0.0764,64.8,68.0,12.0,8.2,73.8,6583.0,6113.0,263.0,5737.0,89.0,28514.0,107.0,45.3,17982.96,8147.17,1988162.0,185885.0,,1245699.0,,23942.0,
223,Bihar,Supaul,-0.127,1.923,1.1055,0.3017,61.2,62.0,8.4,14.2,51.7,7191.0,6967.0,129.0,5636.0,36.0,27366.0,42.0,68.55,5936.79,4069.41,1389259.0,108260.0,,1019997.0,,11582.0,
224,Bihar,Vaishali,0.184,2.356,2.251,0.2948,52.3,73.0,24.3,13.5,61.6,9417.0,8924.0,266.0,8386.0,36.0,34580.0,111.0,69.63,15346.58,10686.5,2080291.0,212562.0,,1291010.0,,24224.0,
225,Sikkim,Gangtok,0.198,2.448,0.4721,0.4069,2208.0,4418.0,,,29.3,283.0,88.0,83.0,105.0,44.0,634.0,,,,,,,,,,,
226,Sikkim,Mangan,-0.049,1.707,0.0131,0.0136,4203.3,7415.0,,,17.3,48.0,18.0,15.0,48.0,8.0,417.0,,,,,,,,,,,
