period,district,amount,amount_rs_in_lakhs,amount_rs_inlakhs,amount_rsin_lakhs,amountof_subsidy_rsin_lakhs,disbursed_upto_31_03_18_no,disbursement,disbursement_no,disbursement_no_of_cases,no_of_cases,no_of_cases_sponsored,no_ofcases_sponsored,pending_disbursement_no,pending_with_bank_for,pending_with_bank_for_disbursement,pending_with_bank_for_disbursement_no,pending_with_bank_for_disbursement_no_of_cases,pending_with_bank_for_no,pending_with_bank_for_nod_i_sb,pending_with_bank_no,pending_with_no,pending_withbank_fordisburseme_nt_no_of_cases,pending_withbank_fordisbursement_no_of_cases,pendingwith_bankfor_disbursement_no_of_cases,pendingwithbank_fordisbursement_no_of_cases,project_cost,project_cost_involved,project_cost_involved_in_sanctioned_cases,s_u_b_s_idy_released_no,sanction_ed,sanctioned,sanctioned_but_pending_for_disbursement_no,sanctioned_caes_project_cost_in,sanctioned_caes_project_cost_involved,sanctioned_cases_project_cost,sanctioned_cases_total_project_cost_involved,sanctioned_no,sponsored_no,subsidy,subsidy_involved,subsidy_involved_in_sanctioned_cases,subsidy_involved_in_sanctioned_cases_r_s_in_lakhs,subsidy_involved_in_sanctioned_cases_rs_in_lakhs,subsidy_involved_in_sanctioned_cases_rs_inlakhs,subsidy_involvedin_sanctioned_cases_rs_inlakhs,subsidy_released,subsidy_released_nedo,subsidy_released_no,subsidy_released_no_of_cases,subsidyreleased_no_of_cases,svoulbvesdidy_involv,total_project_cost_involved_in_sanctioned,total_project_cost_involved_in_sanctioned_cases,total_project_cost_involved_in_sanctioned_cases_rs_in_lakhs,totalproject_cost_involvedin_sanctioned_cases_rsin_lakhs,urseammeonutnt
December 2019,Nadia,0.0,,,,,,,0.0,,,3402.0,,,,,,,,,,,,,,,,,,,,905.0,,2276.3,,,,,,,,,,,,,,0.0,,,,682.8,,,,,
December 2019,North 24 Parganas,0.0,,,,,,,0.0,,,1522.0,,,,,,,,,,,,,,,,,,,,326.0,,768.63,,,,,,,,,,,,,,0.0,,,,231.38,,,,,
December 2019,Paschim Bardhaman,0.0,,,,,,,0.0,,,694.0,,,,,,,,,,,,,,,,,,,,98.0,,280.74,,,,,,,,,,,,,,0.0,,,,81.52,,,,,
December 2019,Paschim Medinipur,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,
December 2019,Purba Bardhaman,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,
December 2019,Purba Medinipur,0.0,,,,,,,0.0,,,1251.0,,,,,,,,,,,,,,,,,,,,844.0,,3363.58,,,,,,,,,,,,,,0.0,,,,668.72,,,,,
December 2019,Purulia,0.0,,,,,,,0.0,,,23.0,,,,,,,,,,,,,,,,,,,,90.0,,219.86,,,,,,,,,,,,,,0.0,,,,65.96,,,,,
December 2019,South 24 Parganas,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,
December 2019,Uttar Dinajpur,0.0,,,,,,,0.0,,,588.0,,,,,,,,,,,,,,,,,,,,224.0,,607.18,,,,,,,,,,,,,,0.0,,,,182.15,,,,,
December 2020,Alipurduar,0.47,,,,,,,114.0,,,0.0,,,,,,,,,,31.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,145.0,,,,,,,,
