period,district,disb_am,disb_amt,disbursement_amt,kishor_no_of_a_cs,kishore_no,kishore_no_of_a_cs,kishore_sanction_no,sanc_amt,sanctioned_amt,shishu_no,shishu_no_of_a_cs,sishu_sanction_no,tarun_no,tarun_no_of_a_cs,tarun_plus_no_of_a_cs,tarun_sanctio_n_no,total,total_amount_rs_in_crore_no_of_a_cs,total_no,total_no_of_a_cs
June 2025,Kolkata,,,632.16,21844.0,,,,,650.95,,19160.0,,,3348.0,75.0,,,,,44427.0
June 2025,Malda,,,277.64,16210.0,,,,,278.52,,11396.0,,,560.0,3.0,,,,,28169.0
June 2025,Murshidabad,,,567.48,32625.0,,,,,569.58,,21880.0,,,1352.0,10.0,,,,,55867.0
June 2025,Nadia,,,373.42,18015.0,,,,,375.45,,14030.0,,,1163.0,4.0,,,,,33212.0
June 2025,North 24 Parganas,,,622.81,30067.0,,,,,628.22,,20963.0,,,2112.0,21.0,,,,,53163.0
June 2025,Paschim Medinipur,,,287.29,9843.0,,,,,289.44,,9332.0,,,1482.0,10.0,,,,,20667.0
June 2025,Purba Medinipur,,,360.64,15807.0,,,,,363.23,,10991.0,,,1616.0,6.0,,,,,28420.0
June 2025,South 24 Parganas,,,439.22,22150.0,,,,,443.81,,20367.0,,,1330.0,14.0,,,,,43861.0
June 2025,Uttar Dinajpur,,,194.34,10581.0,,,,,195.76,,6408.0,,,548.0,4.0,,,,,17541.0
March 2018,Alipurduar,,,447.3,,,9269.0,,,459.51,,120680.0,,,12.0,,,,,,129961.0
March 2018,Bankura,,,345.3,,,7140.0,,,361.19,,74547.0,,,776.0,,,,,,82463.0
March 2018,Birbhum,,,804.11,,,19387.0,,,814.32,,182153.0,,,946.0,,,,,,202486.0
March 2018,Cooch Behar,,,839.8,,,26036.0,,,892.34,,205289.0,,,700440.0,,,,,,931765.0
March 2018,Dakshin Dinajpur,,,330.45,,,6550.0,,,340.48,,90829.0,,,329.0,,,,,,97708.0
March 2018,Howrah,,,1195.45,,,24462.0,,,1216.85,,284653.0,,,1367.0,,,,,,310482.0
March 2018,Jalpaiguri,,,729.36,,,16988.0,,,776.58,,205504.0,,,880.0,,,,,,223372.0
March 2018,Kalimpong,,,5.4,,,402.0,,,5.4,,719.0,,,0.0,,,,,,1121.0
March 2018,Kolkata,,,1499.39,,,19791.0,,,1551.04,,266779.0,,,6363.0,,,,,,292933.0
March 2018,Malda,,,739.7,,,18782.0,,,752.58,,152898.0,,,924.0,,,,,,172604.0
March 2018,Murshidabad,,,1386.26,,,28129.0,,,1425.48,,394802.0,,,999.0,,,,,,423930.0
March 2018,Nadia,,,1143.97,,,23063.0,,,1184.53,,314075.0,,,1317.0,,,,,,338455.0
March 2018,North 24 Parganas,,,1937.73,,,39922.0,,,1984.82,,472948.0,,,2963.0,,,,,,515833.0
March 2018,Paschim Medinipur,,,816.66,,,17968.0,,,840.28,,155401.0,,,1838.0,,,,,,175207.0
March 2018,Purba Bardhaman,,,1576.11,,,27946.0,,,1610.62,,365048.0,,,3055.0,,,,,,396049.0
March 2018,Purba Medinipur,,,731.96,,,16321.0,,,749.19,,137262.0,,,1405.0,,,,,,154988.0
March 2018,South 24 Parganas,,,1324.22,,,28914.0,,,1358.87,,340763.0,,,1305.0,,,,,,370982.0
March 2018,Uttar Dinajpur,,,680.24,,,15286.0,,,689.21,,172545.0,,,463.0,,,,,,188294.0
March 2020,Alipurduar,561.09,17.98,,,6095.0,,,561.67,,157127.0,,,219.0,,,,,,163441.0,
March 2020,Bankura,378.86,56.13,,,6106.0,,,388.08,,78391.0,,,757.0,,,,,,85254.0,
March 2020,Birbhum,1018.72,75.8,,,21076.0,,,1033.72,,173105.0,,,1002.0,,,,,,195183.0,
March 2020,Cooch Behar,815.78,33.25,,,7427.0,,,820.88,,206767.0,,,443.0,,,,,,214637.0,
March 2020,Dakshin Dinajpur,454.64,26.07,,,7056.0,,,458.75,,116479.0,,,347.0,,,,,,123882.0,
March 2020,Howrah,1413.24,155.21,,,24033.0,,,1436.8,,266552.0,,,2072.0,,,,,,292657.0,
March 2020,Jalpaiguri,963.17,76.9,,,13338.0,,,977.05,,246089.0,,,1009.0,,,,,,260436.0,
March 2020,Kalimpong,6.71,0.0,,,153.0,,,6.71,,1449.0,,,0.0,,,,,,1602.0,
March 2020,Kolkata,2777.1,545.02,,,32534.0,,,2812.82,,632886.0,,,6762.0,,,,,,672182.0,
March 2020,Malda,1046.64,66.4,,,17523.0,,,1054.0,,255770.0,,,931.0,,,,,,274224.0,
March 2020,Murshidabad,2028.53,85.16,,,32299.0,,,2043.3,,538073.0,,,1181.0,,,,,,571553.0,
March 2020,Nadia,1412.97,118.75,,,21883.0,,,1429.64,,340058.0,,,1534.0,,,,,,363475.0,
March 2020,North 24 Parganas,2245.16,271.31,,,35640.0,,,2284.74,,480289.0,,,3624.0,,,,,,519553.0,
March 2020,Paschim Medinipur,1038.37,151.27,,,16275.0,,,1060.78,,212340.0,,,2099.0,,,,,,230714.0,
March 2020,Purba Bardhaman,1929.02,286.07,,,31571.0,,,1950.69,,363115.0,,,3872.0,,,,,,398558.0,
March 2020,Purba Medinipur,1008.48,124.93,,,15337.0,,,1025.51,,208094.0,,,1673.0,,,,,,225104.0,
March 2020,South 24 Parganas,1647.28,118.89,,,24105.0,,,1668.77,,394765.0,,,1660.0,,,,,,420530.0,
March 2020,Uttar Dinajpur,750.58,40.52,,,8435.0,,,757.03,,185969.0,,,537.0,,,,,,194941.0,
March 2021,Alipurduar,,620.96,,,26375.0,,,628.95,,112389.0,,,792.0,,,,,,139556.0,
March 2021,Bankura,,374.06,,,14236.0,,,399.02,,62589.0,,,1116.0,,,,,,77941.0,
March 2021,Birbhum,,1294.18,,,57310.0,,,1324.14,,124335.0,,,1601.0,,,,,,183246.0,
March 2021,Cooch Behar,,659.7,,,27083.0,,,669.32,,102241.0,,,1019.0,,,,,,130343.0,
March 2021,Dakshin Dinajpur,,452.81,,,19025.0,,,462.63,,84827.0,,,478.0,,,,,,104330.0,
March 2021,Howrah,,1979.07,,,98321.0,,,2017.81,,256187.0,,,2291.0,,,,,,356799.0,
March 2021,Jalpaiguri,,829.05,,,31679.0,,,853.21,,167603.0,,,1216.0,,,,,,200498.0,
March 2021,Jhargram,,71.8,,,2875.0,,,87.98,,10847.0,,,228.0,,,,,,13950.0,
March 2021,Kalimpong,,29.05,,,1458.0,,,29.28,,1997.0,,,48.0,,,,,,3503.0,
March 2021,Kolkata,,2147.27,,,84674.0,,,2225.04,,203827.0,,,8007.0,,,,,,296508.0,
March 2021,Malda,,1177.95,,,53122.0,,,1196.09,,202042.0,,,1226.0,,,,,,256390.0,
March 2021,Murshidabad,,2473.26,,,121397.0,,,2516.56,,431659.0,,,2167.0,,,,,,555223.0,
March 2021,Nadia,,1779.82,,,79858.0,,,1829.11,,316525.0,,,2420.0,,,,,,398803.0,
March 2021,North 24 Parganas,,3120.06,,,163356.0,,,3226.81,,444661.0,,,4889.0,,,,,,612906.0,
March 2021,Paschim Medinipur,,1126.28,,,51661.0,,,1195.53,,142320.0,,,2498.0,,,,,,196479.0,
March 2021,Purba Bardhaman,,1799.69,,,69286.0,,,1832.71,,191694.0,,,3832.0,,,,,,264812.0,
March 2021,Purba Medinipur,,959.38,,,38717.0,,,1011.77,,169678.0,,,1620.0,,,,,,210015.0,
March 2021,South 24 Parganas,,2133.21,,,112164.0,,,2188.65,,391750.0,,,2364.0,,,,,,506278.0,
March 2021,Uttar Dinajpur,,501.83,,,19156.0,,,516.99,,111657.0,,,1010.0,,,,,,131823.0,
March 2022,Alipurduar,,726.14,,,31271.0,,,737.72,,140355.0,,,699.0,,,,,,172325.0,
March 2022,Bankura,,498.18,,,16892.0,,,532.86,,69987.0,,,1640.0,,,,,,88519.0,
March 2022,Birbhum,,1198.8,,,46286.0,,,1232.95,,120063.0,,,1911.0,,,,,,168260.0,
March 2022,Cooch Behar,,832.9,,,51500.0,,,864.39,,74586.0,,,1747.0,,,,,,127833.0,
March 2022,Dakshin Dinajpur,,553.82,,,23885.0,,,566.06,,104446.0,,,670.0,,,,,,129001.0,
March 2022,Howrah,,1871.95,,,93056.0,,,1908.16,,176119.0,,,2296.0,,,,,,271471.0,
March 2022,Jalpaiguri,,1134.52,,,57965.0,,,1173.49,,177543.0,,,2008.0,,,,,,237516.0,
March 2022,Jhargram,,130.44,,,3757.0,,,140.3,,15402.0,,,506.0,,,,,,19665.0,
March 2022,Kalimpong,,19.0,,,1133.0,,,19.31,,807.0,,,50.0,,,,,,1990.0,
March 2022,Kolkata,,1645.93,,,56930.0,,,1693.15,,154365.0,,,6515.0,,,,,,217810.0,
March 2022,Malda,,1285.45,,,59765.0,,,1320.14,,195384.0,,,1591.0,,,,,,256740.0,
March 2022,Murshidabad,,2923.85,,,149465.0,,,3007.98,,504698.0,,,3235.0,,,,,,657398.0,
March 2022,Nadia,,1850.89,,,88611.0,,,1891.14,,230784.0,,,3232.0,,,,,,322627.0,
March 2022,North 24 Parganas,,2652.81,,,126334.0,,,2742.7,,322240.0,,,5546.0,,,,,,454120.0,
March 2022,Paschim Medinipur,,1092.36,,,34370.0,,,1178.25,,120499.0,,,4444.0,,,,,,159313.0,
March 2022,Purba Bardhaman,,1508.09,,,59100.0,,,1521.59,,146304.0,,,3340.0,,,,,,208744.0,
March 2022,Purba Medinipur,,1305.35,,,48402.0,,,1454.5,,156957.0,,,4253.0,,,,,,209612.0,
March 2022,South 24 Parganas,,1754.07,,,83250.0,,,1802.44,,248939.0,,,3746.0,,,,,,335935.0,
March 2022,Uttar Dinajpur,,603.16,,,27184.0,,,622.75,,97002.0,,,916.0,,,,,,125102.0,
March 2023,Alipurduar,,,780.16,,,40846.0,,,781.55,,100900.0,,,1308.0,,,,143054.0,,
March 2023,Bankura,,,713.94,,,19651.0,,,726.65,,73732.0,,,2751.0,,,,96134.0,,
March 2023,Birbhum,,,1504.02,,,57176.0,,,1512.07,,135172.0,,,2815.0,,,,195163.0,,
March 2023,Cooch Behar,,,1168.66,,,68173.0,,,1175.6,,69621.0,,,3271.0,,,,141065.0,,
March 2023,Dakshin Dinajpur,,,784.0,,,38178.0,,,787.17,,101903.0,,,1141.0,,,,141222.0,,
March 2023,Howrah,,,2082.99,,,93373.0,,,2094.42,,177807.0,,,3579.0,,,,274759.0,,
March 2023,Jalpaiguri,,,1538.58,,,70649.0,,,1549.22,,167955.0,,,3979.0,,,,242583.0,,
March 2023,Jhargram,,,233.38,,,6331.0,,,234.54,,21312.0,,,1215.0,,,,28858.0,,
March 2023,Kalimpong,,,40.68,,,2389.0,,,40.84,,2110.0,,,73.0,,,,4572.0,,
March 2023,Kolkata,,,2521.88,,,82222.0,,,2545.69,,177842.0,,,9343.0,,,,269407.0,,
March 2023,Malda,,,1818.35,,,91793.0,,,1826.98,,190031.0,,,2759.0,,,,284583.0,,
March 2023,Murshidabad,,,3933.01,,,208041.0,,,3946.63,,443542.0,,,6390.0,,,,657973.0,,
March 2023,Nadia,,,2094.14,,,90806.0,,,2116.88,,231734.0,,,5031.0,,,,327571.0,,
March 2023,North 24 Parganas,,,3406.7,,,157276.0,,,3438.34,,308082.0,,,9162.0,,,,474520.0,,
March 2023,Paschim Medinipur,,,1923.7,,,50832.0,,,1932.8,,168693.0,,,10237.0,,,,229762.0,,
March 2023,Purba Bardhaman,,,1039.51,,,26780.0,,,1048.28,,106727.0,,,4307.0,,,,137814.0,,
March 2023,Purba Medinipur,,,2117.44,,,67495.0,,,2127.94,,183845.0,,,9531.0,,,,260871.0,,
March 2023,South 24 Parganas,,,2145.84,,,98697.0,,,2160.17,,217235.0,,,5468.0,,,,321400.0,,
March 2023,Uttar Dinajpur,,,1394.23,,,83650.0,,,1403.38,,137226.0,,,1979.0,,,,222855.0,,
March 2024,Alipurduar,,,770.74,,,45467.0,,,771.95,,55880.0,,,1451.0,,,,,,102798.0
March 2024,Bankura,,,773.49,,,27529.0,,,803.97,,73116.0,,,3222.0,,,,,,103867.0
March 2024,Birbhum,,,1838.74,,,80627.0,,,1865.45,,136211.0,,,3546.0,,,,,,220384.0
March 2024,Cooch Behar,,,1466.45,,,89759.0,,,1476.28,,82626.0,,,3117.0,,,,,,175502.0
March 2024,Dakshin Dinajpur,,,761.34,,,40930.0,,,768.53,,64788.0,,,1157.0,,,,,,106875.0
March 2024,Howrah,,,2742.26,,,152999.0,,,2757.07,,204023.0,,,3873.0,,,,,,360895.0
March 2024,Jalpaiguri,,,1460.84,,,78037.0,,,1475.84,,106770.0,,,3542.0,,,,,,188349.0
March 2024,Jhargram,,,291.85,,,9747.0,,,293.61,,31006.0,,,1089.0,,,,,,41842.0
March 2024,Kalimpong,,,49.9,,,2933.0,,,50.18,,1490.0,,,130.0,,,,,,4553.0
March 2024,Kolkata,,,3196.04,,,141054.0,,,3225.07,,178075.0,,,12350.0,,,,,,331479.0
March 2024,Malda,,,1996.04,,,113826.0,,,2025.54,,153258.0,,,3773.0,,,,,,270857.0
March 2024,Murshidabad,,,4720.5,,,295414.0,,,4752.59,,410139.0,,,7514.0,,,,,,713067.0
March 2024,Nadia,,,2664.47,,,135213.0,,,2678.64,,252503.0,,,4876.0,,,,,,392592.0
March 2024,North 24 Parganas,,,4409.17,,,218877.0,,,4447.42,,396492.0,,,9936.0,,,,,,625305.0
March 2024,Paschim Medinipur,,,2066.86,,,73566.0,,,2081.84,,181796.0,,,8431.0,,,,,,263793.0
March 2024,Purba Bardhaman,,,1434.76,,,57069.0,,,1442.07,,145628.0,,,3757.0,,,,,,206454.0
March 2024,Purba Medinipur,,,2466.98,,,106700.0,,,2480.39,,197366.0,,,8132.0,,,,,,312198.0
March 2024,South 24 Parganas,,,2648.82,,,127945.0,,,2664.96,,242300.0,,,5614.0,,,,,,375859.0
March 2024,Uttar Dinajpur,,,1624.27,,,105784.0,,,1629.51,,100683.0,,,2140.0,,,,,,208607.0
March 2025,Alipurduar,,,741.93,45956.0,,,,,743.01,,44569.0,,,1781.0,13.0,,,,,92319.0
March 2025,Bankura,,,840.13,35869.0,,,,,872.12,,56569.0,,,3847.0,17.0,,,,,96302.0
March 2025,Birbhum,,,1958.25,92006.0,,,,,1961.71,,100905.0,,,4750.0,32.0,,,,,197693.0
March 2025,Cooch Behar,,,1280.07,75892.0,,,,,1286.48,,55648.0,,,2992.0,33.0,,,,,134565.0
March 2025,Dakshin Dinajpur,,,613.09,34346.0,,,,,629.73,,28167.0,,,1835.0,9.0,,,,,64357.0
March 2025,Howrah,,,2738.0,155347.0,,,,,2751.52,,145259.0,,,4844.0,24.0,,,,,305474.0
March 2025,Jalpaiguri,,,1301.85,72154.0,,,,,1311.23,,68225.0,,,3969.0,32.0,,,,,144380.0
March 2025,Jhargram,,,241.21,7863.0,,,,,242.86,,16748.0,,,1143.0,12.0,,,,,25766.0
March 2025,Kalimpong,,,64.23,3073.0,,,,,64.52,,1975.0,,,179.0,1.0,,,,,5228.0
March 2025,Kolkata,,,3730.65,148245.0,,,,,3755.61,,166323.0,,,16587.0,135.0,,,,,331290.0
March 2025,Malda,,,1735.69,117900.0,,,,,1747.31,,81069.0,,,3522.0,14.0,,,,,202505.0
March 2025,Murshidabad,,,4216.92,293101.0,,,,,4251.75,,250830.0,,,8216.0,29.0,,,,,552176.0
March 2025,Nadia,,,2638.24,145652.0,,,,,2668.82,,149842.0,,,7947.0,25.0,,,,,303466.0
March 2025,North 24 Parganas,,,4602.53,242460.0,,,,,4683.13,,267465.0,,,15688.0,51.0,,,,,525664.0
March 2025,Paschim Medinipur,,,1686.17,67776.0,,,,,1702.48,,89909.0,,,7893.0,50.0,,,,,165628.0
March 2025,Purba Bardhaman,,,1787.04,83113.0,,,,,1793.05,,99935.0,,,5593.0,54.0,,,,,188695.0
March 2025,Purba Medinipur,,,2145.81,100966.0,,,,,2164.35,,90693.0,,,8788.0,183.0,,,,,200630.0
March 2025,South 24 Parganas,,,2862.03,157110.0,,,,,2896.4,,194184.0,,,7859.0,50.0,,,,,359203.0
March 2025,Uttar Dinajpur,,,1451.06,86336.0,,,,,1473.62,,58114.0,,,3720.0,12.0,,,,,148182.0
September 2017,Alipurduar,,,99.91,,,459.0,,,102.84,,31721.0,,,8.0,,,,,,32188.0
September 2017,Bankura,,,133.84,,,2040.0,,,138.75,,32659.0,,,298.0,,,,,,34997.0
September 2017,Birbhum,,,277.47,,,3403.0,,,280.93,,82804.0,,,321.0,,,,,,86528.0
September 2017,Cooch Behar,,,353.89,,,2751.0,,,359.8,,114201.0,,,207.0,,,,,,117159.0
September 2017,Dakshin Dinajpur,,,115.14,,,981.0,,,118.37,,36603.0,,,116.0,,,,,,37700.0
September 2017,Howrah,,,444.15,,,3365.0,,,451.77,,127153.0,,,587.0,,,,,,131105.0
September 2017,Jalpaiguri,,,323.2,,,3112.0,,,333.85,,109669.0,,,370.0,,,,,,113151.0
September 2017,Kalimpong,,,0.36,,,0.0,,,0.36,,84.0,,,0.0,,,,,,84.0
September 2017,Kolkata,,,622.21,,,5960.0,,,637.13,,114143.0,,,2867.0,,,,,,122970.0
September 2017,Malda,,,260.85,,,2578.0,,,265.24,,74048.0,,,316.0,,,,,,76942.0
September 2017,Murshidabad,,,623.4,,,3231.0,,,635.72,,213645.0,,,432.0,,,,,,217308.0
September 2017,Nadia,,,421.22,,,2843.0,,,430.83,,132188.0,,,508.0,,,,,,135539.0
September 2017,North 24 Parganas,,,708.44,,,6087.0,,,722.45,,192763.0,,,1275.0,,,,,,200125.0
September 2017,Paschim Medinipur,,,293.53,,,5453.0,,,305.17,,54121.0,,,731.0,,,,,,60305.0
September 2017,Purba Bardhaman,,,529.68,,,5622.0,,,542.71,,138230.0,,,1211.0,,,,,,145063.0
September 2017,Purba Medinipur,,,262.6,,,3934.0,,,273.55,,49770.0,,,609.0,,,,,,54313.0
September 2017,South 24 Parganas,,,501.68,,,4232.0,,,510.37,,146668.0,,,529.0,,,,,,151429.0
September 2017,Uttar Dinajpur,,,211.68,,,1611.0,,,216.63,,58570.0,,,181.0,,,,,,60362.0
September 2018,Alipurduar,,63.36,,,,,252.0,64.74,,,,25740.0,,,,10.0,26002.0,,,
September 2018,Bankura,,3918.54,,,,,2837.0,3918.54,,,,38362.0,,,,483.0,41682.0,,,
September 2018,Birbhum,,3756.98,,,,,5688.0,4034.63,,,,48677.0,,,,453.0,54818.0,,,
September 2018,Cooch Behar,,2392.91,,,,,2174.0,2556.09,,,,38048.0,,,,278.0,40500.0,,,
September 2018,Dakshin Dinajpur,,1113.22,,,,,1255.0,1116.56,,,,37696.0,,,,133.0,39083.0,,,
September 2018,Darjeeling,,4019.86,,,,,2138.0,4371.72,,,,56854.0,,,,485.0,59478.0,,,
September 2018,Hooghly,,7534.25,,,,,6053.0,7957.0,,,,90722.0,,,,975.0,97750.0,,,
September 2018,Howrah,,5202.83,,,,,4958.0,6214.0,,,,100178.0,,,,631.0,105768.0,,,
September 2018,Jalpaiguri,,4097.06,,,,,3010.0,4098.22,,,,105490.0,,,,478.0,108977.0,,,
September 2018,Jhargram,,2352.45,,,,,986.0,2592.49,,,,10322.0,,,,347.0,11656.0,,,
September 2018,Kalimpong,,7566.32,,,,,2095.0,7566.32,,,,3199.0,,,,681.0,5975.0,,,
September 2018,Malda,,3309.71,,,,,2940.0,3427.84,,,,76417.0,,,,390.0,79747.0,,,
September 2018,Murshidabad,,4322.18,,,,,4548.0,4545.83,,,,118707.0,,,,520.0,123775.0,,,
September 2018,Nadia,,6187.56,,,,,3780.0,6315.26,,,,165547.0,,,,695.0,170022.0,,,
September 2018,North 24 Parganas,,9680.13,,,,,8186.0,9680.13,,,,138785.0,,,,1210.0,148181.0,,,
September 2018,Paschim Bardhaman,,6458.16,,,,,5832.0,6458.16,,,,117246.0,,,,805.0,123883.0,,,
September 2018,Paschim Medinipur,,4347.13,,,,,4656.0,4903.42,,,,53808.0,,,,505.0,58969.0,,,
September 2018,Purba Bardhaman,,5440.14,,,,,2489.0,5483.32,,,,86406.0,,,,675.0,89570.0,,,
September 2018,Purba Medinipur,,6184.0,,,,,5045.0,6184.0,,,,51740.0,,,,735.0,57519.0,,,
September 2018,Purulia,,2062.83,,,,,1850.0,2247.17,,,,16629.0,,,,253.0,18732.0,,,
September 2018,South 24 Parganas,,5816.33,,,,,5942.0,5816.33,,,,96759.0,,,,760.0,103461.0,,,
September 2018,Uttar Dinajpur,,1988.56,,,,,1722.0,2048.03,,,,40716.0,,,,2255.0,44693.0,,,
September 2020,Alipurduar,,57.49,,,1087.0,,,58.05,,13467.0,,,95.0,,,,,,14649.0,
September 2020,Bankura,,73.12,,,1812.0,,,82.66,,10889.0,,,557.0,,,,,,13258.0,
September 2020,Birbhum,,206.82,,,6482.0,,,220.64,,16495.0,,,575.0,,,,,,23552.0,
September 2020,Cooch Behar,,123.1,,,2581.0,,,128.53,,30589.0,,,329.0,,,,,,33499.0,
September 2020,Dakshin Dinajpur,,67.44,,,1111.0,,,72.28,,15796.0,,,214.0,,,,,,17121.0,
September 2020,Howrah,,236.7,,,5362.0,,,260.49,,43822.0,,,839.0,,,,,,50023.0,
September 2020,Jalpaiguri,,118.39,,,2710.0,,,135.72,,26976.0,,,448.0,,,,,,30134.0,
September 2020,Jhargram,,33.92,,,985.0,,,44.18,,2583.0,,,288.0,,,,,,3856.0,
September 2020,Kalimpong,,2.06,,,33.0,,,2.06,,196.0,,,15.0,,,,,,244.0,
September 2020,Kolkata,,410.89,,,10557.0,,,455.37,,24163.0,,,2816.0,,,,,,37536.0,
September 2020,Malda,,128.94,,,2406.0,,,137.1,,30884.0,,,554.0,,,,,,33844.0,
September 2020,Murshidabad,,217.19,,,4297.0,,,240.12,,52488.0,,,1009.0,,,,,,57794.0,
September 2020,Nadia,,163.71,,,3634.0,,,183.47,,31477.0,,,735.0,,,,,,35846.0,
September 2020,North 24 Parganas,,306.41,,,8690.0,,,362.91,,43410.0,,,2037.0,,,,,,54137.0,
September 2020,Paschim Medinipur,,136.19,,,3608.0,,,159.72,,18328.0,,,1073.0,,,,,,23009.0,
September 2020,Purba Bardhaman,,119.69,,,2452.0,,,125.35,,14044.0,,,738.0,,,,,,17234.0,
September 2020,Purba Medinipur,,144.39,,,3744.0,,,154.36,,25700.0,,,693.0,,,,,,30137.0,
September 2020,South 24 Parganas,,159.37,,,5114.0,,,189.07,,28436.0,,,1004.0,,,,,,34554.0,
September 2020,Uttar Dinajpur,,97.67,,,1934.0,,,104.78,,23978.0,,,257.0,,,,,,26169.0,
September 2021,Alipurduar,,153.3,,,5907.0,,,160.37,,35501.0,,,290.0,,,,,,41698.0,
September 2021,Bankura,,182.06,,,5432.0,,,197.43,,30280.0,,,619.0,,,,,,36331.0,
September 2021,Birbhum,,420.54,,,15955.0,,,438.24,,46574.0,,,673.0,,,,,,63202.0,
September 2021,Cooch Behar,,136.63,,,5393.0,,,156.33,,20051.0,,,712.0,,,,,,26156.0,
September 2021,Dakshin Dinajpur,,166.39,,,5687.0,,,171.55,,39479.0,,,243.0,,,,,,45409.0,
September 2021,Howrah,,436.01,,,14446.0,,,458.85,,80764.0,,,762.0,,,,,,95972.0,
September 2021,Jalpaiguri,,298.07,,,10764.0,,,327.7,,62247.0,,,1032.0,,,,,,74043.0,
September 2021,Jhargram,,49.06,,,1295.0,,,52.44,,8005.0,,,158.0,,,,,,9458.0,
September 2021,Kalimpong,,4.22,,,250.0,,,4.27,,132.0,,,10.0,,,,,,392.0,
September 2021,Kolkata,,458.3,,,13509.0,,,488.35,,69662.0,,,1957.0,,,,,,85128.0,
September 2021,Malda,,353.8,,,10571.0,,,364.37,,83803.0,,,484.0,,,,,,94858.0,
September 2021,Murshidabad,,859.7,,,32863.0,,,891.66,,197965.0,,,1220.0,,,,,,232048.0,
September 2021,Nadia,,529.08,,,17104.0,,,549.2,,110693.0,,,1213.0,,,,,,129010.0,
September 2021,North 24 Parganas,,646.61,,,24560.0,,,693.65,,135957.0,,,1499.0,,,,,,162016.0,
September 2021,Paschim Medinipur,,369.78,,,11509.0,,,402.63,,50391.0,,,1385.0,,,,,,63285.0,
September 2021,Purba Bardhaman,,465.86,,,14731.0,,,478.23,,54546.0,,,1124.0,,,,,,70401.0,
September 2021,Purba Medinipur,,447.33,,,13627.0,,,505.18,,68545.0,,,1313.0,,,,,,83485.0,
September 2021,South 24 Parganas,,449.29,,,15010.0,,,465.62,,112848.0,,,1224.0,,,,,,129082.0,
September 2021,Uttar Dinajpur,,168.1,,,4986.0,,,176.47,,42293.0,,,312.0,,,,,,47591.0,
September 2022,Alipurduar,,214.88,,,6093.0,,,218.85,,46852.0,,,604.0,,,,,,53549.0,
September 2022,Bankura,,264.59,,,5110.0,,,279.29,,29173.0,,,1265.0,,,,,,35548.0,
September 2022,Birbhum,,458.14,,,12336.0,,,471.38,,43397.0,,,1236.0,,,,,,56969.0,
September 2022,Cooch Behar,,224.65,,,5572.0,,,241.31,,26025.0,,,1374.0,,,,,,32971.0,
September 2022,Dakshin Dinajpur,,239.25,,,8741.0,,,246.34,,44186.0,,,528.0,,,,,,53455.0,
September 2022,Hooghly,,599.58,,,15003.0,,,624.66,,65386.0,,,2454.0,,,,,,82843.0,
September 2022,Howrah,,500.72,,,13035.0,,,515.85,,45500.0,,,1649.0,,,,,,60184.0,
September 2022,Jalpaiguri,,487.4,,,15674.0,,,514.42,,81073.0,,,1744.0,,,,,,98491.0,
September 2022,Jhargram,,88.3,,,2622.0,,,96.55,,7969.0,,,462.0,,,,,,11053.0,
September 2022,Kalimpong,,4.7,,,81.0,,,4.86,,233.0,,,29.0,,,,,,343.0,
September 2022,Kolkata,,871.8,,,15508.0,,,902.89,,62449.0,,,4027.0,,,,,,81984.0,
September 2022,Malda,,467.6,,,13386.0,,,485.11,,76566.0,,,1192.0,,,,,,91144.0,
September 2022,Murshidabad,,931.22,,,29205.0,,,975.93,,149705.0,,,2727.0,,,,,,181637.0,
September 2022,Nadia,,564.08,,,13331.0,,,596.87,,78806.0,,,2211.0,,,,,,94348.0,
September 2022,North 24 Parganas,,927.19,,,24258.0,,,978.88,,103258.0,,,3812.0,,,,,,131328.0,
September 2022,Paschim Medinipur,,652.93,,,14202.0,,,703.99,,64044.0,,,3824.0,,,,,,82070.0,
September 2022,Purba Bardhaman,,500.99,,,12982.0,,,517.73,,55596.0,,,1708.0,,,,,,70286.0,
September 2022,Purba Medinipur,,682.2,,,17040.0,,,769.0,,68195.0,,,4015.0,,,,,,89250.0,
September 2022,South 24 Parganas,,615.21,,,17479.0,,,647.08,,67672.0,,,2475.0,,,,,,87626.0,
September 2022,Uttar Dinajpur,,263.99,,,6694.0,,,276.52,,42927.0,,,969.0,,,,,,50590.0,
September 2025,Alipurduar,,,332.01,19547.0,,,,,332.42,,16170.0,,,578.0,8.0,,,,,36303.0
September 2025,Bankura,,,387.61,13093.0,,,,,401.86,,21751.0,,,1902.0,26.0,,,,,36772.0
September 2025,Birbhum,,,617.14,29697.0,,,,,624.11,,33670.0,,,1774.0,19.0,,,,,65160.0
September 2025,Cooch Behar,,,581.23,32458.0,,,,,585.35,,20527.0,,,1418.0,15.0,,,,,54418.0
September 2025,Dakshin Dinajpur,,,266.54,13814.0,,,,,274.53,,10904.0,,,825.0,14.0,,,,,25557.0
September 2025,Howrah,,,1111.36,58505.0,,,,,1132.25,,53061.0,,,2742.0,85.0,,,,,114393.0
September 2025,Jalpaiguri,,,594.65,28797.0,,,,,604.84,,28098.0,,,1869.0,23.0,,,,,58787.0
September 2025,Jhargram,,,110.67,3486.0,,,,,112.72,,5301.0,,,586.0,7.0,,,,,9380.0
September 2025,Kalimpong,,,35.7,1801.0,,,,,35.86,,1029.0,,,100.0,2.0,,,,,2932.0
