period,district,1_year_above_no,1_year_and_above,1_year_and_above_62,1_year_and_above_no,6_month_to_below1_year_no,6_months_to_1_year,6_months_to_1_year_20,6_months_to_1_year_no,above_60_day_below_6_months,above_60_day_below_6_months_no,above_60_days_below_6_months,above_60_days_below_6_months_118,above_60_days_to_below_6_months_no,amt,amt_in_cr,below_60_days_no,pending_above_1_year_no,pending_above_60_days_no,pending_below_60_days,pending_below_60_days_23,pending_below_60_days_no,pending_below_60_dyas_23,pending_from_6_month_to_1_year_no,sr_no_1,toatal_pending_no,total_pending,total_pending_as_on_31_03_2019_223,total_pending_as_on_31_03_2020,total_pending_as_on_31_06_2019,total_pending_as_on_31_12_2018_223,total_pending_as_on_31_12_2019,total_pending_no
June 2023,Jalpaiguri,,,,16.0,,,,17.0,,2.0,,,,16.87,,,,,,,5.0,,,,,,,,,,,40.0
June 2023,Jhargram,,,,9.0,,,,0.0,,1.0,,,,1.26,,,,,,,0.0,,,,,,,,,,,10.0
June 2023,Kalimpong,,,,1.0,,,,0.0,,0.0,,,,0.02,,,,,,,0.0,,,,,,,,,,,1.0
June 2023,Kolkata,,,,223.0,,,,119.0,,24.0,,,,233.61,,,,,,,25.0,,,,,,,,,,,391.0
June 2023,Malda,,,,40.0,,,,6.0,,0.0,,,,48.01,,,,,,,0.0,,,,,,,,,,,46.0
June 2023,Murshidabad,,,,80.0,,,,22.0,,3.0,,,,30.42,,,,,,,0.0,,,,,,,,,,,105.0
June 2023,Nadia,,,,55.0,,,,51.0,,5.0,,,,58.05,,,,,,,15.0,,,,,,,,,,,126.0
June 2023,Paschim Bardhaman,,,,52.0,,,,29.0,,10.0,,,,70.28,,,,,,,19.0,,,,,,,,,,,110.0
June 2023,Paschim Medinipur,,,,73.0,,,,27.0,,16.0,,,,58.72,,,,,,,3.0,,,,,,,,,,,119.0
June 2023,Purba Bardhaman,,,,169.0,,,,29.0,,17.0,,,,59.64,,,,,,,17.0,,,,,,,,,,,232.0
June 2023,Purba Medinipur,,,,50.0,,,,32.0,,2.0,,,,25.84,,,,,,,2.0,,,,,,,,,,,86.0
June 2023,Purulia,,,,9.0,,,,3.0,,0.0,,,,6.82,,,,,,,0.0,,,,,,,,,,,12.0
June 2023,Uttar Dinajpur,,,,39.0,,,,11.0,,4.0,,,,12.05,,,,,,,0.0,,,,,,,,,,,54.0
June 2024,Alipurduar,,,,3.0,,,,3.0,,2.0,,,,,40.37,,,,,,0.0,,,,,,,,,,,8.0
June 2024,Bankura,,,,38.0,,,,9.0,,2.0,,,,,15.66,,,,,,0.0,,,,,,,,,,,49.0
June 2024,Birbhum,,,,63.0,,,,46.0,,21.0,,,,,31.44,,,,,,2.0,,,,,,,,,,,132.0
June 2024,Cooch Behar,,,,21.0,,,,16.0,,27.0,,,,,33.25,,,,,,14.0,,,,,,,,,,,78.0
June 2024,Dakshin Dinajpur,,,,31.0,,,,9.0,,3.0,,,,,4.91,,,,,,4.0,,,,,,,,,,,47.0
June 2024,Darjeeling,,,,36.0,,,,14.0,,7.0,,,,,49.52,,,,,,4.0,,,,,,,,,,,61.0
June 2024,Hooghly,,,,161.0,,,,81.0,,67.0,,,,,151.55,,,,,,28.0,,,,,,,,,,,337.0
June 2024,Howrah,,,,169.0,,,,89.0,,32.0,,,,,207.14,,,,,,38.0,,,,,,,,,,,328.0
June 2024,Jalpaiguri,,,,19.0,,,,17.0,,11.0,,,,,19.42,,,,,,4.0,,,,,,,,,,,51.0
June 2024,Jhargram,,,,4.0,,,,2.0,,1.0,,,,,0.79,,,,,,0.0,,,,,,,,,,,7.0
June 2024,Kalimpong,,,,0.0,,,,4.0,,0.0,,,,,0.85,,,,,,0.0,,,,,,,,,,,4.0
June 2024,Kolkata,,,,340.0,,,,127.0,,22.0,,,,,316.25,,,,,,47.0,,,,,,,,,,,536.0
June 2024,Malda,,,,51.0,,,,5.0,,4.0,,,,,45.59,,,,,,0.0,,,,,,,,,,,60.0
June 2024,Murshidabad,,,,81.0,,,,18.0,,8.0,,,,,50.01,,,,,,5.0,,,,,,,,,,,112.0
June 2024,Nadia,,,,73.0,,,,45.0,,4.0,,,,,82.83,,,,,,7.0,,,,,,,,,,,129.0
June 2024,Paschim Bardhaman,,,,91.0,,,,35.0,,8.0,,,,,80.24,,,,,,14.0,,,,,,,,,,,148.0
June 2024,Paschim Medinipur,,,,73.0,,,,31.0,,16.0,,,,,55.07,,,,,,0.0,,,,,,,,,,,120.0
June 2024,Purba Bardhaman,,,,201.0,,,,45.0,,57.0,,,,,85.8,,,,,,38.0,,,,,,,,,,,341.0
June 2024,Purba Medinipur,,,,67.0,,,,24.0,,19.0,,,,,27.65,,,,,,2.0,,,,,,,,,,,112.0
June 2024,Purulia,,,,14.0,,,,5.0,,15.0,,,,,21.05,,,,,,0.0,,,,,,,,,,,34.0
June 2024,Uttar Dinajpur,,,,40.0,,,,6.0,,4.0,,,,,12.05,,,,,,0.0,,,,,,,,,,,50.0
June 2025,Alipurduar,2.0,,,,12.0,,,,,,,,2.0,42.24,,0.0,,,,,,,,,,,,,,,,16.0
June 2025,Bankura,21.0,,,,11.0,,,,,,,,13.0,15.92,,7.0,,,,,,,,,,,,,,,,52.0
June 2025,Birbhum,70.0,,,,19.0,,,,,,,,13.0,27.21,,15.0,,,,,,,,,,,,,,,,117.0
June 2025,Cooch Behar,28.0,,,,31.0,,,,,,,,11.0,13.73,,6.0,,,,,,,,,,,,,,,,76.0
June 2025,Dakshin Dinajpur,33.0,,,,37.0,,,,,,,,4.0,23.81,,3.0,,,,,,,,,,,,,,,,77.0
June 2025,Darjeeling,39.0,,,,20.0,,,,,,,,24.0,69.84,,6.0,,,,,,,,,,,,,,,,89.0
June 2025,Hooghly,121.0,,,,66.0,,,,,,,,22.0,78.29,,23.0,,,,,,,,,,,,,,,,232.0
June 2025,Howrah,127.0,,,,91.0,,,,,,,,32.0,135.07,,47.0,,,,,,,,,,,,,,,,297.0
June 2025,Jalpaiguri,19.0,,,,15.0,,,,,,,,7.0,25.09,,7.0,,,,,,,,,,,,,,,,48.0
June 2025,Jhargram,3.0,,,,3.0,,,,,,,,3.0,1.27,,2.0,,,,,,,,,,,,,,,,11.0
June 2025,Kalimpong,11.0,,,,0.0,,,,,,,,39.0,7.31,,4.0,,,,,,,,,,,,,,,,54.0
June 2025,Kolkata,130.0,,,,120.0,,,,,,,,26.0,181.3,,57.0,,,,,,,,,,,,,,,,333.0
June 2025,Malda,46.0,,,,13.0,,,,,,,,21.0,37.6,,3.0,,,,,,,,,,,,,,,,83.0
June 2025,Murshidabad,57.0,,,,25.0,,,,,,,,11.0,35.19,,12.0,,,,,,,,,,,,,,,,105.0
June 2025,Nadia,65.0,,,,53.0,,,,,,,,19.0,36.3,,27.0,,,,,,,,,,,,,,,,164.0
June 2025,Paschim Bardhaman,54.0,,,,66.0,,,,,,,,38.0,116.54,,12.0,,,,,,,,,,,,,,,,170.0
June 2025,Paschim Medinipur,64.0,,,,30.0,,,,,,,,37.0,44.46,,1.0,,,,,,,,,,,,,,,,132.0
June 2025,Purba Bardhaman,90.0,,,,64.0,,,,,,,,41.0,157.99,,9.0,,,,,,,,,,,,,,,,204.0
June 2025,Purba Medinipur,65.0,,,,18.0,,,,,,,,21.0,49.59,,6.0,,,,,,,,,,,,,,,,110.0
June 2025,Purulia,11.0,,,,24.0,,,,,,,,12.0,9.91,,2.0,,,,,,,,,,,,,,,,49.0
June 2025,Uttar Dinajpur,46.0,,,,10.0,,,,,,,,7.0,14.8,,1.0,,,,,,,,,,,,,,,,64.0
March 2019,Alipurduar,,,6.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,21.0,,,6.0,,,,,
March 2019,Bankura,,,10.0,,,,2.0,,,,,2.0,,,,,,,,0.0,,,,3.0,,,14.0,,,,,
March 2019,Birbhum,,,9.0,,,,0.0,,,,,8.0,,,,,,,,5.0,,,,4.0,,,22.0,,,,,
March 2019,Cooch Behar,,,15.0,,,,0.0,,,,,12.0,,,,,,,,0.0,,,,22.0,,,27.0,,,,,
March 2019,Dakshin Dinajpur,,,16.0,,,,13.0,,,,,1.0,,,,,,,,0.0,,,,5.0,,,30.0,,,,,
March 2019,Darjeeling,,,7.0,,,,1.0,,,,,5.0,,,,,,,,1.0,,,,6.0,,,14.0,,,,,
March 2019,Hooghly,,,75.0,,,,15.0,,,,,17.0,,,,,,,,24.0,,,,7.0,,,131.0,,,,,
March 2019,Howrah,,,45.0,,,,10.0,,,,,14.0,,,,,,,,20.0,,,,8.0,,,89.0,,,,,
March 2019,Jalpaiguri,,,8.0,,,,11.0,,,,,4.0,,,,,,,,2.0,,,,9.0,,,25.0,,,,,
March 2019,Jhargram,,,0.0,,,,5.0,,,,,0.0,,,,,,,,0.0,,,,10.0,,,5.0,,,,,
March 2019,Kalimpong,,,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,23.0,,,0.0,,,,,
March 2019,Kolkata,,,25.0,,,,4.0,,,,,1.0,,,,,,,,2.0,,,,11.0,,,32.0,,,,,
March 2019,Malda,,,44.0,,,,14.0,,,,,5.0,,,,,,,,2.0,,,,12.0,,,65.0,,,,,
March 2019,Murshidabad,,,128.0,,,,82.0,,,,,2.0,,,,,,,,18.0,,,,13.0,,,230.0,,,,,
March 2019,Nadia,,,54.0,,,,19.0,,,,,10.0,,,,,,,,0.0,,,,14.0,,,83.0,,,,,
March 2019,Paschim Bardhaman,,,16.0,,,,11.0,,,,,10.0,,,,,,,,3.0,,,,15.0,,,40.0,,,,,
March 2019,Paschim Medinipur,,,24.0,,,,6.0,,,,,9.0,,,,,,,,1.0,,,,16.0,,,40.0,,,,,
March 2019,Purba Bardhaman,,,21.0,,,,11.0,,,,,17.0,,,,,,,,6.0,,,,17.0,,,55.0,,,,,
March 2019,Purba Medinipur,,,83.0,,,,12.0,,,,,4.0,,,,,,,,0.0,,,,18.0,,,99.0,,,,,
March 2019,Purulia,,,4.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,19.0,,,4.0,,,,,
March 2019,Uttar Dinajpur,,,22.0,,,,9.0,,,,,2.0,,,,,,,,0.0,,,,20.0,,,33.0,,,,,
March 2020,Alipurduar,,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,
March 2020,Bankura,,11.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,14.0,,,,
March 2020,Birbhum,,9.0,,,,5.0,,,,,16.0,,,,,,,,0.0,,,,,,,,,30.0,,,,
March 2020,Cooch Behar,,4.0,,,,2.0,,,,,5.0,,,,,,,,2.0,,,,,,,,,13.0,,,,
March 2020,Dakshin Dinajpur,,58.0,,,,17.0,,,,,6.0,,,,,,,,0.0,,,,,,,,,81.0,,,,
March 2020,Darjeeling,,10.0,,,,1.0,,,,,6.0,,,,,,,,1.0,,,,,,,,,18.0,,,,
March 2020,Hooghly,,116.0,,,,14.0,,,,,59.0,,,,,,,,1.0,,,,,,,,,190.0,,,,
March 2020,Howrah,,59.0,,,,7.0,,,,,69.0,,,,,,,,2.0,,,,,,,,,137.0,,,,
March 2020,Jalpaiguri,,9.0,,,,6.0,,,,,8.0,,,,,,,,2.0,,,,,,,,,25.0,,,,
March 2020,Jhargram,,4.0,,,,3.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,7.0,,,,
March 2020,Kalimpong,,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,
March 2020,Kolkata,,158.0,,,,81.0,,,,,51.0,,,,,,,,7.0,,,,,,,,,297.0,,,,
March 2020,Malda,,55.0,,,,31.0,,,,,3.0,,,,,,,,0.0,,,,,,,,,89.0,,,,
March 2020,Murshidabad,,145.0,,,,71.0,,,,,9.0,,,,,,,,18.0,,,,,,,,,243.0,,,,
March 2020,Nadia,,46.0,,,,9.0,,,,,8.0,,,,,,,,1.0,,,,,,,,,64.0,,,,
March 2020,Paschim Bardhaman,,70.0,,,,11.0,,,,,38.0,,,,,,,,4.0,,,,,,,,,123.0,,,,
March 2020,Paschim Medinipur,,39.0,,,,12.0,,,,,0.0,,,,,,,,2.0,,,,,,,,,53.0,,,,
March 2020,Purba Bardhaman,,63.0,,,,10.0,,,,,16.0,,,,,,,,3.0,,,,,,,,,92.0,,,,
March 2020,Purba Medinipur,,99.0,,,,9.0,,,,,4.0,,,,,,,,1.0,,,,,,,,,113.0,,,,
March 2020,Purulia,,9.0,,,,0.0,,,,,0.0,,,,,,,,4.0,,,,,,,,,13.0,,,,
March 2020,Uttar Dinajpur,,40.0,,,,6.0,,,,,10.0,,,,,,,,0.0,,,,,,,,,56.0,,,,
March 2021,Alipurduar,,0.0,,,,0.0,,,,,0.0,,,,,,,,2.0,,,,,,,2.0,,,,,,
March 2021,Bankura,,19.0,,,,5.0,,,,,3.0,,,,,,,,0.0,,,,,,,27.0,,,,,,
March 2021,Birbhum,,25.0,,,,8.0,,,,,4.0,,,,,,,,0.0,,,,,,,37.0,,,,,,
March 2021,Cooch Behar,,15.0,,,,1.0,,,,,3.0,,,,,,,,1.0,,,,,,,20.0,,,,,,
March 2021,Dakshin Dinajpur,,44.0,,,,5.0,,,,,2.0,,,,,,,,0.0,,,,,,,51.0,,,,,,
March 2021,Darjeeling,,26.0,,,,5.0,,,,,10.0,,,,,,,,2.0,,,,,,,43.0,,,,,,
March 2021,Hooghly,,85.0,,,,21.0,,,,,8.0,,,,,,,,19.0,,,,,,,133.0,,,,,,
March 2021,Howrah,,116.0,,,,51.0,,,,,13.0,,,,,,,,2.0,,,,,,,182.0,,,,,,
March 2021,Jalpaiguri,,15.0,,,,1.0,,,,,0.0,,,,,,,,1.0,,,,,,,17.0,,,,,,
March 2021,Jhargram,,3.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,3.0,,,,,,
March 2021,Kalimpong,,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,
March 2021,Kolkata,,183.0,,,,9.0,,,,,1.0,,,,,,,,2.0,,,,,,,195.0,,,,,,
March 2021,Malda,,79.0,,,,14.0,,,,,0.0,,,,,,,,18.0,,,,,,,111.0,,,,,,
March 2021,Murshidabad,,110.0,,,,71.0,,,,,11.0,,,,,,,,6.0,,,,,,,198.0,,,,,,
March 2021,Nadia,,64.0,,,,9.0,,,,,0.0,,,,,,,,2.0,,,,,,,75.0,,,,,,
March 2021,Paschim Bardhaman,,43.0,,,,24.0,,,,,7.0,,,,,,,,13.0,,,,,,,87.0,,,,,,
March 2021,Paschim Medinipur,,38.0,,,,9.0,,,,,0.0,,,,,,,,1.0,,,,,,,48.0,,,,,,
March 2021,Purba Bardhaman,,60.0,,,,10.0,,,,,4.0,,,,,,,,25.0,,,,,,,99.0,,,,,,
March 2021,Purba Medinipur,,45.0,,,,8.0,,,,,5.0,,,,,,,,0.0,,,,,,,58.0,,,,,,
March 2021,Purulia,,16.0,,,,3.0,,,,,0.0,,,,,,,,2.0,,,,,,,21.0,,,,,,
March 2021,Uttar Dinajpur,,33.0,,,,1.0,,,,,0.0,,,,,,,,11.0,,,,,,,45.0,,,,,,
March 2022,Alipurduar,,0.0,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,
March 2022,Bankura,,21.0,,,,10.0,,,2.0,,,,,,,,,,0.0,,,,,,,33.0,,,,,,
March 2022,Birbhum,,32.0,,,,21.0,,,10.0,,,,,,,,,,9.0,,,,,,,72.0,,,,,,
March 2022,Cooch Behar,,12.0,,,,9.0,,,7.0,,,,,,,,,,1.0,,,,,,,29.0,,,,,,
March 2022,Dakshin Dinajpur,,46.0,,,,6.0,,,2.0,,,,,,,,,,0.0,,,,,,,54.0,,,,,,
March 2022,Darjeeling,,14.0,,,,15.0,,,2.0,,,,,,,,,,1.0,,,,,,,32.0,,,,,,
March 2022,Hooghly,,124.0,,,,57.0,,,61.0,,,,,,,,,,8.0,,,,,,,250.0,,,,,,
March 2022,Howrah,,118.0,,,,74.0,,,19.0,,,,,,,,,,12.0,,,,,,,223.0,,,,,,
March 2022,Jalpaiguri,,20.0,,,,3.0,,,0.0,,,,,,,,,,0.0,,,,,,,23.0,,,,,,
March 2022,Jhargram,,1.0,,,,2.0,,,0.0,,,,,,,,,,0.0,,,,,,,3.0,,,,,,
March 2022,Kalimpong,,0.0,,,,0.0,,,1.0,,,,,,,,,,0.0,,,,,,,1.0,,,,,,
March 2022,Kolkata,,25.0,,,,378.0,,,1.0,,,,,,,,,,4.0,,,,,,,408.0,,,,,,
March 2022,Malda,,40.0,,,,18.0,,,1.0,,,,,,,,,,0.0,,,,,,,59.0,,,,,,
March 2022,Murshidabad,,71.0,,,,15.0,,,3.0,,,,,,,,,,1.0,,,,,,,90.0,,,,,,
March 2022,Nadia,,44.0,,,,5.0,,,3.0,,,,,,,,,,0.0,,,,,,,52.0,,,,,,
March 2022,Paschim Bardhaman,,59.0,,,,40.0,,,7.0,,,,,,,,,,10.0,,,,,,,116.0,,,,,,
March 2022,Paschim Medinipur,,80.0,,,,20.0,,,2.0,,,,,,,,,,1.0,,,,,,,76.0,,,,,,
March 2022,Purba Bardhaman,,75.0,,,,33.0,,,16.0,,,,,,,,,,9.0,,,,,,,132.0,,,,,,
March 2022,Purba Medinipur,,34.0,,,,30.0,,,3.0,,,,,,,,,,1.0,,,,,,,68.0,,,,,,
March 2022,Purulia,,9.0,,,,10.0,,,3.0,,,,,,,,,,2.0,,,,,,,24.0,,,,,,
March 2022,Uttar Dinajpur,,38.0,,,,3.0,,,0.0,,,,,,,,,,0.0,,,,,,,41.0,,,,,,
March 2024,Alipurduar,,,,0.0,,,,4.0,,0.0,,,,40.25,,,,,,,0.0,,,,,,,,,,,4.0
March 2024,Bankura,,,,21.0,,,,6.0,,2.0,,,,11.92,,,,,,,0.0,,,,,,,,,,,29.0
March 2024,Birbhum,,,,62.0,,,,21.0,,11.0,,,,28.85,,,,,,,2.0,,,,,,,,,,,96.0
March 2024,Cooch Behar,,,,16.0,,,,9.0,,3.0,,,,3.8,,,,,,,4.0,,,,,,,,,,,32.0
March 2024,Dakshin Dinajpur,,,,23.0,,,,15.0,,21.0,,,,6.02,,,,,,,1.0,,,,,,,,,,,60.0
March 2024,Darjeeling,,,,20.0,,,,14.0,,2.0,,,,17.57,,,,,,,11.0,,,,,,,,,,,47.0
March 2024,Hooghly,,,,130.0,,,,77.0,,26.0,,,,95.19,,,,,,,17.0,,,,,,,,,,,250.0
March 2024,Howrah,,,,118.0,,,,90.0,,34.0,,,,178.77,,,,,,,23.0,,,,,,,,,,,265.0
March 2024,Jalpaiguri,,,,16.0,,,,17.0,,2.0,,,,16.87,,,,,,,5.0,,,,,,,,,,,40.0
March 2024,Jhargram,,,,9.0,,,,0.0,,1.0,,,,1.26,,,,,,,0.0,,,,,,,,,,,10.0
March 2024,Kalimpong,,,,1.0,,,,0.0,,0.0,,,,0.02,,,,,,,0.0,,,,,,,,,,,1.0
March 2024,Kolkata,,,,223.0,,,,119.0,,24.0,,,,233.61,,,,,,,25.0,,,,,,,,,,,391.0
March 2024,Malda,,,,40.0,,,,6.0,,0.0,,,,48.01,,,,,,,0.0,,,,,,,,,,,46.0
March 2024,Murshidabad,,,,80.0,,,,22.0,,3.0,,,,30.42,,,,,,,0.0,,,,,,,,,,,105.0
March 2024,Nadia,,,,55.0,,,,51.0,,5.0,,,,58.05,,,,,,,15.0,,,,,,,,,,,126.0
March 2024,Paschim Bardhaman,,,,52.0,,,,29.0,,10.0,,,,70.28,,,,,,,19.0,,,,,,,,,,,110.0
March 2024,Paschim Medinipur,,,,73.0,,,,27.0,,16.0,,,,58.72,,,,,,,3.0,,,,,,,,,,,119.0
March 2024,Purba Bardhaman,,,,169.0,,,,29.0,,17.0,,,,59.64,,,,,,,17.0,,,,,,,,,,,232.0
March 2024,Purba Medinipur,,,,50.0,,,,32.0,,2.0,,,,25.84,,,,,,,2.0,,,,,,,,,,,86.0
March 2024,Purulia,,,,9.0,,,,3.0,,0.0,,,,6.82,,,,,,,0.0,,,,,,,,,,,12.0
March 2024,Uttar Dinajpur,,,,39.0,,,,11.0,,4.0,,,,12.05,,,,,,,0.0,,,,,,,,,,,54.0
March 2025,Alipurduar,,,,,,,,,,,,,,41.53,,,3.0,5.0,,,2.0,,4.0,,,,,,,,,14.0
March 2025,Bankura,,,,,,,,,,,,,,27.83,,,21.0,8.0,,,8.0,,10.0,,,,,,,,,47.0
March 2025,Birbhum,,,,,,,,,,,,,,33.92,,,62.0,34.0,,,6.0,,49.0,,,,,,,,,151.0
March 2025,Cooch Behar,,,,,,,,,,,,,,29.94,,,43.0,7.0,,,9.0,,43.0,,,,,,,,,102.0
March 2025,Dakshin Dinajpur,,,,,,,,,,,,,,7.55,,,33.0,16.0,,,4.0,,18.0,,,,,,,,,71.0
March 2025,Darjeeling,,,,,,,,,,,,,,86.48,,,19.0,10.0,,,25.0,,27.0,,,,,,,,,81.0
March 2025,Hooghly,,,,,,,,,,,,,,83.48,,,157.0,28.0,,,34.0,,69.0,,,,,,,,,288.0
March 2025,Howrah,,,,,,,,,,,,,,168.48,,,128.0,39.0,,,49.0,,99.0,,,,,,,,,315.0
March 2025,Jalpaiguri,,,,,,,,,,,,,,27.11,,,19.0,9.0,,,14.0,,30.0,,,,,,,,,72.0
March 2025,Jhargram,,,,,,,,,,,,,,1.78,,,8.0,1.0,,,1.0,,2.0,,,,,,,,,12.0
March 2025,Kalimpong,,,,,,,,,,,,,,1.0,,,2.0,0.0,,,2.0,,0.0,,,,,,,,,4.0
March 2025,Kolkata,,,,,,,,,,,,,,194.54,,,114.0,26.0,,,68.0,,126.0,,,,,,,,,334.0
March 2025,Malda,,,,,,,,,,,,,,37.98,,,47.0,13.0,,,16.0,,12.0,,,,,,,,,88.0
March 2025,Murshidabad,,,,,,,,,,,,,,32.42,,,48.0,18.0,,,8.0,,17.0,,,,,,,,,91.0
March 2025,Nadia,,,,,,,,,,,,,,35.23,,,77.0,9.0,,,31.0,,56.0,,,,,,,,,173.0
March 2025,Paschim Bardhaman,,,,,,,,,,,,,,215.95,,,60.0,15.0,,,13.0,,47.0,,,,,,,,,135.0
March 2025,Paschim Medinipur,,,,,,,,,,,,,,47.19,,,72.0,11.0,,,4.0,,43.0,,,,,,,,,130.0
March 2025,Purba Bardhaman,,,,,,,,,,,,,,116.7,,,149.0,29.0,,,15.0,,76.0,,,,,,,,,269.0
March 2025,Purba Medinipur,,,,,,,,,,,,,,153.15,,,80.0,18.0,,,25.0,,23.0,,,,,,,,,146.0
March 2025,Purulia,,,,,,,,,,,,,,29.66,,,7.0,0.0,,,13.0,,5.0,,,,,,,,,25.0
March 2025,Uttar Dinajpur,,,,,,,,,,,,,,12.83,,,44.0,4.0,,,0.0,,9.0,,,,,,,,,57.0
September 2019,Alipurduar,,24.0,,,,3.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,27.0,,,
September 2019,Bankura,,16.0,,,,2.0,,,,,3.0,,,,,,,,5.0,,,,,,,,,,26.0,,,
September 2019,Birbhum,,1.0,,,,4.0,,,,,17.0,,,,,,,,5.0,,,,,,,,,,27.0,,,
September 2019,Cooch Behar,,14.0,,,,5.0,,,,,23.0,,,,,,,,8.0,,,,,,,,,,50.0,,,
September 2019,Dakshin Dinajpur,,57.0,,,,16.0,,,,,4.0,,,,,,,,2.0,,,,,,,,,,79.0,,,
September 2019,Darjeeling,,15.0,,,,3.0,,,,,7.0,,,,,,,,4.0,,,,,,,,,,29.0,,,
September 2019,Hooghly,,86.0,,,,22.0,,,,,59.0,,,,,,,,1.0,,,,,,,,,,168.0,,,
September 2019,Howrah,,76.0,,,,19.0,,,,,69.0,,,,,,,,21.0,,,,,,,,,,185.0,,,
September 2019,Jalpaiguri,,17.0,,,,5.0,,,,,5.0,,,,,,,,4.0,,,,,,,,,,31.0,,,
September 2019,Jhargram,,3.0,,,,0.0,,,,,6.0,,,,,,,,0.0,,,,,,,,,,9.0,,,
September 2019,Kalimpong,,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,
September 2019,Kolkata,,178.0,,,,33.0,,,,,46.0,,,,,,,,18.0,,,,,,,,,,275.0,,,
September 2019,Malda,,47.0,,,,22.0,,,,,17.0,,,,,,,,2.0,,,,,,,,,,88.0,,,
September 2019,Murshidabad,,144.0,,,,76.0,,,,,8.0,,,,,,,,34.0,,,,,,,,,,262.0,,,
September 2019,Nadia,,57.0,,,,8.0,,,,,4.0,,,,,,,,11.0,,,,,,,,,,80.0,,,
September 2019,Paschim Bardhaman,,61.0,,,,24.0,,,,,41.0,,,,,,,,7.0,,,,,,,,,,133.0,,,
September 2019,Paschim Medinipur,,31.0,,,,22.0,,,,,10.0,,,,,,,,3.0,,,,,,,,,,66.0,,,
September 2019,Purba Bardhaman,,54.0,,,,36.0,,,,,20.0,,,,,,,,7.0,,,,,,,,,,117.0,,,
September 2019,Purba Medinipur,,106.0,,,,14.0,,,,,15.0,,,,,,,,0.0,,,,,,,,,,135.0,,,
September 2019,Purulia,,9.0,,,,0.0,,,,,0.0,,,,,,,,2.0,,,,,,,,,,11.0,,,
September 2019,Uttar Dinajpur,,35.0,,,,3.0,,,,,13.0,,,,,,,,2.0,,,,,,,,,,53.0,,,
September 2020,Alipurduar,,0.0,,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,,
September 2020,Bankura,,14.0,,,,7.0,,,,,12.0,,,,,,,,1.0,,,,,,,34.0,,,,,,
September 2020,Birbhum,,4.0,,,,6.0,,,,,1.0,,,,,,,,2.0,,,,,,,13.0,,,,,,
September 2020,Cooch Behar,,4.0,,,,10.0,,,,,4.0,,,,,,,,1.0,,,,,,,19.0,,,,,,
September 2020,Dakshin Dinajpur,,70.0,,,,1.0,,,,,2.0,,,,,,,,0.0,,,,,,,73.0,,,,,,
September 2020,Darjeeling,,15.0,,,,19.0,,,,,7.0,,,,,,,,1.0,,,,,,,42.0,,,,,,
September 2020,Hooghly,,125.0,,,,19.0,,,,,23.0,,,,,,,,0.0,,,,,,,167.0,,,,,,
September 2020,Howrah,,102.0,,,,56.0,,,,,13.0,,,,,,,,2.0,,,,,,,173.0,,,,,,
September 2020,Jalpaiguri,,16.0,,,,9.0,,,,,1.0,,,,,,,,0.0,,,,,,,26.0,,,,,,
September 2020,Jhargram,,3.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,3.0,,,,,,
September 2020,Kalimpong,,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,
September 2020,Kolkata,,182.0,,,,62.0,,,,,3.0,,,,,,,,2.0,,,,,,,249.0,,,,,,
September 2020,Malda,,71.0,,,,13.0,,,,,1.0,,,,,,,,2.0,,,,,,,87.0,,,,,,
September 2020,Murshidabad,,108.0,,,,78.0,,,,,13.0,,,,,,,,30.0,,,,,,,229.0,,,,,,
September 2020,Nadia,,41.0,,,,29.0,,,,,5.0,,,,,,,,0.0,,,,,,,75.0,,,,,,
September 2020,Paschim Bardhaman,,60.0,,,,38.0,,,,,17.0,,,,,,,,3.0,,,,,,,118.0,,,,,,
September 2020,Paschim Medinipur,,46.0,,,,7.0,,,,,1.0,,,,,,,,2.0,,,,,,,56.0,,,,,,
September 2020,Purba Bardhaman,,65.0,,,,6.0,,,,,6.0,,,,,,,,4.0,,,,,,,81.0,,,,,,
September 2020,Purba Medinipur,,108.0,,,,15.0,,,,,1.0,,,,,,,,2.0,,,,,,,126.0,,,,,,
September 2020,Purulia,,11.0,,,,3.0,,,,,0.0,,,,,,,,4.0,,,,,,,18.0,,,,,,
September 2020,Uttar Dinajpur,,32.0,,,,1.0,,,,,0.0,,,,,,,,0.0,,,,,,,33.0,,,,,,
