period,district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
September 2022,Murshidabad,10194.55,8128.64,6246.25,60.81,2390.38,16765.26
September 2022,Nadia,8085.0,6542.09,6103.12,55.69,1871.57,14516.78
September 2022,Paschim Bardhaman,3339.92,325.2,5951.01,49.26,503.51,6779.72
September 2022,Purba Bardhaman,6826.12,8627.61,4655.94,45.7,1654.18,14937.73
September 2022,Purba Medinipur,6737.4,6073.74,5273.22,50.25,2059.59,13406.56
September 2022,Purulia,3822.25,3684.63,2935.87,48.52,1257.59,7878.1
September 2022,Uttar Dinajpur,2424.13,3491.53,1160.42,41.68,1164.45,5816.39
September 2025,Alipurduar,1638.73,2017.0,1322.0,43.56,423.0,3762.0
September 2025,Bankura,2791.05,3405.0,2463.0,43.32,575.0,6443.0
September 2025,Birbhum,4183.41,3823.0,4437.0,41.9,1725.0,9985.0
September 2025,Cooch Behar,3249.26,5143.0,2630.0,37.78,828.0,8601.0
September 2025,Dakshin Dinajpur,1962.46,1736.0,1394.0,54.8,451.0,3581.0
September 2025,Darjeeling,7496.01,2501.0,7602.0,68.57,829.0,10932.0
September 2025,Hooghly,7739.42,8555.0,7212.0,44.18,1751.0,17518.0
September 2025,Howrah,9748.52,2514.0,11336.0,59.18,2624.0,16474.0
September 2025,Jalpaiguri,3926.47,3388.0,4203.0,46.33,884.0,8475.0
September 2025,Jhargram,764.42,1059.0,631.0,39.59,241.0,1931.0
September 2025,Kalimpong,256.41,484.0,329.0,27.6,116.0,929.0
September 2025,Kolkata,93649.9,13684.0,96729.0,78.57,8781.0,119194.0
September 2025,Malda,4560.14,3464.0,4096.0,52.51,1124.0,8684.0
September 2025,Murshidabad,6355.59,5431.0,6635.0,45.26,1977.0,14043.0
September 2025,Nadia,4888.73,5508.0,4730.0,40.77,1752.0,11990.0
September 2025,Paschim Bardhaman,8216.83,1848.0,10021.0,62.61,1254.0,13123.0
September 2025,Purba Bardhaman,7720.72,9330.0,4801.0,49.93,1333.0,15464.0
September 2025,Purba Medinipur,7320.34,8482.0,7177.0,42.07,1742.0,17401.0
September 2025,Purulia,2199.67,1321.0,2145.0,56.85,403.0,3869.0
September 2025,Uttar Dinajpur,3539.0,3033.0,2572.0,54.2,925.0,6530.0
