period,district,31_03_2022,31_03_2023,31_03_2024,31_03_2025,amount,disbursement_during_fy_during_fy_2022_23,during_fy_2021_22,during_fy_2022_23,during_fy_2023_24,during_fy_2024_25,kcc_disbursement_during_01_04_2019_to_30_06_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_31_03_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_31_12_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_30_09_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_31_03_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_31_12_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_30_06_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_30_09_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_31_03_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_31_12_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_30_06_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_30_09_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_31_03_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_31_12_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_30_06_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_31_03_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_31_12_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_30_06_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_31_03_2025_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_31_12_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2025_to_30_06_2025_fresh_renewal_no,kcc_disbursement_during_01_04_2025_to_30_09_2025_fresh_renewal_no,kcc_disbursement_during_fy_2018_19_no,kcc_disbursement_during_fy_2020_21,kcc_disbursement_during_fy_2021_22,kcc_outstanding_31_03_2021,kcc_outstanding_31_03_2022,kcc_outstanding_as_on_30_06_2020_no,kcc_outstanding_as_on_30_06_2021_no,kcc_outstanding_as_on_30_06_2022_no,kcc_outstanding_as_on_30_06_2023_no,kcc_outstanding_as_on_30_06_2024_no,kcc_outstanding_as_on_30_06_2025_no,kcc_outstanding_as_on_30_09_2021_no,kcc_outstanding_as_on_30_09_2022_no,kcc_outstanding_as_on_30_09_2025_no,kcc_outstanding_as_on_31_03_2021_no,kcc_outstanding_as_on_31_03_2022_no,kcc_outstanding_as_on_31_03_2023_no,kcc_outstanding_as_on_31_03_2024_no,kcc_outstanding_as_on_31_03_2025_no,kcc_outstanding_as_on_31_12_2020_no,kcc_outstanding_as_on_31_12_2021_no,kcc_outstanding_as_on_31_12_2022_no,kcc_outstanding_as_on_31_12_2023_no,kcc_outstanding_as_on_31_12_2024_no,of_achievement_no,outstanding_as_on_31_03_2023,target_no
December 2024,Kalimpong,,,,,188.65,,,,,,,,,,,,,,,,,,,,,,,,,22294.0,,,,,,,,,,,,,,,,,,,,,,,,,,24828.0,222.94,,10000.0
December 2024,Kolkata,,,,,162.14,,,,,,,,,,,,,,,,,,,,,,,,,1282.0,,,,,,,,,,,,,,,,,,,,,,,,,,2730.0,,,0.0
December 2024,Malda,,,,,1034.1,,,,,,,,,,,,,,,,,,,,,,,,,117751.0,,,,,,,,,,,,,,,,,,,,,,,,,,137149.0,107.05,,110000.0
December 2024,Murshidabad,,,,,1348.54,,,,,,,,,,,,,,,,,,,,,,,,,124530.0,,,,,,,,,,,,,,,,,,,,,,,,,,228321.0,131.08,,95000.0
December 2024,Nadia,,,,,1901.05,,,,,,,,,,,,,,,,,,,,,,,,,133902.0,,,,,,,,,,,,,,,,,,,,,,,,,,296541.0,121.73,,110000.0
December 2024,Paschim Bardhaman,,,,,632.86,,,,,,,,,,,,,,,,,,,,,,,,,73979.0,,,,,,,,,,,,,,,,,,,,,,,,,,168016.0,295.92,,25000.0
December 2024,Paschim Medinipur,,,,,1759.55,,,,,,,,,,,,,,,,,,,,,,,,,221169.0,,,,,,,,,,,,,,,,,,,,,,,,,,361186.0,90.27,,245000.0
December 2024,Purba Bardhaman,,,,,1871.36,,,,,,,,,,,,,,,,,,,,,,,,,126449.0,,,,,,,,,,,,,,,,,,,,,,,,,,359982.0,45.16,,280000.0
December 2024,Purba Medinipur,,,,,2445.49,,,,,,,,,,,,,,,,,,,,,,,,,506519.0,,,,,,,,,,,,,,,,,,,,,,,,,,653234.0,67.54,,750000.0
December 2024,Purulia,,,,,535.23,,,,,,,,,,,,,,,,,,,,,,,,,48350.0,,,,,,,,,,,,,,,,,,,,,,,,,,131795.0,138.14,,35000.0
December 2024,Uttar Dinajpur,,,,,717.7,,,,,,,,,,,,,,,,,,,,,,,,,42933.0,,,,,,,,,,,,,,,,,,,,,,,,,,148543.0,78.06,,55000.0
June 2019,Alipurduar,,,,,19.69,,,,,,3036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,,50000.0
June 2019,Bankura,,,,,62.16,,,,,,25262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04,,140000.0
June 2019,Birbhum,,,,,52.8,,,,,,8072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,,165000.0
June 2019,Cooch Behar,,,,,44.97,,,,,,5740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74,,100000.0
June 2019,Dakshin Dinajpur,,,,,55.76,,,,,,8539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76,,110000.0
June 2019,Darjeeling,,,,,3.13,,,,,,1325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,,70000.0
June 2019,Hooghly,,,,,99.2,,,,,,19091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79,,245000.0
June 2019,Howrah,,,,,72.94,,,,,,13852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.79,,70000.0
June 2019,Jalpaiguri,,,,,30.68,,,,,,5647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.41,,60000.0
June 2019,Jhargram,,,,,83.27,,,,,,34384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.19,,95000.0
June 2019,Kalimpong,,,,,0.19,,,,,,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,20000.0
June 2019,Kolkata,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
June 2019,Malda,,,,,101.66,,,,,,30005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,,210000.0
June 2019,Murshidabad,,,,,62.83,,,,,,14677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.87,,250000.0
June 2019,Nadia,,,,,57.58,,,,,,11884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,,280000.0
June 2019,Paschim Bardhaman,,,,,19.92,,,,,,13855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.86,,100000.0
June 2019,Paschim Medinipur,,,,,324.0,,,,,,139120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88,,310000.0
June 2019,Purba Bardhaman,,,,,169.04,,,,,,51331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.01,,270000.0
June 2019,Purba Medinipur,,,,,486.57,,,,,,191192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.93,,290000.0
June 2019,Purulia,,,,,27.91,,,,,,8321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55,,150000.0
June 2019,Uttar Dinajpur,,,,,34.91,,,,,,5007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,,110000.0
June 2021,Alipurduar,,,,,259.79,,,,,,,,,,,,3554.0,,,,,,,,,,,,,,,,,,,,,,43865.0,,,,,,,,,,,,,,,,,,9.23,,38500.0
June 2021,Bankura,,,,,788.52,,,,,,,,,,,,4723.0,,,,,,,,,,,,,,,,,,,,,,175435.0,,,,,,,,,,,,,,,,,,2.39,,198000.0
June 2021,Birbhum,,,,,757.9,,,,,,,,,,,,103127.0,,,,,,,,,,,,,,,,,,,,,,192050.0,,,,,,,,,,,,,,,,,,42.97,,240000.0
June 2021,Cooch Behar,,,,,784.96,,,,,,,,,,,,13820.0,,,,,,,,,,,,,,,,,,,,,,177819.0,,,,,,,,,,,,,,,,,,7.27,,190000.0
June 2021,Dakshin Dinajpur,,,,,986.47,,,,,,,,,,,,5265.0,,,,,,,,,,,,,,,,,,,,,,197599.0,,,,,,,,,,,,,,,,,,4.58,,115000.0
June 2021,Darjeeling,,,,,101.18,,,,,,,,,,,,953.0,,,,,,,,,,,,,,,,,,,,,,18646.0,,,,,,,,,,,,,,,,,,5.15,,18500.0
June 2021,Hooghly,,,,,1012.5,,,,,,,,,,,,35873.0,,,,,,,,,,,,,,,,,,,,,,193937.0,,,,,,,,,,,,,,,,,,9.08,,395000.0
June 2021,Howrah,,,,,360.29,,,,,,,,,,,,17553.0,,,,,,,,,,,,,,,,,,,,,,73773.0,,,,,,,,,,,,,,,,,,18.48,,95000.0
June 2021,Jalpaiguri,,,,,464.67,,,,,,,,,,,,7033.0,,,,,,,,,,,,,,,,,,,,,,90326.0,,,,,,,,,,,,,,,,,,17.58,,40000.0
June 2021,Jhargram,,,,,248.72,,,,,,,,,,,,13437.0,,,,,,,,,,,,,,,,,,,,,,54947.0,,,,,,,,,,,,,,,,,,24.43,,55000.0
June 2021,Kalimpong,,,,,32.81,,,,,,,,,,,,617.0,,,,,,,,,,,,,,,,,,,,,,8691.0,,,,,,,,,,,,,,,,,,6.17,,10000.0
June 2021,Kolkata,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
June 2021,Malda,,,,,369.9,,,,,,,,,,,,24616.0,,,,,,,,,,,,,,,,,,,,,,88959.0,,,,,,,,,,,,,,,,,,22.38,,110000.0
June 2021,Murshidabad,,,,,206.52,,,,,,,,,,,,32786.0,,,,,,,,,,,,,,,,,,,,,,67333.0,,,,,,,,,,,,,,,,,,34.51,,95000.0
June 2021,Nadia,,,,,815.56,,,,,,,,,,,,21733.0,,,,,,,,,,,,,,,,,,,,,,173351.0,,,,,,,,,,,,,,,,,,19.76,,110000.0
June 2021,Paschim Bardhaman,,,,,94.48,,,,,,,,,,,,3809.0,,,,,,,,,,,,,,,,,,,,,,16811.0,,,,,,,,,,,,,,,,,,15.24,,25000.0
June 2021,Paschim Medinipur,,,,,1812.04,,,,,,,,,,,,12678.0,,,,,,,,,,,,,,,,,,,,,,363211.0,,,,,,,,,,,,,,,,,,5.17,,245000.0
June 2021,Purba Bardhaman,,,,,1417.64,,,,,,,,,,,,60776.0,,,,,,,,,,,,,,,,,,,,,,351225.0,,,,,,,,,,,,,,,,,,21.71,,280000.0
June 2021,Purba Medinipur,,,,,1650.19,,,,,,,,,,,,271394.0,,,,,,,,,,,,,,,,,,,,,,427379.0,,,,,,,,,,,,,,,,,,36.19,,750000.0
June 2021,Purulia,,,,,234.37,,,,,,,,,,,,5012.0,,,,,,,,,,,,,,,,,,,,,,98372.0,,,,,,,,,,,,,,,,,,14.32,,35000.0
June 2021,Uttar Dinajpur,,,,,1159.09,,,,,,,,,,,,11007.0,,,,,,,,,,,,,,,,,,,,,,309069.0,,,,,,,,,,,,,,,,,,20.01,,55000.0
June 2022,Alipurduar,,,,,227.85,,,,,,,,,,,,,,,,4062.0,,,,,,,,,,,,,,,,,,,29625.0,,,,,,,,,,,,,,,,,10.55,,38500.0
June 2022,Bankura,,,,,814.01,,,,,,,,,,,,,,,,51640.0,,,,,,,,,,,,,,,,,,,163186.0,,,,,,,,,,,,,,,,,26.08,,198000.0
June 2022,Birbhum,,,,,825.6,,,,,,,,,,,,,,,,30564.0,,,,,,,,,,,,,,,,,,,179017.0,,,,,,,,,,,,,,,,,12.74,,240000.0
June 2022,Cooch Behar,,,,,1346.68,,,,,,,,,,,,,,,,11256.0,,,,,,,,,,,,,,,,,,,191539.0,,,,,,,,,,,,,,,,,5.92,,190000.0
June 2022,Dakshin Dinajpur,,,,,580.57,,,,,,,,,,,,,,,,19033.0,,,,,,,,,,,,,,,,,,,106027.0,,,,,,,,,,,,,,,,,16.55,,115000.0
June 2022,Darjeeling,,,,,132.87,,,,,,,,,,,,,,,,4438.0,,,,,,,,,,,,,,,,,,,25664.0,,,,,,,,,,,,,,,,,23.99,,18500.0
June 2022,Hooghly,,,,,1577.26,,,,,,,,,,,,,,,,36190.0,,,,,,,,,,,,,,,,,,,340217.0,,,,,,,,,,,,,,,,,9.16,,395000.0
June 2022,Howrah,,,,,364.64,,,,,,,,,,,,,,,,6852.0,,,,,,,,,,,,,,,,,,,79527.0,,,,,,,,,,,,,,,,,7.21,,95000.0
June 2022,Jalpaiguri,,,,,640.52,,,,,,,,,,,,,,,,11742.0,,,,,,,,,,,,,,,,,,,86298.0,,,,,,,,,,,,,,,,,29.36,,40000.0
June 2022,Jhargram,,,,,357.34,,,,,,,,,,,,,,,,1015.0,,,,,,,,,,,,,,,,,,,74772.0,,,,,,,,,,,,,,,,,1.85,,55000.0
June 2022,Kalimpong,,,,,97.7,,,,,,,,,,,,,,,,217.0,,,,,,,,,,,,,,,,,,,10922.0,,,,,,,,,,,,,,,,,2.17,,10000.0
June 2022,Kolkata,,,,,9.53,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,463.0,,,,,,,,,,,,,,,,,,,0.0
June 2022,Malda,,,,,870.61,,,,,,,,,,,,,,,,27618.0,,,,,,,,,,,,,,,,,,,225861.0,,,,,,,,,,,,,,,,,25.11,,110000.0
June 2022,Murshidabad,,,,,713.44,,,,,,,,,,,,,,,,48537.0,,,,,,,,,,,,,,,,,,,143102.0,,,,,,,,,,,,,,,,,51.09,,95000.0
June 2022,Nadia,,,,,1118.4,,,,,,,,,,,,,,,,21451.0,,,,,,,,,,,,,,,,,,,201722.0,,,,,,,,,,,,,,,,,19.5,,110000.0
June 2022,Paschim Bardhaman,,,,,85.59,,,,,,,,,,,,,,,,11097.0,,,,,,,,,,,,,,,,,,,12964.0,,,,,,,,,,,,,,,,,44.39,,25000.0
June 2022,Paschim Medinipur,,,,,1496.6,,,,,,,,,,,,,,,,170316.0,,,,,,,,,,,,,,,,,,,296737.0,,,,,,,,,,,,,,,,,69.52,,245000.0
June 2022,Purba Bardhaman,,,,,2549.24,,,,,,,,,,,,,,,,58177.0,,,,,,,,,,,,,,,,,,,530143.0,,,,,,,,,,,,,,,,,20.78,,280000.0
June 2022,Purba Medinipur,,,,,2111.55,,,,,,,,,,,,,,,,326844.0,,,,,,,,,,,,,,,,,,,594799.0,,,,,,,,,,,,,,,,,43.58,,750000.0
June 2022,Purulia,,,,,292.43,,,,,,,,,,,,,,,,15449.0,,,,,,,,,,,,,,,,,,,113542.0,,,,,,,,,,,,,,,,,44.14,,35000.0
June 2022,Uttar Dinajpur,,,,,1086.32,,,,,,,,,,,,,,,,12894.0,,,,,,,,,,,,,,,,,,,309877.0,,,,,,,,,,,,,,,,,23.44,,55000.0
June 2023,Alipurduar,,,,,180.85,,,,,,,,,,,,,,,,,,,,4398.0,,,,,,,,,,,,,,,,26625.0,,,,,,,,,,,,,,,,11.42,,38500.0
June 2023,Bankura,,,,,614.01,,,,,,,,,,,,,,,,,,,,42821.0,,,,,,,,,,,,,,,,163186.0,,,,,,,,,,,,,,,,21.63,,198000.0
June 2023,Birbhum,,,,,828.89,,,,,,,,,,,,,,,,,,,,35460.0,,,,,,,,,,,,,,,,249955.0,,,,,,,,,,,,,,,,14.78,,240000.0
June 2023,Cooch Behar,,,,,839.21,,,,,,,,,,,,,,,,,,,,11559.0,,,,,,,,,,,,,,,,162231.0,,,,,,,,,,,,,,,,6.08,,190000.0
June 2023,Dakshin Dinajpur,,,,,395.06,,,,,,,,,,,,,,,,,,,,33072.0,,,,,,,,,,,,,,,,108454.0,,,,,,,,,,,,,,,,28.76,,115000.0
June 2023,Darjeeling,,,,,133.82,,,,,,,,,,,,,,,,,,,,5392.0,,,,,,,,,,,,,,,,25968.0,,,,,,,,,,,,,,,,29.15,,18500.0
June 2023,Hooghly,,,,,1610.39,,,,,,,,,,,,,,,,,,,,29772.0,,,,,,,,,,,,,,,,340635.0,,,,,,,,,,,,,,,,7.54,,395000.0
June 2023,Howrah,,,,,341.26,,,,,,,,,,,,,,,,,,,,13359.0,,,,,,,,,,,,,,,,54856.0,,,,,,,,,,,,,,,,14.06,,95000.0
June 2023,Jalpaiguri,,,,,540.52,,,,,,,,,,,,,,,,,,,,11742.0,,,,,,,,,,,,,,,,86298.0,,,,,,,,,,,,,,,,29.36,,40000.0
June 2023,Jhargram,,,,,88.15,,,,,,,,,,,,,,,,,,,,9443.0,,,,,,,,,,,,,,,,22619.0,,,,,,,,,,,,,,,,17.17,,55000.0
June 2023,Kalimpong,,,,,64.39,,,,,,,,,,,,,,,,,,,,514.0,,,,,,,,,,,,,,,,10350.0,,,,,,,,,,,,,,,,5.14,,10000.0
June 2023,Kolkata,,,,,10.7,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,178.0,,,,,,,,,,,,,,,,,,0.0
June 2023,Malda,,,,,659.67,,,,,,,,,,,,,,,,,,,,27771.0,,,,,,,,,,,,,,,,143102.0,,,,,,,,,,,,,,,,25.25,,110000.0
June 2023,Murshidabad,,,,,713.44,,,,,,,,,,,,,,,,,,,,48537.0,,,,,,,,,,,,,,,,144897.0,,,,,,,,,,,,,,,,51.09,,95000.0
June 2023,Nadia,,,,,2485.0,,,,,,,,,,,,,,,,,,,,14521.0,,,,,,,,,,,,,,,,254849.0,,,,,,,,,,,,,,,,13.2,,110000.0
June 2023,Paschim Bardhaman,,,,,185.1,,,,,,,,,,,,,,,,,,,,3062.0,,,,,,,,,,,,,,,,15436.0,,,,,,,,,,,,,,,,12.25,,25000.0
June 2023,Paschim Medinipur,,,,,1820.21,,,,,,,,,,,,,,,,,,,,54830.0,,,,,,,,,,,,,,,,482555.0,,,,,,,,,,,,,,,,22.38,,245000.0
June 2023,Purba Bardhaman,,,,,2302.53,,,,,,,,,,,,,,,,,,,,26959.0,,,,,,,,,,,,,,,,306563.0,,,,,,,,,,,,,,,,9.63,,280000.0
June 2023,Purba Medinipur,,,,,1690.03,,,,,,,,,,,,,,,,,,,,290298.0,,,,,,,,,,,,,,,,582522.0,,,,,,,,,,,,,,,,38.71,,750000.0
June 2023,Purulia,,,,,321.42,,,,,,,,,,,,,,,,,,,,12982.0,,,,,,,,,,,,,,,,120286.0,,,,,,,,,,,,,,,,37.09,,35000.0
June 2023,Uttar Dinajpur,,,,,1022.32,,,,,,,,,,,,,,,,,,,,12894.0,,,,,,,,,,,,,,,,246008.0,,,,,,,,,,,,,,,,23.44,,55000.0
June 2024,Alipurduar,,94402.0,65151.0,,541.47,,,31573.0,26435.0,,,,,,,,,,,,,,,,,,,7290.0,,,,,,,24782.0,,47003.0,,,,,77213.0,,,,,,,,,,,,,,,18.94,,38500.0
June 2024,Bankura,,174432.0,198842.0,,846.87,,,169126.0,120035.0,,,,,,,,,,,,,,,,,,,17891.0,,,,,,,151205.0,,165474.0,,,,,198813.0,,,,,,,,,,,,,,,9.04,,198000.0
June 2024,Birbhum,,245080.0,244111.0,,928.8,,,89665.0,118294.0,,,,,,,,,,,,,,,,,,,24184.0,,,,,,,201149.0,,228706.0,,,,,253425.0,,,,,,,,,,,,,,,10.08,,240000.0
June 2024,Cooch Behar,,162231.0,170478.0,,1593.14,,,154180.0,80545.0,,,,,,,,,,,,,,,,,,,21045.0,,,,,,,158373.0,,200143.0,,,,,183911.0,,,,,,,,,,,,,,,11.08,,190000.0
June 2024,Dakshin Dinajpur,,107952.0,99754.0,,577.21,,,84311.0,51629.0,,,,,,,,,,,,,,,,,,,21444.0,,,,,,,77537.0,,110792.0,,,,,146034.0,,,,,,,,,,,,,,,18.65,,115000.0
June 2024,Darjeeling,,24510.0,22170.0,,265.13,,,11395.0,15592.0,,,,,,,,,,,,,,,,,,,4076.0,,,,,,,17604.0,,26325.0,,,,,32286.0,,,,,,,,,,,,,,,22.03,,18500.0
June 2024,Hooghly,,329980.0,316589.0,,1826.37,,,304544.0,271942.0,,,,,,,,,,,,,,,,,,,47218.0,,,,,,,266969.0,,321789.0,,,,,328892.0,,,,,,,,,,,,,,,11.95,,395000.0
June 2024,Howrah,,86541.0,68078.0,,303.32,,,39460.0,56083.0,,,,,,,,,,,,,,,,,,,12323.0,,,,,,,41642.0,,75783.0,,,,,73048.0,,,,,,,,,,,,,,,12.97,,95000.0
June 2024,Jalpaiguri,,96900.0,110218.0,,813.08,,,44124.0,51369.0,,,,,,,,,,,,,,,,,,,10252.0,,,,,,,25647.0,,80373.0,,,,,82394.0,,,,,,,,,,,,,,,25.63,,40000.0
June 2024,Jhargram,,72664.0,119389.0,,263.95,,,31725.0,67437.0,,,,,,,,,,,,,,,,,,,3670.0,,,,,,,38419.0,,80955.0,,,,,44443.0,,,,,,,,,,,,,,,6.67,,55000.0
June 2024,Kalimpong,,8610.0,13429.0,,175.17,,,3183.0,10020.0,,,,,,,,,,,,,,,,,,,17776.0,,,,,,,9041.0,,11031.0,,,,,65723.0,,,,,,,,,,,,,,,177.76,,10000.0
June 2024,Kolkata,,437.0,1587.0,,199.62,,,1015.0,1197.0,,,,,,,,,,,,,,,,,,,614.0,,,,,,,0.0,,0.0,,,,,2071.0,,,,,,,,,,,,,,,,,0.0
June 2024,Malda,,144897.0,136389.0,,662.84,,,62769.0,129634.0,,,,,,,,,,,,,,,,,,,19839.0,,,,,,,171364.0,,126930.0,,,,,142045.0,,,,,,,,,,,,,,,18.04,,110000.0
June 2024,Murshidabad,,162166.0,210027.0,,1479.98,,,62385.0,64846.0,,,,,,,,,,,,,,,,,,,23822.0,,,,,,,73973.0,,126729.0,,,,,308807.0,,,,,,,,,,,,,,,25.08,,95000.0
June 2024,Nadia,,214802.0,272055.0,,1339.36,,,87548.0,125385.0,,,,,,,,,,,,,,,,,,,28557.0,,,,,,,64240.0,,197820.0,,,,,225036.0,,,,,,,,,,,,,,,25.96,,110000.0
June 2024,Paschim Bardhaman,,14714.0,92696.0,,674.66,,,14136.0,66702.0,,,,,,,,,,,,,,,,,,,17037.0,,,,,,,14792.0,,14501.0,,,,,141871.0,,,,,,,,,,,,,,,68.15,,25000.0
June 2024,Paschim Medinipur,,380758.0,317981.0,,1581.56,,,291083.0,253359.0,,,,,,,,,,,,,,,,,,,84479.0,,,,,,,267316.0,,370792.0,,,,,359880.0,,,,,,,,,,,,,,,34.48,,245000.0
June 2024,Purba Bardhaman,,458845.0,264391.0,,1623.7,,,313123.0,139972.0,,,,,,,,,,,,,,,,,,,28063.0,,,,,,,289429.0,,557957.0,,,,,274941.0,,,,,,,,,,,,,,,10.02,,280000.0
June 2024,Purba Medinipur,,593003.0,430227.0,,2333.35,,,547833.0,421639.0,,,,,,,,,,,,,,,,,,,317824.0,,,,,,,560331.0,,557064.0,,,,,656024.0,,,,,,,,,,,,,,,42.38,,750000.0
June 2024,Purulia,,116348.0,106247.0,,498.63,,,29036.0,33303.0,,,,,,,,,,,,,,,,,,,23213.0,,,,,,,51254.0,,108514.0,,,,,131066.0,,,,,,,,,,,,,,,66.32,,35000.0
June 2024,Uttar Dinajpur,,246008.0,205762.0,,518.45,,,43759.0,51131.0,,,,,,,,,,,,,,,,,,,13176.0,,,,,,,47316.0,,289343.0,,,,,147848.0,,,,,,,,,,,,,,,23.96,,55000.0
June 2025,Alipurduar,,,65151.0,81871.0,386.14,31573.0,,,26435.0,44204.0,,,,,,,,,,,,,,,,,,,,,6651.0,,,,,,,,,,,,51343.0,,,,,,,,,,,,,,17.28,94402.5,38500.0
June 2025,Bankura,,,198842.0,191032.0,926.11,169126.0,,,120035.0,129362.0,,,,,,,,,,,,,,,,,,,,,25029.0,,,,,,,,,,,,193339.0,,,,,,,,,,,,,,12.64,174432.0,198000.0
June 2025,Birbhum,,,244111.0,238156.0,990.48,89665.0,,,118294.0,142673.0,,,,,,,,,,,,,,,,,,,,,25834.0,,,,,,,,,,,,245378.0,,,,,,,,,,,,,,10.76,245080.0,240000.0
June 2025,Cooch Behar,,,170478.0,179136.0,1812.92,154180.0,,,80545.0,84459.0,,,,,,,,,,,,,,,,,,,,,22625.0,,,,,,,,,,,,193598.0,,,,,,,,,,,,,,11.91,162231.0,190000.0
June 2025,Dakshin Dinajpur,,,99754.0,143538.0,606.28,84311.0,,,51629.0,71052.0,,,,,,,,,,,,,,,,,,,,,24400.0,,,,,,,,,,,,86248.0,,,,,,,,,,,,,,21.22,107952.0,115000.0
June 2025,Darjeeling,,,22170.0,31122.0,358.71,11395.0,,,15592.0,31380.0,,,,,,,,,,,,,,,,,,,,,3421.0,,,,,,,,,,,,83221.0,,,,,,,,,,,,,,18.49,24509.7,18500.0
June 2025,Hooghly,,,316589.0,324869.0,1611.45,304544.0,,,271942.0,314592.0,,,,,,,,,,,,,,,,,,,,,41391.0,,,,,,,,,,,,326184.0,,,,,,,,,,,,,,10.48,329980.0,395000.0
June 2025,Howrah,,,68078.0,78179.0,1130.73,39460.0,,,56083.0,66863.0,,,,,,,,,,,,,,,,,,,,,13630.0,,,,,,,,,,,,136381.0,,,,,,,,,,,,,,14.35,86541.2,95000.0
June 2025,Jalpaiguri,,,110218.0,75597.0,835.44,44124.0,,,51369.0,59869.0,,,,,,,,,,,,,,,,,,,,,10590.0,,,,,,,,,,,,95930.0,,,,,,,,,,,,,,26.48,96899.9,40000.0
June 2025,Jhargram,,,119389.0,102141.0,541.58,31725.0,,,67437.0,80501.0,,,,,,,,,,,,,,,,,,,,,10129.0,,,,,,,,,,,,70098.0,,,,,,,,,,,,,,18.42,72664.2,55000.0
June 2025,Kalimpong,,,13429.0,22064.0,90.11,3183.0,,,10020.0,22421.0,,,,,,,,,,,,,,,,,,,,,929.0,,,,,,,,,,,,39716.0,,,,,,,,,,,,,,9.29,8610.13,10000.0
June 2025,Kolkata,,,1587.0,2820.0,165.47,1015.0,,,1197.0,1460.0,,,,,,,,,,,,,,,,,,,,,269.0,,,,,,,,,,,,3960.0,,,,,,,,,,,,,,,436.905,0.0
June 2025,Malda,,,136389.0,134952.0,625.28,62769.0,,,129634.0,153282.0,,,,,,,,,,,,,,,,,,,,,28219.0,,,,,,,,,,,,98493.0,,,,,,,,,,,,,,25.65,144897.0,110000.0
June 2025,Murshidabad,,,210027.0,225899.0,1180.48,62385.0,,,64846.0,140170.0,,,,,,,,,,,,,,,,,,,,,31288.0,,,,,,,,,,,,188869.0,,,,,,,,,,,,,,32.93,162166.0,95000.0
June 2025,Nadia,,,272055.0,293382.0,1428.93,87548.0,,,125385.0,187802.0,,,,,,,,,,,,,,,,,,,,,29892.0,,,,,,,,,,,,213252.0,,,,,,,,,,,,,,27.17,214802.0,110000.0
