period,district,active_shgs_no,amount,amount_of_loan_disbursed,appl_sponsored,cases_pending,disbursed_no,loan_disbursed,loan_disbursed_no,loan_sanctioned,loan_sanctioned_no,no_fo_shgs_credit_linked,no_of_active,no_of_active_shgs,no_of_cases,no_of_cases_pending,no_of_sponsored,no_of_sponsored_application,no_of_sponsored_application_in_fy_22_23,no_of_sponsored_application_in_fy_23_24,no_of_sponsored_application_in_fy_24_25,no_of_sponsored_application_in_fy_fy_22_23,no_of_sponsored_application_in_fy_fy_23_24,no_of_sponsored_application_in_fy_fy_24_25,pending_no,sanctioned_no,sep_g,sep_g_disburs_ed_by_branch,sep_g_disbursed_no,sep_g_sanctioned_no,sep_g_sponsord_ot_bank_branches,sep_g_target_for_fy_20_21,sep_group_no,sep_i,sep_i_disburs_ed_by_branch,sep_i_disbursed_no,sep_i_sanctioned_no,sep_i_sponsord_ot_bank_branches,sep_i_target_for_fy_20_21,sep_individual_no,shg_credit_linkage,shg_credit_linkage_active_shgs,shg_credit_linkage_no,shg_credit_linkage_sponsord_ot_bank_branches,shg_loan_disbursed_no,shg_loan_sanctioned_no,sponsored_in_fy_21_22,sponsored_in_fy_22_23,sponsored_no,target_amount_of_sep_g_loan_to_be_disbursed_fy_22_24,target_amount_of_sep_g_loan_to_be_disbursed_fy_23_24,target_amount_of_sep_g_loan_to_be_disbursed_fy_24_25,target_amount_of_sep_i_loan_to_be_disbursed_fy_22_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_23_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_24_25,target_amount_of_shg_loan_to_be_disbursed_fy_22_24,target_amount_of_shg_loan_to_be_disbursed_fy_23_24,target_amount_of_shg_loan_to_be_disbursed_fy_24_25,target_disb_no,target_for_2019_20_no,target_for_fy_2020_21_no,target_for_fy_20_21,target_fy_20_21_no,target_fy_21_22_no,target_fy_22_23,target_fy_22_23_no,target_fy_23_24,target_fy_24_25,target_fy_fy_22_23,target_fy_fy_23_24,target_fy_fy_24_25,total_pending,total_sponsored
December 2022,Howrah,,2.92,,,,,,,,,,,1449.0,,46.0,,,3.0,,,228.0,,,,,,,2.0,2.0,,,,,,34.0,34.0,,,,,,,,171.0,168.0,,,,0.24,,,1.32,,,8.64,,,,,,,,,586.0,,,,110.0,,,,
December 2022,Jalpaiguri,,1.11,,,,,,,,,,,1575.0,,80.0,,,5.0,,,214.0,,,,,,,3.0,3.0,,,,,,15.0,15.0,,,,,,,,65.0,66.0,,,,0.17,,,1.55,,,3.99,,,,,,,,,266.0,,,,84.0,,,,
December 2022,Jhargram,,0.68,,,,,,,,,,,486.0,,0.0,,,0.0,,,36.0,,,,,,,0.0,0.0,,,,,,1.0,1.0,,,,,,,,40.0,40.0,,,,0.06,,,0.3,,,1.2,,,,,,,,,80.0,,,,20.0,,,,
December 2022,Kalimpong,,0.5,,,,,,,,,,,178.0,,0.0,,,0.0,,,32.0,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,29.0,28.0,,,,0.06,,,0.32,,,1.04,,,,,,,,,70.0,,,,20.0,,,,
December 2022,Kolkata,,2.19,,,,,,,,,,,968.0,,202.0,,,0.0,,,326.0,,,,,,,0.0,0.0,,,,,,27.0,7.0,,,,,,,,128.0,139.0,,,,0.1,,,2.0,,,3.0,,,,,,,,,250.0,,,,100.0,,,,
December 2022,Malda,,1.38,,,,,,,,,,,818.0,,82.0,,,9.0,,,168.0,,,,,,,2.0,2.0,,,,,,7.0,7.0,,,,,,,,81.0,82.0,,,,0.11,,,0.94,,,2.9,,,,,,,,,193.0,,,,60.0,,,,
December 2022,Murshidabad,,9.12,,,,,,,,,,,5547.0,,120.0,,,7.0,,,870.0,,,,,,,6.0,7.0,,,,,,26.0,24.0,,,,,,,,534.0,541.0,,,,0.6,,,4.18,,,16.86,,,,,,,,,1185.0,,,,260.0,,,,
December 2022,Nadia,,9.99,,,,,,,,,,,5842.0,,133.0,,,8.0,,,719.0,,,,,,,8.0,8.0,,,,,,124.0,133.0,,,,,,,,584.0,640.0,,,,0.45,,,3.89,,,16.44,,,,,,,,,1094.0,,,,266.0,,,,
December 2022,North 24 Parganas,,27.7,,,,,,,,,,,15663.0,,434.0,,,29.0,,,2058.0,,,,,,,26.0,26.0,,,,,,353.0,368.0,,,,,,,,1625.0,1626.0,,,,1.57,,,13.66,,,45.97,,,,,,,,,3169.0,,,,852.0,,,,
December 2022,Paschim Bardhaman,,5.09,,,,,,,,,,,2720.0,,186.0,,,2.0,,,464.0,,,,,,,0.0,0.0,,,,,,12.0,12.0,,,,,,,,298.0,296.0,,,,0.18,,,1.42,,,12.53,,,,,,,,,835.0,,,,152.0,,,,
December 2022,Paschim Medinipur,,5.7,,,,,,,,,,,3988.0,,142.0,,,8.0,,,501.0,,,,,,,7.0,6.0,,,,,,52.0,52.0,,,,,,,,333.0,362.0,,,,0.33,,,2.66,,,9.76,,,,,,,,,650.0,,,,195.0,,,,
December 2022,Purba Bardhaman,,7.29,,,,,,,,,,,3487.0,,15.0,,,2.0,,,398.0,,,,,,,6.0,6.0,,,,,,69.0,72.0,,,,,,,,427.0,412.0,,,,0.32,,,2.43,,,7.11,,,,,,,,,543.0,,,,153.0,,,,
December 2022,Purba Medinipur,,5.33,,,,,,,,,,,3468.0,,191.0,,,2.0,,,500.0,,,,,,,4.0,5.0,,,,,,68.0,74.0,,,,,,,,312.0,365.0,,,,0.27,,,2.07,,,6.18,,,,,,,,,420.0,,,,145.0,,,,
December 2022,Purulia,,1.23,,,,,,,,,,,1154.0,,9.0,,,2.0,,,90.0,,,,,,,1.0,1.0,,,,,,26.0,26.0,,,,,,,,72.0,73.0,,,,0.14,,,1.15,,,2.63,,,,,,,,,175.0,,,,70.0,,,,
December 2022,South 24 Parganas,,6.37,,,,,,,,,,,3582.0,,154.0,,,5.0,,,546.0,,,,,,,2.0,2.0,,,,,,42.0,41.0,,,,,,,,373.0,399.0,,,,0.37,,,3.13,,,10.17,,,,,,,,,741.0,,,,190.0,,,,
December 2022,Uttar Dinajpur,,3.12,,,,,,,,,,,2125.0,,88.0,,,15.0,,,257.0,,,,,,,12.0,12.0,,,,,,31.0,31.0,,,,,,,,183.0,183.0,,,,0.36,,,1.21,,,4.38,,,,,,,,,451.0,,,,106.0,,,,
December 2023,Alipurduar,,159.85,,,,,,,,,,,1319.0,,16.0,,,,6.0,,,103.0,,,,,,2.0,4.0,,,,,,1.0,1.0,,,,,,,,81.0,83.0,,,,,24.0,,,70.0,,,277.5,,,,,,,,,,185.0,,,35.0,,,
December 2023,Bankura,,461.78,,,,,,,,,,,2547.0,,25.0,,,,68.0,,,259.0,,,,,,3.0,5.0,,,,,,48.0,48.0,,,,,,,,234.0,332.0,,,,,18.0,,,118.0,,,468.0,,,,,,,,,,312.0,,,59.0,,,
December 2023,Birbhum,,724.24,,,,,,,,,,,3931.0,,299.0,,,,281.0,,,765.0,,,,,,28.0,28.0,,,,,,108.0,111.0,,,,,,,,367.0,355.0,,,,,48.0,,,374.0,,,1330.5,,,,,,,,,,887.0,,,187.0,,,
December 2023,Cooch Behar,,376.92,,,,,,,,,,,1818.0,,25.0,,,,114.0,,,279.0,,,,,,6.0,6.0,,,,,,31.0,31.0,,,,,,,,191.0,195.0,,,,,42.0,,,252.0,,,660.0,,,,,,,,,,440.0,,,126.0,,,
December 2023,Dakshin Dinajpur,,262.46,,,,,,,,,,,1973.0,,15.0,,,,81.0,,,180.0,,,,,,2.0,2.0,,,,,,31.0,31.0,,,,,,,,133.0,233.0,,,,,21.0,,,122.0,,,592.5,,,,,,,,,,395.0,,,61.0,,,
December 2023,Darjeeling,,483.48,,,,,,,,,,,2499.0,,91.0,,,,32.0,,,320.0,,,,,,4.0,4.0,,,,,,27.0,26.0,,,,,,,,245.0,253.0,,,,,27.0,,,236.0,,,720.0,,,,,,,,,,480.0,,,118.0,,,
December 2023,Hooghly,,1207.72,,,,,,,,,,,6635.0,,311.0,,,,186.0,,,971.0,,,,,,7.0,8.0,,,,,,123.0,124.0,,,,,,,,612.0,614.0,,,,,78.0,,,582.0,,,1684.5,,,,,,,,,,1123.0,,,291.0,,,
December 2023,Howrah,,252.6,,,,,,,,,,,2013.0,,129.0,,,,19.0,,,267.0,,,,,,0.0,0.0,,,,,,15.0,15.0,,,,,,,,128.0,124.0,,,,,18.0,,,208.0,,,816.0,,,,,,,,,,544.0,,,104.0,,,
December 2023,Jalpaiguri,,444.02,,,,,,,,,,,1841.0,,32.0,,,,41.0,,,194.0,,,,,,1.0,1.0,,,,,,18.0,19.0,,,,,,,,225.0,238.0,,,,,24.0,,,176.0,,,445.5,,,,,,,,,,297.0,,,88.0,,,
December 2023,Jhargram,,53.28,,,,,,,,,,,529.0,,6.0,,,,2.0,,,33.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,27.0,28.0,,,,,3.0,,,40.0,,,130.5,,,,,,,,,,87.0,,,20.0,,,
December 2023,Kalimpong,,23.68,,,,,,,,,,,192.0,,0.0,,,,5.0,,,13.0,,,,,,0.0,0.0,,,,,,2.0,2.0,,,,,,,,12.0,12.0,,,,,15.0,,,34.0,,,120.0,,,,,,,,,,80.0,,,17.0,,,
December 2023,Kolkata,,404.55,,,,,,,,,,,1801.0,,172.0,,,,90.0,,,322.0,,,,,,0.0,0.0,,,,,,50.0,61.0,,,,,,,,205.0,229.0,,,,,15.0,,,240.0,,,450.0,,,,,,,,,,300.0,,,120.0,,,
December 2023,Malda,,165.77,,,,,,,,,,,912.0,,49.0,,,,11.0,,,127.0,,,,,,3.0,3.0,,,,,,4.0,7.0,,,,,,,,84.0,82.0,,,,,15.0,,,90.0,,,393.0,,,,,,,,,,262.0,,,45.0,,,
December 2023,Murshidabad,,1085.37,,,,,,,,,,,6030.0,,89.0,,,,96.0,,,689.0,,,,,,4.0,7.0,,,,,,75.0,78.0,,,,,,,,550.0,568.0,,,,,72.0,,,388.0,,,1531.5,,,,,,,,,,1021.0,,,194.0,,,
December 2023,Nadia,,1225.48,,,,,,,,,,,6459.0,,271.0,,,,132.0,,,795.0,,,,,,4.0,6.0,,,,,,95.0,96.0,,,,,,,,621.0,678.0,,,,,72.0,,,504.0,,,1740.0,,,,,,,,,,1160.0,,,252.0,,,
December 2023,North 24 Parganas,,2967.99,,,,,,,,,,,17095.0,,498.0,,,,444.0,,,2022.0,,,,,,8.0,11.0,,,,,,250.0,257.0,,,,,,,,1504.0,1547.0,,,,,171.0,,,1292.0,,,4800.0,,,,,,,,,,3200.0,,,646.0,,,
December 2023,Paschim Bardhaman,,426.25,,,,,,,,,,,3184.0,,280.0,,,,113.0,,,506.0,,,,,,1.0,3.0,,,,,,9.0,9.0,,,,,,,,216.0,210.0,,,,,27.0,,,200.0,,,903.0,,,,,,,,,,602.0,,,100.0,,,
December 2023,Paschim Medinipur,,781.47,,,,,,,,,,,4338.0,,161.0,,,,166.0,,,546.0,,,,,,6.0,8.0,,,,,,92.0,92.0,,,,,,,,396.0,411.0,,,,,57.0,,,366.0,,,987.0,,,,,,,,,,658.0,,,183.0,,,
December 2023,Purba Bardhaman,,718.32,,,,,,,,,,,3751.0,,65.0,,,,111.0,,,354.0,,,,,,6.0,7.0,,,,,,66.0,65.0,,,,,,,,364.0,347.0,,,,,36.0,,,334.0,,,753.0,,,,,,,,,,502.0,,,167.0,,,
December 2023,Purba Medinipur,,483.48,,,,,,,,,,,3417.0,,243.0,,,,127.0,,,493.0,,,,,,11.0,12.0,,,,,,110.0,112.0,,,,,,,,245.0,244.0,,,,,57.0,,,232.0,,,549.0,,,,,,,,,,366.0,,,116.0,,,
December 2023,Purulia,,234.83,,,,,,,,,,,1250.0,,16.0,,,,43.0,,,127.0,,,,,,2.0,2.0,,,,,,29.0,29.0,,,,,,,,119.0,119.0,,,,,12.0,,,114.0,,,285.0,,,,,,,,,,190.0,,,57.0,,,
December 2023,South 24 Parganas,,595.97,,,,,,,,,,,4075.0,,223.0,,,,102.0,,,572.0,,,,,,3.0,4.0,,,,,,69.0,69.0,,,,,,,,302.0,379.0,,,,,39.0,,,320.0,,,1236.0,,,,,,,,,,824.0,,,160.0,,,
December 2023,Uttar Dinajpur,,471.64,,,,,,,,,,,2362.0,,138.0,,,,59.0,,,400.0,,,,,,15.0,17.0,,,,,,41.0,41.0,,,,,,,,239.0,241.0,,,,,66.0,,,190.0,,,735.0,,,,,,,,,,490.0,,,95.0,,,
December 2024,Alipurduar,,74.31,,,,,,,,,,,1353.0,,5.0,,,,,19.0,,,32.0,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,35.0,28.0,,,,,,12.5,,,60.0,,,262.5,,,,,,,,,,175.0,,,30.0,,
December 2024,Bankura,,246.29,,,,,,,,,,,2482.0,,7.0,,,,,40.0,,,134.0,,,,,0.0,0.0,,,,,,2.0,2.0,,,,,,,,116.0,131.0,,,,,,36.0,,,132.0,,,301.5,,,,,,,,,,201.0,,,66.0,,
December 2024,Birbhum,,450.12,,,,,,,,,,,4163.0,,73.0,,,,,158.0,,,317.0,,,,,5.0,6.0,,,,,,34.0,35.0,,,,,,,,212.0,214.0,,,,,,76.0,,,370.0,,,936.0,,,,,,,,,,624.0,,,185.0,,
December 2024,Cooch Behar,,178.35,,,,,,,,,,,1912.0,,6.0,,,,,89.0,,,140.0,,,,,2.0,2.0,,,,,,17.0,17.0,,,,,,,,84.0,80.0,,,,,,26.0,,,228.0,,,439.5,,,,,,,,,,293.0,,,114.0,,
December 2024,Dakshin Dinajpur,,212.32,,,,,,,,,,,2083.0,,0.0,,,,,37.0,,,107.0,,,,,1.0,1.0,,,,,,18.0,18.0,,,,,,,,100.0,107.0,,,,,,24.0,,,100.0,,,436.5,,,,,,,,,,291.0,,,50.0,,
December 2024,Darjeeling,,267.52,,,,,,,,,,,2681.0,,11.0,,,,,10.0,,,137.0,,,,,2.0,2.0,,,,,,8.0,8.0,,,,,,,,126.0,126.0,,,,,,32.0,,,190.0,,,691.5,,,,,,,,,,461.0,,,95.0,,
December 2024,Hooghly,,940.58,,,,,,,,,,,7067.0,,41.0,,,,,151.0,,,503.0,,,,,3.0,4.0,,,,,,67.0,68.0,,,,,,,,443.0,438.0,,,,,,60.5,,,576.0,,,1543.5,,,,,,,,,,1029.0,,,288.0,,
December 2024,Howrah,,282.39,,,,,,,,,,,1746.0,,98.0,,,,,22.0,,,277.0,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,133.0,134.0,,,,,,28.0,,,170.0,,,598.5,,,,,,,,,,399.0,,,85.0,,
December 2024,Jalpaiguri,,314.23,,,,,,,,,,,2113.0,,2.0,,,,,10.0,,,241.0,,,,,2.0,2.0,,,,,,2.0,2.0,,,,,,,,148.0,134.0,,,,,,16.5,,,156.0,,,381.0,,,,,,,,,,254.0,,,78.0,,
December 2024,Jhargram,,76.44,,,,,,,,,,,541.0,,7.0,,,,,0.0,,,36.0,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,36.0,36.0,,,,,,4.0,,,30.0,,,91.5,,,,,,,,,,61.0,,,15.0,,
December 2024,Kalimpong,,4.25,,,,,,,,,,,218.0,,3.0,,,,,2.0,,,8.0,,,,,0.0,0.0,,,,,,2.0,2.0,,,,,,,,2.0,2.0,,,,,,25.0,,,40.0,,,112.5,,,,,,,,,,75.0,,,20.0,,
December 2024,Kolkata,,284.51,,,,,,,,,,,1829.0,,0.0,,,,,16.0,,,306.0,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,134.0,146.0,,,,,,50.0,,,238.0,,,390.0,,,,,,,,,,260.0,,,119.0,,
December 2024,Malda,,123.15,,,,,,,,,,,1104.0,,15.0,,,,,11.0,,,67.0,,,,,1.0,1.0,,,,,,8.0,9.0,,,,,,,,58.0,55.0,,,,,,18.0,,,92.0,,,310.5,,,,,,,,,,207.0,,,46.0,,
December 2024,Murshidabad,,450.12,,,,,,,,,,,6391.0,,10.0,,,,,49.0,,,236.0,,,,,0.0,0.0,,,,,,71.0,73.0,,,,,,,,212.0,224.0,,,,,,103.5,,,406.0,,,1366.5,,,,,,,,,,911.0,,,203.0,,
December 2024,Nadia,,745.24,,,,,,,,,,,6842.0,,67.0,,,,,66.0,,,530.0,,,,,2.0,2.0,,,,,,55.0,60.0,,,,,,,,351.0,449.0,,,,,,66.5,,,492.0,,,1543.5,,,,,,,,,,1029.0,,,246.0,,
December 2024,North 24 Parganas,,1775.0,,,,,,,,,,,17461.0,,137.0,,,,,250.0,,,1060.0,,,,,4.0,8.0,,,,,,143.0,140.0,,,,,,,,836.0,912.0,,,,,,168.5,,,1200.0,,,4305.0,,,,,,,,,,2870.0,,,600.0,,
December 2024,Paschim Bardhaman,,488.34,,,,,,,,,,,2859.0,,61.0,,,,,82.0,,,310.0,,,,,1.0,4.0,,,,,,4.0,3.0,,,,,,,,230.0,210.0,,,,,,16.8,,,200.0,,,855.0,,,,,,,,,,570.0,,,100.0,,
December 2024,Paschim Medinipur,,664.56,,,,,,,,,,,4629.0,,3.0,,,,,77.0,,,288.0,,,,,3.0,5.0,,,,,,59.0,59.0,,,,,,,,313.0,288.0,,,,,,48.5,,,314.0,,,667.5,,,,,,,,,,445.0,,,157.0,,
December 2024,Purba Bardhaman,,520.18,,,,,,,,,,,3943.0,,0.0,,,,,60.0,,,236.0,,,,,2.0,2.0,,,,,,8.0,10.0,,,,,,,,245.0,236.0,,,,,,40.5,,,276.0,,,640.5,,,,,,,,,,427.0,,,138.0,,
December 2024,Purba Medinipur,,360.94,,,,,,,,,,,3698.0,,16.0,,,,,90.0,,,193.0,,,,,10.0,10.0,,,,,,68.0,67.0,,,,,,,,170.0,168.0,,,,,,39.0,,,252.0,,,352.5,,,,,,,,,,235.0,,,126.0,,
December 2024,Purulia,,89.17,,,,,,,,,,,1305.0,,15.0,,,,,31.0,,,62.0,,,,,0.0,0.0,,,,,,20.0,20.0,,,,,,,,42.0,42.0,,,,,,9.0,,,120.0,,,285.0,,,,,,,,,,190.0,,,60.0,,
December 2024,South 24 Parganas,,469.23,,,,,,,,,,,4276.0,,52.0,,,,,32.0,,,280.0,,,,,1.0,1.0,,,,,,14.0,16.0,,,,,,,,221.0,215.0,,,,,,33.0,,,270.0,,,1111.5,,,,,,,,,,741.0,,,135.0,,
December 2024,Uttar Dinajpur,,335.47,,,,,,,,,,,2560.0,,14.0,,,,,18.0,,,180.0,,,,,1.0,1.0,,,,,,7.0,7.0,,,,,,,,158.0,163.0,,,,,,47.5,,,192.0,,,600.0,,,,,,,,,,400.0,,,96.0,,
June 2017,Alipurduar,,,0.0,,,,,,,,21.0,,520.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,56.0,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Bankura,,,0.0,,,,,,,,26.0,,903.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,46.0,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Birbhum,,,0.0,,,,,,,,19.0,,1434.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,59.0,,,,,,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Cooch Behar,,,0.0,,,,,,,,56.0,,894.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,77.0,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Dakshin Dinajpur,,,0.0,,,,,,,,13.0,,1114.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,29.0,,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Darjeeling,,,0.0,,,,,,,,22.0,,1157.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,115.0,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Hooghly,,,0.0,,,,,,,,53.0,,2363.0,,,,,,,,,,,,,,0.0,,,0.0,,,,12.0,,,93.0,,,,,,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Howrah,,,0.0,,,,,,,,7.0,,368.0,,,,,,,,,,,,,,0.0,,,0.0,,,,19.0,,,65.0,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Jalpaiguri,,,0.0,,,,,,,,15.0,,666.0,,,,,,,,,,,,,,0.0,,,6.0,,,,3.0,,,71.0,,,,,,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Kolkata,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Malda,,,0.0,,,,,,,,7.0,,396.0,,,,,,,,,,,,,,0.0,,,0.0,,,,30.0,,,83.0,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Murshidabad,,,0.0,,,,,,,,5.0,,2183.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,83.0,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Nadia,,,0.0,,,,,,,,18.0,,3429.0,,,,,,,,,,,,,,0.0,,,0.0,,,,32.0,,,253.0,,,,,,666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,North 24 Parganas,,,0.0,,,,,,,,5.0,,8807.0,,,,,,,,,,,,,,0.0,,,0.0,,,,14.0,,,532.0,,,,,,1239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Paschim Medinipur,,,0.0,,,,,,,,54.0,,2024.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,126.0,,,,,,786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Purba Bardhaman,,,0.0,,,,,,,,4.0,,2331.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,112.0,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Purba Medinipur,,,0.0,,,,,,,,26.0,,1816.0,,,,,,,,,,,,,,0.0,,,0.0,,,,5.0,,,112.0,,,,,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Purulia,,,0.0,,,,,,,,68.0,,460.0,,,,,,,,,,,,,,0.0,,,0.0,,,,7.0,,,96.0,,,,,,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,South 24 Parganas,,,0.0,,,,,,,,16.0,,1316.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,140.0,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2017,Uttar Dinajpur,,,2.2,,,,,,,,11.0,,1075.0,,,,,,,,,,,,,,2.0,,,4.0,,,,7.0,,,36.0,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,24.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,87.0,,,,,,,477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,209.0,,,,,,,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,156.0,,,,,,,563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,112.0,,,,,,,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,203.0,,,,,,,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,473.0,,,,,,,1470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,262.0,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,124.0,,,,,,,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,30.0,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Kalimpong,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,30.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,100.0,,,,,,,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Malda,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,147.0,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,186.0,,,,,,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Nadia,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,412.0,,,,,,,1285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,,,,974.0,,,,,,,3671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,518.0,,,,,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,303.0,,,,,,,1053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,50.0,,,,,,,707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,157.0,,,,,,,721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,99.0,,,,,,,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,218.0,,,,,,,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,126.0,,,,,,,462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,40.0,,,,,,,489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,120.0,,,,,,,1945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,230.0,,,,,,,3065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
