period,district,2020_21,2021_22,2022_23,2023_24,2024_25,31_03_2021,31_03_2022,31_03_2023,31_03_2024,31_03_2025,a_chievement_as_on_dec_19_disbursement_no,achievement_as_on_dec_19_sanction_no,achievement_disbursement_no,achievement_sanction_no,amount,amt,amt_in_cr,average,average_disb_rs_in_lakh,average_disbursement,average_disbursement_amount,average_disbursement_amount_in_lakh,average_disbursement_in_lakh,average_ticket_size_31_03_2021,average_ticket_size_31_03_2022,average_ticket_size_31_03_2023,average_ticket_size_of_outstanding_31_03_2020,disbursed_no,disbursement_during_fy_2020_21,disbursement_during_the_fy_2019_20,disbursement_during_the_fy_2022_23,disbursement_no,no,of_achievement,of_achievement_disbursement_no,of_achievement_no,of_disbursement_against_slbc_target_no,outstanding_as_on_31_03_2020,outstanding_as_on_31_03_2021,outstanding_as_on_31_03_2022,outstanding_as_on_31_03_2023,outstanding_no,pending_no,pending_shg_no,sanction_no,sanctioned_no,target_2020_21_no,target_2021_22,target_2023_24_no,target_for_2019_20_disbursement_no,target_for_2020_21_no,target_fy_2025_26_no,target_no,total_app_submitted,total_application_submitted,total_disbursed_no,total_disbursement,total_disbursement_no,total_outsanding_no,total_outstanding,total_outstanding_no,total_sanction_no,total_sanctioned,total_sanctioned_no
June 2025,Birbhum,,,,51104.0,55233.0,,,,2.11,2.41,,,,,,,,,,,,,,,,1.9,,,,,52963.0,,,,,,,,,,64029.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Cooch Behar,,,,47424.0,49992.0,,,,3.1,3.5,,,,,,,,,,,,,,,,2.52,,,,,47364.0,,,,,,,,,,52533.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Dakshin Dinajpur,,,,21400.0,22036.0,,,,1.91,2.26,,,,,,,,,,,,,,,,1.64,,,,,20403.0,,,,,,,,,,24016.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Darjeeling,,,,6603.0,7089.0,,,,3.06,3.71,,,,,,,,,,,,,,,,2.57,,,,,6020.0,,,,,,,,,,6635.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Hooghly,,,,42626.0,46864.0,,,,2.32,2.75,,,,,,,,,,,,,,,,1.98,,,,,38016.0,,,,,,,,,,44593.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Howrah,,,,30471.0,32825.0,,,,2.29,2.54,,,,,,,,,,,,,,,,2.07,,,,,29231.0,,,,,,,,,,34755.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Jalpaiguri,,,,40064.0,42807.0,,,,2.69,2.84,,,,,,,,,,,,,,,,2.35,,,,,40984.0,,,,,,,,,,46617.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Jhargram,,,,14286.0,15836.0,,,,2.14,2.47,,,,,,,,,,,,,,,,1.75,,,,,13204.0,,,,,,,,,,17067.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Kalimpong,,,,2974.0,3154.0,,,,3.59,4.07,,,,,,,,,,,,,,,,2.9,,,,,2753.0,,,,,,,,,,3165.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Kolkata,,,,959.0,1544.0,,,,1.26,1.37,,,,,,,,,,,,,,,,1.31,,,,,1005.0,,,,,,,,,,2857.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Malda,,,,47148.0,52499.0,,,,1.98,2.35,,,,,,,,,,,,,,,,1.72,,,,,46429.0,,,,,,,,,,55104.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Murshidabad,,,,63347.0,67450.0,,,,1.77,2.07,,,,,,,,,,,,,,,,1.53,,,,,67304.0,,,,,,,,,,79865.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Nadia,,,,46887.0,51892.0,,,,1.89,2.31,,,,,,,,,,,,,,,,1.57,,,,,41273.0,,,,,,,,,,52553.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,North 24 Parganas,,,,59033.0,67130.0,,,,1.95,2.37,,,,,,,,,,,,,,,,1.71,,,,,53514.0,,,,,,,,,,63994.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Paschim Medinipur,,,,48057.0,55134.0,,,,2.58,3.2,,,,,,,,,,,,,,,,2.06,,,,,48395.0,,,,,,,,,,60183.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Purba Medinipur,,,,61068.0,64125.0,,,,3.35,4.02,,,,,,,,,,,,,,,,2.82,,,,,61830.0,,,,,,,,,,75547.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Purulia,,,,26945.0,30248.0,,,,1.44,1.71,,,,,,,,,,,,,,,,1.28,,,,,25458.0,,,,,,,,,,37203.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,South 24 Parganas,,,,69467.0,75136.0,,,,2.04,2.38,,,,,,,,,,,,,,,,1.73,,,,,65841.0,,,,,,,,,,77264.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Uttar Dinajpur,,,,32253.0,36978.0,,,,2.08,2.46,,,,,,,,,,,,,,,,1.72,,,,,29932.0,,,,,,,,,,36018.0,,,,,,,,,,,,,,,,,,,,,,,
March 2020,Alipurduar,,,,,,,,,,,,,,,395.77,,,2.24,,,,,,,,,,12048.0,,,,,14100.0,,,85.0,,,,,,,,,,11364.0,,,,,,,14100.0,,,,,,,,,,,
March 2020,Bankura,,,,,,,,,,,,,,,762.77,,,2.36,,,,,,,,,,30674.0,,,,,29088.0,,,107.0,,,,,,,,,,27543.0,,,,,,,28786.0,,,,,,,,,,,
March 2020,Birbhum,,,,,,,,,,,,,,,1314.49,,,2.58,,,,,,,,,,42443.0,,,,,50960.0,,,111.0,,,,,,,,,,39836.0,,,,,,,38359.0,,,,,,,,,,,
March 2020,Cooch Behar,,,,,,,,,,,,,,,642.98,,,2.4,,,,,,,,,,28722.0,,,,,23462.0,,,129.0,,,,,,,,,,19790.0,,,,,,,22293.0,,,,,,,,,,,
March 2020,Dakshin Dinajpur,,,,,,,,,,,,,,,439.65,,,2.4,,,,,,,,,,14133.0,,,,,15175.0,,,94.0,,,,,,,,,,12634.0,,,,,,,15012.0,,,,,,,,,,,
March 2020,Darjeeling,,,,,,,,,,,,,,,79.14,,,2.47,,,,,,,,,,9119.0,,,,,2970.0,,,438.0,,,,,,,,,,1956.0,,,,,,,2082.0,,,,,,,,,,,
March 2020,Hooghly,,,,,,,,,,,,,,,609.59,,,2.56,,,,,,,,,,24550.0,,,,,22002.0,,,111.0,,,,,,,,,,21271.0,,,,,,,22150.0,,,,,,,,,,,
March 2020,Howrah,,,,,,,,,,,,,,,594.33,,,2.78,,,,,,,,,,23641.0,,,,,22395.0,,,129.0,,,,,,,,,,19726.0,,,,,,,18313.0,,,,,,,,,,,
March 2020,Jalpaiguri,,,,,,,,,,,,,,,632.06,,,2.51,,,,,,,,,,20537.0,,,,,23493.0,,,86.0,,,,,,,,,,23072.0,,,,,,,23940.0,,,,,,,,,,,
March 2020,Jhargram,,,,,,,,,,,,,,,227.2,,,2.23,,,,,,,,,,8832.0,,,,,8661.0,,,102.0,,,,,,,,,,6361.0,,,,,,,8661.0,,,,,,,,,,,
March 2020,Kalimpong,,,,,,,,,,,,,,,38.02,,,2.45,,,,,,,,,,1616.0,,,,,1378.0,,,144.0,,,,,,,,,,1126.0,,,,,,,1126.0,,,,,,,,,,,
March 2020,Malda,,,,,,,,,,,,,,,846.72,,,2.3,,,,,,,,,,31830.0,,,,,37084.0,,,86.0,,,,,,,,,,25869.0,,,,,,,37084.0,,,,,,,,,,,
March 2020,Murshidabad,,,,,,,,,,,,,,,914.45,,,2.06,,,,,,,,,,42817.0,,,,,38008.0,,,113.0,,,,,,,,,,30954.0,,,,,,,38008.0,,,,,,,,,,,
March 2020,Nadia,,,,,,,,,,,,,,,631.08,,,2.25,,,,,,,,,,24582.0,,,,,24174.0,,,115.0,,,,,,,,,,14925.0,,,,,,,21447.0,,,,,,,,,,,
March 2020,North 24 Parganas,,,,,,,,,,,,,,,1096.44,,,2.29,,,,,,,,,,35782.0,,,,,38005.0,,,96.0,,,,,,,,,,34486.0,,,,,,,37304.0,,,,,,,,,,,
March 2020,Paschim Bardhaman,,,,,,,,,,,,,,,144.72,,,2.1,,,,,,,,,,5110.0,,,,,7339.0,,,87.0,,,,,,,,,,4616.0,,,,,,,5852.0,,,,,,,,,,,
March 2020,Paschim Medinipur,,,,,,,,,,,,,,,841.99,,,2.51,,,,,,,,,,32369.0,,,,,32871.0,,,97.0,,,,,,,,,,32642.0,,,,,,,33238.0,,,,,,,,,,,
March 2020,Purba Bardhaman,,,,,,,,,,,,,,,889.4,,,2.72,,,,,,,,,,29737.0,,,,,33038.0,,,109.0,,,,,,,,,,30356.0,,,,,,,27270.0,,,,,,,,,,,
March 2020,Purba Medinipur,,,,,,,,,,,,,,,1255.18,,,2.8,,,,,,,,,,43104.0,,,,,42328.0,,,108.0,,,,,,,,,,40642.0,,,,,,,39976.0,,,,,,,,,,,
March 2020,South 24 Parganas,,,,,,,,,,,,,,,929.44,,,2.17,,,,,,,,,,38677.0,,,,,42602.0,,,91.0,,,,,,,,,,39334.0,,,,,,,42602.0,,,,,,,,,,,
March 2020,Uttar Dinajpur,,,,,,,,,,,,,,,351.86,,,2.31,,,,,,,,,,19175.0,,,,,14110.0,,,143.0,,,,,,,,,,10149.0,,,,,,,13375.0,,,,,,,,,,,
March 2021,Alipurduar,,,,,,,,,,,,,,,52.47,,,,,1.33,,,,,,,,,,,,,,,,110.57,,,,,,,,,,,14100.0,,,,,,,,,15591.0,,,,,18406.0,,,13528.0
March 2021,Bankura,,,,,,,,,,,,,,,76.47,,,,,1.36,,,,,,,,,,,,,,,,146.92,,,,,,,,,,,29088.0,,,,,,,,,42737.0,,,,,45996.0,,,26319.0
March 2021,Birbhum,,,,,,,,,,,,,,,81.84,,,,,1.97,,,,,,,,,,,,,,,,107.01,,,,,,,,,,,50960.0,,,,,,,,,54531.0,,,,,55924.0,,,50604.0
March 2021,Cooch Behar,,,,,,,,,,,,,,,74.4,,,,,1.24,,,,,,,,,,,,,,,,163.97,,,,,,,,,,,23462.0,,,,,,,,,38471.0,,,,,44489.0,,,22139.0
March 2021,Dakshin Dinajpur,,,,,,,,,,,,,,,47.42,,,,,1.03,,,,,,,,,,,,,,,,132.8,,,,,,,,,,,15175.0,,,,,,,,,20153.0,,,,,20614.0,,,13882.0
March 2021,Darjeeling,,,,,,,,,,,,,,,94.9,,,,,1.87,,,,,,,,,,,,,,,,135.22,,,,,,,,,,,2970.0,,,,,,,,,4016.0,,,,,4466.0,,,3264.0
March 2021,Hooghly,,,,,,,,,,,,,,,99.46,,,,,1.41,,,,,,,,,,,,,,,,194.86,,,,,,,,,,,22002.0,,,,,,,,,42873.0,,,,,36841.0,,,26029.0
March 2021,Howrah,,,,,,,,,,,,,,,106.19,,,,,1.81,,,,,,,,,,,,,,,,155.99,,,,,,,,,,,22395.0,,,,,,,,,34935.0,,,,,31980.0,,,24146.0
March 2021,Jalpaiguri,,,,,,,,,,,,,,,55.94,,,,,1.24,,,,,,,,,,,,,,,,121.18,,,,,,,,,,,23493.0,,,,,,,,,28469.0,,,,,31020.0,,,19343.0
March 2021,Jhargram,,,,,,,,,,,,,,,63.24,,,,,0.92,,,,,,,,,,,,,,,,179.4,,,,,,,,,,,8661.0,,,,,,,,,15538.0,,,,,14450.0,,,7116.0
March 2021,Kalimpong,,,,,,,,,,,,,,,109.07,,,,,1.97,,,,,,,,,,,,,,,,152.47,,,,,,,,,,,1378.0,,,,,,,,,2101.0,,,,,2435.0,,,1443.0
March 2021,Malda,,,,,,,,,,,,,,,62.54,,,,,1.07,,,,,,,,,,,,,,,,133.91,,,,,,,,,,,37084.0,,,,,,,,,49660.0,,,,,49014.0,,,29580.0
March 2021,Murshidabad,,,,,,,,,,,,,,,64.56,,,,,0.86,,,,,,,,,,,,,,,,179.97,,,,,,,,,,,38008.0,,,,,,,,,68402.0,,,,,71424.0,,,29066.0
March 2021,Nadia,,,,,,,,,,,,,,,56.65,,,,,0.87,,,,,,,,,,,,,,,,169.06,,,,,,,,,,,24174.0,,,,,,,,,40868.0,,,,,42543.0,,,19984.0
March 2021,North 24 Parganas,,,,,,,,,,,,,,,50.04,,,,,0.9,,,,,,,,,,,,,,,,160.53,,,,,,,,,,,38005.0,,,,,,,,,61009.0,,,,,56053.0,,,35090.0
March 2021,Paschim Bardhaman,,,,,,,,,,,,,,,103.69,,,,,1.75,,,,,,,,,,,,,,,,117.09,,,,,,,,,,,7339.0,,,,,,,,,8593.0,,,,,8040.0,,,6339.0
March 2021,Paschim Medinipur,,,,,,,,,,,,,,,82.72,,,,,1.16,,,,,,,,,,,,,,,,183.07,,,,,,,,,,,32871.0,,,,,,,,,60176.0,,,,,53169.0,,,32568.0
March 2021,Purba Bardhaman,,,,,,,,,,,,,,,96.1,,,,,2.05,,,,,,,,,,,,,,,,126.02,,,,,,,,,,,33038.0,,,,,,,,,41633.0,,,,,46226.0,,,33850.0
March 2021,Purba Medinipur,,,,,,,,,,,,,,,96.88,,,,,1.52,,,,,,,,,,,,,,,,188.42,,,,,,,,,,,42328.0,,,,,,,,,79753.0,,,,,68263.0,,,42847.0
March 2021,Purulia,,,,,,,,,,,,,,,48.83,,,,,0.78,,,,,,,,,,,,,,,,143.21,,,,,,,,,,,20472.0,,,,,,,,,29318.0,,,,,28564.0,,,13935.0
March 2021,South 24 Parganas,,,,,,,,,,,,,,,79.67,,,,,1.19,,,,,,,,,,,,,,,,145.57,,,,,,,,,,,42602.0,,,,,,,,,62017.0,,,,,60701.0,,,29984.0
March 2021,Uttar Dinajpur,,,,,,,,,,,,,,,92.81,,,,,1.09,,,,,,,,,,,,,,,,211.78,,,,,,,,,,,14110.0,,,,,,,,,29882.0,,,,,31960.0,,,10666.0
March 2024,Alipurduar,,,,,,,,,,,,,,,83.82,,,,,,,2.56,,,,,,,,,,18697.0,,,,164.6,,,,,,22912.0,,,14005.0,,,,11359.0,,,,,,,,,,,,,,,
March 2024,Bankura,,,,,,,,,,,,,,,73.14,,,,,,,2.3,,,,,,,,,,44079.0,,,,128.6,,,,,,57828.0,,,35029.0,,,,34275.0,,,,,,,,,,,,,,,
March 2024,Birbhum,,,,,,,,,,,,,,,81.77,,,,,,,3.14,,,,,,,,,,51104.0,,,,104.72,,,,,,67080.0,,,45017.0,,,,48800.0,,,,,,,,,,,,,,,
March 2024,Cooch Behar,,,,,,,,,,,,,,,124.49,,,,,,,3.57,,,,,,,,,,47424.0,,,,180.15,,,,,,54502.0,,,30071.0,,,,26325.0,,,,,,,,,,,,,,,
March 2024,Dakshin Dinajpur,,,,,,,,,,,,,,,70.66,,,,,,,2.03,,,,,,,,,,21400.0,,,,131.9,,,,,,26085.0,,,17317.0,,,,16225.0,,,,,,,,,,,,,,,
March 2024,Darjeeling,,,,,,,,,,,,,,,87.91,,,,,,,3.51,,,,,,,,,,6603.0,,,,109.34,,,,,,7359.0,,,6492.0,,,,6039.0,,,,,,,,,,,,,,,
March 2024,Hooghly,,,,,,,,,,,,,,,93.35,,,,,,,2.72,,,,,,,,,,42626.0,,,,136.8,,,,,,49862.0,,,37643.0,,,,31160.0,,,,,,,,,,,,,,,
March 2024,Howrah,,,,,,,,,,,,,,,78.57,,,,,,,2.96,,,,,,,,,,30471.0,,,,101.95,,,,,,37379.0,,,30513.0,,,,29888.0,,,,,,,,,,,,,,,
March 2024,Jalpaiguri,,,,,,,,,,,,,,,81.13,,,,,,,2.62,,,,,,,,,,29872.0,,,,145.31,,,,,,36926.0,,,23830.0,,,,20557.0,,,,,,,,,,,,,,,
March 2024,Jhargram,,,,,,,,,,,,,,,66.31,,,,,,,2.51,,,,,,,,,,14286.0,,,,105.82,,,,,,18788.0,,,14319.0,,,,13500.0,,,,,,,,,,,,,,,
March 2024,Kalimpong,,,,,,,,,,,,,,,103.56,,,,,,,3.95,,,,,,,,,,2974.0,,,,103.8,,,,,,3360.0,,,2859.0,,,,2865.0,,,,,,,,,,,,,,,
March 2024,Kolkata,,,,,,,,,,,,,,,100.0,,,,,,,1.65,,,,,,,,,,959.0,,,,100.0,,,,,,3294.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,
March 2024,Malda,,,,,,,,,,,,,,,78.44,,,,,,,2.08,,,,,,,,,,47148.0,,,,147.35,,,,,,59351.0,,,35812.0,,,,31998.0,,,,,,,,,,,,,,,
March 2024,Murshidabad,,,,,,,,,,,,,,,74.53,,,,,,,2.11,,,,,,,,,,63347.0,,,,178.48,,,,,,82931.0,,,45378.0,,,,35493.0,,,,,,,,,,,,,,,
March 2024,Nadia,,,,,,,,,,,,,,,100.11,,,,,,,2.44,,,,,,,,,,46887.0,,,,145.23,,,,,,60511.0,,,29167.0,,,,32284.0,,,,,,,,,,,,,,,
March 2024,North 24 Parganas,,,,,,,,,,,,,,,80.2,,,,,,,2.44,,,,,,,,,,59033.0,,,,123.94,,,,,,73838.0,,,42645.0,,,,47629.0,,,,,,,,,,,,,,,
March 2024,Paschim Bardhaman,,,,,,,,,,,,,,,74.0,,,,,,,3.04,,,,,,,,,,8506.0,,,,74.87,,,,,,11205.0,,,8204.0,,,,11361.0,,,,,,,,,,,,,,,
March 2024,Paschim Medinipur,,,,,,,,,,,,,,,88.01,,,,,,,3.44,,,,,,,,,,48057.0,,,,97.47,,,,,,64043.0,,,46097.0,,,,49304.0,,,,,,,,,,,,,,,
March 2024,Purba Bardhaman,,,,,,,,,,,,,,,80.92,,,,,,,3.33,,,,,,,,,,45732.0,,,,98.35,,,,,,61455.0,,,42707.0,,,,46500.0,,,,,,,,,,,,,,,
March 2024,Purba Medinipur,,,,,,,,,,,,,,,86.59,,,,,,,4.31,,,,,,,,,,61068.0,,,,114.61,,,,,,78794.0,,,59155.0,,,,53285.0,,,,,,,,,,,,,,,
March 2024,Purulia,,,,,,,,,,,,,,,68.42,,,,,,,1.9,,,,,,,,,,26945.0,,,,116.14,,,,,,40063.0,,,20460.0,,,,23200.0,,,,,,,,,,,,,,,
March 2024,South 24 Parganas,,,,,,,,,,,,,,,88.51,,,,,,,2.5,,,,,,,,,,69467.0,,,,144.9,,,,,,83003.0,,,36678.0,,,,47942.0,,,,,,,,,,,,,,,
March 2024,Uttar Dinajpur,,,,,,,,,,,,,,,106.53,,,,,,,2.23,,,,,,,,,,32253.0,,,,178.23,,,,,,39474.0,,,19327.0,,,,18096.0,,,,,,,,,,,,,,,
September 2019,Alipurduar,,,,,,,,,,,,,6672.0,9832.0,,17.0,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,206.0,,,,,,14100.0,,,,,10038.0,,,,,,,,,
September 2019,Bankura,,,,,,,,,,,,,16882.0,8120.0,,31.0,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,5690.0,,,,,,28786.0,,,,,13810.0,,,,,,,,,
September 2019,Birbhum,,,,,,,,,,,,,19627.0,15804.0,,36.0,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,-91.0,,,,,,38359.0,,,,,15713.0,,,,,,,,,
September 2019,Cooch Behar,,,,,,,,,,,,,14265.0,6054.0,,24.0,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,2236.0,,,,,,22293.0,,,,,8290.0,,,,,,,,,
September 2019,Dakshin Dinajpur,,,,,,,,,,,,,9853.0,3305.0,,24.0,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,6350.0,,,,,,15012.0,,,,,9655.0,,,,,,,,,
September 2019,Hooghly,,,,,,,,,,,,,14794.0,6880.0,,36.0,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,2467.0,,,,,,22150.0,,,,,9347.0,,,,,,,,,
September 2019,Howrah,,,,,,,,,,,,,11903.0,10209.0,,42.0,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,114.0,,,,,,18313.0,,,,,10323.0,,,,,,,,,
September 2019,Jalpaiguri,,,,,,,,,,,,,9872.0,7648.0,,16.0,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,4956.0,,,,,,23940.0,,,,,12604.0,,,,,,,,,
September 2019,Jhargram,,,,,,,,,,,,,3785.0,6816.0,,17.0,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,741.0,,,,,,8661.0,,,,,7557.0,,,,,,,,,
September 2019,Kalimpong,,,,,,,,,,,,,1006.0,782.0,,41.0,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,0.0,,,,,,1126.0,,,,,782.0,,,,,,,,,
September 2019,Malda,,,,,,,,,,,,,19779.0,7280.0,,27.0,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,1502.0,,,,,,37084.0,,,,,8782.0,,,,,,,,,
September 2019,Murshidabad,,,,,,,,,,,,,21816.0,16860.0,,26.0,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,1036.0,,,,,,38008.0,,,,,17896.0,,,,,,,,,
September 2019,Nadia,,,,,,,,,,,,,14259.0,3857.0,,31.0,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,3658.0,,,,,,21447.0,,,,,7515.0,,,,,,,,,
September 2019,Paschim Medinipur,,,,,,,,,,,,,15419.0,10970.0,,24.0,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,2113.0,,,,,,33238.0,,,,,13083.0,,,,,,,,,
September 2019,Purba Medinipur,,,,,,,,,,,,,23180.0,16400.0,,36.0,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,3408.0,,,,,,39976.0,,,,,19808.0,,,,,,,,,
September 2019,Purulia,,,,,,,,,,,,,8556.0,10002.0,,17.0,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,4194.0,,,,,,20472.0,,,,,14196.0,,,,,,,,,
September 2019,South 24 Parganas,,,,,,,,,,,,,23191.0,15160.0,,29.0,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,6058.0,,,,,,42602.0,,,,,21218.0,,,,,,,,,
September 2019,Uttar Dinajpur,,,,,,,,,,,,,12094.0,10463.0,,42.0,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,1251.0,,,,,,13375.0,,,,,11714.0,,,,,,,,,
September 2020,Alipurduar,,,,,,,,,,,,,,,239.9,,,,,,1.01,,,,,,,8370.0,,,,,,,,,59.36,,,,,17136.0,836.0,,,3935.0,,,,,14100.0,,,,,,,,,,,,,
September 2020,Bankura,,,,,,,,,,,,,,,508.46,,,,,,1.01,,,,,,,17904.0,,,,,,,,,61.55,,,,,42531.0,2529.0,,,6774.0,,,,,29088.0,,,,,,,,,,,,,
September 2020,Birbhum,,,,,,,,,,,,,,,813.81,,,,,,1.55,,,,,,,18979.0,,,,,,,,,37.24,,,,,52939.0,536.0,,,6763.0,,,,,50960.0,,,,,,,,,,,,,
September 2020,Cooch Behar,,,,,,,,,,,,,,,659.56,,,,,,0.98,,,,,,,19231.0,,,,,,,,,81.97,,,,,41471.0,2427.0,,,8082.0,,,,,23462.0,,,,,,,,,,,,,
September 2020,Dakshin Dinajpur,,,,,,,,,,,,,,,219.85,,,,,,0.82,,,,,,,8191.0,,,,,,,,,53.98,,,,,18209.0,2975.0,,,2471.0,,,,,15175.0,,,,,,,,,,,,,
September 2020,Darjeeling,,,,,,,,,,,,,,,61.55,,,,,,1.46,,,,,,,2489.0,,,,,,,,,83.8,,,,,3758.0,47.0,,,1123.0,,,,,2970.0,,,,,,,,,,,,,
September 2020,Hooghly,,,,,,,,,,,,,,,451.92,,,,,,1.13,,,,,,,15457.0,,,,,,,,,70.25,,,,,30810.0,2273.0,,,6583.0,,,,,22002.0,,,,,,,,,,,,,
September 2020,Howrah,,,,,,,,,,,,,,,494.17,,,,,,1.55,,,,,,,10560.0,,,,,,,,,47.15,,,,,27710.0,1148.0,,,7288.0,,,,,22395.0,,,,,,,,,,,,,
September 2020,Jalpaiguri,,,,,,,,,,,,,,,408.53,,,,,,0.86,,,,,,,13705.0,,,,,,,,,58.34,,,,,28388.0,1680.0,,,5203.0,,,,,23493.0,,,,,,,,,,,,,
September 2020,Jhargram,,,,,,,,,,,,,,,130.31,,,,,,0.63,,,,,,,6000.0,,,,,,,,,69.28,,,,,12584.0,1230.0,,,2217.0,,,,,8661.0,,,,,,,,,,,,,
September 2020,Kalimpong,,,,,,,,,,,,,,,33.61,,,,,,1.45,,,,,,,1157.0,,,,,,,,,83.96,,,,,2186.0,10.0,,,495.0,,,,,1378.0,,,,,,,,,,,,,
September 2020,Malda,,,,,,,,,,,,,,,574.56,,,,,,0.74,,,,,,,19990.0,,,,,,,,,53.9,,,,,42119.0,6602.0,,,5904.0,,,,,37084.0,,,,,,,,,,,,,
September 2020,Murshidabad,,,,,,,,,,,,,,,671.12,,,,,,0.66,,,,,,,29206.0,,,,,,,,,76.84,,,,,61139.0,3100.0,,,9893.0,,,,,38008.0,,,,,,,,,,,,,
September 2020,Nadia,,,,,,,,,,,,,,,444.13,,,,,,0.64,,,,,,,19468.0,,,,,,,,,80.53,,,,,36943.0,2940.0,,,3935.0,,,,,24174.0,,,,,,,,,,,,,
September 2020,North 24 Parganas,,,,,,,,,,,,,,,569.83,,,,,,0.63,,,,,,,21617.0,,,,,,,,,56.88,,,,,49305.0,1049.0,,,11310.0,,,,,38005.0,,,,,,,,,,,,,
September 2020,Paschim Bardhaman,,,,,,,,,,,,,,,103.98,,,,,,1.39,,,,,,,3104.0,,,,,,,,,42.29,,,,,7175.0,64.0,,,2769.0,,,,,7339.0,,,,,,,,,,,,,
September 2020,Paschim Medinipur,,,,,,,,,,,,,,,608.96,,,,,,0.78,,,,,,,23438.0,,,,,,,,,71.3,,,,,43765.0,1126.0,,,12889.0,,,,,32871.0,,,,,,,,,,,,,
September 2020,Purba Bardhaman,,,,,,,,,,,,,,,733.76,,,,,,2.02,,,,,,,15122.0,,,,,,,,,45.77,,,,,42573.0,723.0,,,7891.0,,,,,33038.0,,,,,,,,,,,,,
September 2020,Purba Medinipur,,,,,,,,,,,,,,,973.48,,,,,,1.11,,,,,,,30855.0,,,,,,,,,72.9,,,,,55287.0,2473.0,,,13551.0,,,,,42328.0,,,,,,,,,,,,,
September 2020,Purulia,,,,,,,,,,,,,,,242.08,,,,,,0.56,,,,,,,13202.0,,,,,,,,,64.49,,,,,27315.0,8065.0,,,7789.0,,,,,20472.0,,,,,,,,,,,,,
September 2020,South 24 Parganas,,,,,,,,,,,,,,,612.21,,,,,,0.87,,,,,,,23232.0,,,,,,,,,54.53,,,,,53439.0,5364.0,,,8403.0,,,,,42602.0,,,,,,,,,,,,,
September 2020,Uttar Dinajpur,,,,,,,,,,,,,,,362.27,,,,,,0.74,,,,,,,13655.0,,,,,,,,,96.78,,,,,27069.0,2454.0,,,3146.0,,,,,14110.0,,,,,,,,,,,,,
September 2021,Alipurduar,,,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,79.01,,,,,,,,,,,,,,12235.0,,,,,,,,,9667.0,,,18686.0,,,6842.0,
September 2021,Bankura,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,56.44,,,,,,,,,,,,,,29110.0,,,,,,,,,16430.0,,,45983.0,,,11393.0,
September 2021,Birbhum,,,,,,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,40.03,,,,,,,,,,,,,,50988.0,,,,,,,,,20412.0,,,56254.0,,,17486.0,
September 2021,Cooch Behar,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,95.12,,,,,,,,,,,,,,28810.0,,,,,,,,,27405.0,,,45227.0,,,15761.0,
September 2021,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,60.15,,,,,,,,,,,,,,14598.0,,,,,,,,,8781.0,,,19883.0,,,5906.0,
