district,period,as_on_date,fy,acp_target_achievement__acp_agri_achievement,acp_target_achievement__acp_agri_pct,acp_target_achievement__acp_agri_target,acp_target_achievement__acp_msme_achievement,acp_target_achievement__acp_msme_pct,acp_target_achievement__acp_msme_target,acp_target_achievement__acp_other_psa_achievement,acp_target_achievement__acp_other_psa_pct,acp_target_achievement__acp_other_psa_target,acp_target_achievement__acp_total_achievement,acp_target_achievement__acp_total_pct,acp_target_achievement__acp_total_target,atm_network__atm_rural,atm_network__atm_rural_growth_abs,atm_network__atm_rural_growth_pct,atm_network__atm_rural_prev_fy,atm_network__atm_rural_prev_q,atm_network__atm_semi_urban,atm_network__atm_semi_urban_growth_abs,atm_network__atm_semi_urban_growth_pct,atm_network__atm_semi_urban_prev_fy,atm_network__atm_semi_urban_prev_q,atm_network__atm_total_growth_abs,atm_network__atm_total_growth_pct,atm_network__atm_total_prev_fy,atm_network__atm_total_prev_q,atm_network__atm_urban,atm_network__atm_urban_growth_abs,atm_network__atm_urban_growth_pct,atm_network__atm_urban_prev_fy,atm_network__atm_urban_prev_q,atm_network__total_atm,branch_network__branch_rural,branch_network__branch_rural_growth_abs,branch_network__branch_rural_growth_pct,branch_network__branch_rural_prev_fy,branch_network__branch_rural_prev_q,branch_network__branch_semi_urban,branch_network__branch_semi_urban_growth_abs,branch_network__branch_semi_urban_growth_pct,branch_network__branch_semi_urban_prev_fy,branch_network__branch_semi_urban_prev_q,branch_network__branch_total_growth_abs,branch_network__branch_total_growth_pct,branch_network__branch_total_prev_fy,branch_network__branch_total_prev_q,branch_network__branch_urban,branch_network__branch_urban_growth_abs,branch_network__branch_urban_growth_pct,branch_network__branch_urban_prev_fy,branch_network__branch_urban_prev_q,branch_network__total_branch,credit_deposit_ratio__advances_growth_abs,credit_deposit_ratio__advances_growth_pct,credit_deposit_ratio__advances_prev_fy,credit_deposit_ratio__advances_prev_quarter,credit_deposit_ratio__cd_ratio_benchmark,credit_deposit_ratio__cd_ratio_prev_fy,credit_deposit_ratio__cd_ratio_prev_quarter,credit_deposit_ratio__deposits_growth_abs,credit_deposit_ratio__deposits_growth_pct,credit_deposit_ratio__deposits_prev_fy,credit_deposit_ratio__deposits_prev_quarter,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit
Kondagaon,June 2023,30-06-2023,2023-24,125.47,29.301,428.21,53.15,67.707,78.5,4.98,11.008,45.24,183.6,33.2639,551.95,5,0,0,5,3,34,1,3.0303,33,32,1,2.5641,39,36,1,0,0,1,1,40,27,0,0,27,28,28,1,3.7037,27,25,1,1.8182,55,54,1,0,0,1,1,56,105.42,8.5528,1232.58,1093.31,40,60.9962,60.9205,-9.67,-0.4785,2020.75,1794.65,66.5314,1338,2011.08
Korba,June 2023,30-06-2023,2023-24,116.02,22.7094,510.89,489.78,100.8795,485.51,24.13,16.9512,142.35,629.93,55.3177,1138.75,21,0,0,21,19,21,0,0,21,17,2,1.1905,168,163,128,2,1.5873,126,127,170,42,0,0,42,40,28,0,0,28,27,1,0.7752,129,127,60,1,1.6949,59,60,130,308.54,4.9468,6237.21,5355.93,40,58.8347,52.0765,102.23,0.9643,10601.24,10284.74,61.1554,6545.75,10703.47
Korea,June 2023,30-06-2023,2023-24,41.13,33.5153,122.72,35.14,58.073,60.51,3.52,7.629,46.14,79.79,34.7866,229.37,2,0,0,2,8,37,-1,-2.6316,38,58,-1,-2.439,41,66,1,0,0,1,0,40,14,0,0,14,40,20,-1,-4.7619,21,47,-1,-2.7778,36,89,1,0,0,1,2,35,-1083.67,-62.8357,1724.61,1491.61,40,84.9938,28.4771,-74.91,-3.6918,2029.1,5237.92,32.7982,640.94,1954.19
Mahasamund,June 2023,30-06-2023,2023-24,576.41,29.1377,1978.23,133.11,52.0266,255.85,13.84,15.6331,88.53,723.36,31.1443,2322.61,32,1,3.2258,31,22,65,-2,-2.9851,67,64,-1,-1.0204,98,86,0,0,0,0,0,97,52,0,0,52,54,72,-1,-1.3699,73,71,-1,-0.7937,126,126,1,0,0,1,1,125,349.4,10.9511,3190.55,2916.9,40,75.7307,77.3053,1.83,0.0434,4213.02,3773.22,83.9876,3539.95,4214.85
Manendragarh-Chirmiri-Bharatpur,June 2023,30-06-2023,2023-24,65.21,38.2217,170.61,65.15,100.8202,64.62,2.8,6.1242,45.72,133.16,47.3963,280.95,8,0,0,8,0,26,3,13.0435,23,0,3,9.375,32,0,1,0,0,1,0,35,26,0,0,26,0,29,1,3.5714,28,0,1,1.8182,55,0,1,0,0,1,0,56,1137.27,109.6439,1037.24,0,40,29.0403,0,-27.37,-0.7663,3571.73,0,61.3513,2174.51,3544.36
Mohla-Manpur-Ambagarh Chowki,June 2023,30-06-2023,2023-24,81.14,37.8363,214.45,7.2,31.76,22.67,14.88,49.7492,29.91,103.22,38.6548,267.03,16,1,6.6667,15,0,1,0,0,1,0,1,6.25,16,0,0,0,0,0,0,17,28,0,0,28,0,1,0,0,1,0,0,0,30,0,1,0,0,1,0,30,78.91,31.362,251.61,0,40,26.5863,0,-22.65,-2.3933,946.39,0,35.7806,330.52,923.74
Mungeli,June 2023,30-06-2023,2023-24,200.79,29.3201,684.82,50.32,36.2119,138.96,4.2,2.4616,170.62,255.31,25.6748,994.4,6,0,0,6,3,27,0,0,27,25,0,0,41,35,8,0,0,8,7,41,23,0,0,23,22,28,0,0,28,28,0,0,52,51,1,0,0,1,1,52,144.59,12.8443,1125.71,1055.75,40,56.7889,60.6687,-79.06,-3.9884,1982.27,1740.19,66.7451,1270.3,1903.21
Narayanpur,June 2023,30-06-2023,2023-24,28.39,42.3731,67,10.71,69.4553,15.42,1.64,9.2187,17.79,40.74,40.6546,100.21,1,0,0,1,1,20,0,0,20,18,0,0,21,19,0,0,0,0,0,21,7,0,0,7,7,13,0,0,13,13,0,0,20,20,0,0,0,0,0,20,29.36,9.7419,301.38,252.37,40,42.1446,39.9244,20.17,2.8205,715.11,632.12,44.9815,330.74,735.28
Raigarh,June 2023,30-06-2023,2023-24,223.99,21.3911,1047.12,735.33,141.1084,521.11,21.77,5.3359,407.99,981.09,49.6448,1976.22,29,2,7.4074,27,30,39,0,0,39,62,1,0.6329,158,188,91,-1,-1.087,92,96,159,65,0,0,65,82,27,0,0,27,40,0,0,143,174,51,0,0,51,52,143,135.98,2.0387,6669.93,6180,40,71.4908,63.7226,-128.96,-1.3822,9329.78,9698.28,73.9707,6805.91,9200.82
Raipur,June 2023,30-06-2023,2023-24,1955.34,19.2707,10146.71,8288.37,140.8952,5882.65,174.12,9.5251,1828.02,10417.83,58.3391,17857.38,82,5,6.4935,77,66,66,2,3.125,64,61,9,1.1553,779,717,640,2,0.3135,638,590,788,103,0,0,103,102,67,0,0,67,72,1,0.1919,521,488,352,1,0.2849,351,314,522,16.43,0.0201,81721.78,71689.93,40,109.4952,114.2361,-1616.84,-2.1663,74635.04,62755.93,111.9422,81738.21,73018.2
Rajnandgaon,June 2023,30-06-2023,2023-24,622.46,48.2845,1289.15,345.35,173.3598,199.21,61.15,31.5271,193.96,1028.96,61.1632,1682.32,20,1,5.2632,19,36,19,0,0,19,31,-2,-1.5748,127,154,86,-3,-3.3708,89,87,125,49,0,0,49,95,22,0,0,22,37,0,0,122,184,51,0,0,51,52,122,476.08,12.746,3735.14,4490.43,40,54.6502,50.6161,80.37,1.1759,6834.63,8871.54,60.8998,4211.22,6915
Sakti,June 2023,30-06-2023,2023-24,187.7,27.9507,671.54,111.01,62.1731,178.55,10.83,20.1526,53.74,309.54,34.2476,903.83,17,1,6.25,16,0,20,-2,-9.0909,22,0,-2,-5.1282,39,0,0,-1,-100,1,0,37,32,0,0,32,0,21,0,0,21,0,0,0,53,0,0,0,0,0,0,53,56.29,4.774,1179.1,0,40,48.3864,0,-4.16,-0.1707,2436.84,0,50.7831,1235.39,2432.68
Sarangarh-Bilaigarh,June 2023,30-06-2023,2023-24,142.67,26.6538,535.27,34.59,14.7204,234.98,3.17,10.2822,30.83,180.43,22.5233,801.08,13,1,8.3333,12,0,28,0,0,28,0,1,2.439,41,0,1,0,0,1,0,42,30,0,0,30,0,16,0,0,16,0,0,0,46,0,0,0,0,0,0,46,98.85,10.5794,934.36,0,40,50.4849,0,-24.88,-1.3443,1850.77,0,56.5867,1033.21,1825.89
Sukma,June 2023,30-06-2023,2023-24,22.09,20.1367,109.7,9.83,55.2868,17.78,2.08,31.3725,6.63,34,25.3523,134.11,6,0,0,6,3,9,-1,-10,10,8,-1,-6.25,16,11,0,0,0,0,0,15,26,0,0,26,25,6,0,0,6,6,0,0,32,31,0,0,0,0,0,32,33.71,8.4908,397.02,345.02,40,41.8736,40.9388,41.56,4.3833,948.14,842.77,43.5213,430.73,989.7
Surajpur,June 2023,30-06-2023,2023-24,143.99,22.8839,629.22,99.64,113.6794,87.65,7.53,8.7477,86.08,251.16,31.2797,802.95,14,1,7.6923,13,9,38,0,0,38,33,1,1.8868,53,42,2,0,0,2,0,54,57,0,0,57,57,25,0,0,25,24,0,0,85,84,3,0,0,3,3,85,118.92,7.9404,1497.65,1295.6,40,35.1187,32.9728,-98.09,-2.3001,4264.54,3929.3,38.7997,1616.57,4166.45
Surguja,June 2023,30-06-2023,2023-24,201.66,31.6931,636.29,354.48,127.259,278.55,18.18,52.407,34.69,574.32,60.4847,949.53,25,2,8.6957,23,18,1,0,0,1,0,2,1.9048,105,95,81,0,0,81,77,107,57,0,0,57,56,3,0,0,3,3,-1,-0.9615,104,101,43,-1,-2.2727,44,42,103,168.62,4.9534,3404.12,2911.22,40,49.113,48.4553,-151.6,-2.1872,6931.2,6008.05,52.6984,3572.74,6779.6
Balod,September 2023,30-09-2023,2023-24,652.99,62.5559,1043.85,195.85,90.1496,217.25,24.48,29.9413,81.76,873.32,65.0343,1342.86,40,3,8.1081,37,31,48,2,4.3478,46,47,7,8.3333,84,79,3,2,200,1,1,91,69,0,0,69,69,37,1,2.7778,36,34,1,0.9434,106,104,1,0,0,1,1,107,522.43,30.8044,1695.96,1852.55,40,37.3896,44.5715,336.1,7.4098,4535.91,4156.36,45.5334,2218.39,4872.01
Baloda Bazar,September 2023,30-09-2023,2023-24,1028.57,56.2533,1828.46,353.04,96.8852,364.39,45.71,34.402,132.87,1427.32,61.3711,2325.72,23,3,15,20,17,69,-3,-4.1667,72,70,1,1.0638,94,87,3,1,50,2,0,95,48,0,0,48,59,64,0,0,64,66,0,0,112,125,0,0,0,0,0,112,608.97,20.7428,2935.82,3137.95,40,58.2217,61.8729,234.12,4.643,5042.48,5071.61,67.1794,3544.79,5276.6
Balrampur,September 2023,30-09-2023,2023-24,220.56,83.9909,262.6,122.63,102.1917,120,8.83,10.9553,80.6,352.02,75.9974,463.2,17,-1,-5.5556,18,15,18,3,20,15,11,2,5.8824,34,26,1,0,0,1,0,36,59,2,3.5088,57,51,12,0,0,12,12,2,2.8571,70,64,1,0,0,1,1,72,204.39,21.3972,955.22,918.36,40,40.1154,43.5719,194.31,8.1602,2381.18,2107.69,45.0248,1159.61,2575.49
Bastar,September 2023,30-09-2023,2023-24,397.27,56.1917,706.99,380.65,103.841,366.57,29.46,31.9661,92.16,807.38,69.2602,1165.72,20,-2,-9.0909,22,16,9,4,80,5,5,1,0.9091,110,102,82,-1,-1.2048,83,81,111,73,1,1.3889,72,68,4,0,0,4,3,1,0.8696,115,110,39,0,0,39,39,116,596.38,18.2671,3264.78,3012.15,40,62.8901,62.7188,531.03,10.2293,5191.25,4802.63,67.4759,3861.16,5722.28
Bemetara,September 2023,30-09-2023,2023-24,779.09,48.4895,1606.72,121.97,65.9333,184.99,14.94,18.6354,80.17,916.0,48.9348,1871.88,26,5,23.8095,21,20,31,1,3.3333,30,32,6,11.5385,52,53,1,0,0,1,1,58,53,1,1.9231,52,51,26,0,0,26,26,1,1.2658,79,78,1,0,0,1,1,80,488.33,28.5301,1711.63,1841.96,40,52.8566,64.1083,166.19,5.1321,3238.25,2873.2,64.6203,2199.96,3404.44
Bijapur,September 2023,30-09-2023,2023-24,95.05,89.2237,106.53,22.65,356.6929,6.35,1.4,12.1739,11.5,119.1,95.7549,124.38,8,0,0,8,8,9,-2,-18.1818,11,10,0,0,19,19,2,2,0,0,1,19,37,1,2.7778,36,34,9,2,28.5714,7,8,3,6.9767,43,42,0,0,0,0,0,46,114.24,23.8646,478.7,459.04,40,49.2191,49.1546,61.3,6.3028,972.59,933.87,57.3504,592.94,1033.89
Bilaspur,September 2023,30-09-2023,2023-24,876.91,42.0167,2087.05,2696.44,133.4871,2020,143.81,50.0592,287.28,3717.16,84.5899,4394.33,31,3,10.7143,28,23,34,0,0,34,26,8,2.5,320,296,263,5,1.938,258,247,328,69,-3,-4.1667,72,69,43,0,0,43,43,3,1.1858,253,247,144,6,4.3478,138,135,256,2607.57,19.4456,13409.54,11670.32,40,51.1333,45.9047,795.06,3.0317,26224.65,25422.94,59.2794,16017.11,27019.71
Dantewada,September 2023,30-09-2023,2023-24,32.27,42.753,75.48,58.59,112.0696,52.28,6.65,65.7115,10.12,97.51,70.7209,137.88,6,0,0,6,6,42,-1,-2.3256,43,39,1,2.0408,49,46,2,2,0,0,1,50,21,-1,-4.5455,22,21,22,1,4.7619,21,21,0,0,43,42,0,0,0,0,0,43,-852.71,-27.5641,3093.55,1516.69,40,127.017,67.7717,-34.85,-1.4309,2435.54,2237.94,93.3415,2240.84,2400.69
Dhamtari,September 2023,30-09-2023,2023-24,869.04,45.7146,1901.01,277.07,86.0466,322,30.78,29.3143,105,1176.89,50.5535,2328.01,19,-2,-9.5238,21,18,24,-1,-4,25,22,0,0,92,87,49,3,6.5217,46,47,92,54,1,1.8868,53,53,22,0,0,22,22,1,0.8929,112,113,37,0,0,37,38,113,477.4,16.6549,2866.42,2747.92,40,60.6249,62.2929,273.72,5.7892,4728.12,4411.29,66.8518,3343.82,5001.84
Durg,September 2023,30-09-2023,2023-24,1198.83,41.2782,2904.27,3821.86,380.7164,1003.86,190.53,102.6728,185.57,5211.22,127.2985,4093.7,51,2,4.0816,49,45,31,2,6.8966,29,29,5,1.0846,461,439,384,1,0.2611,383,365,466,76,0,0,76,75,40,0,0,40,37,1,0.3378,296,282,181,1,0.5556,180,170,297,2325.92,14.5972,15933.99,14835.17,40,53.4412,52.2683,1088.3,3.6501,29815.92,28382.75,59.0855,18259.91,30904.22
Gariaband,September 2023,30-09-2023,2023-24,427.39,47.464,900.45,87.56,113.0828,77.43,5.86,6.9604,84.19,520.81,49.0373,1062.07,23,0,0,23,16,22,-1,-4.3478,23,23,2,4.3478,46,39,3,3,0,0,0,48,34,0,0,34,33,25,0,0,25,23,0,0,59,56,0,0,0,0,0,59,242.51,23.5685,1028.96,997.57,40,53.5398,61.1342,59.05,3.0725,1921.86,1631.77,64.1862,1271.47,1980.91
Gaurela-Pendra-Marwahi,September 2023,30-09-2023,2023-24,107.02,37.5456,285.04,73.76,33.3801,220.97,5.12,5.0152,102.09,185.9,30.5706,608.1,0,0,0,0,0,22,0,0,22,21,0,0,23,22,1,0,0,1,1,23,9,2,28.5714,7,7,15,0,0,15,15,2,9.0909,22,22,0,0,0,0,0,24,121.07,22.865,529.5,494.08,40,42.9503,43.6378,19.48,1.5801,1232.82,1132.23,51.95,650.57,1252.3
Janjgir-Champa,September 2023,30-09-2023,2023-24,470.71,47.5551,989.82,370.2,140.2273,264,55.91,60.2738,92.76,896.82,66.5998,1346.58,32,-3,-8.5714,35,42,77,3,4.0541,74,90,7,6.3636,110,135,8,7,700,1,3,117,58,1,1.7544,57,85,58,0,0,58,76,1,0.8547,117,163,2,0,0,2,2,118,518.74,18.9318,2740.04,3705.91,40,47.1748,50.1946,91.34,1.5726,5808.27,7383.08,55.2372,3258.78,5899.61
Jashpur,September 2023,30-09-2023,2023-24,174.91,28.3853,616.2,186.73,251.0487,74.38,23.69,39.4373,60.07,385.33,51.3328,750.65,11,1,10,10,9,47,1,2.1739,46,43,2,3.4483,58,53,2,0,0,2,1,60,41,-1,-2.381,42,39,43,0,0,43,41,-1,-1.1628,86,81,1,0,0,1,1,85,216.07,14.2106,1520.48,1382.88,40,44.1014,44.4105,195.48,5.6699,3447.69,3113.86,47.6659,1736.55,3643.17
Kabirdham,September 2023,30-09-2023,2023-24,798.49,57.4102,1390.85,213.23,163.7083,130.25,46.13,40.9753,112.58,1057.85,64.7526,1633.68,16,1,6.6667,15,13,55,2,3.7736,53,52,4,5.7971,69,66,2,1,100,1,1,73,42,1,2.439,41,38,38,1,2.7027,37,36,2,2.5,80,76,2,0,0,2,2,82,547.75,29.8545,1834.73,2045.91,40,65.4249,84.2743,50.59,1.804,2804.33,2427.68,83.4517,2382.48,2854.92
Kanker,September 2023,30-09-2023,2023-24,522.57,76.04,687.23,194.86,71.2494,273.49,20.55,9.5813,214.48,737.98,62.7961,1175.2,26,2,8.3333,24,20,51,3,6.25,48,48,7,9.589,73,69,3,2,200,1,1,80,61,0,0,61,59,39,1,2.6316,38,34,1,1,100,94,1,0,0,1,1,101,414.07,21.3882,1935.97,1877.98,40,54.8121,57.5,269.26,7.6234,3532.01,3266.05,61.8225,2350.04,3801.27
Khairagarh-Chhuikhadan-Gandai,September 2023,30-09-2023,2023-24,435.67,63.914,681.65,30.5,132.6087,23,20.17,77.4875,26.03,486.34,66.5599,730.68,9,2,28.5714,7,0,14,0,0,14,0,2,8.6957,23,0,2,0,0,2,0,25,20,0,0,20,0,15,1,7.1429,14,0,1,2.7778,36,0,2,0,0,2,0,37,351.84,58.8076,598.29,0,40,47.9238,0,117.72,9.4295,1248.42,0,69.5485,950.13,1366.14
Kondagaon,September 2023,30-09-2023,2023-24,282.18,65.8976,428.21,113.03,143.9873,78.5,12.81,28.3156,45.24,408.02,73.9234,551.95,5,0,0,5,4,34,1,3.0303,33,32,2,5.1282,39,37,2,1,100,1,1,41,27,0,0,27,27,27,0,0,27,24,0,0,55,53,1,0,0,1,2,55,203.76,16.5312,1232.58,1179.64,40,60.9962,64.6998,50.58,2.503,2020.75,1823.25,69.3439,1436.34,2071.33
Korba,September 2023,30-09-2023,2023-24,232.11,45.4325,510.89,946.04,194.8549,485.51,59.35,41.693,142.35,1237.5,108.6718,1138.75,22,1,4.7619,21,18,25,4,19.0476,21,17,8,4.7619,168,159,129,3,2.381,126,124,176,43,1,2.381,42,40,28,0,0,28,27,3,2.3256,129,125,61,2,3.3898,59,58,132,509.08,8.162,6237.21,5680.52,40,58.8347,54.5103,923.37,8.71,10601.24,10421.01,58.5381,6746.29,11524.61
Korea,September 2023,30-09-2023,2023-24,83.97,68.4241,122.72,83.29,137.6467,60.51,9.76,21.153,46.14,177.02,77.1766,229.37,2,0,0,2,8,38,0,0,38,58,0,0,41,66,1,0,0,1,0,41,14,0,0,14,40,22,1,4.7619,21,47,1,2.7778,36,89,1,0,0,1,2,37,-1032.71,-59.8808,1724.61,2630.22,40,84.9938,48.5399,135.21,6.6635,2029.1,5418.68,31.9686,691.9,2164.31
Mahasamund,September 2023,30-09-2023,2023-24,1061.63,47.8378,2219.23,226.14,88.3877,255.85,30.56,34.5194,88.53,1318.33,51.4247,2563.61,31,0,0,31,21,64,-3,-4.4776,67,66,1,1.0204,98,87,4,4,0,0,0,99,52,0,0,52,54,72,-1,-1.3699,73,71,-1,-0.7937,126,126,1,0,0,1,1,125,692.66,21.7097,3190.55,3152.11,40,75.7307,85.6882,185.1,4.3935,4213.02,3678.58,88.2925,3883.21,4398.12
Manendragarh-Chirmiri-Bharatpur,September 2023,30-09-2023,2023-24,122.95,72.0649,170.61,136.1,210.6159,64.62,7.01,15.3325,45.72,266.06,94.7001,280.95,8,0,0,8,0,26,3,13.0435,23,0,3,9.375,32,0,1,0,0,1,0,35,26,0,0,26,0,28,0,0,28,0,0,0,55,0,1,0,0,1,0,55,137.93,13.2978,1037.24,0,40,29.0403,0,260.73,7.2998,3571.73,0,30.6636,1175.17,3832.46
Mohla-Manpur-Ambagarh Chowki,September 2023,30-09-2023,2023-24,156.56,73.0054,214.45,19.62,86.5461,22.67,16.02,53.5607,29.91,192.2,71.9769,267.03,15,0,0,15,0,1,0,0,1,0,1,6.25,16,0,1,1,0,0,0,17,28,0,0,28,0,1,0,0,1,0,0,0,30,0,1,0,0,1,0,30,235.81,93.7204,251.61,0,40,26.5863,0,171.66,18.1384,946.39,0,43.5955,487.42,1118.05
Mungeli,September 2023,30-09-2023,2023-24,334.32,48.8187,684.82,100.12,72.0495,138.96,9.71,5.691,170.62,444.15,44.6651,994.4,5,-1,-16.6667,6,5,30,3,11.1111,27,26,2,4.878,41,38,8,0,0,8,7,43,23,0,0,23,22,28,0,0,28,28,0,0,52,51,1,0,0,1,1,52,290.35,25.7926,1125.71,1155.84,40,56.7889,66.8425,95.16,4.8006,1982.27,1729.2,68.164,1416.06,2077.43
Narayanpur,September 2023,30-09-2023,2023-24,44.63,66.6119,67,24.59,159.4682,15.42,5.11,28.724,17.79,74.33,74.1742,100.21,1,0,0,1,1,19,-1,-5,20,18,0,0,21,19,1,1,0,0,0,21,7,0,0,7,7,13,0,0,13,13,0,0,20,20,0,0,0,0,0,20,64.36,21.3551,301.38,275.75,40,42.1446,40.3367,55.9,7.817,715.11,683.62,47.4365,365.74,771.01
Raigarh,September 2023,30-09-2023,2023-24,455.98,43.5461,1047.12,1252.96,240.4406,521.11,45.65,11.189,407.99,1754.59,88.7852,1976.22,30,3,11.1111,27,29,40,1,2.5641,39,64,4,2.5316,158,183,92,0,0,92,90,162,64,-1,-1.5385,65,81,27,0,0,27,40,0,0,143,172,52,1,1.9608,51,51,143,738.32,11.0694,6669.93,6880.15,40,71.4908,70.1972,145.5,1.5595,9329.78,9801.18,78.185,7408.25,9475.28
Raipur,September 2023,30-09-2023,2023-24,3069.41,46.3467,6622.71,12874.62,218.8575,5882.65,1786.29,97.7172,1828.02,17730.32,123.6995,14333.38,87,10,12.987,77,65,54,-10,-15.625,64,62,8,1.027,779,735,646,8,1.2539,638,608,787,103,0,0,103,101,66,-1,-1.4925,67,66,1,0.1919,521,492,353,2,0.5698,351,325,522,4832.1,5.9129,81721.78,66468.28,40,109.4952,101.262,2549.5,3.416,74635.04,65639.88,112.1389,86553.88,77184.54
Rajnandgaon,September 2023,30-09-2023,2023-24,941.25,47.3192,1989.15,560.79,281.507,199.21,91.31,47.0767,193.96,1593.35,66.8823,2382.32,19,0,0,19,36,19,0,0,19,32,-2,-1.5748,127,154,87,-2,-2.2472,89,86,125,50,1,2.0408,49,95,22,0,0,22,37,2,1.6393,122,184,52,1,1.9608,51,52,124,842.34,22.5518,3735.14,4673.71,40,54.6502,57.8112,358.02,5.2383,6834.63,8084.43,63.6411,4577.48,7192.65
Sakti,September 2023,30-09-2023,2023-24,329.26,49.0306,671.54,208.43,116.7348,178.55,22.88,42.5754,53.74,560.57,62.0216,903.83,17,1,6.25,16,0,22,0,0,22,0,2,5.1282,39,0,2,1,100,1,0,41,32,0,0,32,0,21,0,0,21,0,0,0,53,0,0,0,0,0,0,53,262.01,22.2212,1179.1,0,40,48.3864,0,176.06,7.2249,2436.84,0,55.1537,1441.11,2612.9
Sarangarh-Bilaigarh,September 2023,30-09-2023,2023-24,294.29,54.9797,535.27,73.49,31.275,234.98,6.86,22.2511,30.83,374.64,46.7669,801.08,14,2,16.6667,12,0,28,0,0,28,0,2,4.878,41,0,1,0,0,1,0,43,31,1,3.3333,30,0,17,1,6.25,16,0,2,4.3478,46,0,0,0,0,0,0,48,257.63,27.5729,934.36,0,40,50.4849,0,189.46,10.2368,1850.77,0,58.4243,1191.99,2040.23
Sukma,September 2023,30-09-2023,2023-24,50.74,46.2534,109.7,22.51,126.6029,17.78,3.56,53.6953,6.63,76.81,57.2739,134.11,8,2,33.3333,6,3,6,-4,-40,10,9,-1,-6.25,16,12,1,1,0,0,0,15,26,0,0,26,25,6,0,0,6,6,0,0,32,31,0,0,0,0,0,32,101.77,25.6335,397.02,379.49,40,41.8736,43.7447,155.32,16.3815,948.14,867.51,45.2024,498.79,1103.46
Surajpur,September 2023,30-09-2023,2023-24,284.39,45.1972,629.22,220.83,251.9452,87.65,18.08,21.0037,86.08,523.3,65.1722,802.95,14,1,7.6923,13,9,38,0,0,38,33,2,3.7736,53,42,3,1,50,2,0,55,59,2,3.5088,57,57,26,1,4,25,24,3,3.5294,85,84,3,0,0,3,3,88,288.37,19.2548,1497.65,1418.61,40,35.1187,36.08,40.26,0.9441,4264.54,3931.85,41.489,1786.02,4304.8
Surguja,September 2023,30-09-2023,2023-24,415.52,45.3728,915.79,672.14,241.2996,278.55,37.24,107.3508,34.69,1124.9,91.5275,1229.03,26,3,13.0435,23,18,4,3,300,1,0,4,3.8095,105,93,79,-2,-2.4691,81,75,109,57,0,0,57,56,3,0,0,3,3,0,0,104,101,44,0,0,44,42,104,354,10.3992,3404.12,3176.72,40,49.113,51.8713,-163.17,-2.3541,6931.2,6124.23,55.5275,3758.12,6768.03
Balod,December 2023,31-12-2023,2023-24,755.65,72.3907,1043.85,274.06,126.1496,217.25,37.95,46.4163,81.76,1067.66,79.5064,1342.86,41,4,10.8108,37,32,50,4,8.6957,46,46,8,9.5238,84,79,1,0,0,1,1,92,69,0,0,69,69,37,1,2.7778,36,35,1,0.9434,106,105,1,0,0,1,1,107,362.88,21.3967,1695.96,1602.2,40,37.3896,35.7028,597.86,13.1806,4535.91,4487.6,40.1039,2058.84,5133.77
Baloda Bazar,December 2023,31-12-2023,2023-24,1282.08,70.118,1828.46,445.4,122.2317,364.39,72.79,54.7829,132.87,1800.27,77.407,2325.72,24,4,20,20,18,70,-2,-2.7778,72,69,2,2.1277,94,88,2,0,0,2,1,96,49,1,2.0833,48,56,64,0,0,64,64,1,0.8929,112,120,0,0,0,0,0,113,577.62,19.6749,2935.82,2927.5,40,58.2217,54.1594,519.26,10.2977,5042.48,5405.34,63.1716,3513.44,5561.74
Balrampur,December 2023,31-12-2023,2023-24,272.32,103.7014,262.6,114.04,95.0333,120,16.29,20.2109,80.6,402.65,86.9279,463.2,18,0,0,18,16,17,2,13.3333,15,15,3,8.8235,34,31,2,1,100,1,0,37,59,2,3.5088,57,54,12,0,0,12,12,2,2.8571,70,67,1,0,0,1,1,72,194.59,20.3712,955.22,927.38,40,40.1154,40.4468,206.33,8.665,2381.18,2292.84,44.4369,1149.81,2587.51
Bastar,December 2023,31-12-2023,2023-24,486.25,68.7775,706.99,499.08,136.1486,366.57,42.72,46.3542,92.16,1028.05,88.1901,1165.72,25,3,13.6364,22,17,4,-1,-20,5,4,2,1.8182,110,105,83,0,0,83,84,112,74,2,2.7778,72,68,4,0,0,4,4,2,1.7391,115,111,39,0,0,39,39,117,375.31,11.4957,3264.78,3096.97,40,62.8901,60.8656,981.33,18.9035,5191.25,5088.21,58.9719,3640.09,6172.58
Bemetara,December 2023,31-12-2023,2023-24,1143.77,71.1866,1606.72,166.51,90.0103,184.99,25.04,31.2336,80.17,1335.32,71.3358,1871.88,26,5,23.8095,21,20,33,3,10,30,32,8,15.3846,52,53,1,0,0,1,1,60,53,1,1.9231,52,52,26,0,0,26,26,1,1.2658,79,79,1,0,0,1,1,80,529,30.9062,1711.63,1720.45,40,52.8566,52.9075,590.75,18.2429,3238.25,3251.81,58.5174,2240.63,3829
Bijapur,December 2023,31-12-2023,2023-24,104.72,98.3009,106.53,22.94,361.2598,6.35,2.47,21.4783,11.5,130.13,104.6229,124.38,9,1,12.5,8,8,11,0,0,11,10,1,5.2632,19,18,0,0,0,0,0,20,37,1,2.7778,36,34,9,2,28.5714,7,8,3,6.9767,43,42,0,0,0,0,0,46,129.72,27.0984,478.7,468.01,40,49.2191,49.271,24.28,2.4964,972.59,949.87,61.033,608.42,996.87
