district,period,acp_outstanding__a_c,acp_outstanding__amt,acp_target_achievement__ach,acp_target_achievement__achivemen,acp_target_achievement__achivemen_t,acp_target_achievement__achivement,acp_target_achievement__district_name,acp_target_achievement__t,acp_target_achievement__target,apy__aapb_achieved_in_current_fy,apy__achievement,apy__annual_target,apy__annual_target_achievem_ent_in_current_fy,apy__annual_target_achievement_in_current_fy,apy__annual_target_achievement_in_current_fy_2024_25,apy__apy_accounts_opened_in_current_fy,apy__apy_accounts_opened_in_current_fy_2024_25,apy__apy_accounts_opened_in_current_fy_2025_26,apy__coverage,apy__cumulative_apy_accounts_opened_since_inception,apy__district_name,apy__name_of_the_district,apy__no_of_branch_es,apy__no_of_branches,apy__no_of_branches_as_on_01_04_2023,atm_network__district_name,atm_network__rural,atm_network__semi_urban,atm_network__total,atm_network__urban,branch_network__district_name,branch_network__rural,branch_network__semi_urban,branch_network__total,branch_network__urban,cd_ratio__advances,cd_ratio__branch,cd_ratio__deposit,cd_ratio__deposits,cd_ratio__district_name,cd_ratio__rural,cd_ratio__semi_urban,cd_ratio__total,cd_ratio__urban,credit_deposit_ratio__cd_ratio,deaf__axis,deaf__cb,deaf__idbi,deaf__kotak,deaf__sbi,deaf__total,pmegp__102,pmegp__113,pmegp__1171_87,pmegp__1265_52,pmegp__131,pmegp__1327_71,pmegp__1343,pmegp__144,pmegp__1691_60,pmegp__1725_84,pmegp__18,pmegp__180,pmegp__192,pmegp__1940_01,pmegp__197,pmegp__1983_78,pmegp__2,pmegp__200,pmegp__2067_83,pmegp__208,pmegp__212_78,pmegp__217,pmegp__242,pmegp__251,pmegp__265,pmegp__2760_59,pmegp__280,pmegp__288_50,pmegp__3010_35,pmegp__313,pmegp__339_7,pmegp__367_99,pmegp__399,pmegp__415,pmegp__418,pmegp__431,pmegp__46,pmegp__471,pmegp__502,pmegp__515_21,pmegp__53,pmegp__558_19,pmegp__570_23,pmegp__583_79,pmegp__619_14,pmegp__6946_76,pmegp__790_46,pmegp__796_35,pmegp__80,pmegp__81,pmegp__827_26,pmegp__831_42,pmegp__872_22,pmegp__88_63,pmegp__961_93,pmegp__987_34,pmegp__bangalore,pmegp__dakshin_kannad,pmegp__m_m_subsidy,pmegp__no_of_proj,pmegp_outstanding__amt,pmegp_outstanding__no,pmfme__application_submitted_to_bank,pmfme__loan_disbursed,pmfme__loan_rejections,pmfme__loan_sanctions,pmfme__loans_under_process,pmfme__target_in_fy2023_24,pmfme__target_in_fy2024_25,pmfme__target_in_fy2025_26,pmfme__total_application,pmfme__total_application_received,pmfme__total_applications,pmfme__total_loan_disbursed,pmfme__total_loan_rejections,pmfme__total_loan_sanctions,pmfme__total_loan_under_process,pmmy_mudra__102459,pmmy_mudra__116785,pmmy_mudra__1298_44,pmmy_mudra__1303_18,pmmy_mudra__157894,pmmy_mudra__1_1,pmmy_mudra__258_72,pmmy_mudra__258_99,pmmy_mudra__268_15,pmmy_mudra__270_79,pmmy_mudra__3172,pmmy_mudra__321_14,pmmy_mudra__323_96,pmmy_mudra__357_28,pmmy_mudra__357_69,pmmy_mudra__37615,pmmy_mudra__3814,pmmy_mudra__447_58,pmmy_mudra__448_88,pmmy_mudra__51621,pmmy_mudra__620_02,pmmy_mudra__621_53,pmmy_mudra__75998,pmmy_mudra__974_45,pmmy_mudra__978_66,pmmy_mudra__account,pmmy_mudra__amount,pmmy_mudra__bagalkot,uncategorized__1,uncategorized__101,uncategorized__1660,uncategorized__1670,uncategorized__2,uncategorized__5010,uncategorized__5390,uncategorized__93,uncategorized__allotted_bank_based_on_urban_rural_branches,uncategorized__amt_in_lakhs,uncategorized__avg_of_pmjjby_opened_per_gp,uncategorized__avg_of_pmsby_opened_per_gp,uncategorized__bangalore,uncategorized__karnataka,uncategorized__ldm_opinoin_to_open_branch_yes_no,uncategorized__name_of_village,uncategorized__no,uncategorized__no_of_a_c,uncategorized__opened,uncategorized__pmjjby,uncategorized__pmsby,uncategorized__remarks_by_ldms,uncategorized__sourced,uncategorized__taluka_name,uncategorized__total_no_of_gp_updated_in_portal,uncategorized__total_no_of_gps,uncategorized__total_population,uncategorized__village_code
Kodagu,September 2024,294988,8574.12,3934.5,,,,KODAGU,,6593.59,,,13230,,,27.54,,3644,,,,KODAGU,,,,,KODAGU,62,68,144,14,KODAGU,129,62,193,2,8641.5,,11594.56,,KODAGU,,,,,74.53,,,,,,,,19,127.05,132.2,,,,43,,358.67,,,41,,,,30,,,,,,,,,,44,,,47,,6.9,89,,,,,,,90.01,,,,,179.98,,,122.72,,4,,,,,,,,KODAGU,,,,,4,3,0,4,0,,250,,,,127,53,2,56,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,33,,,,,,,234,5,1,,325,,14,102,,
Kolar,September 2024,556203,11754.34,4393.41,,,,KOLAR,,6957.29,,,16055,,,67.16,,10782,,,,KOLAR,,,,,KOLAR,63,72,310,175,KOLAR,110,56,222,56,11970.23,,10728.32,,KOLAR,,,,,111.58,,,,,,,,102,255.43,309.43,,,,180,,997.68,,,45,,,,10,,,,,,,,,,52,,,65,,95.34,311,,,,,,,327.03,,,,,553.67,,,175.35,,20,,,,,,,,KOLAR,,,,,12,1,4,3,5,,250,,,,157,50,14,54,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,,,,,,,1439,4,3,,1439,,37,154,,
Koppal,September 2024,419740,8003.59,3070.84,,,,KOPPAL,,6437.61,,,13240,,,83.69,,11080,,,,KOPPAL,,,,,KOPPAL,25,97,161,39,KOPPAL,75,77,188,36,8018.25,,7436.62,,KOPPAL,,,,,107.82,,,,,,,,215,147.73,180.44,,,,119,,1285.81,,,83,,,,31,,,,,,,,,,50,,,67,,39.52,391,,,,,,,718.18,,,,,372.42,,,249.56,,20,,,,,,,,KOPPAL,,,,,60,13,31,20,9,,250,,,,547,99,128,114,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,27,,,,,,,1383,5,4,,2376,,53,153,,
Mandya,September 2024,1013311,15508.55,6654.14,,,,MANDYA,,11594.14,,,22130,,,43.72,,9676,,,,MANDYA,,,,,MANDYA,74,82,288,132,MANDYA,208,88,355,59,16303.09,,11997.96,,MANDYA,,,,,135.88,,,,,,,,110,430.78,449.15,,,,126,,1088.82,,,72,,,,3,,,,,,,,,,100,,,107,,208.22,265,,,,,,,441.23,,,,,508.61,,,363.94,,32,,,,,,,,MANDYA,,,,,27,17,2,21,4,,260,,,,374,193,37,200,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,92,,,,,,,1497,15,4,,1761,,22,233,,
Mysuru,September 2024,1812901,47818.9,20732.45,,,,MYSURU,,30598.97,,,41735,,,44.78,,18687,,,,MYSURU,,,,,MYSURU,75,109,846,662,MYSURU,197,102,614,315,49398.35,,58268.86,,MYSURU,,,,,84.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,11,1,19,12,,250,,,,374,59,40,74,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,69,,,,,,,8577,3,14,,11426,,154,256,,
Raichur,September 2024,597750,14523.24,6293.68,,,,RAICHUR,,10932.76,,,19080,,,60.88,,11615,,,,RAICHUR,,,,,RAICHUR,11,109,226,106,RAICHUR,84,104,281,93,14522.53,,11088.68,,RAICHUR,,,,,130.97,,,,,,,,30,203.76,234.29,,,,124,,612.52,,,44,,,,27,,,,,,,,,,54,,,67,,42.69,174,,,,,,,117.33,,,,,384.99,,,192.23,,17,,,,,,,,RAICHUR,,,,,23,7,10,11,2,,250,,,,437,74,139,86,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,40,,,,,,,1425,0,3,,1483,,41,179,,
Ramanagara,September 2024,2655884,15435.41,6963.08,,,,RAMANAGARA,,12905.51,,,13395,,,28.40,,3804,,,,RAMANAGARA,,,,,RAMANAGARA,171,111,287,5,RAMANAGARA,114,92,209,3,15696.8,,13652.09,,RAMANAGARA,,,,,114.98,,,,,,,,55,259.5,282.82,,,,58,,636.49,,,75,,,,9,,,,,,,,,,51,,,62,,89.35,156,,,,,,,208.9,,,,,210.99,,,337.66,,24,,,,,,,,RAMANAGARA,,,,,18,7,4,10,4,,250,,,,255,64,44,68,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,8,0,,0,,0,126,,
Shivamogga,September 2024,812601,20040.99,7862.92,,,,SHIVAMOGGA,,12692.59,,,24270,,,36.77,,8923,,,,SHIVAMOGGA,,,,,SHIVAMOGGA,96,70,429,263,SHIVAMOGGA,157,61,352,134,20104.91,,23173.48,,SHIVAMOGGA,,,,,86.76,,,,,,,,190,523.98,570.81,,,,170,,1884.65,,,176,,,,4,,,,,,,,,,155,,,173,,247.16,503,,,,,,,633.24,,,,,654.81,,,712.08,,60,,,,,,,,SHIMOGA,,,,,62,39,5,47,10,,250,,,,568,254,48,275,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,,,,,,,1871,0,3,,2566,,65,262,,
Tumakuru,September 2024,956743,22103.59,8551.69,,,,TUMAKURU,,14139.36,,,26565,,,64.38,,17102,,,,TUMAKURU,,,,,TUMAKURU,74,136,462,252,TUMAKURU,201,123,423,99,22403.88,,20973.43,,TUMAKURU,,,,,106.82,,,,,,,,120,361.63,413.79,,,,175,,1468.97,,,71,,,,11,,,,,,,,,,79,,,90,,97.2,340,,,,,,,469.39,,,,,776.48,,,277.22,,22,,,,,,,,TUMKUR,,,,,89,27,10,36,43,,250,,,,736,187,148,220,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,,,,,,,151,0,0,,1762,,16,330,,
Udupi,September 2024,468922,19280,7556.39,,,,UDUPI,,12638.08,,,30290,,,29.01,,8788,,,,UDUPI,,,,,UDUPI,174,116,491,201,UDUPI,236,92,429,101,19534.47,,40984.45,,UDUPI,,,,,47.66,,,,,,,,65,724.14,791.16,,,,110,,1283.7,,,163,,,,8,,,,,,,,,,201,,,226,,161.04,307,,,,,,,302.24,,,,,477.51,,,625.07,,53,,,,,,,,UDUPI,,,,,59,33,1,53,5,,250,,,,506,196,30,225,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,246,1,1,,640,,54,155,,
Uttara Kannada,September 2024,502855,10516.11,4892.68,,,,UTTARA KANNADA,,8146.76,,,23385,,,38.78,,9068,,,,UTTARA KANNADA,,,,,UTTARA KANNADA,64,200,277,13,UTTARA KANNADA,174,159,360,27,10642.98,,22974.16,,UTTARA KANNADA,,,,,46.33,,,,,,,,135,250.72,384.67,,,,54,,837.65,,,98,,,,20,,,,,,,,,,76,,,136,,191.48,263,,,,,,,429.15,,,,,180.59,,,277.14,,83,,,,,,,,UTTARA KANNADA,,,,,26,13,7,18,1,,250,,,,301,130,18,142,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,26,,,,,,,369,4,1,,443,,17,229,,
Vijayapura,September 2024,799255,17618.05,6617.85,,,,VIJAYAPURA,,13759.54,,,20775,,,63.91,,13278,,,,VIJAYAPURA,,,,,VIJAYAPURA,32,96,292,164,VIJAYAPURA,137,100,333,96,17636.08,,17686.98,,VIJAYAPURA,,,,,99.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,30,38,49,13,,255,,,,1140,214,241,251,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,57,,,,,,,2633,1,7,,3455,,70,211,,
Yadgir,September 2024,286719,5673.6,2016.51,,,,YADGIR,,2930.84,,,10640,,,79.92,,8504,,,,YADGIR,,,,,YADGIR,17,86,106,3,YADGIR,51,70,131,10,5686.32,,4192.98,,YADGIR,,,,,135.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4,9,8,4,,250,,,,307,47,71,54,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,42,,,,,,,644,0,3,,752,,22,122,,
Bagalkote,December 2024,852748,18086.87,,,5915.31,236.03,BAGALKOTE,,7886.07,,,,,,,,,,,,,,,,,BAGALKOTE,52,169,305,84,BAGALKOTE,135,152,350,63,,,,,,4971,9251,18116,3893,,0,0,,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.17,,,,,,,459,,,,,,,,,,,
Ballari,December 2024,530534,16228.34,,,3589.01,684.41,BALLARI,,4395.36,,,,,,,,,,,,,,,,,BALLARI,17,82,255,156,BALLARI,70,57,225,98,,,,,,2409,4372,16265,9484,,0,0,,0,4,4,4,,,,5,,,,,,,,,87.12,,,21,10,,13,7.67,13,,,,,,,,,,,,,18,,3,,,,,10.62,,48.25,,,,,,,50.41,49.06,58.08,,,,,BELLARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.39,,,,,,,735,,,,,,,,,,,
Bengaluru Rural,December 2024,508085,18314.96,,,3803.33,368.45,BENGALURU RURAL,,4038.23,,,,,,,,,,,,,,,,,BENGALURU RURAL,121,199,328,8,BENGALURU RURAL,120,135,259,4,,,,,,6824,10802,18549,922,,0,0,,0,3,3,23,,,,14,,,,,,,,,297.06,,,6,29,,20,28.02,32,,,,,,,,,,,,,52,,5,,,,,143.09,,44.99,,,,,,,231.78,160.29,247.55,,,,,BANGALORE RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.07,,,,,,,306,,,,,,,,,,,
Bengaluru Urban,December 2024,8656559,795983.38,,,16924.42,6311.2,BENGALURU URBAN,,21791.8,,,,,,,,,,,,,,,,,BENGALURU URBAN,216,231,6888,6441,BENGALURU URBAN,153,104,2934,2677,,,,,,10850,16242,791212,764120,,0,0,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.72,,,,,,,1100,,,,,,,,,,,
Bidar,December 2024,531974,10378.45,,,1773.77,72.22,BIDAR,,2205.61,,,,,,,,,,,,,,,,,BIDAR,33,104,258,121,BIDAR,110,61,231,60,,,,,,2408,4300,10404,3695,,0,0,,0,4,4,0,,,,4,,,,,,,,,19.47,,,23,5,,10,9.96,11,,,,,,,,,,,,,12,,6,,,,,0.00,,9.65,,,,,,,6.01,11.97,15.97,,,,,BIDAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.90,,,,,,,361,,,,,,,,,,,
Chikkaballapura,December 2024,429185,9087.27,,,2798.88,90.54,CHIKKABALLAPURA,,3083.57,,,,,,,,,,,,,,,,,CHIKKABALLAPURA,53,176,232,3,CHIKKABALLAPURA,99,72,181,10,,,,,,3099,5158,9176,918,,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.48,,,,,,,289,,,,,,,,,,,
Chikkamagaluru,December 2024,523870,13605.25,,,4122.82,127.2,CHIKKAMAGALURU,,5274.71,,,,,,,,,,,,,,,,,CHIKKAMAGALURU,86,56,226,84,CHIKKAMAGALURU,181,66,308,61,,,,,,5132,3474,13737,5131,,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.54,,,,,,,455,,,,,,,,,,,
Chitradurga,December 2024,656997,12137.17,,,3872.23,257.17,CHITRADURGA,,4729.17,,,,,,,,,,,,,,,,,CHITRADURGA,42,84,227,101,CHITRADURGA,144,72,267,51,,,,,,3690,4789,12171,3692,,0,0,,0,1,1,4,,,,6,,,,,,,,,29.54,,,14,0,,2,17.50,1,,,,,,,,,,,,,11,,1,,,,,6.50,,19.54,,,,,,,0.00,6.00,17.50,,,,,CHITRADURGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.38,,,,,,,287,,,,,,,,,,,
Dakshina Kannada,December 2024,1230497,53124.79,,,8898.56,4577.36,DAKSHINA KANNADA,,14917.1,,,,,,,,,,,,,,,,,DAKSHINA KANNADA,165,165,808,478,DAKSHINA KANNADA,270,135,666,261,,,,,,14291,7042,54296,32962,,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.53,,,,,,,927,,,,,,,,,,,
Dharwad,December 2024,878701,32940.79,,,3540.82,603.44,DHARWAD,,4650.39,,,,,,,,,,,,,,,,,DHARWAD,31,41,505,433,DHARWAD,99,41,398,258,,,,,,3321,1762,33013,27930,,0,0,,0,2,2,26,,,,34,,,,,,,,,319.77,,,25,18,,37,8.42,24,,,,,,,,,,,,,87,,6,,,,,62.39,,156.11,,,,,,,34.89,94.93,43.31,,,,,DHARWAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.37,,,,,,,427,,,,,,,,,,,
Gadag,December 2024,362369,7967.56,,,2695.8,80.1,GADAG,,3594.97,,,,,,,,,,,,,,,,,GADAG,15,58,141,68,GADAG,84,64,195,47,,,,,,3120,2744,7970,2106,,0,1,,0,0,1,1,,,,5,,,,,,,,,18.20,,,29,2,,2,1.75,3,,,,,,,,,,,,,8,,1,,,,,1.75,,12.20,,,,,,,2.80,3.55,4.55,,,,,GADAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.05,,,,,,,235,,,,,,,,,,,
Hassan,December 2024,1023773,19578.57,,,6386.55,234.14,HASSAN,,7539.28,,,,,,,,,,,,,,,,,HASSAN,118,94,439,227,HASSAN,214,81,391,96,,,,,,6905,4724,19788,8159,,0,0,,0,5,5,13,,,,37,,,,,,,,,446.73,,,17,25,,35,8.57,25,,,,,,,,,,,,,72,,1,,,,,104.70,,214.42,,,,,,,184.90,201.30,184.90,,,,,HASSAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.30,,,,,,,433,,,,,,,,,,,
Haveri,December 2024,729382,14084.38,,,4104.7,207.71,HAVERI,,4961.69,,,,,,,,,,,,,,,,,HAVERI,23,102,179,54,HAVERI,132,92,265,41,,,,,,5542,5857,14141,2742,,0,0,,0,0,0,2,,,,8,,,,,,,,,38.54,,,28,6,,5,5.25,8,,,,,,,,,,,,,11,,3,,,,,10.50,,26.99,,,,,,,12.29,12.56,14.78,,,,,HAVERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.78,,,,,,,327,,,,,,,,,,,
Kalaburagi,December 2024,687527,17223.52,,,2979.77,363.36,KALABURAGI,,3740.5,,,,,,,,,,,,,,,,,KALABURAGI,31,85,385,269,KALABURAGI,119,75,315,121,,,,,,3380,3640,17232,10212,,0,0,,0,1,1,5,,,,5,,,,,,,,,48.98,,,19,0,,7,6.25,3,,,,,,,,,,,,,14,,3,,,,,15.50,,10.75,,,,,,,0.00,47.32,6.25,,,,,GULBARGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.16,,,,,,,340,,,,,,,,,,,
Kodagu,December 2024,319079,9156.91,,,2553.81,174.05,KODAGU,,3169.17,,,,,,,,,,,,,,,,,KODAGU,63,72,149,14,KODAGU,129,60,191,2,,,,,,4551,4522,9226,153,,0,0,,1,0,1,0,,,,7,,,,,,,,,40.31,,,30,2,,3,0.00,2,,,,,,,,,,,,,10,,0,,,,,0.00,,31.26,,,,,,,20.20,8.97,20.20,,,,,KODAGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,,,,,,,308,,,,,,,,,,,
Kolar,December 2024,553282,12002.5,,,3805.38,436.99,KOLAR,,4176.67,,,,,,,,,,,,,,,,,KOLAR,63,75,313,175,KOLAR,110,56,221,55,,,,,,4428,3459,12194,4307,,0,0,,0,0,0,29,,,,32,,,,,,,,,234.98,,,10,18,,14,13.54,21,,,,,,,,,,,,,72,,3,,,,,85.53,,104.45,,,,,,,91.16,58.02,104.70,,,,,KOLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.23,,,,,,,356,,,,,,,,,,,
Koppal,December 2024,416945,8213.24,,,2381.32,262.87,KOPPAL,,3751.13,,,,,,,,,,,,,,,,,KOPPAL,26,94,159,39,KOPPAL,75,77,188,36,,,,,,2104,3785,8236,2347,,7,0,,0,3,10,1,,,,2,,,,,,,,,25.10,,,31,2,,4,0.50,3,,,,,,,,,,,,,6,,1,,,,,2.50,,14.00,,,,,,,4.20,9.17,4.70,,,,,KOPPAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.17,,,,,,,236,,,,,,,,,,,
Mandya,December 2024,1003766,15985.85,,,6237.01,323.56,MANDYA,,7218.22,,,,,,,,,,,,,,,,,MANDYA,77,87,299,135,MANDYA,205,88,352,59,,,,,,6654,4857,16798,5287,,0,0,,1,2,3,24,,,,26,,,,,,,,,357.15,,,3,8,,18,24.51,10,,,,,,,,,,,,,65,,4,,,,,143.67,,116.00,,,,,,,22.66,147.54,26.55,,,,,MANDYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.77,,,,,,,296,,,,,,,,,,,
Mysuru,December 2024,1794835,48344.72,,,8750.13,434.03,MYSURU,,10923.5,,,,,,,,,,,,,,,,,MYSURU,78,113,861,670,MYSURU,193,102,611,316,,,,,,7459,5817,48683,35408,,0,1,,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.45,,,,,,,541,,,,,,,,,,,
Raichur,December 2024,593666,15089.12,,,4394.39,1200.47,RAICHUR,,5587.6,,,,,,,,,,,,,,,,,RAICHUR,12,115,236,109,RAICHUR,84,105,282,93,,,,,,1900,6356,15095,6839,,0,0,,0,0,0,2,,,,1,,,,,,,,,49.10,,,27,7,,4,3.46,8,,,,,,,,,,,,,7,,1,,,,,6.35,,7.00,,,,,,,43.53,24.58,46.99,,,,,RAICHUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.13,,,,,,,239,,,,,,,,,,,
Ramanagara,December 2024,2485177,15418.91,,,7125.48,151.16,RAMANAGARA,,8971.26,,,,,,,,,,,,,,,,,RAMANAGARA,172,115,292,5,RAMANAGARA,114,93,210,3,,,,,,9220,5980,15705,505,,0,0,,0,1,1,26,,,,18,,,,,,,,,249.87,,,9,9,,20,38.39,11,,,,,,,,,,,,,59,,6,,,,,100.40,,73.82,,,,,,,48.06,82.33,53.20,,,,,RAMANAGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,,,,,,,242,,,,,,,,,,,
Shivamogga,December 2024,813849,20824.75,,,5001.19,430.77,SHIVAMOGGA,,6346.65,,,,,,,,,,,,,,,,,SHIVAMOGGA,100,72,438,266,SHIVAMOGGA,162,61,358,135,,,,,,5352,3905,20853,11596,,0,0,,0,3,3,2,,,,10,,,,,,,,,94.12,,,4,13,,8,51.05,14,,,,,,,,,,,,,16,,7,,,,,4.33,,54.79,,,,,,,76.95,66.21,80.38,,,,,SHIMOGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.54,,,,,,,967,,,,,,,,,,,
Tumakuru,December 2024,950232,22546.68,,,6741.28,448.22,TUMAKURU,,7734.81,,,,,,,,,,,,,,,,,TUMAKURU,78,137,469,254,TUMAKURU,203,124,426,99,,,,,,6543,6614,22839,9682,,0,0,,0,4,4,8,,,,28,,,,,,,,,319.73,,,11,9,,16,32.37,13,,,,,,,,,,,,,51,,4,,,,,68.25,,135.11,,,,,,,74.37,93.56,106.74,,,,,TUMKUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.84,,,,,,,455,,,,,,,,,,,
Udupi,December 2024,473787,19896.16,,,3003.2,787.5,UDUPI,,4439.3,,,,,,,,,,,,,,,,,UDUPI,173,117,497,207,UDUPI,236,94,434,104,,,,,,7437,5076,20142,7629,,0,0,,0,0,0,39,,,,49,,,,,,,,,848.98,,,8,107,,120,83.34,118,,,,,,,,,,,,,188,,27,,,,,196.69,,223.40,,,,,,,394.44,491.37,421.18,,,,,UDUPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.05,,,,,,,864,,,,,,,,,,,
Uttara Kannada,December 2024,509747,10808.25,,,2621.2,175.66,UTTARA KANNADA,,3226.92,,,,,,,,,,,,,,,,,UTTARA KANNADA,68,217,299,14,UTTARA KANNADA,175,162,365,28,,,,,,1919,6053,10942,2970,,0,0,,0,5,5,7,,,,36,,,,,,,,,192.89,,,20,12,,19,26.59,21,,,,,,,,,,,,,61,,13,,,,,27.75,,114.23,,,,,,,28.85,46.78,46.30,,,,,UTTARA KANNADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.83,,,,,,,763,,,,,,,,,,,
Vijayapura,December 2024,810472,18141.41,,,5120.72,137.68,VIJAYAPURA,,6916.45,,,,,,,,,,,,,,,,,VIJAYAPURA,32,96,289,161,VIJAYAPURA,139,100,336,97,,,,,,4845,5662,18161,7654,,0,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.56,,,,,,,646,,,,,,,,,,,
Yadgir,December 2024,292199,5859.67,,,1670.48,136.96,YADGIR,,1887.71,,,,,,,,,,,,,,,,,YADGIR,17,89,109,3,YADGIR,51,69,126,6,,,,,,1422,4201,5860,238,,0,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.62,,,,,,,156,,,,,,,,,,,
