district,period,branch_network__branch_rural,branch_network__branch_semi_urban,branch_network__branch_urban,branch_network__total_branch,credit_deposit_ratio__advances_rural,credit_deposit_ratio__advances_semi_urban,credit_deposit_ratio__advances_urban,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__deposits_rural,credit_deposit_ratio__deposits_semi_urban,credit_deposit_ratio__deposits_urban,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_branch,credit_deposit_ratio__total_deposit,non_priority_sector__agricuture,non_priority_sector__col_10,non_priority_sector__col_11,non_priority_sector__col_12,non_priority_sector__col_13,non_priority_sector__col_14,non_priority_sector__col_15,non_priority_sector__col_16,non_priority_sector__col_17,non_priority_sector__col_18,non_priority_sector__col_19,non_priority_sector__col_2,non_priority_sector__col_3,non_priority_sector__col_4,non_priority_sector__col_5,non_priority_sector__col_6,non_priority_sector__col_7,non_priority_sector__col_8,non_priority_sector__col_9,non_priority_sector__education,non_priority_sector__housing,non_priority_sector__others,non_priority_sector__personal_loan_under_nps,non_priority_sector__total_non_priority,priority_sector__agri_infra,priority_sector__agri_term,priority_sector__ancillary_activities,priority_sector__col_10,priority_sector__col_11,priority_sector__col_12,priority_sector__col_13,priority_sector__col_14,priority_sector__col_15,priority_sector__col_16,priority_sector__col_17,priority_sector__col_18,priority_sector__col_19,priority_sector__col_2,priority_sector__col_21,priority_sector__col_22,priority_sector__col_3,priority_sector__col_4,priority_sector__col_5,priority_sector__col_6,priority_sector__col_7,priority_sector__col_8,priority_sector__col_9,priority_sector__crop,priority_sector__education,priority_sector__export_credit,priority_sector__housing,priority_sector__msme,priority_sector__others,priority_sector__renewable_energy,priority_sector__social_infrastructure,priority_sector__sub_total,priority_sector__total_agriculture,priority_sector__total_priority_secotr
Suryapet,September 2020,61,56,33,150,,,,186.62,,,,6398.74,,3428.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikarabad,September 2020,59,35,1,95,,,,151.61,,,,3183.4,,2099.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanaparthy,September 2020,23,27,0,50,,,,149.74,,,,2178.18,,1454.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warangal,September 2020,29,6,148,183,,,,80.54,,,,12425.06,,15426.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yadadri Bhuvanagiri,September 2020,52,46,0,98,,,,133.97,,,,3313.59,,2473.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adilabad,December 2020,53,16,33,102,,,,155.53,,,,5730.86,,3684.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhadradri Kothagudem,December 2020,64,84,0,148,,,,83.05,,,,5269.41,,6344.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,December 2020,3,0,1084,1087,,,,136.44,,,,376557.2,,275979.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagitial,December 2020,70,30,21,121,,,,84.26,,,,3671.16,,4356.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jangoan,December 2020,31,22,1,54,,,,172.4,,,,2688.44,,1559.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayashankar Bhupalapally,December 2020,23,14,0,37,,,,104.06,,,,1246.82,,1198.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jogulamba Gadwal,December 2020,25,28,2,55,,,,140.53,,,,2132.56,,1517.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamareddy,December 2020,74,49,3,126,,,,130.75,,,,4122.94,,3153.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karimnagar,December 2020,78,35,93,206,,,,84.76,,,,8512.3,,10042.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khammam,December 2020,82,55,85,222,,,,132.05,,,,10698.98,,8102.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubabad,December 2020,21,37,1,59,,,,157.89,,,,2657.96,,1683.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubnagar,December 2020,45,26,55,126,,,,142,,,,6077.07,,4279.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mancherial,December 2020,46,58,4,108,,,,65.86,,,,4009.04,,6087.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medak,December 2020,66,40,5,111,,,,269.87,,,,5587.03,,2070.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medchal Malkajgiri,December 2020,40,95,485,620,,,,57.58,,,,44695.57,,77628.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulugu,December 2020,24,4,0,28,,,,120.08,,,,950.84,,791.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagarkurnool,December 2020,47,31,0,78,,,,146.16,,,,3156.87,,2159.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nalgonda,December 2020,92,46,73,211,,,,141.38,,,,10903.59,,7712.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanpet,December 2020,24,20,2,46,,,,165.21,,,,1759.66,,1065.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nirmal,December 2020,52,33,4,89,,,,138.83,,,,3523.29,,2537.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nizamabad,December 2020,151,55,66,272,,,,120.42,,,,9970.14,,8279.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peddapalli,December 2020,38,34,24,96,,,,55.25,,,,3554.14,,6432.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajanna Sircilla,December 2020,40,25,1,66,,,,78.94,,,,2104.19,,2665.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranga Reddy,December 2020,139,86,409,634,,,,65.76,,,,40531.19,,61638.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sangareddy,December 2020,84,101,28,213,,,,106.25,,,,12379.12,,11650.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddipet,December 2020,67,51,10,128,,,,111.35,,,,4939.06,,4435.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryapet,December 2020,61,55,32,148,,,,180.63,,,,6601.45,,3654.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikarabad,December 2020,59,35,1,95,,,,147.81,,,,3267.72,,2210.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanaparthy,December 2020,23,27,0,50,,,,142.43,,,,2224.81,,1562.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warangal,December 2020,27,6,165,198,,,,77.71,,,,12786.09,,16453.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yadadri Bhuvanagiri,December 2020,52,45,0,97,,,,127.65,,,,3412.73,,2673.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adilabad,March 2021,53,16,33,102,,,,159.58,,,,5886.84,,3688.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhadradri Kothagudem,March 2021,64,84,0,148,,,,94.27,,,,6152.74,,6526.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,March 2021,2,0,1098,1100,,,,128.14,,,,381342.97,,297601.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagitial,March 2021,70,31,21,122,,,,97.45,,,,4014.67,,4119.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jangoan,March 2021,31,23,1,55,,,,193.44,,,,2838.57,,1467.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayashankar Bhupalapally,March 2021,23,14,0,37,,,,120.1,,,,1394.26,,1160.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jogulamba Gadwal,March 2021,25,28,2,55,,,,160.03,,,,2282.28,,1426.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamareddy,March 2021,74,49,3,126,,,,147.16,,,,4271.74,,2902.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karimnagar,March 2021,78,35,92,205,,,,122.43,,,,9435.37,,7706.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khammam,March 2021,82,57,83,222,,,,144.3,,,,11555.24,,8007.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubabad,March 2021,21,37,1,59,,,,178.86,,,,2806.26,,1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubnagar,March 2021,47,26,55,128,,,,118.03,,,,6536.15,,5537.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mancherial,March 2021,46,58,4,108,,,,70.73,,,,4265.99,,6031.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medak,March 2021,65,40,5,110,,,,269.8,,,,5290.46,,1960.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medchal Malkajgiri,March 2021,40,95,478,613,,,,56.05,,,,44617.2,,79603.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulugu,March 2021,24,4,0,28,,,,114.5,,,,887.87,,775.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagarkurnool,March 2021,47,31,0,78,,,,155.46,,,,3445.59,,2216.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nalgonda,March 2021,92,47,74,213,,,,181.98,,,,11437.16,,6285.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanpet,March 2021,24,20,2,46,,,,185.1,,,,1841.36,,994.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nirmal,March 2021,53,34,3,90,,,,104.83,,,,4870.31,,4646.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nizamabad,March 2021,151,54,65,270,,,,134.52,,,,10696.56,,7951.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peddapalli,March 2021,38,35,23,96,,,,62.51,,,,3691.37,,5904.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajanna Sircilla,March 2021,40,25,1,66,,,,90.25,,,,2241.64,,2483.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranga Reddy,March 2021,138,85,412,635,,,,64.79,,,,43055.97,,66456.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sangareddy,March 2021,84,102,28,214,,,,109.14,,,,12938.27,,11854.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddipet,March 2021,67,51,10,128,,,,124.24,,,,5240.41,,4218.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryapet,March 2021,61,55,33,149,,,,211.85,,,,7136.19,,3368.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikarabad,March 2021,59,35,1,95,,,,155.43,,,,3289.97,,2116.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanaparthy,March 2021,23,27,0,50,,,,160.7,,,,2349.87,,1462.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warangal,March 2021,27,6,156,189,,,,85.19,,,,13703.54,,16086.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yadadri Bhuvanagiri,March 2021,52,45,0,97,,,,135.47,,,,3586.44,,2647.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adilabad,June 2021,54,17,32,103,,,,161.57,,,,5680.47,,3515.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhadradri Kothagudem,June 2021,52,92,9,153,,,,120.59,,,,9317.75,,7727.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,June 2021,1,0,1074,1075,,,,131.04,,,,419389.61,,320041.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagitial,June 2021,71,30,21,122,,,,89.36,,,,3986.52,,4461.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jangoan,June 2021,32,24,1,57,,,,170.05,,,,2785.52,,1638.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayashankar Bhupalapally,June 2021,24,14,0,38,,,,98.67,,,,1396.64,,1415.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jogulamba Gadwal,June 2021,25,27,2,54,,,,139.78,,,,2207.61,,1579.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamareddy,June 2021,74,48,3,125,,,,135.95,,,,4349.86,,3199.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karimnagar,June 2021,78,36,90,204,,,,90.58,,,,9370.34,,10345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khammam,June 2021,77,65,79,221,,,,136.92,,,,11509.58,,8406.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubabad,June 2021,19,39,1,59,,,,159.92,,,,2814.89,,1760.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubnagar,June 2021,46,25,54,125,,,,113.01,,,,6878.6,,6086.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mancherial,June 2021,47,56,4,107,,,,67.32,,,,4346.95,,6456.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medak,June 2021,66,39,5,110,,,,236.68,,,,5275.11,,2228.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medchal Malkajgiri,June 2021,41,93,484,618,,,,56.43,,,,37464.32,,66391.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulugu,June 2021,21,6,0,27,,,,94.22,,,,915.12,,971.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagarkurnool,June 2021,47,31,1,79,,,,139.91,,,,3437.65,,2457.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nalgonda,June 2021,90,50,69,209,,,,167.15,,,,11468.97,,6861.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanpet,June 2021,24,20,2,46,,,,154.35,,,,1824.03,,1181.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nirmal,June 2021,54,32,3,89,,,,144.32,,,,3752.8,,2600.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nizamabad,June 2021,153,53,62,268,,,,126.31,,,,10621.82,,8409.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peddapalli,June 2021,41,34,21,96,,,,58.67,,,,3762.18,,6412.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajanna Sircilla,June 2021,40,25,1,66,,,,80.96,,,,2229.87,,2754.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranga Reddy,June 2021,140,83,420,643,,,,63.58,,,,50236.66,,79009.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sangareddy,June 2021,85,102,28,215,,,,108.83,,,,12912.82,,11865.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddipet,June 2021,68,50,10,128,,,,111.05,,,,5204.73,,4686.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryapet,June 2021,63,55,29,147,,,,190.99,,,,7198.67,,3769.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikarabad,June 2021,59,35,3,97,,,,144,,,,3346.91,,2324.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanaparthy,June 2021,23,27,0,50,,,,138.49,,,,2328.8,,1681.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warangal,June 2021,25,7,154,186,,,,86.82,,,,13944.64,,16061.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yadadri Bhuvanagiri,June 2021,51,46,0,97,,,,118.78,,,,3662.59,,3083.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adilabad,September 2021,54,17,32,103,,,,171.87,,,,5923.15,,3446.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhadradri Kothagudem,September 2021,52,92,3,147,,,,92.26,,,,5989.92,,6492.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,September 2021,1,0,1093,1094,,,,125.49,,,,420026.7,,334704.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagitial,September 2021,71,30,22,123,,,,98.96,,,,4136.74,,4180.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jangoan,September 2021,34,24,1,59,,,,195.04,,,,2922.5,,1498.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayashankar Bhupalapally,September 2021,26,14,0,40,,,,111.55,,,,1478.14,,1325.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jogulamba Gadwal,September 2021,25,27,2,54,,,,164.64,,,,2335.21,,1418.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamareddy,September 2021,76,47,3,126,,,,150.45,,,,4526.02,,3008.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karimnagar,September 2021,78,36,90,204,,,,83.59,,,,9646.03,,11539.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khammam,September 2021,77,65,79,221,,,,145.65,,,,11804.52,,8104.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubabad,September 2021,20,40,1,61,,,,180.63,,,,2906.58,,1609.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubnagar,September 2021,46,26,53,125,,,,115.24,,,,7081.78,,6145.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mancherial,September 2021,49,57,3,109,,,,71.82,,,,4492.84,,6255.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medak,September 2021,67,40,5,112,,,,251.7,,,,5384.49,,2139.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medchal Malkajgiri,September 2021,40,90,484,614,,,,57.27,,,,39927.7,,69713.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulugu,September 2021,21,7,0,28,,,,124.03,,,,1001.32,,807.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagarkurnool,September 2021,47,33,0,80,,,,160.39,,,,3567.98,,2224.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nalgonda,September 2021,91,49,71,211,,,,177.06,,,,11744.2,,6632.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanpet,September 2021,26,20,1,47,,,,179.98,,,,1898.42,,1054.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nirmal,September 2021,54,32,3,89,,,,160.1,,,,3901.54,,2436.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nizamabad,September 2021,150,51,60,261,,,,136.58,,,,11102.76,,8129.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peddapalli,September 2021,40,34,28,102,,,,52.59,,,,4199.98,,7986.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajanna Sircilla,September 2021,41,25,1,67,,,,90.09,,,,2309.01,,2563.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranga Reddy,September 2021,139,83,403,625,,,,67.46,,,,51532.8,,76386.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sangareddy,September 2021,86,101,28,215,,,,114.48,,,,13582.53,,11864.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddipet,September 2021,67,49,12,128,,,,123.65,,,,5387.92,,4357.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryapet,September 2021,61,55,29,145,,,,216.59,,,,7482.83,,3454.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikarabad,September 2021,60,35,1,96,,,,153.51,,,,3445.87,,2244.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanaparthy,September 2021,23,28,1,52,,,,158.98,,,,2405.96,,1513.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warangal,September 2021,25,6,157,188,,,,106.72,,,,18856.66,,17668.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yadadri Bhuvanagiri,September 2021,50,45,0,95,,,,132.8,,,,3744.35,,2819.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adilabad,December 2021,54,15,31,100,,,,174.86,,,,7053.74,,4033.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhadradri Kothagudem,December 2021,53,90,14,157,,,,91.03,,,,6205.98,,6817.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
