table_id,state,indicator,file,codepath,quarters_present,usable_run,fill_pct,last_quarter,int_score,use_score,arr_score,integrity_flags,useful_flags,arrange_flags,unit_declared,unit_source,tier,verify_n,error_rate_ub95,disposition,recon_checks,recon_fails,recon_fail_rate
assam__non_ps_npa,assam,non_ps_npa,assam_non_ps_npa.csv,A/raw,12,7,100.0,September 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__non_ps_outstanding,assam,non_ps_outstanding,assam_non_ps_outstanding.csv,A/raw,12,7,100.0,September 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__nrlm,assam,nrlm,assam_nrlm.csv,A/raw,28,13,31.4,September 2025,75,75,25,TRANSIENT_GAP,SPARSE,REDUNDANT_COL;HEADER_STYLE;ORPHAN_COL,lakh (high),deposit_per_branch,,,,,0,0,
assam__nulm,assam,nulm,assam_nulm.csv,A/raw,22,13,70.3,September 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__other_ps_npa,assam,other_ps_npa,assam_other_ps_npa.csv,A/raw,21,13,98.0,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__other_ps_outstanding,assam,other_ps_outstanding,assam_other_ps_outstanding.csv,A/raw,21,13,86.2,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__pmegp,assam,pmegp,assam_pmegp.csv,A/raw,28,13,41.5,September 2025,75,75,25,TRANSIENT_GAP,SPARSE,REDUNDANT_COL;HEADER_STYLE;ORPHAN_COL,lakh (high),deposit_per_branch,,,,,0,0,
assam__pmfme,assam,pmfme,assam_pmfme.csv,A/raw,13,7,50.5,September 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__pmjdy,assam,pmjdy,assam_pmjdy.csv,A/raw,21,13,96.9,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__pmmy_mudra_disbursement,assam,pmmy_mudra_disbursement,assam_pmmy_mudra_disbursement.csv,A/raw,21,13,80.7,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__pmmy_mudra_os_npa,assam,pmmy_mudra_os_npa,assam_pmmy_mudra_os_npa.csv,A/raw,27,14,43.4,September 2025,75,50,50,TRANSIENT_GAP,SPARSE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__priority_sector_analysis,assam,priority_sector_analysis,assam_priority_sector_analysis.csv,A/raw,5,5,100.0,March 2020,100,50,25,,STALE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE;ORPHAN_COL,n/a,no-money-cols,,,,,0,0,
assam__recovery_bakijai,assam,recovery_bakijai,assam_recovery_bakijai.csv,A/raw,7,7,100.0,March 2020,100,50,50,,STALE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__rseti,assam,rseti,assam_rseti.csv,A/raw,2,1,94.7,March 2023,100,0,50,,NO_TREND;PARTIAL_DISTRICTS;STALE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__sc_st_finance,assam,sc_st_finance,assam_sc_st_finance.csv,A/raw,21,13,96.9,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__shg,assam,shg,assam_shg.csv,A/raw,21,13,59.4,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__social_security,assam,social_security,assam_social_security.csv,A/raw,28,10,32.8,September 2025,75,50,50,TRANSIENT_GAP,SPARSE;NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__sui,assam,sui,assam_sui.csv,A/raw,21,13,62.0,September 2025,75,75,50,TRANSIENT_GAP,NO_UNITS,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__tea_garden_labourers,assam,tea_garden_labourers,assam_tea_garden_labourers.csv,A/raw,7,7,90.5,March 2020,100,75,50,,STALE,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__uncategorized,assam,uncategorized,assam_uncategorized.csv,A/raw,6,3,30.7,March 2024,75,0,50,TRANSIENT_GAP,SPARSE;NO_TREND;STALE;TARGET_ONLY,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__weaker_section_os,assam,weaker_section_os,assam_weaker_section_os.csv,A/raw,21,13,97.7,September 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
assam__women_finance,assam,women_finance,assam_women_finance.csv,A/raw,21,13,67.4,September 2025,75,100,50,TRANSIENT_GAP,,REDUNDANT_COL;HEADER_STYLE,n/a,no-money-cols,,,,,0,0,
bihar__aadhaar_authentication,bihar,aadhaar_authentication,bihar_aadhaar_authentication.csv,hybrid,5,4,100.0,September 2025,100,75,50,,NO_UNITS,DATE_FORMAT;FY_NULL,n/a,no-money-cols,,,,,0,0,
bihar__aadhaar_authentication_2,bihar,aadhaar_authentication_2,bihar_aadhaar_authentication_2.csv,hybrid,1,1,100.0,December 2024,100,50,50,,NO_TREND;NO_UNITS,DATE_FORMAT;FY_NULL,n/a,no-money-cols,,,,,0,0,
bihar__acp_target_achievement,bihar,acp_target_achievement,bihar_acp_target_achievement.csv,hybrid,2,2,100.0,September 2025,100,50,25,,NO_TREND;NO_UNITS,ORPHAN_COL;DATE_FORMAT;FY_NULL,crore (high),deposit_per_branch,,,,,0,0,
bihar__agri_ancillary,bihar,agri_ancillary,bihar_agri_ancillary.csv,hybrid,2,2,100.0,September 2025,100,75,25,,NO_TREND,ORPHAN_COL;DATE_FORMAT;FY_NULL,crore (high),deposit_per_branch,,,,,0,0,
bihar__agri_disbursement,bihar,agri_disbursement,bihar_agri_disbursement.csv,hybrid,5,4,63.1,September 2025,100,75,50,,NO_UNITS,DATE_FORMAT;FY_NULL,crore (high),deposit_per_branch,,,,,0,0,
bihar__agri_disbursement_10,bihar,agri_disbursement_10,bihar_agri_disbursement_10.csv,hybrid,1,1,100.0,December 2024,100,75,50,,NO_TREND,DATE_FORMAT;FY_NULL,crore (high),deposit_per_branch,,,,,0,0,
