period,district,advance,as_on_30_06_2021,as_on_30_06_2022,as_on_30_09_2019,as_on_30_09_2021,as_on_30_09_2022,as_on_31_03_2020,as_on_31_03_2021,as_on_31_03_2022,as_on_31_12_2019,as_on_31_12_2021,cd_ratio,cd_ratio_as_on_december_2022,cd_ratio_as_on_december_2023_deposit,cd_ratio_as_on_june_2023,cd_ratio_as_on_june_2024,cd_ratio_as_on_june_2024_deposit,cd_ratio_as_on_june_2025_deposit,cd_ratio_as_on_march_2023,cd_ratio_as_on_sept_2018,cd_ratio_as_on_sept_2019_deposit,fy_2020_21_no_of_flc_camps_conducted,fy_2021_22_no_of_flc_camps_conducted,fy_2022_23_upto_dec_22_no_of_flc_camps_conducted,no_of_beneficiary_attended,no_of_flcs_in_district
September 2022,Jalpaiguri,,,,,46.77,,,,,,,,,,,,,,,,,,,,,
September 2022,Jhargram,,,,,40.02,,,,,,,,,,,,,,,,,,,,,
September 2022,Kalimpong,,,,,40.09,,,,,,,,,,,,,,,,,,,,,
September 2022,Kolkata,,,,,60.01,62.51,,,,,,,,,,,,,,,,,,,,
September 2022,Malda,,,,,56.54,58.93,,,,,,,,,,,,,,,,,,,,
September 2022,Murshidabad,,,,,42.83,47.44,,,,,,,,,,,,,,,,,,,,
September 2022,Nadia,,,,,49.75,49.81,,,,,,,,,,,,,,,,,,,,
September 2022,North 24 Parganas,,,,,39.7,40.43,,,,,,,,,,,,,,,,,,,,
September 2022,Paschim Bardhaman,,,,,41.66,44.98,,,,,,,,,,,,,,,,,,,,
September 2022,Paschim Medinipur,,,,,44.61,46.85,,,,,,,,,,,,,,,,,,,,
September 2022,Purba Bardhaman,,,,,47.82,52.96,,,,,,,,,,,,,,,,,,,,
September 2022,Purba Medinipur,,,,,44.55,46.93,,,,,,,,,,,,,,,,,,,,
September 2022,Purulia,,,,,47.67,48.78,,,,,,,,,,,,,,,,,,,,
September 2022,South 24 Parganas,,,,,44.74,45.32,,,,,,,,,,,,,,,,,,,,
September 2022,Uttar Dinajpur,,,,,61.63,60.05,,,,,,,,,,,,,,,,,,,,
