period,district,amount,amount_in_cr,amount_in_lac,cluster_adopted_by_banks,employed,employed_persons_18000,handloom,handloom_cluster,inactive_ineligible,kvib_cluster,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_disbursed_in_msme_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sanctioned_in_msme_cluster_no,loan_sponsored_in_handloom_cluster_no,loan_sponsored_in_kvib_cluster_no,loan_sponsored_sanct_ioned_in_handloom_cluster_no,loan_sponsored_sanct_ioned_in_kvib_cluster_no,loan_sponsored_sancti_oned_in_handloom_cluster_no,loan_sponsored_sancti_oned_in_kvib_cluster_no,msme_cluster,name_of_clusters_msme,no_of_application_approved_by_banks_no,no_of_application_pending_at_bankers_end,no_of_application_rejected_by_banks,no_of_application_sent_to_banks,no_of_clusters,no_of_clusters_covered,no_of_employed,no_of_stake_holders_identified_for_loan,no_of_unit,no_such_cluster,number_of_clusters,pending,proposal_sponsored_in_msme_cluster_no,proposals_sponsored_g_enerated_in_msme_cluster_no,proposals_sponsored_generated_in_msme_cluster_no,sr_1,total,units,units_no_300,wbkvib
December 2025,South 24 Parganas,,0.0,,,,,,,,,70.0,0.0,0.0,,76.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,122.0,,,,,
December 2025,Uttar Dinajpur,,0.0,,,,,,,,,2401.0,61.0,0.0,,2401.0,,,,61.0,0.0,,,,,,,,,,,,,,,,,,,2462.0,,,,,
June 2019,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Bankura,,,,,1600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,
June 2019,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Howrah,,,,,8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,,
June 2019,Jalpaiguri,,,,,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,,
June 2019,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Malda,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.0,,
June 2019,Murshidabad,,,,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,,
June 2019,Nadia,,,,,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,
June 2019,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,Purba Bardhaman,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,,
June 2019,Purba Medinipur,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,,
June 2019,Purulia,,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,
June 2019,Uttar Dinajpur,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,
June 2021,Alipurduar,,,,,,,,44.0,,0.0,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Bankura,,,,,,,,0.0,,110.0,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Birbhum,,,,,,,,0.0,,1.0,,,,,,,,,,,,,792.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Cooch Behar,,,,,,,,7.0,,6.0,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Dakshin Dinajpur,,,,,,,,0.0,,3.0,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Darjeeling,,,,,,,,0.0,,4.0,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Hooghly,,,,,,,,1.0,,0.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Howrah,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Jalpaiguri,,,,,,,,0.0,,132.0,,,,,,,,,,,,,3196.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Jhargram,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Kalimpong,,,,,,,,0.0,,0.0,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Kolkata,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Malda,,,,,,,,0.0,,0.0,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Murshidabad,,,,,,,,207.0,,0.0,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Nadia,,,,,,,,230.0,,17.0,,,,,,,,,,,,,247.0,,,,,,,,,,,,,,,,,,,,,
June 2021,North 24 Parganas,,,,,,,,247.0,,17.0,,,,,,,,,,,,,247.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Paschim Bardhaman,,,,,,,,0.0,,0.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Paschim Medinipur,,,,,,,,9.0,,41.0,,,,,,,,,,,,,3251.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Purba Bardhaman,,,,,,,,0.0,,0.0,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Purba Medinipur,,,,,,,,21.0,,0.0,,,,,,,,,,,,,1962.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Purulia,,,,,,,,0.0,,0.0,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,
June 2021,South 24 Parganas,,,,,,,,0.0,,8.0,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,
June 2021,Uttar Dinajpur,,,,,,,,0.0,,0.0,,,,,,,,,,,,,1568.0,,,,,,,,,,,,,,,,,,,,,
June 2022,Alipurduar,,0.91,,,,,,,,,26.0,28.0,49.0,,49.0,,,,,,59.0,78.0,,,,,,,,,,,,,,,,89.0,,,,,,
June 2022,Bankura,,0.75,,,,,,,,,47.0,0.0,57.0,,92.0,,,,,,0.0,155.0,,,,,,,,,,,,,,,,237.0,,,,,,
June 2022,Birbhum,,0.75,,,,,,,,,229.0,66.0,57.0,,252.0,,,,,,66.0,155.0,,,,,,,,,,,,,,,,497.0,,,,,,
June 2022,Cooch Behar,,1.06,,,,,,,,,1462.0,2.0,36.0,,1688.0,,,,,,6.0,47.0,,,,,,,,,,,,,,,,1704.0,,,,,,
June 2022,Dakshin Dinajpur,,0.06,,,,,,,,,17.0,0.0,3.0,,17.0,,,,,,0.0,4.0,,,,,,,,,,,,,,,,34.0,,,,,,
June 2022,Darjeeling,,0.42,,,,,,,,,2067.0,0.0,12.0,,2067.0,,,,,,0.0,12.0,,,,,,,,,,,,,,,,2067.0,,,,,,
June 2022,Hooghly,,0.0,,,,,,,,,9.0,98.0,0.0,,9.0,,,,,,98.0,0.0,,,,,,,,,,,,,,,,9.0,,,,,,
June 2022,Howrah,,0.0,,,,,,,,,94.0,0.0,0.0,,94.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,94.0,,,,,,
June 2022,Jalpaiguri,,0.0,,,,,,,,,23.0,0.0,0.0,,23.0,,,,,,0.0,1.0,,,,,,,,,,,,,,,,90.0,,,,,,
June 2022,Jhargram,,0.0,,,,,,,,,11.0,0.0,0.0,,11.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,11.0,,,,,,
June 2022,Kalimpong,,0.0,,,,,,,,,19.0,0.0,0.0,,19.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,39.0,,,,,,
June 2022,Kolkata,,0.0,,,,,,,,,39.0,0.0,0.0,,37.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,302.0,,,,,,
June 2022,Malda,,0.0,,,,,,,,,0.0,62.0,0.0,,0.0,,,,,,62.0,0.0,,,,,,,,,,,,,,,,74.0,,,,,,
June 2022,Murshidabad,,0.0,,,,,,,,,26.0,263.0,0.0,,26.0,,,,,,263.0,0.0,,,,,,,,,,,,,,,,41.0,,,,,,
June 2022,Nadia,,6.01,,,,,,,,,185.0,340.0,32.0,,217.0,,,,,,720.0,40.0,,,,,,,,,,,,,,,,1157.0,,,,,,
June 2022,North 24 Parganas,,8.71,,,,,,,,,105.0,23.0,39.0,,130.0,,,,,,23.0,39.0,,,,,,,,,,,,,,,,159.0,,,,,,
June 2022,Paschim Bardhaman,,0.0,,,,,,,,,20.0,0.0,0.0,,20.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,7.0,,,,,,
June 2022,Paschim Medinipur,,2.47,,,,,,,,,3484.0,18.0,63.0,,3484.0,,,,,,18.0,63.0,,,,,,,,,,,,,,,,4578.0,,,,,,
June 2022,Purba Bardhaman,,0.0,,,,,,,,,26.0,0.0,0.0,,26.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,29.0,,,,,,
June 2022,Purba Medinipur,,0.0,,,,,,,,,1069.0,21.0,0.0,,1069.0,,,,,,21.0,0.0,,,,,,,,,,,,,,,,1962.0,,,,,,
June 2022,Purulia,,1.04,,,,,,,,,33.0,0.0,54.0,,39.0,,,,,,0.0,57.0,,,,,,,,,,,,,,,,64.0,,,,,,
June 2022,South 24 Parganas,,0.37,,,,,,,,,28.0,0.0,23.0,,43.0,,,,,,0.0,32.0,,,,,,,,,,,,,,,,58.0,,,,,,
June 2022,Uttar Dinajpur,,0.33,,,,,,,,,1963.0,0.0,10.0,,1967.0,,,,,,0.0,10.0,,,,,,,,,,,,,,,,1998.0,,,,,,
June 2023,Alipurduar,,1.89,,,,,,,,,144.0,228.0,110.0,,172.0,,,,325.0,141.0,,,,,,,,,,,,,,,,,,,245.0,,,,,
June 2023,Bankura,,1.25,,,,,,,,,182.0,0.0,155.0,,182.0,,,,0.0,155.0,,,,,,,,,,,,,,,,,,,237.0,,,,,
June 2023,Birbhum,,1.75,,,,,,,,,535.0,303.0,200.0,,535.0,,,,303.0,200.0,,,,,,,,,,,,,,,,,,,877.0,,,,,
June 2023,Cooch Behar,,7.28,,,,,,,,,2185.0,24.0,80.0,,2362.0,,,,24.0,109.0,,,,,,,,,,,,,,,,,,,2401.0,,,,,
June 2023,Dakshin Dinajpur,,0.1,,,,,,,,,16.0,2.0,2.0,,22.0,,,,3.0,6.0,,,,,,,,,,,,,,,,,,,51.0,,,,,
June 2023,Darjeeling,,0.0,,,,,,,,,155.0,0.0,0.0,,157.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,181.0,,,,,
June 2023,Hooghly,,0.0,,,,,,,,,94.0,132.0,0.0,,94.0,,,,132.0,0.0,,,,,,,,,,,,,,,,,,,94.0,,,,,
June 2023,Howrah,,0.0,,,,,,,,,152.0,0.0,0.0,,152.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,152.0,,,,,
June 2023,Jalpaiguri,,0.25,,,,,,,,,23.0,0.0,1.0,,23.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,90.0,,,,,
June 2023,Jhargram,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,14.0,,,,,
June 2023,Kalimpong,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,44.0,,,,,
June 2023,Kolkata,,0.0,,,,,,,,,52.0,6.0,0.0,,58.0,,,,6.0,0.0,,,,,,,,,,,,,,,,,,,313.0,,,,,
June 2023,Malda,,0.0,,,,,,,,,45.0,73.0,0.0,,45.0,,,,155.0,0.0,,,,,,,,,,,,,,,,,,,128.0,,,,,
June 2023,Murshidabad,,0.0,,,,,,,,,81.0,392.0,0.0,,82.0,,,,473.0,0.0,,,,,,,,,,,,,,,,,,,93.0,,,,,
June 2023,Nadia,,12.5,,,,,,,,,935.0,770.0,56.0,,950.0,,,,960.0,60.0,,,,,,,,,,,,,,,,,,,1662.0,,,,,
June 2023,North 24 Parganas,,10.45,,,,,,,,,179.0,23.0,58.0,,193.0,,,,23.0,62.0,,,,,,,,,,,,,,,,,,,204.0,,,,,
June 2023,Paschim Bardhaman,,0.0,,,,,,,,,24.0,0.0,0.0,,24.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,24.0,,,,,
June 2023,Paschim Medinipur,,2.59,,,,,,,,,3623.0,37.0,75.0,,3787.0,,,,37.0,78.0,,,,,,,,,,,,,,,,,,,4749.0,,,,,
June 2023,Purba Bardhaman,,0.0,,,,,,,,,310.0,0.0,0.0,,312.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,376.0,,,,,
June 2023,Purba Medinipur,,0.0,,,,,,,,,1069.0,21.0,0.0,,1069.0,,,,21.0,0.0,,,,,,,,,,,,,,,,,,,1962.0,,,,,
June 2023,Purulia,,3.44,,,,,,,,,172.0,5.0,169.0,,206.0,,,,5.0,178.0,,,,,,,,,,,,,,,,,,,251.0,,,,,
June 2023,South 24 Parganas,,0.0,,,,,,,,,61.0,0.0,0.0,,67.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,95.0,,,,,
June 2023,Uttar Dinajpur,,0.63,,,,,,,,,2213.0,54.0,18.0,,2213.0,,,,54.0,18.0,,,,,,,,,,,,,,,,,,,2213.0,,,,,
June 2024,Alipurduar,,0.0,,,,,,,,,571.0,349.0,0.0,,639.0,,,,416.0,0.0,,,,,,,,,,,,,,,,,,,1114.0,,,,,
June 2024,Bankura,,1.63,,,,,,,,,136.0,45.0,70.0,,136.0,,,,45.0,70.0,,,,,,,,,,,,,,,,,,,136.0,,,,,
June 2024,Birbhum,,0.0,,,,,,,,,1663.0,0.0,0.0,,1663.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,1835.0,,,,,
June 2024,Cooch Behar,,22.46,,,,,,,,,373.0,355.0,225.0,,405.0,,,,625.0,521.0,,,,,,,,,,,,,,,,,,,515.0,,,,,
June 2024,Dakshin Dinajpur,,0.29,,,,,,,,,31.0,21.0,19.0,,36.0,,,,33.0,23.0,,,,,,,,,,,,,,,,,,,92.0,,,,,
June 2024,Darjeeling,,0.0,,,,,,,,,60.0,0.0,0.0,,60.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,,,,,
June 2024,Hooghly,,0.0,,,,,,,,,94.0,135.0,0.0,,94.0,,,,135.0,0.0,,,,,,,,,,,,,,,,,,,94.0,,,,,
June 2024,Howrah,,0.1,,,,,,,,,171.0,13.0,5.0,,171.0,,,,13.0,5.0,,,,,,,,,,,,,,,,,,,171.0,,,,,
June 2024,Jhargram,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,14.0,,,,,
June 2024,Kalimpong,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,44.0,,,,,
June 2024,Kolkata,,0.3,,,,,,,,,28.0,0.0,52.0,,28.0,,,,0.0,52.0,,,,,,,,,,,,,,,,,,,134.0,,,,,
June 2024,Malda,,0.06,,,,,,,,,59.0,97.0,11.0,,68.0,,,,188.0,11.0,,,,,,,,,,,,,,,,,,,157.0,,,,,
June 2024,Murshidabad,,0.0,,,,,,,,,125.0,494.0,0.0,,135.0,,,,578.0,0.0,,,,,,,,,,,,,,,,,,,138.0,,,,,
June 2024,Nadia,,17.2,,,,,,,,,1200.0,950.0,80.0,,1235.0,,,,1000.0,90.0,,,,,,,,,,,,,,,,,,,1995.0,,,,,
June 2024,North 24 Parganas,,10.04,,,,,,,,,143.0,0.0,54.0,,160.0,,,,0.0,57.0,,,,,,,,,,,,,,,,,,,226.0,,,,,
June 2024,Paschim Bardhaman,,0.0,,,,,,,,,34.0,0.0,0.0,,34.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,34.0,,,,,
June 2024,Paschim Medinipur,,132.66,,,,,,,,,297.0,44.0,3863.0,,306.0,,,,44.0,3882.0,,,,,,,,,,,,,,,,,,,1888.0,,,,,
June 2024,Purba Bardhaman,,1.62,,,,,,,,,17.0,331.0,100.0,,27.0,,,,341.0,100.0,,,,,,,,,,,,,,,,,,,68.0,,,,,
June 2024,Purba Medinipur,,0.0,,,,,,,,,101.0,1074.0,0.0,,101.0,,,,1074.0,0.0,,,,,,,,,,,,,,,,,,,125.0,,,,,
June 2024,Purulia,,4.59,,,,,,,,,231.0,9.0,220.0,,259.0,,,,9.0,234.0,,,,,,,,,,,,,,,,,,,302.0,,,,,
June 2024,South 24 Parganas,,0.0,,,,,,,,,70.0,0.0,0.0,,76.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,122.0,,,,,
June 2024,Uttar Dinajpur,,0.0,,,,,,,,,2355.0,58.0,0.0,,2355.0,,,,58.0,0.0,,,,,,,,,,,,,,,,,,,2413.0,,,,,
June 2025,Alipurduar,,0.0,,,,,,,,,755.0,463.0,0.0,,847.0,,,,552.0,0.0,,,,,,,,,,,,,,,,,,,1601.0,,,,,
June 2025,Bankura,,1.63,,,,,,,,,136.0,45.0,70.0,,136.0,,,,45.0,70.0,,,,,,,,,,,,,,,,,,,136.0,,,,,
June 2025,Birbhum,,0.0,,,,,,,,,2147.0,0.0,0.0,,2147.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2753.0,,,,,
June 2025,Cooch Behar,,22.46,,,,,,,,,381.0,355.0,225.0,,416.0,,,,625.0,521.0,,,,,,,,,,,,,,,,,,,516.0,,,,,
June 2025,Dakshin Dinajpur,,0.48,,,,,,,,,42.0,36.0,29.0,,46.0,,,,41.0,38.0,,,,,,,,,,,,,,,,,,,125.0,,,,,
June 2025,Darjeeling,,0.0,,,,,,,,,60.0,0.0,0.0,,60.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,,,,,
June 2025,Hooghly,,0.0,,,,,,,,,94.0,135.0,0.0,,94.0,,,,135.0,0.0,,,,,,,,,,,,,,,,,,,94.0,,,,,
June 2025,Howrah,,0.19,,,,,,,,,187.0,18.0,9.0,,187.0,,,,18.0,9.0,,,,,,,,,,,,,,,,,,,187.0,,,,,
June 2025,Jhargram,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,14.0,,,,,
June 2025,Kalimpong,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,44.0,,,,,
June 2025,Kolkata,,0.32,,,,,,,,,30.0,0.0,56.0,,30.0,,,,0.0,56.0,,,,,,,,,,,,,,,,,,,86.0,,,,,
June 2025,Malda,,0.07,,,,,,,,,66.0,102.0,12.0,,79.0,,,,210.0,12.0,,,,,,,,,,,,,,,,,,,160.0,,,,,
June 2025,Murshidabad,,0.0,,,,,,,,,448.0,623.0,0.0,,448.0,,,,623.0,0.0,,,,,,,,,,,,,,,,,,,448.0,,,,,
June 2025,Nadia,,22.19,,,,,,,,,1390.0,1020.0,103.0,,1451.0,,,,1128.0,108.0,,,,,,,,,,,,,,,,,,,2560.0,,,,,
June 2025,North 24 Parganas,,10.04,,,,,,,,,143.0,0.0,54.0,,160.0,,,,0.0,57.0,,,,,,,,,,,,,,,,,,,226.0,,,,,
June 2025,Paschim Bardhaman,,0.0,,,,,,,,,45.0,0.0,0.0,,45.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,45.0,,,,,
June 2025,Paschim Medinipur,,155.26,,,,,,,,,311.0,44.0,3937.0,,317.0,,,,44.0,3944.0,,,,,,,,,,,,,,,,,,,1950.0,,,,,
June 2025,Purba Bardhaman,,2.83,,,,,,,,,50.0,573.0,160.0,,50.0,,,,574.0,160.0,,,,,,,,,,,,,,,,,,,87.0,,,,,
June 2025,Purba Medinipur,,0.0,,,,,,,,,126.0,1058.0,0.0,,151.0,,,,1139.0,0.0,,,,,,,,,,,,,,,,,,,151.0,,,,,
June 2025,Purulia,,4.59,,,,,,,,,231.0,9.0,220.0,,259.0,,,,9.0,234.0,,,,,,,,,,,,,,,,,,,302.0,,,,,
June 2025,South 24 Parganas,,0.0,,,,,,,,,70.0,0.0,0.0,,76.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,122.0,,,,,
June 2025,Uttar Dinajpur,,0.0,,,,,,,,,2401.0,61.0,0.0,,2401.0,,,,61.0,0.0,,,,,,,,,,,,,,,,,,,2462.0,,,,,
March 2019,Bankura,,,,,1600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,
March 2019,Howrah,,,,,8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,,
March 2019,Jalpaiguri,,,,,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,,
March 2019,Malda,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.0,,
March 2019,Murshidabad,,,,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,,
March 2019,Nadia,,,,,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,
March 2019,Purba Bardhaman,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,,
March 2019,Purba Medinipur,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,,
March 2019,Purulia,,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,
March 2019,Uttar Dinajpur,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,
March 2021,Alipurduar,,,,,,,,44.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Bankura,,,,,,,,0.0,,110.0,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Birbhum,,,,,,,,231.0,,89.0,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Cooch Behar,,,,,,,,269.0,,21.0,,,,,,,,,,,,,165.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Dakshin Dinajpur,,,,,,,,0.0,,3.0,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Darjeeling,,,,,,,,0.0,,4.0,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Hooghly,,,,,,,,1.0,,0.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Howrah,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Jalpaiguri,,,,,,,,0.0,,132.0,,,,,,,,,,,,,3196.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Jhargram,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Kalimpong,,,,,,,,0.0,,0.0,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Kolkata,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Malda,,,,,,,,50.0,,0.0,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Murshidabad,,,,,,,,207.0,,0.0,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Nadia,,,,,,,,2316.0,,191.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
March 2021,North 24 Parganas,,,,,,,,17.0,,0.0,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Paschim Bardhaman,,,,,,,,0.0,,0.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Paschim Medinipur,,,,,,,,9.0,,41.0,,,,,,,,,,,,,3251.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Purba Bardhaman,,,,,,,,0.0,,0.0,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Purba Medinipur,,,,,,,,21.0,,0.0,,,,,,,,,,,,,1962.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Purulia,,,,,,,,0.0,,0.0,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,
March 2021,South 24 Parganas,,,,,,,,0.0,,6.0,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,
March 2021,Uttar Dinajpur,,,,,,,,0.0,,0.0,,,,,,,,,,,,,1568.0,,,,,,,,,,,,,,,,,,,,,
March 2022,Alipurduar,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,,,,,,,,
March 2022,Bankura,,,,25.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0,0.0,,,,,,,,
March 2022,Birbhum,,,,5.0,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.0,0.0,,,,,,,,
March 2022,Cooch Behar,,,,16.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,,,,,,,,
March 2022,Dakshin Dinajpur,,,,6.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,,,,,,,,
March 2022,Darjeeling,,,,10.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.0,0.0,,,,,,,,
March 2022,Hooghly,,,,17.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,,,,,,,,
March 2022,Howrah,,,,37.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,37.0,0.0,,,,,,,,
March 2022,Jalpaiguri,,,,0.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,,,,,,,,
March 2022,Jhargram,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,,,,,,,,
March 2022,Kalimpong,,,,4.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,,,,,,,,
March 2022,Kolkata,,,,7.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,0.0,,,,,,,,
March 2022,Malda,,,,15.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,,,,,,,,
March 2022,Murshidabad,,,,6.0,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,38.0,0.0,,,,,,,,
March 2022,Nadia,,,,62.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,83.0,0.0,,,,,,,,
