period,district,1858_744,210_245,2448_3559,4308_4343,5426_6555,79_66,aap_target_for_fy_2022_23_no_of_programs,achievement_no_of_programs,credit_linkage,no_of_candidates_trained,no_of_programs,no_of_training_cond,no_of_training_conducted,of_settlement,own,self_employed_bank,settlement,total,total_4544,total_settled,total_settled_with_wage,total_settled_without_wage,total_settlement,total_trained,wage_employe,wage_employed
March 2023,Hooghly,,,,,,,,,85.37,,318.0,,,,851.0,4966.0,71.98,5817.0,,,,,5817.0,8081.0,,0.0
March 2023,Howrah,,,,,,,,,27.84,,697.0,,,,10301.0,3974.0,83.93,14275.0,,,,,14941.0,17802.0,,666.0
March 2023,Jalpaiguri,,,,,,,,,76.76,,298.0,,,,1134.0,3745.0,81.78,4879.0,,,,,5143.0,6289.0,,264.0
March 2023,Malda,,,,,,,,,57.88,,271.0,,,,2304.0,3166.0,78.21,5470.0,,,,,6064.0,7753.0,,594.0
March 2023,Nadia,,,,,,,,,48.88,,259.0,,,,2268.0,2169.0,69.58,4437.0,,,,,4511.0,6483.0,,74.0
March 2023,North 24 Parganas,,,,,,,,,62.89,,320.0,,,,2623.0,4446.0,86.41,7069.0,,,,,7193.0,8324.0,,124.0
March 2023,Purba Bardhaman,,,,,,,,,62.74,,300.0,,,,2017.0,3396.0,69.42,5413.0,,,,,5413.0,7798.0,,0.0
March 2023,Purba Medinipur,,,,,,,,,60.52,,286.0,,,,2391.0,3665.0,73.99,6056.0,,,,,6106.0,8252.0,,50.0
March 2023,Purulia,,,,,,,,,62.93,,226.0,,,,1164.0,1976.0,53.69,3140.0,,,,,3140.0,5848.0,,0.0
March 2023,South 24 Parganas,,,,,,,,,74.08,,362.0,,,,1632.0,4665.0,68.33,6297.0,,,,,6427.0,9406.0,,130.0
March 2023,Uttar Dinajpur,,,,,,,,,54.53,,260.0,,,,2138.0,2564.0,72.9,4702.0,,,,,4782.0,6560.0,,80.0
September 2017,Bankura,,,,,,,,,,470.0,,20.0,,15.0,,70.0,,,,70.0,,,,,,
September 2017,Birbhum,,,,,,,,,,340.0,,14.0,,21.0,22.0,49.0,,,,71.0,,,,,,
September 2017,Cooch Behar,,,,,,,,,,254.0,,15.0,,20.0,23.0,27.0,,,,50.0,,,,,,
September 2017,Darjeeling,,,,,,,,,,147.0,,8.0,,5.0,,7.0,,,,7.0,,,,,,
September 2017,Hooghly,,,,,,,,,,463.0,,19.0,,55.0,2.0,250.0,,,,252.0,,,,,,
September 2017,Howrah,,,,,,,,,,692.0,,25.0,,62.0,308.0,121.0,,,,429.0,,,,,,
September 2017,Jalpaiguri,,,,,,,,,,201.0,,8.0,,,,,,,,,,,,,,
September 2017,Malda,,,,,,,,,,379.0,,13.0,,12.0,20.0,22.0,,,,42.0,,,,,,
September 2017,Nadia,,,,,,,,,,386.0,,14.0,,48.0,101.0,81.0,,,,182.0,,,,,,
September 2017,North 24 Parganas,,,,,,,,,,381.0,,17.0,,30.0,,114.0,,,,114.0,,,,,,
September 2017,Purba Bardhaman,,,,,,,,,,220.0,,11.0,,15.0,,31.0,,,,31.0,,,,,,
September 2017,Purba Medinipur,,,,,,,,,,369.0,,14.0,,14.0,32.0,17.0,,,,49.0,,,,,,
September 2017,Purulia,,,,,,,,,,253.0,,10.0,,11.0,3.0,23.0,,,,26.0,,,,,,
September 2017,South 24 Parganas,,,,,,,,,,672.0,,23.0,,8.0,30.0,22.0,,,,52.0,,,,,,
September 2017,Uttar Dinajpur,,,,,,,,,,226.0,,10.0,,32.0,63.0,8.0,,,,71.0,,,,,,
September 2018,Bankura,,,,,,,,,53.86,,254.0,,,,1600.0,1868.0,67.96,,,,4016.0,3468.0,,5909.0,,548.0
September 2018,Birbhum,,,,,,,,,73.69,,196.0,,,,972.0,2723.0,64.88,,,,3701.0,3695.0,,5704.0,,6.0
September 2018,Cooch Behar,,,,,,,,,46.52,,103.0,,,,991.0,862.0,74.84,,,,1874.0,1853.0,,2504.0,,21.0
September 2018,Darjeeling,,,,,,,,,52.11,,75.0,,,,668.0,727.0,75.07,,,,1433.0,1395.0,,1909.0,,38.0
September 2018,Hooghly,,,,,,,,,83.56,,217.0,,,,633.0,3218.0,68.38,,,,3851.0,3851.0,,5632.0,,0.0
September 2018,Howrah,,,,,,,,,23.48,,555.0,,,,8614.0,2643.0,84.98,,,,11856.0,11257.0,,13952.0,,599.0
September 2018,Jalpaiguri,,,,,,,,,83.48,,224.0,,,,595.0,3006.0,81.06,,,,3697.0,3601.0,,4561.0,,96.0
September 2018,Malda,,,,,,,,,55.78,,179.0,,,,1564.0,1973.0,75.5,,,,4099.0,3537.0,,5429.0,,562.0
September 2018,Nadia,,,,,,,,,38.95,,162.0,,,,1721.0,1098.0,69.04,,,,2892.0,2819.0,,4189.0,,73.0
September 2018,North 24 Parganas,,,,,,,,,56.85,,216.0,,,,1858.0,2448.0,77.33,,,,4308.0,4306.0,,5571.0,,2.0
September 2018,Purba Bardhaman,,,,,,,,,55.12,,196.0,,,,1461.0,1794.0,65.81,,,,3255.0,3255.0,,4946.0,,0.0
September 2018,Purba Medinipur,,,,,,,,,45.92,,184.0,,,,2069.0,1757.0,72.96,,,,3867.0,3826.0,,5300.0,,41.0
September 2018,Purulia,,,,,,,,,64.6,,145.0,,,,657.0,1199.0,50.24,,,,1856.0,1856.0,,3694.0,,0.0
September 2018,South 24 Parganas,,,,,,,,,82.79,,258.0,,,,743.0,3574.0,63.33,,,,4357.0,4317.0,,6880.0,,40.0
September 2018,Uttar Dinajpur,,,,,,,,,56.91,,174.0,,,,1331.0,1758.0,72.4,,,,3158.0,3089.0,,4362.0,,69.0
September 2019,Bankura,,,,,,,,,53.04,,281.0,,,,1854.0,2094.0,68.62,,,,4553.0,3948.0,,6635.0,,605.0
September 2019,Birbhum,,,,,,,,,73.85,,218.0,,,,1123.0,3172.0,67.15,,,,4302.0,4295.0,,6407.0,,7.0
September 2019,Cooch Behar,,,,,,,,,46.08,,123.0,,,,1024.0,875.0,66.04,,,,1933.0,1899.0,,2927.0,,34.0
September 2019,Darjeeling,,,,,,,,,54.75,,95.0,,,,729.0,882.0,66.09,,,,1651.0,1611.0,,2498.0,,40.0
September 2019,Hooghly,,,,,,,,,85.35,,247.0,,,,639.0,3723.0,68.91,,,,4362.0,4362.0,,6330.0,,0.0
September 2019,Howrah,,,,,,,,,24.3,,591.0,,,,9158.0,2940.0,85.34,,,,12718.0,12098.0,,14903.0,,620.0
September 2019,Jalpaiguri,,,,,,,,,78.04,,241.0,,,,889.0,3160.0,84.96,,,,4270.0,4049.0,,5026.0,,221.0
September 2019,Malda,,,,,,,,,54.99,,203.0,,,,1706.0,2084.0,71.79,,,,4384.0,3790.0,,6107.0,,594.0
September 2019,Nadia,,,,,,,,,40.91,,192.0,,,,1891.0,1309.0,65.72,,,,3273.0,3200.0,,4980.0,,73.0
September 2019,North 24 Parganas,,,,,,,,,59.96,,247.0,,,,1997.0,2991.0,80.19,,,,5112.0,4988.0,,6375.0,,124.0
September 2019,Purba Bardhaman,,,,,,,,,56.51,,225.0,,,,1679.0,2182.0,67.28,,,,3861.0,3861.0,,5739.0,,0.0
September 2019,Purba Medinipur,,,,,,,,,50.72,,211.0,,,,2188.0,2252.0,73.52,,,,4486.0,4440.0,,6102.0,,46.0
September 2019,Purulia,,,,,,,,,64.29,,166.0,,,,772.0,1390.0,50.51,,,,2162.0,2162.0,,4280.0,,0.0
September 2019,South 24 Parganas,,,,,,,,,82.38,,280.0,,,,811.0,3791.0,62.2,,,,4646.0,4602.0,,7470.0,,44.0
September 2019,Uttar Dinajpur,,,,,,,,,53.61,,196.0,,,,1534.0,1773.0,69.07,,,,3378.0,3307.0,,4891.0,,71.0
September 2020,Bankura,,,,,,,,,53.51,,295.0,,,,2094.0,2410.0,72.97,4504.0,,,,,5111.0,7004.0,,607.0
September 2020,Birbhum,,,,,,,,,74.22,,224.0,,,,1160.0,3339.0,68.36,4499.0,,,,,4507.0,6593.0,,8.0
September 2020,Cooch Behar,,,,,,,,,50.63,,132.0,,,,1096.0,1124.0,71.81,2220.0,,,,,2254.0,3139.0,,34.0
September 2020,Darjeeling,,,,,,,,,62.81,,106.0,,,,740.0,1250.0,73.3,1990.0,,,,,2032.0,2772.0,,42.0
September 2020,Hooghly,,,,,,,,,85.14,,263.0,,,,686.0,3930.0,68.94,4616.0,,,,,4616.0,6696.0,,0.0
September 2020,Howrah,,,,,,,,,24.98,,607.0,,,,9465.0,3152.0,86.31,12617.0,,,,,13250.0,15351.0,,633.0
September 2020,Jalpaiguri,,,,,,,,,77.72,,254.0,,,,922.0,3216.0,82.07,4138.0,,,,,4359.0,5311.0,,221.0
September 2020,Malda,,,,,,,,,54.52,,219.0,,,,2008.0,2407.0,76.1,4415.0,,,,,5009.0,6582.0,,594.0
September 2020,Nadia,,,,,,,,,43.4,,207.0,,,,2006.0,1538.0,66.92,3544.0,,,,,3617.0,5405.0,,73.0
September 2020,North 24 Parganas,,,,,,,,,57.19,,260.0,,,,2245.0,2999.0,80.11,5244.0,,,,,5368.0,6701.0,,124.0
September 2020,Purba Bardhaman,,,,,,,,,57.72,,238.0,,,,1803.0,2461.0,69.62,4264.0,,,,,4264.0,6125.0,,0.0
September 2020,Purba Medinipur,,,,,,,,,52.15,,224.0,,,,2219.0,2418.0,72.17,4637.0,,,,,4685.0,6492.0,,48.0
September 2020,Purulia,,,,,,,,,64.96,,178.0,,,,849.0,1574.0,52.64,2423.0,,,,,2423.0,4603.0,,0.0
September 2020,South 24 Parganas,,,,,,,,,80.1,,302.0,,,,995.0,4005.0,63.89,5000.0,,,,,5117.0,8009.0,,117.0
September 2020,Uttar Dinajpur,,,,,,,,,52.86,,208.0,,,,1704.0,1911.0,70.69,3615.0,,,,,3687.0,5216.0,,72.0
September 2021,Bankura,,,,,,,,,54.19,,316.0,,,,2197.0,2599.0,72.39,4796.0,,,,,5403.0,7464.0,,607.0
September 2021,Birbhum,,,,,,,,,73.58,,236.0,,,,1258.0,3504.0,68.88,4762.0,,,,,4770.0,6925.0,,8.0
September 2021,Cooch Behar,,,,,,,,,52.57,,145.0,,,,1143.0,1267.0,71.21,2410.0,,,,,2444.0,3432.0,,34.0
September 2021,Darjeeling,,,,,,,,,66.02,,116.0,,,,755.0,1467.0,75.13,2222.0,,,,,2266.0,3016.0,,44.0
September 2021,Hooghly,,,,,,,,,86.38,,276.0,,,,663.0,4206.0,70.14,4869.0,,,,,4869.0,6942.0,,0.0
September 2021,Howrah,,,,,,,,,25.96,,637.0,,,,9833.0,3448.0,86.52,13281.0,,,,,13934.0,16105.0,,653.0
September 2021,Jalpaiguri,,,,,,,,,77.4,,265.0,,,,965.0,3304.0,82.34,4269.0,,,,,4533.0,5505.0,,264.0
September 2021,Malda,,,,,,,,,54.85,,238.0,,,,2087.0,2535.0,74.85,4622.0,,,,,5216.0,6969.0,,594.0
September 2021,Nadia,,,,,,,,,44.75,,224.0,,,,2078.0,1683.0,67.55,3761.0,,,,,3835.0,5677.0,,74.0
September 2021,North 24 Parganas,,,,,,,,,58.88,,280.0,,,,2326.0,3331.0,81.27,5657.0,,,,,5781.0,7113.0,,124.0
September 2021,Purba Bardhaman,,,,,,,,,59.84,,257.0,,,,1816.0,2706.0,69.52,4522.0,,,,,4522.0,6505.0,,0.0
September 2021,Purba Medinipur,,,,,,,,,53.6,,240.0,,,,2240.0,2588.0,70.61,4828.0,,,,,4877.0,6907.0,,49.0
September 2021,Purulia,,,,,,,,,64.87,,189.0,,,,894.0,1651.0,52.54,2545.0,,,,,2545.0,4844.0,,0.0
September 2021,South 24 Parganas,,,,,,,,,77.64,,319.0,,,,1172.0,4069.0,64.11,5241.0,,,,,5362.0,8364.0,,121.0
September 2021,Uttar Dinajpur,,,,,,,,,54.39,,224.0,,,,1855.0,2212.0,74.11,4067.0,,,,,4147.0,5596.0,,80.0
September 2022,Bankura,,,,,,,,,54.05,,348.0,,,,2325.0,2735.0,68.24,5060.0,,,,,5667.0,8305.0,,607.0
September 2022,Birbhum,,,,,,,,,72.02,,255.0,,,,1432.0,3686.0,67.89,5118.0,,,,,5126.0,7551.0,,8.0
September 2022,Cooch Behar,,,,,,,,,53.2,,163.0,,,,1235.0,1404.0,68.08,2639.0,,,,,2673.0,3926.0,,34.0
September 2022,Dakshin Dinajpur,,,,,,,,,64.37,,237.0,,,,1673.0,3022.0,74.35,4695.0,,,,,4901.0,6592.0,,206.0
September 2022,Darjeeling,,,,,,,,,66.08,,127.0,,,,830.0,1617.0,74.03,2447.0,,,,,2491.0,3365.0,,44.0
September 2022,Hooghly,,,,,,,,,86.99,,306.0,,,,701.0,4688.0,69.94,5389.0,,,,,5389.0,7705.0,,0.0
September 2022,Howrah,,,,,,,,,26.76,,682.0,,,,10130.0,3702.0,83.3,13832.0,,,,,14489.0,17393.0,,657.0
September 2022,Jalpaiguri,,,,,,,,,76.22,,289.0,,,,1063.0,3407.0,78.08,4470.0,,,,,4734.0,6063.0,,264.0
September 2022,Malda,,,,,,,,,56.51,,261.0,,,,2193.0,2849.0,74.93,5042.0,,,,,5636.0,7522.0,,594.0
September 2022,Nadia,,,,,,,,,46.78,,249.0,,,,2224.0,1955.0,68.03,4179.0,,,,,4253.0,6252.0,,74.0
September 2022,North 24 Parganas,,,,,,,,,63.76,,311.0,,,,2326.0,4093.0,80.78,6419.0,,,,,6543.0,8100.0,,124.0
September 2022,Purba Bardhaman,,,,,,,,,62.77,,289.0,,,,1877.0,3164.0,67.71,5041.0,,,,,5041.0,7445.0,,0.0
September 2022,Purba Medinipur,,,,,,,,,56.5,,274.0,,,,2381.0,3092.0,69.83,5473.0,,,,,5522.0,7908.0,,49.0
September 2022,Purulia,,,,,,,,,63.6,,212.0,,,,1000.0,1747.0,50.55,2747.0,,,,,2747.0,5434.0,,0.0
September 2022,South 24 Parganas,,,,,,,,,75.31,,348.0,,,,1427.0,4353.0,64.82,5780.0,,,,,5908.0,9114.0,,128.0
September 2022,Uttar Dinajpur,,,,,,,,,53.85,,247.0,,,,2041.0,2382.0,72.12,4423.0,,,,,4503.0,6244.0,,80.0
