period,district,achievement_mm_disbursed_no,achievement_no_wise,amoun,amount,amount_wise,app_pending_no,disbursement_made_by_nodal_branches_no_of,disbursement_no,forwarded_no,forwarded_to_bank_no,forwarded_to_bank_no_of_prj,forwarded_to_banks_no,margin_money_claimed_no_of,margin_money_involve,mm,mm_claimed,mm_claimed_no,mm_disb_pending_no,mm_disbursed_no,mm_disbursement_no,mm_involve,of_achievement_mm_disbursed_no,pending_at_bank_no,pending_for_mm_disb_no,pending_for_mm_no,pending_mm_disb_no,pending_no,rejected_by_bank_no,rejected_no,returned_by_bank_no,returned_no,returned_t_no,row,sanctioned_by_bank_no,sanctioned_by_bank_no_of,sanctioned_no,sponsored_in_fy_2022_23_no,sponsored_in_fy_2023_24_no,sponsored_in_fy_2025_26_no,sponsored_no,target_2020_21_no,target_2021_22_no,target_for_2022_23_no,target_for_2023_24_no,target_for_fy_2025_26_no
June 2021,Uttar Dinajpur,,,,0.05,,2.0,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,
June 2023,Alipurduar,,,,3.66,,,,,,,,,,,,,28.0,,19.0,,,9.5,,,,,,,,,9.0,,,,,19.0,,58.0,,,,,,200.0,
June 2023,Bankura,,,,8.07,,,,,,,,,,,,,21.0,,5.0,,,2.94,,,,,,,,,10.0,,,,,11.0,,55.0,,,,,,170.0,
June 2023,Birbhum,,,,19.55,,,,,,,,,,,,,40.0,,16.0,,,6.4,,,,,,,,,55.0,,,,,38.0,,161.0,,,,,,250.0,
June 2023,Cooch Behar,,,,19.94,,,,,,,,,,,,,27.0,,10.0,,,4.0,,,,,,,,,47.0,,,,,37.0,,160.0,,,,,,250.0,
June 2023,Dakshin Dinajpur,,,,1.19,,,,,,,,,,,,,10.0,,6.0,,,4.8,,,,,,,,,3.0,,,,,7.0,,17.0,,,,,,125.0,
June 2023,Darjeeling,,,,11.95,,,,,,,,,,,,,19.0,,10.0,,,5.88,,,,,,,,,12.0,,,,,23.0,,61.0,,,,,,170.0,
June 2023,Hooghly,,,,16.07,,,,,,,,,,,,,17.0,,4.0,,,2.67,,,,,,,,,19.0,,,,,16.0,,95.0,,,,,,150.0,
June 2023,Howrah,,,,12.16,,,,,,,,,,,,,30.0,,8.0,,,3.2,,,,,,,,,24.0,,,,,29.0,,126.0,,,,,,250.0,
June 2023,Jalpaiguri,,,,13.38,,,,,,,,,,,,,13.0,,7.0,,,3.5,,,,,,,,,16.0,,,,,18.0,,58.0,,,,,,200.0,
June 2023,Kalimpong,,,,10.33,,,,,,,,,,,,,6.0,,0.0,,,0.0,,,,,,,,,8.0,,,,,10.0,,34.0,,,,,,100.0,
June 2023,Kolkata,,,,4.15,,,,,,,,,,,,,1.0,,0.0,,,0.0,,,,,,,,,8.0,,,,,3.0,,28.0,,,,,,100.0,
June 2023,Malda,,,,7.4,,,,,,,,,,,,,29.0,,9.0,,,5.14,,,,,,,,,15.0,,,,,36.0,,127.0,,,,,,175.0,
June 2023,Murshidabad,,,,27.04,,,,,,,,,,,,,84.0,,33.0,,,10.15,,,,,,,,,45.0,,,,,66.0,,152.0,,,,,,325.0,
June 2023,Nadia,,,,30.43,,,,,,,,,,,,,37.0,,20.0,,,11.76,,,,,,,,,32.0,,,,,18.0,,78.0,,,,,,170.0,
June 2023,Paschim Bardhaman,,,,0.67,,,,,,,,,,,,,3.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,2.0,,5.0,,,,,,100.0,
June 2023,Paschim Medinipur,,,,9.62,,,,,,,,,,,,,20.0,,11.0,,,6.47,,,,,,,,,19.0,,,,,16.0,,85.0,,,,,,170.0,
June 2023,Purba Medinipur,,,,4.82,,,,,,,,,,,,,137.0,,63.0,,,10.64,,,,,,,,,20.0,,,,,104.0,,314.0,,,,,,592.0,
June 2023,Purulia,,,,6.33,,,,,,,,,,,,,22.0,,7.0,,,4.12,,,,,,,,,10.0,,,,,11.0,,45.0,,,,,,170.0,
June 2023,Uttar Dinajpur,,,,2.63,,,,,,,,,,,,,2.0,,2.0,,,1.6,,,,,,,,,2.0,,,,,6.0,,13.0,,,,,,125.0,
March 2019,Alipurduar,,,,,,,,39.0,218.0,,,,,,0.5,,40.0,,,,,,,1.0,,,69.0,,133.0,,,,,,,27.0,,,,,,,,,
March 2019,Bankura,,,,,,,,73.0,180.0,,,,,,3.87,,68.0,,,,,,,2.0,,,91.0,,67.0,,,,,,,42.0,,,,,,,,,
March 2019,Birbhum,,,,,,,,132.0,260.0,,,,,,8.43,,125.0,,,,,,,3.0,,,73.0,,125.0,,,,,,,92.0,,,,,,,,,
March 2019,Cooch Behar,,,,,,,,79.0,1043.0,,,,,,13.39,,82.0,,,,,,,10.0,,,392.0,,594.0,,,,,,,86.0,,,,,,,,,
March 2019,Dakshin Dinajpur,,,,,,,,60.0,125.0,,,,,,4.55,,41.0,,,,,,,2.0,,,51.0,,42.0,,,,,,,43.0,,,,,,,,,
March 2019,Darjeeling,,,,,,,,63.0,267.0,,,,,,4.09,,61.0,,,,,,,3.0,,,135.0,,101.0,,,,,,,50.0,,,,,,,,,
March 2019,Hooghly,,,,,,,,51.0,301.0,,,,,,3.96,,46.0,,,,,,,4.0,,,95.0,,182.0,,,,,,,32.0,,,,,,,,,
March 2019,Howrah,,,,,,,,69.0,470.0,,,,,,5.75,,64.0,,,,,,,2.0,,,304.0,,129.0,,,,,,,64.0,,,,,,,,,
March 2019,Jalpaiguri,,,,,,,,42.0,162.0,,,,,,2.44,,42.0,,,,,,,2.0,,,122.0,,32.0,,,,,,,35.0,,,,,,,,,
March 2019,Kalimpong,,,,,,,,4.0,64.0,,,,,,0.79,,5.0,,,,,,,1.0,,,28.0,,22.0,,,,,,,14.0,,,,,,,,,
March 2019,Kolkata,,,,,,,,3.0,104.0,,,,,,0.0,,2.0,,,,,,,0.0,,,65.0,,35.0,,,,,,,13.0,,,,,,,,,
March 2019,Malda,,,,,,,,45.0,205.0,,,,,,4.9,,44.0,,,,,,,3.0,,,96.0,,81.0,,,,,,,43.0,,,,,,,,,
March 2019,Murshidabad,,,,,,,,117.0,1394.0,,,,,,0.0,,103.0,,,,,,,0.0,,,635.0,,647.0,,,,,,,117.0,,,,,,,,,
March 2019,Nadia,,,,,,,,102.0,323.0,,,,,,0.0,,92.0,,,,,,,0.0,,,124.0,,144.0,,,,,,,86.0,,,,,,,,,
March 2019,North 24 Parganas,,,,,,,,263.0,1433.0,,,,,,8.53,,235.0,,,,,,,3.0,,,621.0,,679.0,,,,,,,262.0,,,,,,,,,
March 2019,Paschim Bardhaman,,,,,,,,2.0,41.0,,,,,,0.0,,2.0,,,,,,,0.0,,,20.0,,17.0,,,,,,,4.0,,,,,,,,,
March 2019,Paschim Medinipur,,,,,,,,97.0,630.0,,,,,,0.0,,81.0,,,,,,,0.0,,,321.0,,252.0,,,,,,,87.0,,,,,,,,,
March 2019,Purba Medinipur,,,,,,,,532.0,2639.0,,,,,,89.08,,486.0,,,,,,,20.0,,,1799.0,,561.0,,,,,,,472.0,,,,,,,,,
March 2019,Purulia,,,,,,,,40.0,205.0,,,,,,11.48,,35.0,,,,,,,3.0,,,138.0,,44.0,,,,,,,34.0,,,,,,,,,
March 2019,South 24 Parganas,,,,,,,,332.0,1289.0,,,,,,10.71,,288.0,,,,,,,2.0,,,808.0,,339.0,,,,,,,233.0,,,,,,,,,
March 2019,Uttar Dinajpur,,,,,,,,7.0,29.0,,,,,,0.3,,6.0,,,,,,,1.0,,,11.0,,17.0,,,,,,,4.0,,,,,,,,,
March 2020,Alipurduar,,,,,,,,,,758.0,,,,,0.06,,48.0,,47.0,,,,106.0,1.0,,,,596.0,,,,,,58.0,,,,,,,,,,,
March 2020,Bankura,,,,,,,,,,242.0,,,,,0.0,,61.0,,61.0,,,,53.0,0.0,,,,138.0,,,,,,68.0,,,,,,,,,,,
March 2020,Birbhum,,,,,,,,,,308.0,,,,,0.01,,77.0,,78.0,,,,79.0,1.0,,,,160.0,,,,,,82.0,,,,,,,,,,,
March 2020,Cooch Behar,,,,,,,,,,1440.0,,,,,0.13,,78.0,,77.0,,,,392.0,4.0,,,,965.0,,,,,,95.0,,,,,,,,,,,
March 2020,Dakshin Dinajpur,,,,,,,,,,165.0,,,,,0.0,,47.0,,49.0,,,,49.0,0.0,,,,85.0,,,,,,41.0,,,,,,,,,,,
March 2020,Howrah,,,,,,,,,,323.0,,,,,0.04,,77.0,,77.0,,,,98.0,2.0,,,,177.0,,,,,,78.0,,,,,,,,,,,
March 2020,Jalpaiguri,,,,,,,,,,205.0,,,,,0.0,,14.0,,15.0,,,,42.0,0.0,,,,157.0,,,,,,17.0,,,,,,,,,,,
March 2020,Jhargram,,,,,,,,,,37.0,,,,,0.0,,0.0,,0.0,,,,6.0,0.0,,,,20.0,,,,,,11.0,,,,,,,,,,,
March 2020,Kalimpong,,,,,,,,,,66.0,,,,,0.0,,8.0,,9.0,,,,58.0,0.0,,,,8.0,,,,,,8.0,,,,,,,,,,,
March 2020,Kolkata,,,,,,,,,,192.0,,,,,0.02,,14.0,,13.0,,,,51.0,1.0,,,,133.0,,,,,,10.0,,,,,,,,,,,
March 2020,Malda,,,,,,,,,,263.0,,,,,0.01,,34.0,,34.0,,,,86.0,1.0,,,,158.0,,,,,,27.0,,,,,,,,,,,
March 2020,Murshidabad,,,,,,,,,,1605.0,,,,,0.0,,170.0,,171.0,,,,611.0,0.0,,,,811.0,,,,,,216.0,,,,,,,,,,,
March 2020,Nadia,,,,,,,,,,648.0,,,,,0.05,,218.0,,216.0,,,,125.0,2.0,,,,305.0,,,,,,240.0,,,,,,,,,,,
March 2020,North 24 Parganas,,,,,,,,,,2688.0,,,,,0.1,,220.0,,218.0,,,,654.0,4.0,,,,1818.0,,,,,,263.0,,,,,,,,,,,
March 2020,Paschim Bardhaman,,,,,,,,,,100.0,,,,,0.0,,11.0,,11.0,,,,17.0,0.0,,,,72.0,,,,,,12.0,,,,,,,,,,,
March 2020,Paschim Medinipur,,,,,,,,,,728.0,,,,,0.02,,78.0,,77.0,,,,276.0,1.0,,,,386.0,,,,,,76.0,,,,,,,,,,,
March 2020,Purba Bardhaman,,,,,,,,,,454.0,,,,,0.0,,71.0,,71.0,,,,146.0,0.0,,,,266.0,,,,,,73.0,,,,,,,,,,,
March 2020,Purba Medinipur,,,,,,,,,,2931.0,,,,,0.12,,557.0,,572.0,,,,1179.0,3.0,,,,1370.0,,,,,,579.0,,,,,,,,,,,
March 2020,Purulia,,,,,,,,,,295.0,,,,,0.09,,38.0,,39.0,,,,171.0,1.0,,,,105.0,,,,,,34.0,,,,,,,,,,,
March 2020,South 24 Parganas,,,,,,,,,,1238.0,,,,,0.12,,200.0,,199.0,,,,456.0,2.0,,,,675.0,,,,,,201.0,,,,,,,,,,,
March 2020,Uttar Dinajpur,,,,,,,,,,47.0,,,,,0.0,,2.0,,2.0,,,,24.0,0.0,,,,21.0,,,,,,3.0,,,,,,,,,,,
March 2021,Alipurduar,,166.67,,2.85,160.36,90.0,,,,506.0,,,,,,136.0,,,125.0,,,,,,,,,,,,300.0,,,,,132.0,,,,,75.0,,,,
March 2021,Bankura,,38.0,,2.72,30.79,67.0,,,,246.0,,,,,,40.0,,,38.0,,,,,,,,,,,,167.0,,,,,22.0,,,,,100.0,,,,
March 2021,Birbhum,,74.55,,1.91,60.94,83.0,,,,395.0,,,,,,91.0,,,82.0,,,,,,,,,,,,221.0,,,,,105.0,,,,,110.0,,,,
March 2021,Cooch Behar,,106.67,,4.81,102.45,194.0,,,,646.0,,,,,,99.0,,,96.0,,,,,,,,,,,,380.0,,,,,85.0,,,,,90.0,,,,
March 2021,Dakshin Dinajpur,,74.67,,3.03,110.61,45.0,,,,242.0,,,,,,60.0,,,56.0,,,,,,,,,,,,147.0,,,,,56.0,,,,,75.0,,,,
March 2021,Darjeeling,,80.0,,2.26,72.63,72.0,,,,274.0,,,,,,88.0,,,80.0,,,,,,,,,,,,145.0,,,,,80.0,,,,,100.0,,,,
March 2021,Hooghly,,23.43,,1.94,20.37,56.0,,,,234.0,,,,,,46.0,,,41.0,,,,,,,,,,,,137.0,,,,,46.0,,,,,175.0,,,,
March 2021,Howrah,,20.56,,2.81,18.71,108.0,,,,303.0,,,,,,45.0,,,37.0,,,,,,,,,,,,173.0,,,,,27.0,,,,,180.0,,,,
March 2021,Jalpaiguri,,47.5,,4.15,36.16,201.0,,,,618.0,,,,,,42.0,,,38.0,,,,,,,,,,,,375.0,,,,,42.0,,,,,80.0,,,,
March 2021,Jhargram,,9.33,,0.33,14.01,11.0,,,,35.0,,,,,,7.0,,,7.0,,,,,,,,,,,,22.0,,,,,6.0,,,,,75.0,,,,
March 2021,Kalimpong,,14.29,,0.66,11.47,22.0,,,,50.0,,,,,,6.0,,,5.0,,,,,,,,,,,,24.0,,,,,6.0,,,,,35.0,,,,
March 2021,Kolkata,,3.0,,1.13,1.61,58.0,,,,169.0,,,,,,11.0,,,9.0,,,,,,,,,,,,99.0,,,,,16.0,,,,,300.0,,,,
March 2021,Malda,,54.29,,2.03,55.5,62.0,,,,249.0,,,,,,58.0,,,57.0,,,,,,,,,,,,146.0,,,,,51.0,,,,,105.0,,,,
March 2021,Murshidabad,,124.24,,7.97,140.63,209.0,,,,989.0,,,,,,214.0,,,205.0,,,,,,,,,,,,631.0,,,,,170.0,,,,,165.0,,,,
March 2021,Nadia,,53.33,,5.52,110.34,150.0,,,,692.0,,,,,,85.0,,,80.0,,,,,,,,,,,,509.0,,,,,58.0,,,,,150.0,,,,
March 2021,North 24 Parganas,,85.6,,16.01,104.78,635.0,,,,2102.0,,,,,,221.0,,,214.0,,,,,,,,,,,,1321.0,,,,,173.0,,,,,250.0,,,,
March 2021,Paschim Bardhaman,,3.7,,0.26,4.02,18.0,,,,41.0,,,,,,6.0,,,5.0,,,,,,,,,,,,18.0,,,,,5.0,,,,,135.0,,,,
March 2021,Paschim Medinipur,,67.97,,6.09,81.02,133.0,,,,438.0,,,,,,88.0,,,87.0,,,,,,,,,,,,254.0,,,,,70.0,,,,,128.0,,,,
March 2021,Purba Medinipur,,395.71,,32.32,567.49,595.0,,,,1861.0,,,,,,566.0,,,554.0,,,,,,,,,,,,909.0,,,,,488.0,,,,,140.0,,,,
March 2021,Purulia,,42.67,,1.44,62.08,31.0,,,,224.0,,,,,,33.0,,,32.0,,,,,,,,,,,,176.0,,,,,27.0,,,,,75.0,,,,
March 2021,South 24 Parganas,,68.39,,15.62,84.89,431.0,,,,1359.0,,,,,,135.0,,,132.0,,,,,,,,,,,,822.0,,,,,109.0,,,,,193.0,,,,
March 2021,Uttar Dinajpur,,18.67,,1.01,12.37,34.0,,,,128.0,,,,,,15.0,,,14.0,,,,,,,,,,,,84.0,,,,,13.0,,,,,75.0,,,,
September 2017,Alipurduar,,,,,,,15.0,,,,199.0,,19.0,,41.69,,,,,,26.62,,,,,,,,,,,,1.0,,10.0,,,,,,,,,,
September 2017,Bankura,,,,,,,55.0,,,,415.0,,74.0,,122.42,,,,,,212.1,,,,,,,,,,,,2.0,,83.0,,,,,,,,,,
September 2017,Birbhum,,,,,,,17.0,,,,202.0,,18.0,,31.83,,,,,,114.04,,,,,,,,,,,,4.0,,56.0,,,,,,,,,,
September 2017,Cooch Behar,,,,,,,14.0,,,,638.0,,16.0,,29.39,,,,,,38.68,,,,,,,,,,,,5.0,,18.0,,,,,,,,,,
September 2017,Dakshin Dinajpur,,,,,,,27.0,,,,133.0,,21.0,,76.4,,,,,,150.48,,,,,,,,,,,,19.0,,41.0,,,,,,,,,,
September 2017,Darjeeling,,,,,,,4.0,,,,145.0,,4.0,,10.17,,,,,,13.94,,,,,,,,,,,,6.0,,3.0,,,,,,,,,,
September 2017,Hooghly,,,,,,,9.0,,,,257.0,,8.0,,28.87,,,,,,26.12,,,,,,,,,,,,7.0,,16.0,,,,,,,,,,
September 2017,Howrah,,,,,,,7.0,,,,176.0,,9.0,,17.01,,,,,,33.14,,,,,,,,,,,,8.0,,15.0,,,,,,,,,,
September 2017,Jalpaiguri,,,,,,,1.0,,,,324.0,,1.0,,1.05,,,,,,9.06,,,,,,,,,,,,9.0,,2.0,,,,,,,,,,
September 2017,Kolkata,,,,,,,2.0,,,,42.0,,1.0,,8.03,,,,,,16.74,,,,,,,,,,,,10.0,,3.0,,,,,,,,,,
September 2017,Malda,,,,,,,4.0,,,,102.0,,4.0,,4.9,,,,,,19.19,,,,,,,,,,,,11.0,,17.0,,,,,,,,,,
September 2017,Murshidabad,,,,,,,14.0,,,,885.0,,16.0,,22.63,,,,,,83.54,,,,,,,,,,,,13.0,,30.0,,,,,,,,,,
September 2017,Nadia,,,,,,,28.0,,,,222.0,,30.0,,122.5,,,,,,111.75,,,,,,,,,,,,14.0,,29.0,,,,,,,,,,
September 2017,Paschim Medinipur,,,,,,,3.0,,,,274.0,,3.0,,12.16,,,,,,54.78,,,,,,,,,,,,17.0,,32.0,,,,,,,,,,
September 2017,Purba Medinipur,,,,,,,53.0,,,,3828.0,,68.0,,147.68,,,,,,591.08,,,,,,,,,,,,12.0,,210.0,,,,,,,,,,
September 2017,Purulia,,,,,,,3.0,,,,72.0,,3.0,,16.27,,,,,,24.35,,,,,,,,,,,,18.0,,10.0,,,,,,,,,,
September 2017,Uttar Dinajpur,,,,,,,7.0,,,,49.0,,6.0,,33.29,,,,,,8.05,,,,,,,,,,,,15.0,,1.0,,,,,,,,,,
September 2019,Alipurduar,,,,,,,,,,385.0,,,,,0.0,,11.0,,10.0,,,,,,,0.0,143.0,,232.0,,,,,,,6.0,,,,,,,,,
September 2019,Bankura,,,,,,,,,,77.0,,,,,0.0,,30.0,,28.0,,,,,,,0.0,61.0,,7.0,,,,,,,23.0,,,,,,,,,
September 2019,Birbhum,,,,,,,,,,123.0,,,,,0.0,,20.0,,17.0,,,,,,,0.0,84.0,,21.0,,,,,,,18.0,,,,,,,,,
September 2019,Cooch Behar,,,,,,,,,,491.0,,,,,1.75,,34.0,,31.0,,,,,,,1.0,287.0,,187.0,,,,,,,24.0,,,,,,,,,
September 2019,Dakshin Dinajpur,,,,,,,,,,88.0,,,,,0.0,,22.0,,24.0,,,,,,,0.0,61.0,,16.0,,,,,,,16.0,,,,,,,,,
September 2019,Darjeeling,,,,,,,,,,71.0,,,,,0.0,,30.0,,26.0,,,,,,,0.0,62.0,,7.0,,,,,,,20.0,,,,,,,,,
September 2019,Hooghly,,,,,,,,,,50.0,,,,,1.4,,22.0,,20.0,,,,,,,1.0,14.0,,29.0,,,,,,,13.0,,,,,,,,,
September 2019,Howrah,,,,,,,,,,152.0,,,,,0.0,,27.0,,28.0,,,,,,,0.0,117.0,,22.0,,,,,,,26.0,,,,,,,,,
September 2019,Jalpaiguri,,,,,,,,,,59.0,,,,,0.0,,4.0,,4.0,,,,,,,0.0,39.0,,19.0,,,,,,,8.0,,,,,,,,,
September 2019,Kalimpong,,,,,,,,,,2.0,,,,,0.0,,7.0,,8.0,,,,,,,0.0,2.0,,0.0,,,,,,,7.0,,,,,,,,,
September 2019,Kolkata,,,,,,,,,,122.0,,,,,2.25,,8.0,,5.0,,,,,,,1.0,62.0,,57.0,,,,,,,3.0,,,,,,,,,
September 2019,Malda,,,,,,,,,,113.0,,,,,0.0,,9.0,,9.0,,,,,,,0.0,66.0,,38.0,,,,,,,11.0,,,,,,,,,
September 2019,Murshidabad,,,,,,,,,,862.0,,,,,7.83,,76.0,,74.0,,,,,,,1.0,632.0,,171.0,,,,,,,78.0,,,,,,,,,
September 2019,Nadia,,,,,,,,,,135.0,,,,,0.0,,51.0,,48.0,,,,,,,0.0,53.0,,51.0,,,,,,,47.0,,,,,,,,,
September 2019,Paschim Bardhaman,,,,,,,,,,59.0,,,,,0.0,,2.0,,2.0,,,,,,,0.0,36.0,,21.0,,,,,,,1.0,,,,,,,,,
September 2019,Paschim Medinipur,,,,,,,,,,,,,,,1.25,,25.0,,23.0,,,,,,,1.0,198.0,,45.0,,,,,,,10.0,,,,,,,,,
September 2019,Purba Medinipur,,,,,,,,,,1535.0,,,,,1.75,,229.0,,239.0,,,,,,,1.0,1243.0,,161.0,,,,,,,210.0,,,,,,,,,
September 2019,Purulia,,,,,,,,,,151.0,,,,,0.0,,20.0,,14.0,,,,,,,0.0,143.0,,2.0,,,,,,,13.0,,,,,,,,,
September 2019,Uttar Dinajpur,,,,,,,,,,21.0,,,,,0.0,,2.0,,1.0,,,,,,,0.0,13.0,,8.0,,,,,,,0.0,,,,,,,,,
September 2020,Alipurduar,,,,,,,,,,205.0,,,,,0.11,,,,30.0,,,,46.0,2.0,,,,,,97.0,,,,64.0,,,,,,,,,,,
September 2020,Bankura,,,,,,,,,,80.0,,,,,0.0,,,,24.0,,,,47.0,0.0,,,,,,28.0,,,,16.0,,,,,,,,,,,
September 2020,Birbhum,,,,,,,,,,83.0,,,,,0.01,,,,26.0,,,,17.0,1.0,,,,,,43.0,,,,29.0,,,,,,,,,,,
September 2020,Cooch Behar,,,,,,,,,,292.0,,,,,0.0,,,,28.0,,,,96.0,0.0,,,,,,165.0,,,,36.0,,,,,,,,,,,
September 2020,Dakshin Dinajpur,,,,,,,,,,72.0,,,,,0.0,,,,10.0,,,,21.0,0.0,,,,,,37.0,,,,15.0,,,,,,,,,,,
September 2020,Darjeeling,,,,,,,,,,109.0,,,,,0.0,,,,25.0,,,,58.0,0.0,,,,,,33.0,,,,24.0,,,,,,,,,,,
September 2020,Hooghly,,,,,,,,,,10.0,,,,,0.0,,,,6.0,,,,1.0,0.0,,,,,,6.0,,,,8.0,,,,,,,,,,,
September 2020,Howrah,,,,,,,,,,55.0,,,,,0.0,,,,13.0,,,,24.0,0.0,,,,,,25.0,,,,4.0,,,,,,,,,,,
September 2020,Jalpaiguri,,,,,,,,,,239.0,,,,,0.0,,,,6.0,,,,112.0,0.0,,,,,,110.0,,,,17.0,,,,,,,,,,,
September 2020,Jhargram,,,,,,,,,,5.0,,,,,0.0,,,,4.0,,,,2.0,0.0,,,,,,3.0,,,,4.0,,,,,,,,,,,
September 2020,Kalimpong,,,,,,,,,,10.0,,,,,0.0,,,,0.0,,,,5.0,0.0,,,,,,5.0,,,,3.0,,,,,,,,,,,
September 2020,Kolkata,,,,,,,,,,69.0,,,,,0.0,,,,1.0,,,,28.0,0.0,,,,,,25.0,,,,17.0,,,,,,,,,,,
September 2020,Malda,,,,,,,,,,108.0,,,,,0.0,,,,20.0,,,,43.0,0.0,,,,,,45.0,,,,23.0,,,,,,,,,,,
September 2020,Murshidabad,,,,,,,,,,371.0,,,,,0.0,,,,60.0,,,,136.0,0.0,,,,,,173.0,,,,40.0,,,,,,,,,,,
September 2020,Nadia,,,,,,,,,,76.0,,,,,0.0,,,,62.0,,,,27.0,0.0,,,,,,28.0,,,,45.0,,,,,,,,,,,
September 2020,North 24 Parganas,,,,,,,,,,775.0,,,,,0.11,,,,66.0,,,,273.0,4.0,,,,,,447.0,,,,42.0,,,,,,,,,,,
September 2020,Paschim Bardhaman,,,,,,,,,,19.0,,,,,0.0,,,,4.0,,,,8.0,0.0,,,,,,9.0,,,,2.0,,,,,,,,,,,
September 2020,Paschim Medinipur,,,,,,,,,,83.0,,,,,0.0,,,,28.0,,,,39.0,0.0,,,,,,32.0,,,,17.0,,,,,,,,,,,
September 2020,Purba Medinipur,,,,,,,,,,523.0,,,,,0.0,,,,237.0,,,,238.0,0.0,,,,,,190.0,,,,177.0,,,,,,,,,,,
September 2020,Purulia,,,,,,,,,,92.0,,,,,0.06,,,,8.0,,,,50.0,1.0,,,,,,33.0,,,,14.0,,,,,,,,,,,
September 2020,South 24 Parganas,,,,,,,,,,395.0,,,,,0.09,,,,36.0,,,,177.0,1.0,,,,,,179.0,,,,57.0,,,,,,,,,,,
September 2020,Uttar Dinajpur,,,,,,,,,,26.0,,,,,0.0,,,,2.0,,,,16.0,0.0,,,,,,10.0,,,,5.0,,,,,,,,,,,
September 2021,Alipurduar,,12.31,,1.24,15.51,,,,,153.0,,,,,,,10.0,,16.0,,,,,,,,,,,,40.0,,,,,27.0,,,,,,130.0,,,
September 2021,Bankura,,1.54,,1.38,0.8,,,,,91.0,,,,,,,3.0,,2.0,,,,,,,,,,,,39.0,,,,,8.0,,,,,,130.0,,,
September 2021,Birbhum,,19.23,,0.95,22.39,,,,,117.0,,,,,,,20.0,,25.0,,,,,,,,,,,,24.0,,,,,33.0,,,,,,130.0,,,
September 2021,Cooch Behar,,7.69,,1.42,5.74,,,,,199.0,,,,,,,10.0,,10.0,,,,,,,,,,,,49.0,,,,,26.0,,,,,,130.0,,,
September 2021,Dakshin Dinajpur,,21.67,,0.75,48.25,,,,,116.0,,,,,,,23.0,,26.0,,,,,,,,,,,,18.0,,,,,17.0,,,,,,120.0,,,
September 2021,Darjeeling,,20.0,,0.67,19.93,,,,,106.0,,,,,,,17.0,,24.0,,,,,,,,,,,,20.0,,,,,19.0,,,,,,120.0,,,
September 2021,Hooghly,,7.5,,1.04,8.7,,,,,164.0,,,,,,,8.0,,9.0,,,,,,,,,,,,42.0,,,,,25.0,,,,,,120.0,,,
September 2021,Howrah,,9.17,,0.85,8.35,,,,,123.0,,,,,,,3.0,,11.0,,,,,,,,,,,,24.0,,,,,18.0,,,,,,120.0,,,
September 2021,Jalpaiguri,,19.17,,1.43,21.52,,,,,281.0,,,,,,,21.0,,23.0,,,,,,,,,,,,59.0,,,,,49.0,,,,,,120.0,,,
September 2021,Jhargram,,0.83,,0.05,0.97,,,,,16.0,,,,,,,1.0,,1.0,,,,,,,,,,,,3.0,,,,,6.0,,,,,,120.0,,,
September 2021,Kalimpong,,3.33,,0.03,3.88,,,,,24.0,,,,,,,5.0,,4.0,,,,,,,,,,,,1.0,,,,,7.0,,,,,,120.0,,,
September 2021,Kolkata,,1.67,,0.08,0.84,,,,,44.0,,,,,,,1.0,,2.0,,,,,,,,,,,,7.0,,,,,3.0,,,,,,120.0,,,
September 2021,Malda,,6.67,,1.58,7.02,,,,,157.0,,,,,,,9.0,,8.0,,,,,,,,,,,,54.0,,,,,23.0,,,,,,120.0,,,
September 2021,Murshidabad,,21.74,,5.12,27.99,,,,,289.0,,,,,,,51.0,,55.0,,,,,,,,,,,,111.0,,,,,77.0,,,,,,253.0,,,
September 2021,Nadia,,6.67,,0.8,8.65,,,,,95.0,,,,,,,5.0,,8.0,,,,,,,,,,,,12.0,,,,,10.0,,,,,,120.0,,,
September 2021,North 24 Parganas,,39.0,,4.1,45.58,,,,,519.0,,,,,,,78.0,,78.0,,,,,,,,,,,,105.0,,,,,106.0,,,,,,200.0,,,
September 2021,Paschim Bardhaman,,1.67,,0.09,3.93,,,,,19.0,,,,,,,1.0,,2.0,,,,,,,,,,,,4.0,,,,,2.0,,,,,,120.0,,,
September 2021,Paschim Medinipur,,10.0,,1.25,14.98,,,,,214.0,,,,,,,16.0,,17.0,,,,,,,,,,,,39.0,,,,,16.0,,,,,,170.0,,,
September 2021,Purba Medinipur,,35.78,,4.45,65.64,,,,,697.0,,,,,,,155.0,,161.0,,,,,,,,,,,,123.0,,,,,184.0,,,,,,450.0,,,
September 2021,Purulia,,1.67,,0.28,2.07,,,,,74.0,,,,,,,5.0,,2.0,,,,,,,,,,,,11.0,,,,,11.0,,,,,,120.0,,,
September 2021,South 24 Parganas,,17.33,,3.58,20.23,,,,,370.0,,,,,,,54.0,,52.0,,,,,,,,,,,,84.0,,,,,88.0,,,,,,300.0,,,
September 2021,Uttar Dinajpur,,7.5,,0.2,6.39,,,,,45.0,,,,,,,11.0,,9.0,,,,,,,,,,,,4.0,,,,,41.0,,,,,,120.0,,,
September 2022,Alipurduar,,,,210.33,,,,,,,,,,,,,38.0,,36.0,,,,,,,,,,,,80.0,,,,,55.0,160.0,,,,,,145.0,,
