period,district,10_km_to_20_km_2000,1km,1km_3km,2000_5000,3km_5km,5000,5_km_7_5_km_2000,7_5_km_10_km_2000,above_20_km_2000,achievement_as_on_30_09_2018_no,achievement_as_on_no,amount,amount_rs_cr,amt,amt_in_lac,amt_lac,average_rs_lac,block_affected,disbursement_pending_no,education_no,export_credit_no,grand_total_no,housing_no,loan_amount_disbursed,loan_amount_rs_crore,mm_claimed_no,mm_disbursed_no,mouza_affected,no_of_affected_blocks,no_of_block_affected,no_of_mouza_affected,no_of_shg,nos,number_of_applications_pending_with_banks_as_on_31_03_2015,number_of_applications_rejected_by_the_bank_in_2015_16,number_of_applications_sent_to_bank_in_2015_16,number_of_wccs_issued_by_banks_in_2015_16,of_achievement_mm_disbursed_no,of_achievement_no,others_sector_activities_not_classified_elsewhere_no,out_of_a_approved_by_bank_b_no,out_of_a_rejected_d,out_of_b_disbursed_by_bank_c_no,pending_at_bank_level_verified_by_pmu_stcb_no,project_cost_rs_crore,renewable_energy_no,returned_no,rs_in_lakh_number_of_number_of_number_of_number_of_total_number_loan_loan_applications_applications_wccs_issued_applications_of_applications_amount_amount_sent_to_bank_pending_with_by_banks_in_rejected_by_pending_with_sanctioned_disbursed_remarks_in_2015_16_banks_as_on_2015_16_the_bank_in_bank_31_03_2015_2015_16_3_4_5_6,sanction_amount_rs_in_lac,sanctioned_no,sn,social_infrastructure_no,sponsored_in_fy_2024_25_no,target_for_2017_18_no,target_for_2018_19_no,target_for_2024_25_no,total,total_application_submitted_to_bank_a,total_gp,total_number_of_applications_pending_with_bank_3_4_5_6,total_of_gp_hqs_above_5_km_2000
March 2019,Nadia,,,,,,,,,,,,787777.33,,,,,,,,3440.0,1380.0,566764.0,3440.0,,,,,,,,,,,,,,,,,36324.0,,,,,,3501.0,,,,,,446.0,,,,,,,,,
March 2019,North 24 Parganas,,,,,,,,,,,,1048196.0,,,,,,,,1560.0,0.0,655643.0,11851.0,,,,,,,,,,,,,,,,,46717.0,,,,,,1053.0,,,,,,175.0,,,,,,,,,
March 2019,Paschim Medinipur,,,,,,,,,,,,1038346.2,,,,,,,,612.0,10.0,690618.0,1519.0,,,,,,,,,,,,,,,,,36380.0,,,,,,3800.0,,,,,,54.0,,,,,,,,,
March 2019,Purba Medinipur,,,,,,,,,,,,916010.38,,,,,,,,1177.0,21.0,657530.0,12355.0,,,,,,,,,,,,,,,,,73775.0,,,,,,826.0,,,,,,110.0,,,,,,,,,
March 2019,Purulia,,,,,,,,,,,,449999.86,,,,,,,,401.0,0.0,361261.0,925.0,,,,,,,,,,,,,,,,,27087.0,,,,,,2184.0,,,,,,363.0,,,,,,,,,
March 2019,South 24 Parganas,,,,,,,,,,,,993142.66,,,,,,,,7759.0,19.0,1307639.0,5730.0,,,,,,,,,,,,,,,,,34518.0,,,,,,1220.0,,,,,,58.0,,,,,,,,,
March 2019,Uttar Dinajpur,,,,,,,,,,,,341081.69,,,,,,,,105.0,35.0,265712.0,2105.0,,,,,,,,,,,,,,,,,42446.0,,,,,,796.0,,,,,,52.0,,,,,,,,,
March 2020,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2020,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2020,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2020,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,5593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2020,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,3100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2020,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,2119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Hooghly,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Howrah,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Malda,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,North 24 Parganas,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Paschim Medinipur,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,5593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Purba Bardhaman,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Purba Medinipur,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,South 24 Parganas,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2023,Alipurduar,,,,,,,,,,,,,1.67,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,23.0,50.0,19.0,19.0,,,,,,,,,,,,,,92.0,,,
March 2023,Bankura,,,,,,,,,,,,,8.56,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,125.0,46.0,120.0,14.0,,,,,,,,,,,,,,185.0,,,
March 2023,Birbhum,,,,,,,,,,,,,5.92,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,27.0,9.0,,,,,,,,,,,,,,73.0,,,
March 2023,Cooch Behar,,,,,,,,,,,,,8.98,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,29.0,85.0,26.0,14.0,,,,,,,,,,,,,,128.0,,,
March 2023,Dakshin Dinajpur,,,,,,,,,,,,,2.1,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,12.0,14.0,9.0,5.0,,,,,,,,,,,,,,31.0,,,
March 2023,Darjeeling,,,,,,,,,,,,,14.73,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,11.0,29.0,9.0,14.0,,,,,,,,,,,,,,54.0,,,
March 2023,Hooghly,,,,,,,,,,,,,14.36,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,137.0,37.0,128.0,22.0,,,,,,,,,,,,,,196.0,,,
March 2023,Howrah,,,,,,,,,,,,,1.83,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,17.0,12.0,13.0,2.0,,,,,,,,,,,,,,31.0,,,
March 2023,Jalpaiguri,,,,,,,,,,,,,5.01,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,23.0,57.0,21.0,5.0,,,,,,,,,,,,,,85.0,,,
March 2023,Jhargram,,,,,,,,,,,,,2.67,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,16.0,14.0,15.0,10.0,,,,,,,,,,,,,,40.0,,,
March 2023,Kalimpong,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,3.0,,,
March 2023,Kolkata,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,3.0,,,
March 2023,Malda,,,,,,,,,,,,,10.61,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,38.0,99.0,36.0,32.0,,,,,,,,,,,,,,169.0,,,
March 2023,Murshidabad,,,,,,,,,,,,,4.33,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,80.0,303.0,62.0,25.0,,,,,,,,,,,,,,408.0,,,
March 2023,Nadia,,,,,,,,,,,,,6.42,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,37.0,110.0,27.0,10.0,,,,,,,,,,,,,,157.0,,,
March 2023,North 24 Parganas,,,,,,,,,,,,,5.19,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,37.0,214.0,26.0,22.0,,,,,,,,,,,,,,273.0,,,
March 2023,Paschim Bardhaman,,,,,,,,,,,,,4.15,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,26.0,4.0,24.0,4.0,,,,,,,,,,,,,,34.0,,,
March 2023,Paschim Medinipur,,,,,,,,,,,,,8.81,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,76.0,35.0,74.0,18.0,,,,,,,,,,,,,,129.0,,,
March 2023,Purba Bardhaman,,,,,,,,,,,,,5.49,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,174.0,73.0,158.0,18.0,,,,,,,,,,,,,,265.0,,,
March 2023,Purba Medinipur,,,,,,,,,,,,,13.91,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,40.0,127.0,25.0,41.0,,,,,,,,,,,,,,208.0,,,
March 2023,Purulia,,,,,,,,,,,,,2.9,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,19.0,49.0,15.0,11.0,,,,,,,,,,,,,,79.0,,,
March 2023,South 24 Parganas,,,,,,,,,,,,,0.81,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,12.0,32.0,10.0,4.0,,,,,,,,,,,,,,48.0,,,
March 2023,Uttar Dinajpur,,,,,,,,,,,,,2.9,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,22.0,19.0,15.0,1.0,,,,,,,,,,,,,,42.0,,,
September 2018,Alipurduar,,,,,,,,,,1776.0,,,,,2859.28,9.51,1.61,,,,,,,,,,,,,,,,,,,,,,14.07,,,,,,,,,,,,,,,,12625.0,,,,,,
September 2018,Bankura,,,,,,,,,,7668.0,,,,,19271.56,28.09,2.51,,,,,,,,,,,,,,,,,,,,,,26.91,,,,,,,,,,,,,,,,28497.0,,,,,,
September 2018,Birbhum,,,,,,,,,,19334.0,,,,,22209.0,29.03,1.15,,,,,,,,,,,,,,,,,,,,,,57.43,,,,,,,,,,,,,,,,33668.0,,,,,,
September 2018,Cooch Behar,,,,,,,,,,2853.0,,,,,7506.75,9.45,2.63,,,,,,,,,,,,,,,,,,,,,,8.65,,,,,,,,,,,,,,,,32987.0,,,,,,
September 2018,Dakshin Dinajpur,,,,,,,,,,2262.0,,,,,4514.39,13.52,2.0,,,,,,,,,,,,,,,,,,,,,,15.99,,,,,,,,,,,,,,,,14142.0,,,,,,
September 2018,Darjeeling,,,,,,,,,,322.0,,,,,16.31,0.37,0.05,,,,,,,,,,,,,,,,,,,,,,17.46,,,,,,,,,,,,,,,,1844.0,,,,,,
September 2018,Hooghly,,,,,,,,,,17092.0,,,,,17854.34,34.93,1.04,,,,,,,,,,,,,,,,,,,,,,83.59,,,,,,,,,,,,,,,,20447.0,,,,,,
September 2018,Howrah,,,,,,,,,,4932.0,,,,,8077.91,19.32,1.64,,,,,,,,,,,,,,,,,,,,,,28.01,,,,,,,,,,,,,,,,17611.0,,,,,,
September 2018,Jalpaiguri,,,,,,,,,,4941.0,,,,,8235.65,14.43,1.67,,,,,,,,,,,,,,,,,,,,,,22.38,,,,,,,,,,,,,,,,22080.0,,,,,,
September 2018,Jhargram,,,,,,,,,,2723.0,,,,,2453.69,10.42,0.9,,,,,,,,,,,,,,,,,,,,,,29.85,,,,,,,,,,,,,,,,9122.0,,,,,,
September 2018,Kalimpong,,,,,,,,,,523.0,,,,,20.86,0.95,0.04,,,,,,,,,,,,,,,,,,,,,,56.53,,,,,,,,,,,,,,,,926.0,,,,,,
September 2018,Malda,,,,,,,,,,3253.0,,,,,4363.96,5.35,1.34,,,,,,,,,,,,,,,,,,,,,,9.74,,,,,,,,,,,,,,,,33413.0,,,,,,
September 2018,Murshidabad,,,,,,,,,,13158.0,,,,,29430.82,31.11,2.24,,,,,,,,,,,,,,,,,,,,,,32.41,,,,,,,,,,,,,,,,40601.0,,,,,,
September 2018,Nadia,,,,,,,,,,13703.0,,,,,16572.53,32.81,1.21,,,,,,,,,,,,,,,,,,,,,,63.44,,,,,,,,,,,,,,,,21601.0,,,,,,
September 2018,North 24 Parganas,,,,,,,,,,15791.0,,,,,5671.04,6.48,0.36,,,,,,,,,,,,,,,,,,,,,,44.35,,,,,,,,,,,,,,,,35609.0,,,,,,
September 2018,Paschim Bardhaman,,,,,,,,,,18919.0,,,,,39422.15,331.26,2.08,,,,,,,,,,,,,,,,,,,,,,391.62,,,,,,,,,,,,,,,,4831.0,,,,,,
September 2018,Paschim Medinipur,,,,,,,,,,19084.0,,,,,29085.98,37.4,1.52,,,,,,,,,,,,,,,,,,,,,,64.96,,,,,,,,,,,,,,,,29380.0,,,,,,
September 2018,Purba Bardhaman,,,,,,,,,,5962.0,,,,,6569.44,8.5,1.1,,,,,,,,,,,,,,,,,,,,,,20.56,,,,,,,,,,,,,,,,28994.0,,,,,,
September 2018,Purba Medinipur,,,,,,,,,,25128.0,,,,,43870.69,48.22,1.75,,,,,,,,,,,,,,,,,,,,,,66.57,,,,,,,,,,,,,,,,37745.0,,,,,,
September 2018,Purulia,,,,,,,,,,14643.0,,,,,9052.94,20.44,0.62,,,,,,,,,,,,,,,,,,,,,,78.03,,,,,,,,,,,,,,,,18766.0,,,,,,
September 2018,South 24 Parganas,,,,,,,,,,19753.0,,,,,26790.44,31.72,1.36,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,38731.0,,,,,,
September 2018,Uttar Dinajpur,,,,,,,,,,3990.0,,,,,7810.49,14.51,1.96,,,,,,,,,,,,,,,,,,,,,,18.04,,,,,,,,,,,,,,,,22117.0,,,,,,
September 2019,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2019,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2019,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2019,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2019,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2019,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2019,Nadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2019,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2019,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
