period,district,a03m_1t_8_rs_in_lac,achievement_as_on_30_06_2018_no,achievement_as_on_june_2016_no,achievement_as_on_june_2017_no,achievement_as_on_march_2016_no,achievement_as_on_march_2017_no,achievement_as_on_no_31,achievement_as_on_sept_2016_no,achievement_as_on_september_2017_no,achievement_no,achievement_no_wise,amount,amount_crore,amount_wise,amt,amt_crore,amt_in_lac,amt_in_lakh,amt_rs_in_lac,applications_disbursed_no,applications_pending_till_date_no,applications_sanctioned_no,applications_submitted_no,average_rs_lac,block_affected,disbursed_no,disbursed_nos,forwarded_to_bank_no,khadi_village_industries_no,loan_amount_rs_crore,loanee,medium_enterprise_mfg_ser_upto_rs_10_cr_no,micro_enterprise_mfg_ser_upto_rs_0_25_cr_no,mm_claimed_no,mm_disbursed_no,mouza_affected,no_of_applicantion_uploaded_62298,no_of_farmers_members_of_fpo,no_of_fpc,no_of_fpos,non_loanee,nos,number_of_claims_settled_for_claim_amounts_less_than_rs_1_00_000,number_of_claims_settled_for_claim_amounts_of_rs_1_00_000_or_more,of_achievement_mm_disbursed_no,of_achievement_no,others_sector_activities_not_classified_elsewhere_no,pending_no,pending_shg_no,project_cost_rs_crore,rejected_no,returned_no,s_no_1,sanctioned_no,sanctioned_nos,settled_amount_for_claim_amounts_less_than_rs_1_00_000,settled_amount_for_claim_amounts_of_rs_1_00_000_or_more,small_enterprise_mfg_ser_upto_rs_5_cr_no,sn,sponsored_in_fy_2023_24_no,sum_of_cummul_ative_not_a_member_of_pacs,sum_of_cummul_ative_wrong_incomple_te_informati_on_furnishe_d,sum_of_cummula_tive_already_availed_loan_for_same_purpose_from_other_banks,sum_of_cummula_tive_already_having_kcc_with_some_other_bank,sum_of_cummula_tive_any_other_reason,sum_of_cummula_tive_applicant_in_default_npa,sum_of_cummula_tive_applicati_on_for_purpose_of_cattle,sum_of_cummula_tive_milch_animal_in_possesio_n_no_space_available_for_cattle_shed,sum_of_cummula_tive_no_of_applicati_ons_accepted,sum_of_cummula_tive_no_of_applicati_ons_received,sum_of_cummula_tive_no_of_applicati_ons_sanction_ed,sum_of_cummula_tive_tpa_not_furnished_collection_account_is_in_other_bank,sum_of_cummulat_ive_members_of_the_family_applying_for_kcc_against_same_milch_animal,sum_of_cummulativ_e_appplicant_i_not_tracable_ii_unwilling_to_avail_iii_unaware_about_the_submission_of_application,sum_of_cummulativ_e_second_application_submitted_for_same_other_reasons,sum_of_pendency_more_than_15_days,target_2021_22_no,target_for_2015_16_no,target_for_2016_17_no,target_for_2017_18_no,target_for_2018_19_no,target_for_2023_24_no,target_no,target_no_fy_2024_25,target_nos,total,total_appl_submit_no,total_msme_no,total_no
December 2025,South 24 Parganas,,,,,,,,,,,,,,,,,,2697.0,,1106.0,1528.0,1109.0,2535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Uttar Dinajpur,,,,,,,,,,,,,,,,,,2455.0,,665.0,1525.0,688.0,1929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2016,Alipurduar,,,476.0,,,,,,,22.0,,,,,20.0,,,,610.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2174.0,,,,,,,,,,
June 2016,Bankura,,,2106.0,,,,,,,12.0,,,,,10.0,,,,2244.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17910.0,,,,,,,,,,
June 2016,Birbhum,,,1650.0,,,,,,,6.0,,,,,8.0,,,,3250.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27397.0,,,,,,,,,,
June 2016,Cooch Behar,,,1563.0,,,,,,,12.0,,,,,12.0,,,,1903.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12526.0,,,,,,,,,,
June 2016,Dakshin Dinajpur,,,696.0,,,,,,,12.0,,,,,11.0,,,,838.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6035.0,,,,,,,,,,
June 2016,Darjeeling,,,212.0,,,,,,,12.0,,,,,13.0,,,,283.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764.0,,,,,,,,,,
June 2016,Hooghly,,,2375.0,,,,,,,12.0,,,,,8.0,,,,2210.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20528.0,,,,,,,,,,
June 2016,Howrah,,,1024.0,,,,,,,7.0,,,,,7.0,,,,1418.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14418.0,,,,,,,,,,
June 2016,Jalpaiguri,,,682.0,,,,,,,11.0,,,,,11.0,,,,857.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6045.0,,,,,,,,,,
June 2016,Malda,,,1675.0,,,,,,,19.0,,,,,15.0,,,,1656.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8701.0,,,,,,,,,,
June 2016,Murshidabad,,,3392.0,,,,,,,25.0,,,,,23.0,,,,3957.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13608.0,,,,,,,,,,
June 2016,Nadia,,,2015.0,,,,,,,12.0,,,,,9.0,,,,1862.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16334.0,,,,,,,,,,
June 2016,North 24 Parganas,,,1397.0,,,,,,,11.0,,,,,9.0,,,,1759.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12626.0,,,,,,,,,,
June 2016,Paschim Medinipur,,,1259.0,,,,,,,9.0,,,,,8.0,,,,1442.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13988.0,,,,,,,,,,
June 2016,Purba Bardhaman,,,1199.0,,,,,,,6.0,,,,,10.0,,,,2418.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18829.0,,,,,,,,,,
June 2016,Purba Medinipur,,,3116.0,,,,,,,15.0,,,,,16.0,,,,4519.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20410.0,,,,,,,,,,
June 2016,Purulia,,,945.0,,,,,,,7.0,,,,,7.0,,,,1054.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13768.0,,,,,,,,,,
June 2016,South 24 Parganas,,,2219.0,,,,,,,16.0,,,,,13.0,,,,2044.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13787.0,,,,,,,,,,
June 2016,Uttar Dinajpur,,,1247.0,,,,,,,19.0,,,,,19.0,,,,1591.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6630.0,,,,,,,,,,
June 2017,Alipurduar,,,,1689.0,,,,,,,,,,,26.92,,2639.5,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,23.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7044.0,,,,,,,,,
June 2017,Bankura,,,,4940.0,,,,,,,,,,,26.14,,7103.54,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,31.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15512.0,,,,,,,,,
June 2017,Birbhum,,,,3945.0,,,,,,,,,,,23.29,,7953.74,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,22.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17685.0,,,,,,,,,
June 2017,Cooch Behar,,,,2437.0,,,,,,,,,,,13.8,,3508.74,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,13.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17540.0,,,,,,,,,
June 2017,Dakshin Dinajpur,,,,750.0,,,,,,,,,,,7.66,,1115.47,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,,,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7992.0,,,,,,,,,
June 2017,Darjeeling,,,,100.0,,,,,,,,,,,4.43,,163.62,,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109.0,,,,,,,,,
June 2017,Hooghly,,,,2205.0,,,,,,,,,,,13.66,,3548.9,,,,,,,1.61,,,,,,,,,,,,,,,,,,,,,,10.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20584.0,,,,,,,,,
June 2017,Howrah,,,,1672.0,,,,,,,,,,,16.62,,3604.46,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,15.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10873.0,,,,,,,,,
June 2017,Jalpaiguri,,,,2321.0,,,,,,,,,,,20.73,,3657.64,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,22.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10516.0,,,,,,,,,
June 2017,Jhargram,,,,876.0,,,,,,,,,,,13.7,,1069.12,,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,,18.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4695.0,,,,,,,,,
June 2017,Malda,,,,1976.0,,,,,,,,,,,10.71,,2921.48,,,,,,,1.48,,,,,,,,,,,,,,,,,,,,,,12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16257.0,,,,,,,,,
June 2017,Murshidabad,,,,2810.0,,,,,,,,,,,11.34,,4476.05,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,11.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24239.0,,,,,,,,,
June 2017,Nadia,,,,5275.0,,,,,,,,,,,16.12,,4412.8,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22450.0,,,,,,,,,
June 2017,North 24 Parganas,,,,1707.0,,,,,,,,,,,9.18,,2703.65,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18453.0,,,,,,,,,
June 2017,Paschim Medinipur,,,,3765.0,,,,,,,,,,,21.26,,5371.83,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,25.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14655.0,,,,,,,,,
June 2017,Purba Bardhaman,,,,2729.0,,,,,,,,,,,12.45,,5300.98,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,11.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22950.0,,,,,,,,,
June 2017,Purba Medinipur,,,,6920.0,,,,,,,,,,,25.59,,12248.36,,,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,25.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26816.0,,,,,,,,,
June 2017,Purulia,,,,1616.0,,,,,,,,,,,12.05,,2284.29,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,12.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000.0,,,,,,,,,
June 2017,South 24 Parganas,,,,2303.0,,,,,,,,,,,10.27,,3026.69,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,12.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18300.0,,,,,,,,,
June 2017,Uttar Dinajpur,,,,1018.0,,,,,,,,,,,8.34,,1557.36,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,8.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12705.0,,,,,,,,,
June 2018,Alipurduar,,1137.0,,,,,,,,,,,,,7.7,,2314.99,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,9.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12625.0,,,,,,,,
June 2018,Bankura,,2076.0,,,,,,,,,,,,,6.08,,4171.37,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28497.0,,,,,,,,
June 2018,Birbhum,,4056.0,,,,,,,,,,,,,10.87,,8314.24,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,12.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33668.0,,,,,,,,
June 2018,Cooch Behar,,2647.0,,,,,,,,,,,,,6.8,,5405.45,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32987.0,,,,,,,,
June 2018,Dakshin Dinajpur,,611.0,,,,,,,,,,,,,3.9,,1301.5,,,,,,,2.13,,,,,,,,,,,,,,,,,,,,,,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14142.0,,,,,,,,
June 2018,Darjeeling,,130.0,,,,,,,,,,,,,6.58,,291.6,,,,,,,2.24,,,,,,,,,,,,,,,,,,,,,,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1844.0,,,,,,,,
June 2018,Hooghly,,1620.0,,,,,,,,,,,,,7.17,,3662.75,,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20447.0,,,,,,,,
June 2018,Howrah,,1786.0,,,,,,,,,,,,,10.46,,4374.71,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,10.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17611.0,,,,,,,,
June 2018,Jalpaiguri,,2988.0,,,,,,,,,,,,,10.75,,6135.85,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,13.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22080.0,,,,,,,,
June 2018,Jhargram,,1014.0,,,,,,,,,,,,,7.7,,1812.2,,,,,,,1.79,,,,,,,,,,,,,,,,,,,,,,11.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9122.0,,,,,,,,
June 2018,Kalimpong,,133.0,,,,,,,,,,,,,13.72,,300.45,,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,,14.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926.0,,,,,,,,
June 2018,Malda,,1629.0,,,,,,,,,,,,,4.01,,3274.15,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33413.0,,,,,,,,
June 2018,Murshidabad,,6006.0,,,,,,,,,,,,,12.4,,11736.37,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,14.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40601.0,,,,,,,,
June 2018,Nadia,,1489.0,,,,,,,,,,,,,5.71,,2881.83,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21601.0,,,,,,,,
June 2018,North 24 Parganas,,2351.0,,,,,,,,,,,,,5.7,,4981.63,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35609.0,,,,,,,,
June 2018,Paschim Bardhaman,,488.0,,,,,,,,,,,,,8.3,,987.9,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Paschim Medinipur,,4832.0,,,,,,,,,,,,,20.21,,15715.9,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,16.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29380.0,,,,,,,,
June 2018,Purba Bardhaman,,3114.0,,,,,,,,,,,,,9.49,,7336.54,,,,,,,2.36,,,,,,,,,,,,,,,,,,,,,,10.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28994.0,,,,,,,,
June 2018,Purba Medinipur,,6221.0,,,,,,,,,,,,,16.45,,14969.32,,,,,,,2.41,,,,,,,,,,,,,,,,,,,,,,16.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37745.0,,,,,,,,
June 2018,Purulia,,1121.0,,,,,,,,,,,,,4.89,,2165.0,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18766.0,,,,,,,,
June 2018,South 24 Parganas,,1800.0,,,,,,,,,,,,,4.03,,3399.99,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38731.0,,,,,,,,
June 2018,Uttar Dinajpur,,517.0,,,,,,,,,,,,,1.92,,1031.0,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22117.0,,,,,,,,
June 2019,Alipurduar,,,,,,,,,,2089.0,,25.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.82,,,1196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14100.0,,,,3285.0,,
June 2019,Bankura,,,,,,,,,,2074.0,,92.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,3913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28786.0,,,,5987.0,,
June 2019,Birbhum,,,,,,,,,,3903.0,,8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.17,,,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38359.0,,,,4359.0,,
June 2019,Cooch Behar,,,,,,,,,,2317.0,,50.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39,,,2473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22293.0,,,,4790.0,,
June 2019,Dakshin Dinajpur,,,,,,,,,,956.0,,44.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37,,,1790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15012.0,,,,2746.0,,
June 2019,Hooghly,,,,,,,,,,2452.0,,40.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.07,,,1736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22150.0,,,,4188.0,,
June 2019,Howrah,,,,,,,,,,2706.0,,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.78,,,327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18313.0,,,,3033.0,,
June 2019,Jalpaiguri,,,,,,,,,,1897.0,,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92,,,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23940.0,,,,2369.0,,
June 2019,Jhargram,,,,,,,,,,1685.0,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.46,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8661.0,,,,1746.0,,
June 2019,Kalimpong,,,,,,,,,,194.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.23,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126.0,,,,194.0,,
June 2019,Malda,,,,,,,,,,1990.0,,25.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.37,,,1159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37084.0,,,,3149.0,,
June 2019,Murshidabad,,,,,,,,,,6416.0,,17.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.88,,,993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38008.0,,,,7409.0,,
June 2019,Nadia,,,,,,,,,,1005.0,,96.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,,,4006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21447.0,,,,5011.0,,
June 2019,Paschim Medinipur,,,,,,,,,,4159.0,,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.51,,,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33238.0,,,,5342.0,,
June 2019,Purba Medinipur,,,,,,,,,,5040.0,,30.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.61,,,1060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39976.0,,,,6100.0,,
June 2019,Purulia,,,,,,,,,,4142.0,,16.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.23,,,998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20472.0,,,,5140.0,,
June 2019,Uttar Dinajpur,,,,,,,,,,1491.0,,66.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.15,,,2894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13375.0,,,,4390.0,,
June 2021,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,2948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Nadia,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,1360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,1657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,5593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,3100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,2119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Alipurduar,,,,,,,,,,,,,3.95,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,21.0,,,14.0,,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530.0,,,,,
June 2024,Bankura,,,,,,,,,,,,,4.88,,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,,,,,,,44.0,,,58.0,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8208.0,,,,,
June 2024,Birbhum,,,,,,,,,,,,,8.35,,,,,,,,,,,,,184.0,,,,,,,,,,,,,,,,,,,,,,73.0,,,468.0,,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5696.0,,,,,
June 2024,Cooch Behar,,,,,,,,,,,,,3.5,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,155.0,,,52.0,,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4780.0,,,,,
June 2024,Darjeeling,,,,,,,,,,,,,4.04,,,,,,,,,,,,,324.0,,,,,,,,,,,,,,,,,,,,,,63.0,,,72.0,,,313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.0,,,,,
June 2024,Hooghly,,,,,,,,,,,,,8.57,,,,,,,,,,,,,272.0,,,,,,,,,,,,,,,,,,,,,,114.0,,,664.0,,,1098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5901.0,,,,,
June 2024,Howrah,,,,,,,,,,,,,8.1,,,,,,,,,,,,,202.0,,,,,,,,,,,,,,,,,,,,,,21.0,,,196.0,,,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.0,,,,,
June 2024,Jalpaiguri,,,,,,,,,,,,,1.23,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,77.0,,,140.0,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2540.0,,,,,
June 2024,Jhargram,,,,,,,,,,,,,4.16,,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,64.0,,,26.0,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430.0,,,,,
June 2024,Kalimpong,,,,,,,,,,,,,1.99,,,,,,,,,,,,,206.0,,,,,,,,,,,,,,,,,,,,,,22.0,,,17.0,,,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.0,,,,,
June 2024,Kolkata,,,,,,,,,,,,,3.12,,,,,,,,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,13.0,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
June 2024,Malda,,,,,,,,,,,,,4.48,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,,,,,,48.0,,,142.0,,,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6064.0,,,,,
June 2024,Murshidabad,,,,,,,,,,,,,4.27,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,12.0,,,64.0,,,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6510.0,,,,,
June 2024,Nadia,,,,,,,,,,,,,3.42,,,,,,,,,,,,,138.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,52.0,,,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4969.0,,,,,
June 2024,Paschim Bardhaman,,,,,,,,,,,,,1.49,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,20.0,,,98.0,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215.0,,,,,
June 2024,Paschim Medinipur,,,,,,,,,,,,,6.9,,,,,,,,,,,,,357.0,,,,,,,,,,,,,,,,,,,,,,47.0,,,69.0,,,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7929.0,,,,,
