period,district,camp_conducted_by_rural_branches_during_the_quarter,camp_conducted_by_rural_branches_during_the_quarter_no_of_branches,camp_conducted_by_rural_branches_during_the_quarter_no_of_total_rural_branches,camps_by_rural_branches_no_of_total_rural_branches,fy_2020_21_no_of_flc_camps_conducted,fy_2021_22_no_of_flc_camps_conducted,fy_2022_23_no_of_flc_camps_conducted,fy_2023_24_no_of_flc_camps_conducted,fy_2024_25_no_of_flc_camps_conducted,no_of_beneficiary_attended,no_of_camps,no_of_camps_conducted,no_of_flcs,no_of_flcs_in_district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_3,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_4,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_5,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_6,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_8,no_of_participants,no_of_participants_attended,no_of_persons_participated,no_of_persons_participated_in_literacy_camps_during_the_quarter_284,no_of_persons_participated_in_literacy_camps_during_the_quarter_312,no_of_persons_participated_in_literacy_camps_during_the_quarter_326,no_of_persons_participated_in_literacy_camps_during_the_quarter_342,no_of_persons_participated_in_literacy_camps_during_the_quarter_347,no_of_persons_participated_in_literacy_camps_during_the_quarter_478,no_of_persons_participated_in_literacy_camps_during_the_quarter_544,no_of_rsetis,no_of_rural_branches_in_district,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi_in_the_quarter,no_of_special_camps_conducted_by_flcs_during_the_quarter,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_by_flcs_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_166,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_184,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_206,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_212,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_241,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_258,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_284,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_306,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_37,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_41,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_52,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_54,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_58,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_64,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_68,sl_no_1,special_camps_by_flcs_no_of_no_of_target_camps_participants_conducted_attended,special_camps_by_flcs_target,special_camps_conducted_by_flcs_during_the_quarter_no_of_camps,target,target_group_addressed,target_specific_camps_by_flcs_target,target_specific_camps_conducted_by_flcs_during_the_quarter_no_of_camps,total_camps_conducted_during_the_quarter
December 2023,Darjeeling,,,,,89.0,87.0,69.0,,,4175.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Hooghly,,,,,207.0,127.0,169.0,,,5765.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Howrah,,,,,369.0,185.0,259.0,,,13335.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Jalpaiguri,,,,,2.0,8.0,39.0,,,867.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Jhargram,,,,,0.0,40.0,56.0,,,3294.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Kalimpong,,,,,0.0,0.0,5.0,,,110.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Kolkata,,,,,0.0,9.0,40.0,,,988.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Malda,,,,,172.0,32.0,38.0,,,2620.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Murshidabad,,,,,119.0,18.0,62.0,,,2516.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Nadia,,,,,119.0,94.0,101.0,,,9800.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,North 24 Parganas,,,,,63.0,55.0,104.0,,,6024.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Paschim Bardhaman,,,,,0.0,27.0,41.0,,,1317.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Paschim Medinipur,,,,,170.0,18.0,50.0,,,2616.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purba Bardhaman,,,,,164.0,29.0,43.0,,,2155.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purba Medinipur,,,,,332.0,371.0,36.0,,,1019.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purulia,,,,,77.0,53.0,74.0,,,2436.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,South 24 Parganas,,,,,93.0,50.0,62.0,,,2181.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Uttar Dinajpur,,,,,98.0,149.0,104.0,,,3993.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Alipurduar,,,,51.0,,,,,,,,160.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,153.0,,0.0,,
December 2024,Bankura,,,,168.0,,,,,,,,612.0,1.0,,,,,,,,,13335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,504.0,,15.0,,
December 2024,Birbhum,,,,212.0,,,,,,,,688.0,1.0,,,,,,,,,713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,636.0,,15.0,,
December 2024,Cooch Behar,,,,136.0,,,,,,,,203.0,2.0,,,,,,,,,6513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,408.0,,30.0,,
December 2024,Dakshin Dinajpur,,,,78.0,,,,,,,,232.0,2.0,,,,,,,,,12229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,234.0,,30.0,,
December 2024,Darjeeling,,,,77.0,,,,,,,,220.0,2.0,,,,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,231.0,,30.0,,
December 2024,Hooghly,,,,237.0,,,,,,,,950.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,711.0,,15.0,,
December 2024,Howrah,,,,115.0,,,,,,,,40.0,2.0,,,,,,,,,1569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,345.0,,30.0,,
December 2024,Jalpaiguri,,,,79.0,,,,,,,,242.0,1.0,,,,,,,,,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,237.0,,15.0,,
December 2024,Jhargram,,,,83.0,,,,,,,,191.0,1.0,,,,,,,,,4912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,249.0,,15.0,,
December 2024,Kalimpong,,,,12.0,,,,,,,,39.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,36.0,,15.0,,
December 2024,Kolkata,,,,7.0,,,,,,,,21.0,1.0,,,,,,,,,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,21.0,,15.0,,
December 2024,Malda,,,,151.0,,,,,,,,444.0,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,453.0,,30.0,,
December 2024,Murshidabad,,,,339.0,,,,,,,,1043.0,2.0,,,,,,,,,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,1017.0,,30.0,,
December 2024,Nadia,,,,194.0,,,,,,,,590.0,1.0,,,,,,,,,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,582.0,,15.0,,
December 2024,North 24 Parganas,,,,323.0,,,,,,,,814.0,1.0,,,,,,,,,578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,969.0,,15.0,,
December 2024,Paschim Bardhaman,,,,102.0,,,,,,,,178.0,1.0,,,,,,,,,14548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,306.0,,15.0,,
December 2024,Paschim Medinipur,,,,250.0,,,,,,,,382.0,1.0,,,,,,,,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,750.0,,15.0,,
December 2024,Purba Bardhaman,,,,327.0,,,,,,,,1147.0,1.0,,,,,,,,,3624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,981.0,,15.0,,
December 2024,Purba Medinipur,,,,252.0,,,,,,,,67.0,2.0,,,,,,,,,10670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,756.0,,30.0,,
December 2024,Purulia,,,,129.0,,,,,,,,396.0,1.0,,,,,,,,,10617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,387.0,,15.0,,
December 2024,South 24 Parganas,,,,304.0,,,,,,,,654.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,912.0,,15.0,,
December 2024,Uttar Dinajpur,,,,104.0,,,,,,,,270.0,1.0,,,,,,,,,11805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,312.0,,15.0,,
December 2025,Alipurduar,,,,51.0,,,,,,,,163.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,153.0,,0.0,,
December 2025,Bankura,,,,168.0,,,,,,,,612.0,1.0,,,,,,,,,13368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,504.0,,15.0,,
December 2025,Birbhum,,,,212.0,,,,,,,,40.0,1.0,,,,,,,,,759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,636.0,,15.0,,
December 2025,Cooch Behar,,,,136.0,,,,,,,,531.0,1.0,,,,,,,,,23233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,408.0,,15.0,,
December 2025,Dakshin Dinajpur,,,,78.0,,,,,,,,350.0,1.0,,,,,,,,,12200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,234.0,,15.0,,
December 2025,Darjeeling,,,,73.0,,,,,,,,224.0,1.0,,,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,219.0,,15.0,,
December 2025,Hooghly,,,,237.0,,,,,,,,850.0,1.0,,,,,,,,,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,711.0,,15.0,,
December 2025,Howrah,,,,115.0,,,,,,,,44.0,1.0,,,,,,,,,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,345.0,,15.0,,
December 2025,Jalpaiguri,,,,79.0,,,,,,,,242.0,1.0,,,,,,,,,463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,237.0,,15.0,,
December 2025,Jhargram,,,,83.0,,,,,,,,286.0,1.0,,,,,,,,,652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,249.0,,15.0,,
December 2025,Kalimpong,,,,12.0,,,,,,,,55.0,1.0,,,,,,,,,1528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,36.0,,15.0,,
December 2025,Kolkata,,,,0.0,,,,,,,,0.0,1.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,0.0,,15.0,,
December 2025,Malda,,,,189.0,,,,,,,,210.0,1.0,,,,,,,,,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,567.0,,15.0,,
December 2025,Murshidabad,,,,349.0,,,,,,,,4632.0,1.0,,,,,,,,,5533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1047.0,,15.0,,
December 2025,Nadia,,,,195.0,,,,,,,,679.0,1.0,,,,,,,,,12371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,585.0,,15.0,,
December 2025,North 24 Parganas,,,,324.0,,,,,,,,810.0,1.0,,,,,,,,,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,972.0,,15.0,,
December 2025,Paschim Bardhaman,,,,102.0,,,,,,,,455.0,1.0,,,,,,,,,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,306.0,,15.0,,
December 2025,Paschim Medinipur,,,,250.0,,,,,,,,257.0,1.0,,,,,,,,,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,750.0,,15.0,,
December 2025,Purba Bardhaman,,,,329.0,,,,,,,,1011.0,1.0,,,,,,,,,1478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,987.0,,15.0,,
December 2025,Purba Medinipur,,,,252.0,,,,,,,,1227.0,1.0,,,,,,,,,37062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,756.0,,15.0,,
December 2025,Purulia,,,,129.0,,,,,,,,286.0,1.0,,,,,,,,,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,387.0,,15.0,,
December 2025,South 24 Parganas,,,,318.0,,,,,,,,908.0,1.0,,,,,,,,,574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,954.0,,15.0,,
December 2025,Uttar Dinajpur,,,,103.0,,,,,,,,168.0,1.0,,,,,,,,,8028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,309.0,,15.0,,
June 2016,Bankura,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,124.0,,,,,,,,,23.0,,,8.0,,,,,,,,
June 2016,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
June 2016,Cooch Behar,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,1117.0,,,,,,,,,,,,,,,,1021.0,,,,,,,,,48.0,,,35.0,,,,,,,,
June 2016,Dakshin Dinajpur,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,36.0,,,,,,,,,9.0,,,6.0,,,,,,,,
June 2016,Darjeeling,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,1284.0,,,,,,,,,,,,,,,,854.0,,,,,,,,,204.0,,,22.0,,,,,,,,
June 2016,Hooghly,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,234.0,,,,,,,,,,,,,,,,76.0,,,,,,,,,127.0,,,12.0,,,,,,,,
June 2016,Howrah,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,458.0,,,,,,,,,,,,,,,,346.0,,,,,,,,,117.0,,,10.0,,,,,,,,
June 2016,Jalpaiguri,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,2548.0,,,,,,,,,,,,,,,,1221.0,,,,,,,,,472.0,,,20.0,,,,,,,,
June 2016,Malda,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,111.0,,,,,,,,,34.0,,,30.0,,,,,,,,
June 2016,Murshidabad,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,486.0,,,,,,,,,,,,,,,,306.0,,,,,,,,,48.0,,,38.0,,,,,,,,
June 2016,Nadia,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,144.0,,,,,,,,,,,,,,,,81.0,,,,,,,,,37.0,,,9.0,,,,,,,,
June 2016,Purba Bardhaman,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,741.0,,,,,,,,,,,,,,,,910.0,,,,,,,,,40.0,,,13.0,,,,,,,,
June 2016,Purulia,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,196.0,,,,,,,,,,,,,,,,105.0,,,,,,,,,32.0,,,23.0,,,,,,,,
June 2016,Uttar Dinajpur,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,234.0,,,,,,,,,,,,,,,,137.0,,,,,,,,,28.0,,,4.0,,,,,,,,
June 2017,Bankura,,,,,,,,,,,,,,,,,,3.0,,,,,,142.0,,,,,,,,,,,,,,,,,,,90.0,,,,,,,40.0,,,,,,8.0,,,,,,,,
June 2017,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,14.0,,,,,,,,
June 2017,Cooch Behar,,,,,,,,,,,,,,,,,,8.0,,,,,,630.0,,,,,,,,,,,,,,,,,,,464.0,,,,,,,106.0,,,,,,36.0,,,,,,,,
June 2017,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,6.0,,,,,,168.0,,,,,,,,,,,,,,,,,,,75.0,,,,,,,60.0,,,,,,6.0,,,,,,,,
June 2017,Darjeeling,,,,,,,,,,,,,,,,,,6.0,,,,,,468.0,,,,,,,,,,,,,,,,,,,316.0,,,,,,,35.0,,,,,,22.0,,,,,,,,
June 2017,Hooghly,,,,,,,,,,,,,,,,,,7.0,,,,,,228.0,,,,,,,,,,,,,,,,,,,115.0,,,,,,,64.0,,,,,,12.0,,,,,,,,
June 2017,Howrah,,,,,,,,,,,,,,,,,,7.0,,,,,,446.0,,,,,,,,,,,,,,,,,,,220.0,,,,,,,166.0,,,,,,10.0,,,,,,,,
June 2017,Jalpaiguri,,,,,,,,,,,,,,,,,,16.0,,,,,,2022.0,,,,,,,,,,,,,,,,,,,1522.0,,,,,,,465.0,,,,,,20.0,,,,,,,,
June 2017,Malda,,,,,,,,,,,,,,,,,,4.0,,,,,,106.0,,,,,,,,,,,,,,,,,,,78.0,,,,,,,22.0,,,,,,31.0,,,,,,,,
June 2017,Murshidabad,,,,,,,,,,,,,,,,,,12.0,,,,,,341.0,,,,,,,,,,,,,,,,,,,251.0,,,,,,,70.0,,,,,,39.0,,,,,,,,
June 2017,Nadia,,,,,,,,,,,,,,,,,,4.0,,,,,,147.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,58.0,,,,,,9.0,,,,,,,,
June 2017,Purba Bardhaman,,,,,,,,,,,,,,,,,,3.0,,,,,,524.0,,,,,,,,,,,,,,,,,,,322.0,,,,,,,142.0,,,,,,13.0,,,,,,,,
June 2017,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,
June 2017,Uttar Dinajpur,,,,,,,,,,,,,,,,,,4.0,,,,,,224.0,,,,,,,,,,,,,,,,,,,170.0,,,,,,,45.0,,,,,,4.0,,,,,,,,
June 2018,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Malda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2018,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Alipurduar,,51.0,,,,,,,,,225.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,
June 2022,Bankura,,168.0,,,,,,,,,122.0,,,,,,,,,,567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,22.0,
June 2022,Birbhum,,212.0,,,,,,,,,90.0,,,,,,,,,,2095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,64.0,
June 2022,Cooch Behar,,136.0,,,,,,,,,50.0,,,,,,,,,,1477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,50.0,
June 2022,Darjeeling,,76.0,,,,,,,,,60.0,,,,,,,,,,1801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,21.0,
June 2022,Hooghly,,237.0,,,,,,,,,69.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,
June 2022,Howrah,,115.0,,,,,,,,,16.0,,,,,,,,,,2553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,45.0,
June 2022,Jalpaiguri,,79.0,,,,,,,,,0.0,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,
June 2022,Jhargram,,82.0,,,,,,,,,6.0,,,,,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,6.0,
June 2022,Kalimpong,,14.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,
June 2022,Kolkata,,7.0,,,,,,,,,23.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,
June 2022,Malda,,189.0,,,,,,,,,190.0,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,
June 2022,Murshidabad,,334.0,,,,,,,,,497.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,
June 2022,Nadia,,230.0,,,,,,,,,24.0,,,,,,,,,,1490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,13.0,
June 2022,North 24 Parganas,,313.0,,,,,,,,,727.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,
June 2022,Paschim Bardhaman,,91.0,,,,,,,,,82.0,,,,,,,,,,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,8.0,
June 2022,Paschim Medinipur,,248.0,,,,,,,,,165.0,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,
June 2022,Purba Bardhaman,,203.0,,,,,,,,,71.0,,,,,,,,,,566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,11.0,
June 2022,Purba Medinipur,,177.0,,,,,,,,,26.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,0.0,
June 2022,Purulia,,158.0,,,,,,,,,166.0,,,,,,,,,,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,10.0,
June 2022,South 24 Parganas,,304.0,,,,,,,,,319.0,,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,3.0,
June 2022,Uttar Dinajpur,,78.0,,,,,,,,,23.0,,,,,,,,,,725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,22.0,
June 2023,Alipurduar,,,,51.0,,,,,,,,129.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,153.0,,0.0,,
June 2023,Bankura,,,,168.0,,,,,,,,118.0,1.0,,,,,,,,,3908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,504.0,,15.0,,
June 2023,Birbhum,,,,212.0,,,,,,,,55.0,1.0,,,,,,,,,1815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,636.0,,15.0,,
June 2023,Cooch Behar,,,,136.0,,,,,,,,43.0,2.0,,,,,,,,,449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,408.0,,30.0,,
June 2023,Dakshin Dinajpur,,,,79.0,,,,,,,,20.0,2.0,,,,,,,,,775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,237.0,,30.0,,
June 2023,Darjeeling,,,,81.0,,,,,,,,81.0,2.0,,,,,,,,,1318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,243.0,,30.0,,
June 2023,Hooghly,,,,237.0,,,,,,,,592.0,1.0,,,,,,,,,979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,711.0,,15.0,,
June 2023,Howrah,,,,115.0,,,,,,,,42.0,2.0,,,,,,,,,8733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,345.0,,30.0,,
