period,district,aadhaar_seeded,apy_sourced,apy_subscribed,female_a_c,male_a_c,no_of_nominations_done_in_pmjdy_acc,no_of_nominations_done_other_than_pmjdy_acc,no_of_pmjjby_claim_disbursed,no_of_pmsby_claim_disbursed,no_of_re_kyc_done_for_other_than_pmjdy_acc,no_of_re_kyc_done_for_pmjdy_acc,of_enrolment,pmjdy_opened,pmjdy_sourced,pmjjby_enrolled,pmjjby_sourced,pmsby_enrolled,pmsby_sourced,rupaycard_issued,rural_a_c,total_a_c,total_deposit,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c,urban_a_c,zero_balance_a_c_s,zero_balance_account
June 2024,Paschim Medinipur,,,,1567611.0,1145125.0,,,,,,,,,,,,,,,2227105.0,2712736.0,1444.19,,,,,,485631.0,,118383.0
June 2024,Purba Bardhaman,,,,1354945.0,924203.0,,,,,,,,,,,,,,,1739405.0,2279148.0,954.74,,,,,,539743.0,,79755.0
June 2024,Purba Medinipur,,,,1470940.0,1158070.0,,,,,,,,,,,,,,,2411307.0,2629010.0,1440.03,,,,,,217703.0,,114348.0
June 2024,Purulia,,,,1137665.0,948115.0,,,,,,,,,,,,,,,1740782.0,2085780.0,1162.82,,,,,,344998.0,,144450.0
June 2024,South 24 Parganas,,,,2927256.0,2187678.0,,,,,,,,,,,,,,,4346749.0,5114934.0,2201.83,,,,,,768185.0,,344698.0
June 2024,Uttar Dinajpur,,,,1531520.0,1198448.0,,,,,,,,,,,,,,,2140233.0,2729968.0,721.27,,,,,,589735.0,,237580.0
June 2025,Alipurduar,,332.0,317.0,,,354.0,259.0,1.0,0.0,548.0,599.0,,850.0,862.0,1271.0,1288.0,1354.0,1403.0,,,,,,,,,,,,
June 2025,Bankura,,2154.0,2154.0,,,40.0,38.0,4.0,2.0,608.0,1714.0,,827.0,827.0,1456.0,1456.0,5271.0,5271.0,,,,,,,,,,,,
June 2025,Birbhum,,245.0,200.0,,,169.0,105.0,3.0,1.0,951.0,966.0,,908.0,1014.0,542.0,621.0,1134.0,1242.0,,,,,,,,,,,,
June 2025,Cooch Behar,,1360.0,1360.0,,,244.0,388.0,0.0,0.0,950.0,686.0,,751.0,751.0,1457.0,1457.0,2562.0,2562.0,,,,,,,,,,,,
June 2025,Dakshin Dinajpur,,419.0,342.0,,,1487.0,24.0,6.0,3.0,984.0,1885.0,,379.0,567.0,443.0,582.0,1655.0,1927.0,,,,,,,,,,,,
June 2025,Darjeeling,,238.0,238.0,,,232.0,287.0,0.0,0.0,753.0,939.0,,231.0,231.0,778.0,778.0,1258.0,1258.0,,,,,,,,,,,,
June 2025,Hooghly,,88.0,88.0,,,65.0,220.0,0.0,0.0,234.0,71.0,,0.0,0.0,236.0,236.0,327.0,327.0,,,,,,,,,,,,
June 2025,Howrah,,202.0,202.0,,,675.0,1413.0,0.0,0.0,811.0,840.0,,652.0,652.0,728.0,728.0,1067.0,1067.0,,,,,,,,,,,,
June 2025,Jalpaiguri,,1674.0,1665.0,,,789.0,1539.0,3.0,0.0,1038.0,1342.0,,1675.0,1710.0,3290.0,3308.0,5696.0,5721.0,,,,,,,,,,,,
June 2025,Jhargram,,94.0,68.0,,,47.0,31.0,0.0,0.0,63.0,380.0,,295.0,355.0,152.0,187.0,415.0,476.0,,,,,,,,,,,,
June 2025,Kalimpong,,25.0,25.0,,,8.0,7.0,0.0,0.0,60.0,51.0,,18.0,18.0,131.0,131.0,168.0,168.0,,,,,,,,,,,,
June 2025,Malda,,464.0,341.0,,,2.0,0.0,0.0,0.0,216.0,165.0,,827.0,1092.0,419.0,514.0,854.0,1036.0,,,,,,,,,,,,
June 2025,Murshidabad,,362.0,362.0,,,448.0,235.0,16.0,18.0,235.0,448.0,,1675.0,1675.0,358.0,358.0,1262.0,1262.0,,,,,,,,,,,,
June 2025,Nadia,,7002.0,6998.0,,,4056.0,4015.0,9.0,5.0,5769.0,8041.0,,11780.0,11782.0,9443.0,9446.0,22651.0,22653.0,,,,,,,,,,,,
