district,period,acp_achievement__col_1,acp_achievement__col_10,acp_achievement__col_11,acp_achievement__col_12,acp_achievement__col_2,acp_achievement__col_3,acp_achievement__col_4,acp_achievement__col_5,acp_achievement__col_6,acp_achievement__col_7,acp_achievement__col_8,acp_achievement__col_9,animal_husbandry__achievement_no,animal_husbandry__amount_crore,animal_husbandry__target_no,atm_network__no_of_atm,bank_mitra__no_of_bank_mitra,cgtmse__amount_crore,cgtmse__no_of_accounts,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_deposit,fisheries__achievement_no,fisheries__amount_crore,fisheries__target_no,jansuraksha__col_1,jansuraksha__col_2,jansuraksha__col_3,jansuraksha__col_4,jansuraksha__col_5,jansuraksha__col_6,jansuraksha__col_7,jansuraksha__col_8,jansuraksha__col_9,kcc__achievement_amt,kcc__achievement_no,kcc__achievement_pct_amt,kcc__achievement_pct_no,kcc__target_amt,kcc__target_no,mudra__kishore_amt,mudra__kishore_no,mudra__shishu_amt,mudra__shishu_no,mudra__tarun_amt,mudra__tarun_no,mudra__total_amt,mudra__total_no,pmegp__disbursed_projects,pmegp__sanctioned_amt,pmegp__sanctioned_projects,pmegp__sponsored_projects,pmegp__target_employment,pmegp__target_margin_money,pmegp__target_projects,pmjdy__active_no,pmjdy__active_pct,pmjdy__balance_amt_crore,pmjdy__female_no,pmjdy__male_no,pmjdy__rupay_active_no,pmjdy__rupay_active_pct,pmjdy__rupay_issued_no,pmjdy__rural_no,pmjdy__total_pmjdy_no,pmjdy__urban_no,pmjdy__zero_balance_no,priority_sector__col_1,priority_sector__col_2,priority_sector__col_3,priority_sector__col_4,priority_sector__col_5,priority_sector__col_6,shg__achievement_amt,shg__achievement_no,shg__achievement_pct_amt,shg__achievement_pct_no,shg__target_amt,shg__target_no,social_security_apy__subscribers_fy15,social_security_apy__subscribers_fy16,social_security_apy__subscribers_fy17,social_security_apy__subscribers_fy18,social_security_apy__subscribers_fy19,social_security_apy__subscribers_fy20,social_security_pmjjby__claims_amount_crore,social_security_pmjjby__claims_paid_no,social_security_pmjjby__claims_pending_no,social_security_pmjjby__claims_rejected_no,social_security_pmjjby__claims_total_no,social_security_pmjjby__claims_under_process_no,social_security_pmsby__claims_amount_crore,social_security_pmsby__claims_paid_no,social_security_pmsby__claims_pending_no,social_security_pmsby__claims_rejected_no,social_security_pmsby__claims_total_no,social_security_pmsby__claims_under_process_no,stand_up_india__sc_st_amount,stand_up_india__sc_st_loans,stand_up_india__total_amount,stand_up_india__total_loans,stand_up_india__women_amount,stand_up_india__women_loans
Sant Kabeer Nagar,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,34.0,19.22,6.0,42.0,96.0,,,,,,,104.0,52.0,0.0,0.0,53.0,1.0,124.88,18970.0,16821.23,11.0,8325.66,18981.0,1238.93,365.0,,,,
Shamli,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0,159.0,2.0,3.0,174.0,10.0,12.86,2408.0,1239.74,45.0,857.33,2453.0,,,,,,
Maharajganj,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.66,211.0,25.12,100.0,185.78,211.0,,,,,,,,,,,,,,,,,,,1469.15,375.0,,,,
Agra,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361854.0,81.52,413.08,780839.0,907.54,1110183.0,79.08,1076917.0,28.0,1400179.0,7.98,107202.0,,,,,,,,,,,,,,,,,,,1630.0,815.0,8.0,56.0,882.0,3.0,317.0,159.0,10.0,73.0,243.0,1.0,2151.86,402.0,,,82.82,673.0
Aligarh,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976201.0,81.45,290.3,600217.0,659.79,795128.0,82.53,805619.0,17.0,1034957.0,3.87,107627.0,,,,,,,,,,,,,,,,,,,1500.0,750.0,5.0,35.0,791.0,1.0,,153532.0,,482855.0,,636387.0,1650.34,307.0,,,46.19,390.0
Ambedkar Nagar,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999459.0,87.38,350.41,540337.0,363.21,873318.0,91.83,917853.0,43.0,1045776.0,12.25,67144.0,,,,,,,,,,,,,,,,,,,370.0,185.0,1.0,24.0,211.0,1.0,56.0,28.0,2.0,3.0,33.0,0.0,723.31,193.0,,,8.15,95.0
Amethi,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382563.0,94.51,217.62,219141.0,147.5,361543.0,87.17,333477.0,31.0,416861.0,7.43,16439.0,,,,,,,,,,,,,,,,,,,,97.0,107.0,10.0,194.0,0.0,67.0,34.0,2.0,6.0,42.0,0.0,671.65,91.0,,,4.62,68.0
Amroha,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401058.0,75.24,213.77,242085.0,179194.0,301757.0,80.11,321278.0,278605.0,421279.0,142674.0,26818.0,,,,,,,,,,,,,,,,,,,,496.0,522.0,25.0,992.0,1.0,74.0,37.0,1.0,5.0,43.0,0.0,12.21,56.0,,,5.25,56.0
Ayodhya,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932893.0,90.38,418.62,536644.0,505.85,843138.0,92.89,866558.0,28.0,997569.0,2.56,49891.0,,,,,,,,,,,,,,,,,,,902.0,451.0,5.0,41.0,497.0,0.0,,135242.0,,515235.0,,650477.0,35062.68,7830.0,,,21.5,176.0
Azamgarh,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368003.0,81.37,486.16,856569.0,15.27,1113197.0,48.97,669896.0,273709.4,1448711.0,41793.48,193124.0,,,,,,,,,,,,,,,,,,,,,,,,,,72160.0,,375045.0,,447205.0,3356.75,1068.0,,,10.02,106.0
Baghpat,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194767.0,87.38,130.34,131077.0,97228.0,170193.0,93.54,182177.0,157317.0,228305.0,70988.0,12633.0,,,,,,,,,,,,,,,,,,,,183.0,188.0,5.0,366.0,0.0,130.0,65.0,3.0,9.0,77.0,0.0,9.42,49.0,,,5.65,49.0
Ballia,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166236.0,77.62,444.94,700411.0,533350.0,905192.0,79.23,924067.0,806949.0,1233761.0,426812.0,175449.0,,,,,,,,,,,,,,,,,,,442.0,221.0,2.0,9.0,232.0,0.0,46.0,23.0,3.0,5.0,31.0,0.0,752.62,213.0,,,7.5,83.0
Balrampur,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422146.0,90.84,191.95,252740.0,209126.0,383484.0,66.02,278704.0,382368.0,461866.0,79498.0,24054.0,,,,,,,,,,,,,,,,,,,,85.0,88.0,3.0,170.0,0.0,,3.0,3.0,0.0,6.0,0.0,317.32,112.0,,,1.95,29.0
Banda,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346526.0,97.72,175.44,228933.0,647.54,338635.0,43.41,150432.0,3.0,460564.0,0.34,26356.0,,,,,,,,,,,,,,,,,,,386.0,193.0,2.0,28.0,225.0,2.0,78.0,39.0,1.0,21.0,62.0,1.0,138.67,49.0,,,3.86,48.0
Bareilly,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588525.0,88.8,501.09,882329.0,768843.0,1410635.0,87.12,1384001.0,1048097.0,1651172.0,603075.0,83570.0,,,,,,,,,,,,,,,,,,,,,,,,,,171139.0,,749405.0,,920544.0,976.62,301.0,,,29.57,319.0
Bhadohi,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715909.0,88.57,285.78,470700.0,339610.0,634090.0,69.4,496832.0,653473.0,810310.0,156837.0,108102.0,,,,,,,,,,,,,,,,,,,340.0,170.0,2.0,18.0,191.0,1.0,24.0,12.0,1.0,6.0,19.0,0.0,942.82,328.0,,,,
Budaun,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285129.0,72.62,291.51,725097.0,578675.0,933259.0,90.24,1159733.0,862695.0,1303772.0,441077.0,53220.0,,,,,,,,,,,,,,,,,,,534.0,267.0,1.0,14.0,282.0,0.0,62.0,31.0,2.0,9.0,42.0,0.0,658.72,198.0,,,6.09,124.0
Bulandshahr,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016379.0,75.02,354.12,623833.0,459611.0,762499.0,94.66,962070.0,779995.0,1083444.0,303449.0,74873.0,,,,,,,,,,,,,,,,,,,836.0,418.0,15.0,35.0,471.0,3.0,220.0,110.0,20.0,34.0,169.0,5.0,986.98,223.0,,,20.49,244.0
Chandauli,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758663.0,88.82,284.88,498278.0,597.97,673871.0,62.69,475639.0,8.0,867853.0,0.65,87777.0,,,,,,,,,,,,,,,,,,,,155.0,163.0,7.0,310.0,1.0,54.0,76655.0,1542.0,1928.0,39.0,9204.0,524.14,195.0,,,6.44,70.0
Chitrakoot,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261256.0,90.49,101.6,151935.0,149537.0,236399.0,51.79,135306.0,239373.0,301472.0,62099.0,17570.0,,,,,,,,,,,,,,,,,,,,38.0,45.0,7.0,76.0,0.0,18.0,9.0,2.0,6.0,17.0,0.0,93.0,27.0,,,0.42,8.0
Deoria,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926071.0,77.99,303.71,615082.0,374945.0,722241.0,74.6,690837.0,699417.0,990027.0,290610.0,154551.0,,,,,,,,,,,,,,,,,,,360.0,180.0,2.0,8.0,190.0,0.0,40.0,20.0,1.0,1.0,22.0,0.0,969.5,214.0,,,10.9,91.0
Etah,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642562.0,77.06,202.65,356389.0,14.0,495186.0,84.5,542954.0,334079.6,679672.0,46771.14,74043.0,,,,,,,,,,,,,,,,,,,1096.0,548.0,1.0,28.0,577.0,0.0,72.0,36.0,15.0,18.0,69.0,0.0,222.1,27.0,,,7.8,73.0
Etawah,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451841.0,79.88,173.32,266172.0,215586.0,360948.0,84.4,381373.0,291360.0,481758.0,190398.0,52327.0,,,,,,,,,,,,,,,,,,,,,,,,,90.0,45.0,4.0,6.0,55.0,0.0,137.17,40.0,,,9.26,80.0
Farrukhabad,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650586.0,88.21,210.8,399554.0,336486.0,573850.0,92.3,600513.0,412114.0,736040.0,323926.0,78381.0,,,,,,,,,,,,,,,,,,,1046.0,523.0,3.0,33.0,560.0,1.0,78.0,39.0,11.0,18.0,68.0,0.0,361.5,89.0,,,9.77,123.0
Fatehpur,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833963.0,90.4,461.68,463397.0,438770.0,753924.0,90.62,755777.0,724271.0,902167.0,177896.0,26645.0,,,,,,,,,,,,,,,,,,,,238.0,264.0,26.0,476.0,0.0,92.0,47.0,2.0,11.0,60.0,0.0,874.72,139.0,,,8.34,98.0
Ghaziabad,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794269.0,77.17,350.76,439338.0,24.25,612942.0,92.42,734025.0,941535.68,840512.0,228279.67,57848.0,,,,,,,,,,,,,,,,,,,1426.0,713.0,8.0,21.0,743.0,1.0,,164799.0,,415102.0,,579901.0,3331.76,408.0,,,69.48,564.0
Ghazipur,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161997.0,82.68,465.21,698978.0,542833.0,960739.0,64.98,755035.0,1057967.0,1241811.0,183844.0,208285.0,,,,,,,,,,,,,,,,,,,,250.0,267.0,16.0,500.0,1.0,,68883.0,,301744.0,,370627.0,2655.98,770.0,,,8.16,106.0
Gonda,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868477.0,90.78,961.13,525450.0,434307.0,788409.0,70.85,615287.0,739071.0,959757.0,220686.0,42640.0,,,,,,,,,,,,,,,,,,,396.0,198.0,9.0,23.0,230.0,0.0,46.0,23.0,3.0,11.0,37.0,0.0,573.84,193.0,,,5.71,81.0
Gorakhpur,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461378.0,73.16,450.83,952357.0,17.96,1069164.0,76.85,1123120.0,417164.4,1532836.0,74916.83,168435.0,,,,,,,,,,,,,,,,,,,766.0,383.0,6.0,19.0,408.0,0.0,98.0,49.0,1.0,13.0,64.0,1.0,2825.37,534.0,,,40.11,362.0
Hapur,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178751.0,86.86,76.51,123424.0,95285.0,155260.0,96.78,173004.0,136113.0,218709.0,82596.0,19927.0,,,,,,,,,,,,,,,,,,,308.0,154.0,1.0,4.0,159.0,0.0,66.0,34.0,4.0,8.0,46.0,0.0,8.82,34.0,,,6.57,34.0
Hardoi,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382442.0,81.27,501.44,793153.0,663006.0,1123453.0,83.48,1154108.0,1056315.0,1456159.0,399844.0,112087.0,,,,,,,,,,,,,,,,,,,906.0,453.0,2.0,26.0,481.0,0.0,107.0,54.0,15.0,36.0,106.0,1.0,771.98,155.0,,,,
Jaunpur,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680189.0,86.96,522.04,1061095.0,755311.0,1461082.0,61.45,1032412.0,1536411.0,1816406.0,279995.0,333971.0,,,,,,,,,,,,,,,,,,,,249.0,265.0,14.0,498.0,2.0,90.0,45.0,5.0,9.0,59.0,0.0,2020.12,701.0,,,,
Kannauj,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504507.0,95.71,197.35,322903.0,18.3,482885.0,93.21,470271.0,202781.78,600103.0,37099.0,61020.0,,,,,,,,,,,,,,,,,,,,199.0,216.0,17.0,398.0,0.0,64.0,32.0,8.0,25.0,65.0,0.0,382.22,98.0,,,,
Kanpur Dehat,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575460.0,86.32,199.12,300032.0,301725.0,496743.0,90.97,523499.0,448617.0,601757.0,153140.0,37470.0,,,,,,,,,,,,,,,,,,,,176.0,200.0,23.0,352.0,1.0,72.0,36.0,1.0,1.0,38.0,0.0,283.69,80.0,,,,
Kanpur Nagar,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140854.0,87.93,512.86,646190.0,590106.0,1003137.0,92.66,1057161.0,455667.0,1236296.0,780629.0,75724.0,,,,,,,,,,,,,,,,,,,1322.0,661.0,7.0,42.0,711.0,1.0,369.0,185.0,12.0,39.0,237.0,1.0,4010.52,446.0,,,,
Kasganj,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462139.0,79.69,126.38,276045.0,218274.0,368256.0,84.69,391384.0,178196.0,494319.0,316123.0,50512.0,,,,,,,,,,,,,,,,,,,,,,,,,,49525.0,,162453.0,,211978.0,,,,,,
Kaushambi,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508026.0,97.57,211.72,309562.0,282612.0,495675.0,102.04,518373.0,518222.0,592174.0,73952.0,29097.0,,,,,,,,,,,,,,,,,,,,106.0,119.0,12.0,212.0,1.0,38.0,19.0,0.0,4.0,23.0,0.0,364.0,94.0,,,,
Kushi Nagar,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021063.0,73.6,277.03,626115.0,453119.0,751525.0,65.26,666336.0,913617.0,1079234.0,165617.0,148216.0,,,,,,,,,,,,,,,,,,,338.0,169.0,4.0,5.0,179.0,1.0,18.0,9.0,4.0,6.0,19.0,0.0,584.21,202.0,,,,
Lucknow,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186293.0,81.15,608.08,648666.0,587162.0,962637.0,83.28,987946.0,410769.0,1235828.0,825059.0,103398.0,,,,,,,,,,,,,,,,,,,2022.0,1011.0,10.0,29.0,1054.0,4.0,459.0,230.0,29.0,81.0,343.0,3.0,6456.11,1015.0,,,,
Mahoba,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224464.0,89.11,131.32,136794.0,127033.0,200013.0,60.23,135185.0,193487.0,263827.0,70340.0,6870.0,,,,,,,,,,,,,,,,,,,,142.0,164.0,20.0,284.0,2.0,50.0,25.0,2.0,25.0,52.0,0.0,73.95,34.0,,,,
Mainpuri,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728994.0,83.15,224.88,419929.0,404259.0,606126.0,94.75,690693.0,370835.0,824188.0,453353.0,75310.0,,,,,,,,,,,,,,,,,,,,253.0,285.0,30.0,506.0,2.0,163.0,82.0,4.0,11.0,97.0,0.0,585.8,128.0,,,,
Mathura,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612203.0,86.29,217.53,347532.0,335273.0,528266.0,93.38,571669.0,390141.0,682805.0,292664.0,42502.0,,,,,,,,,,,,,,,,,,,,,,,,,201.0,101.0,6.0,26.0,134.0,1.0,778.83,204.0,,,,
Mau,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184128.0,81.56,362.64,711481.0,7.61,965745.0,49.86,590449.0,172221.8,1204988.0,13106.96,171606.0,,,,,,,,,,,,,,,,,,,262.0,131.0,1.0,3.0,135.0,0.0,34.0,17.0,0.0,5.0,22.0,0.0,1103.03,435.0,,,,
Meerut,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811053.0,86.88,329.61,527114.0,405989.0,704658.0,97.95,794393.0,432918.0,933103.0,500185.0,61078.0,,,,,,,,,,,,,,,,,,,1544.0,772.0,5.0,29.0,808.0,2.0,319.0,161.0,8.0,32.0,201.0,0.0,2077.0,389.0,,,,
Mirzapur,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729553.0,86.94,324.35,451343.0,365992.0,634250.0,65.02,474368.0,671999.0,817335.0,145336.0,28650.0,,,,,,,,,,,,,,,,,,,,,,,,,,91540.0,,375444.0,,466984.0,566.81,138.0,,,,
Moradabad,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763671.0,91.73,307.22,533241.0,415654.0,700543.0,98.7,753771.0,395080.0,948895.0,553815.0,62206.0,,,,,,,,,,,,,,,,,,,,854.0,894.0,36.0,1708.0,4.0,141.0,72.0,3.0,9.0,84.0,0.0,2302.15,475.0,,,,
Muzaffarnagar,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784558.0,79.5,297.31,488447.0,356111.0,623700.0,93.87,736461.0,451202.0,844558.0,393356.0,42715.0,,,,,,,,,,,,,,,,,,,,,,,,,,80275.0,,352252.0,,432527.0,1807.47,422.0,,,,
Gautam Buddha Nagar,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759250.0,86.45,357.05,308527.0,526548.0,656346.0,96.71,734249.0,215516.0,835075.0,619559.0,67271.0,,,,,,,,,,,,,,,,,,,628.0,314.0,4.0,11.0,329.0,0.0,156.0,78.0,8.0,19.0,106.0,1.0,3514.74,262.0,,,52.8,340.0
Pratapgarh,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147256.0,90.44,595.47,625102.0,605661.0,1037587.0,71.01,814708.0,1169228.0,1230763.0,61535.0,60938.0,,,,,,,,,,,,,,,,,,,,376.0,410.0,32.0,752.0,2.0,73.0,37.0,1.0,3.0,41.0,0.0,543.12,132.0,,,,
Prayagraj,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2311731.0,84.57,932.09,1240206.0,22.7,1955093.0,87.91,2032214.0,350873.2,2410124.0,79632.9,135230.0,,,,,,,,,,,,,,,,,,,1380.0,690.0,4.0,59.0,754.0,1.0,,183534.0,,1037387.0,,1220921.0,1951.56,465.0,,,,
Rae Bareli,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824110.0,95.02,470.45,444686.0,428367.0,783070.0,88.19,726748.0,782140.0,873053.0,90913.0,35393.0,,,,,,,,,,,,,,,,,,,1010.0,505.0,3.0,32.0,540.0,0.0,148.0,75.0,5.0,11.0,93.0,2.0,39378.25,8481.0,,,,
Rampur,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521827.0,91.15,211.95,320694.0,279314.0,475620.0,97.54,509000.0,407562.0,600008.0,192446.0,33741.0,,,,,,,,,,,,,,,,,,,954.0,477.0,5.0,32.0,516.0,2.0,106.0,53.0,1.0,6.0,60.0,0.0,482.06,199.0,,,,
Saharanpur,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196223.0,81.77,354.75,702334.0,20.1,978150.0,88.82,1062518.0,722042.15,1276463.0,145131.42,106150.0,,,,,,,,,,,,,,,,,,,1118.0,559.0,6.0,31.0,599.0,3.0,176.0,89.0,9.0,22.0,122.0,2.0,898.04,261.0,,,,
Sambhal,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555247.0,71.66,162.3,349113.0,262460.0,397875.0,87.32,484835.0,375746.0,611573.0,235827.0,49536.0,,,,,,,,,,,,,,,,,,,700.0,350.0,3.0,36.0,393.0,4.0,16.0,8.0,1.0,2.0,12.0,1.0,300.14,79.0,,,,
Shahjahanpur,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1284397.0,90.57,375.97,703141.0,667467.0,1163305.0,95.85,1231110.0,1020534.0,1370608.0,350074.0,64646.0,,,,,,,,,,,,,,,,,,,,484.0,540.0,55.0,968.0,1.0,128.0,64.0,1.0,11.0,76.0,0.0,288.53,86.0,,,,
Shravasti,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233473.0,90.33,119.59,126891.0,117582.0,210897.0,37.14,86722.0,240205.0,244473.0,4268.0,5818.0,,,,,,,,,,,,,,,,,,,108.0,54.0,2.0,11.0,67.0,0.0,18.0,114073.0,717.0,2709.0,11.0,8753.0,75.31,36.0,,,,
Siddharth Nagar,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721659.0,72.84,223.42,478033.0,316253.0,525653.0,79.22,571685.0,769903.0,794286.0,24383.0,117563.0,,,,,,,,,,,,,,,,,,,,60.0,63.0,3.0,120.0,0.0,18.0,9.0,0.0,0.0,9.0,0.0,7652.62,2989.0,,,,
Sitapur,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361668.0,79.13,424.66,774171.0,655319.0,1077456.0,46.94,639135.0,1123437.0,1429490.0,306053.0,111291.0,,,,,,,,,,,,,,,,,,,980.0,490.0,5.0,44.0,543.0,4.0,124.0,62.0,5.0,30.0,98.0,1.0,13102.85,4265.0,,,,
Sonbhadra,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467959.0,88.49,211.0,274204.0,246804.0,414118.0,68.13,318810.0,473629.0,521008.0,47379.0,23390.0,,,,,,,,,,,,,,,,,,,274.0,137.0,7.0,26.0,170.0,0.0,69.0,79126.0,1085.0,2792.0,66.0,10420.0,604.12,143.0,,,,
Sultanpur,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275591.0,89.69,703.41,690949.0,615699.0,1144030.0,88.69,1131377.0,1202727.0,1306648.0,103921.0,50698.0,,,,,,,,,,,,,,,,,,,726.0,363.0,2.0,37.0,403.0,1.0,68.0,34.0,0.0,2.0,37.0,1.0,607.27,118.0,,,,
Unnao,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737511.0,81.25,355.49,438251.0,344420.0,599230.0,85.73,632302.0,600208.0,782671.0,182463.0,71742.0,,,,,,,,,,,,,,,,,,,,415.0,448.0,32.0,830.0,1.0,100.0,50.0,9.0,19.0,78.0,0.0,808.54,151.0,,,,
Bahraich,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.47,,,,167955.11,,47823.95,,,,,,,,,,,,,,,,,,,,590.0,295.0,6.0,30.0,332.0,1.0,88.0,44.0,5.0,25.0,74.0,0.0,439.25,98.0,,,,
Auraiya,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.48,,,,6.0,,0.5,,,,,,,,,,,,,,,,,,,,274.0,137.0,7.0,8.0,153.0,1.0,,26493.0,,100415.0,,126908.0,185.09,53.0,,,3.25,33.0
Barabanki,June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.9,,,,1.0,,0.49,,,,,,,,,,,,,,,,,,,,1422.0,711.0,5.0,53.0,771.0,2.0,113.0,57.0,9.0,35.0,101.0,0.0,1200.19,172.0,,,12.28,121.0
