district,period,agriculture_npa__agri_npa_accounts,agriculture_npa__agri_npa_amt,agriculture_npa__agri_npa_pct_accounts,agriculture_npa__agri_npa_pct_amt,agriculture_npa__agri_os_accounts,agriculture_npa__agri_os_amt,aif__aif_achievement_pct,aif__aif_cumulative_disbursed_amt,aif__aif_cumulative_disbursed_no,aif__aif_cumulative_sanctions_amt,aif__aif_cumulative_sanctions_no,aif__aif_target_amt,aif__aif_target_no,apamvm__apamvm_pending,apamvm__apamvm_rejected,apamvm__apamvm_sanctioned,apamvm__apamvm_targets,apy__apy_annual_target,apy__apy_branches,apy__apy_cumulative,apy__apy_opened_fy,bca__bca_active,bca__bca_female,bca__bca_inactive,bca__bca_male,bca__bca_total,branch_network__total_branch,cd_ratio_detailed__advances_rural,cd_ratio_detailed__advances_semi_urban,cd_ratio_detailed__advances_urban,cd_ratio_detailed__deposit_rural,cd_ratio_detailed__deposit_semi_urban,cd_ratio_detailed__deposit_urban,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_deposit,education_loan__eduloan_achievement_pct,education_loan__eduloan_priority_ach_accounts,education_loan__eduloan_priority_ach_amt,education_loan__eduloan_priority_target_accounts,education_loan__eduloan_priority_target_amt,education_loan__eduloan_total_ach_accounts,education_loan__eduloan_total_ach_amt,education_loan__eduloan_total_target_accounts,education_loan__eduloan_total_target_amt,kcc__kcc_npa_amt,kcc__kcc_npa_no,kcc__kcc_npa_pct_no,kcc__kcc_os_amt,kcc__kcc_os_no,kcc__kcc_overdue_amt,kcc__kcc_overdue_no,kcc__kcc_overdue_pct_no,msme_npa__msme_npa_accounts,msme_npa__msme_npa_amt,msme_npa__msme_npa_pct,msme_npa__msme_os_accounts,msme_npa__msme_os_amt,mudra__mudra_kishore_accounts,mudra__mudra_kishore_amt,mudra__mudra_shishu_accounts,mudra__mudra_shishu_amt,mudra__mudra_tarun_accounts,mudra__mudra_tarun_amt,mudra__mudra_total_accounts,mudra__mudra_total_disbursed,mudra__mudra_total_sanctioned,nwr__nwr_disb_accounts,nwr__nwr_disb_amt,nwr__nwr_os_accounts,nwr__nwr_os_amt,pm_kisan_kcc__kcc_accounts,pm_kisan_kcc__kcc_amt,pm_kisan_kcc__pm_kisan_beneficiaries,pmjdy__pmjdy_aadhaar_seeded,pmjdy__pmjdy_aadhaar_seeding_pct,pmjdy__pmjdy_rupay_card_issued,pmjdy__pmjdy_total_accounts,pmjdy__pmjdy_total_deposit,pmjjby__pmjjby_enrolment_current,pmjjby__pmjjby_enrolment_prev,pmjjby__pmjjby_qoq_increase,pmsby__pmsby_enrolment_current,pmsby__pmsby_enrolment_prev,pmsby__pmsby_qoq_increase,pmsvanidhi__pmsvanidhi_applications,pmsvanidhi__pmsvanidhi_disbursed,pmsvanidhi__pmsvanidhi_sanctioned,sc_st_loans__sc_disb_accounts,sc_st_loans__sc_disb_amt,sc_st_loans__sc_os_accounts,sc_st_loans__sc_os_amt,sc_st_loans__st_disb_accounts,sc_st_loans__st_disb_amt,sc_st_loans__st_os_accounts,sc_st_loans__st_os_amt,shg__shg_credit_linked_amt_fy,shg__shg_credit_linked_amt_quarter,shg__shg_credit_linked_no_fy,shg__shg_credit_linked_no_quarter,shg__shg_savings_linked_amt_fy,shg__shg_savings_linked_amt_quarter,shg__shg_savings_linked_no_fy,shg__shg_savings_linked_no_quarter
Washim,June 2025,40169,30300.0,16.66,10.38,241165,292100.0,17.93,3761.0,56,5806.0,69,3000.0,25,300,40,,,8795,128,62794,1329,2388,225,986,3149,3374,148,,,,,,,102.89,638100.0,620200.0,,,,,,,,,,,,,,,,,,4916,3800.0,4.0,16430,92300.0,3850,4200.0,4962,1900.0,240,1900.0,9052,7900.0,8000.0,2,7.47,3,32.03,177215,177530.0,165311,393000,90.54,315000,434000,13000.0,122000,119000,2000,354000,349000,5000,7363,6551,,1147,2100.0,10151,15700.0,246,400.0,2365,3200.0,3000.0,3000.0,766,766,100.0,100.0,230,230
Yavatmal,June 2025,152561,242200.0,42.14,32.7,361993,740800.0,36.64,6987.0,91,11349.0,106,5000.0,50,200,12,,,20145,288,136044,3490,6452,1137,2906,8221,9358,319,,,,,,,76.34,1556400.0,2038800.0,,,,,,,,,,,,,,,,,,12862,7200.0,4.0,43263,195400.0,13232,12600.0,30298,7900.0,558,4500.0,44099,25000.0,25200.0,0,0.0,5,125.57,199225,476830.0,286879,1098000,89.66,861000,1225000,36200.0,384000,375000,9000,855000,839000,16000,17644,14195,,2107,4200.0,20332,33500.0,2051,3200.0,22053,27600.0,7200.0,7200.0,1942,1942,100.0,100.0,635,635
Ahmednagar,September 2025,57501,140700.0,6.74,8.94,853755,1574300.0,,,,,,,,3000,375,,,42740,689,234587,18384,6078,1493,2646,7230,8724,770,1062700.0,1854400.0,1347300.0,1384100.0,2066700.0,1513400.0,85.9,4264300.0,4964300.0,30.0,2261,2900.0,5243,9000.0,2413,4700.0,12426,15800.0,71009.0,49953,8.0,878008.0,599998,320066.0,231020,39.0,15213,26600.0,4.0,81546,708200.0,,,,,,,,,,,6800.0,25,45200.0,563654,479100.0,546132,1603000,92.98,1285000,1724000,92600.0,624000,594000,30000,1557000,1478000,79000,30636,23808,,6663,10800.0,26472,45600.0,2865,4500.0,18883,30300.0,20472.0,12623.0,4877,2922,4012.0,3752.0,2255,1565
Akola,September 2025,59691,41100.0,23.19,9.73,257434,422300.0,,,,,,,,500,16,,,16940,249,104568,6182,3555,642,1113,4025,4668,248,163800.0,325100.0,783300.0,191800.0,363100.0,1187000.0,73.04,1272200.0,1741900.0,42.0,885,1300.0,1070,3000.0,972,2200.0,1181,5200.0,17287.0,20151,12.0,183398.0,166363,87007.0,86535,52.0,11087,9500.0,3.0,38609,279500.0,,,,,,,,,,,0.0,0,800.0,250947,249940.0,187035,566000,87.21,432000,649000,21600.0,577000,,599000,711000,682000,29000,24212,17616,,4440,9900.0,22705,46300.0,851,1900.0,3893,8800.0,9452.0,6043.0,2652,1754,201.0,161.0,890,526
Amravati,September 2025,134491,136500.0,39.75,21.58,338339,632700.0,,,,,,,,300,11,,,24855,269,150058,13215,5224,1266,2789,6746,8013,397,309100.0,511700.0,1345900.0,394900.0,614000.0,1733800.0,79.0,2166800.0,2742700.0,39.0,1166,1800.0,1565,5000.0,1360,4000.0,1903,10100.0,72118.0,68783,27.0,342824.0,256633,171594.0,143988,56.0,15750,19800.0,4.0,52754,451600.0,,,,,,,,,,,0.0,0,700.0,319144,365890.0,270693,870000,91.58,667000,950000,36500.0,377000,356000,21000,976000,927000,50000,37861,31329,,4938,14500.0,41254,67500.0,2645,4800.0,24565,25800.0,16975.0,10655.0,4657,2935,302.0,248.0,1487,927
Aurangabad,September 2025,201635,148100.0,37.07,25.04,543861,591700.0,,,,,,,,5000,123,,,28310,320,175398,10664,5730,814,2516,7432,8246,513,620500.0,768300.0,3632600.0,667000.0,679500.0,4303000.0,88.88,5021300.0,5649600.0,52.0,1441,2400.0,5849,5800.0,1683,5900.0,6253,11300.0,76148.0,59033,18.0,380255.0,336406,207939.0,139839,42.0,37358,44700.0,4.0,112708,1204400.0,,,,,,,,,,,200.0,1,800.0,417130,422210.0,341054,,,,,,685000,663000,23000,1403000,1351000,52000,76812,51597,,12955,14600.0,38759,50900.0,3123,4300.0,9927,12300.0,17316.0,10109.0,4176,2527,807.0,576.0,10014,1218
Beed,September 2025,20399,10000.0,13.67,5.65,149263,176300.0,,,,,,,,4000,224,,,15080,161,130742,7657,4545,537,2977,6985,7522,231,315300.0,524400.0,547200.0,394700.0,710400.0,528600.0,84.9,1386900.0,1633600.0,59.0,469,800.0,8372,2500.0,523,1500.0,8372,2500.0,71545.0,54231,20.0,302981.0,269768,200316.0,168417,62.0,7530,8700.0,4.0,32592,197900.0,,,,,,,,,,,100.0,0,700.0,,,,1162000,90.99,834000,1277000,76000.0,,,,1095000,1071000,25000,13831,9445,,3199,6500.0,30882,29200.0,801,1500.0,8214,6800.0,10151.0,5698.0,2774,1564,304.0,238.0,1354,855
Bhandara,September 2025,171028,146800.0,34.4,23.69,497122,619900.0,,,,,,,,300,3,,,12125,163,95094,5624,2378,872,782,2288,3160,177,165200.0,318900.0,13600.0,381800.0,727900.0,1100.0,44.8,497700.0,1110800.0,70.0,332,400.0,1170,1100.0,368,800.0,1170,1100.0,4358.0,4864,4.0,104087.0,135779,38379.0,41661,31.0,5193,7600.0,8.0,23746,99200.0,,,,,,,,,,,0.0,0,200.0,121024,68770.0,209113,481000,92.68,393000,519000,35600.0,277000,263000,14000,595000,576000,18000,8148,6264,,6401,8600.0,39126,45600.0,1200,1900.0,9238,11700.0,10000.0,6265.0,2827,1799,179.0,90.0,597,322
Buldhana,September 2025,39952,29500.0,19.65,8.49,203277,347000.0,,,,,,,,1500,47,,,18805,242,147691,10032,4840,865,2544,6519,7384,274,316600.0,1096900.0,87700.0,250000.0,1453200.0,67700.0,84.77,1501200.0,1771000.0,35.0,875,1200.0,1950,3000.0,954,2200.0,2158,6200.0,59238.0,57168,24.0,265215.0,234344,153030.0,149025,64.0,8508,11300.0,5.0,34304,211900.0,,,,,,,,,,,600.0,0,2900.0,334914,327610.0,337592,844000,89.41,709000,944000,30000.0,356000,,378000,928000,889000,39000,17563,12755,,3924,11300.0,18148,48500.0,1756,4200.0,9771,20600.0,12780.0,8033.0,3397,2195,310.0,282.0,1004,683
Chandrapur,September 2025,108809,159000.0,19.17,16.58,567744,959000.0,,,,,,,,300,2,,,20220,217,137146,9468,3875,1174,1217,3918,5092,312,280600.0,434500.0,517000.0,561300.0,954600.0,1211600.0,45.18,1232200.0,2727400.0,42.0,584,1000.0,880,1500.0,660,1800.0,1063,4300.0,18197.0,8188,21.0,205472.0,39545,93874.0,19917,50.0,11369,10600.0,4.0,44328,261700.0,,,,,,,,,,,100.0,0,200.0,155442,176780.0,243668,647000,92.17,502000,702000,41400.0,439000,413000,26000,904000,874000,30000,23055,18026,,21364,22600.0,83368,114900.0,11804,8900.0,38572,41200.0,26496.0,16246.0,8891,5177,13547.0,7012.0,6046,2830
Dhule,September 2025,54979,109900.0,23.11,23.54,237900,466900.0,,,,,,,,500,32,,,12815,143,84183,8147,2436,448,1149,3137,3585,205,180300.0,348800.0,675700.0,221600.0,405700.0,836300.0,82.31,1204700.0,1463600.0,47.0,668,1000.0,1815,1800.0,733,1800.0,2242,3800.0,31970.0,23389,19.0,182476.0,122339,71318.0,55948,46.0,9048,7600.0,3.0,32989,246000.0,,,,,,,,,,,0.0,0,500.0,138692,190700.0,150953,815000,91.78,618000,888000,30300.0,292000,279000,13000,590000,556000,33000,19626,16455,,5712,8400.0,16220,25400.0,1311,2100.0,4314,6000.0,6879.0,4099.0,1841,1128,171.0,148.0,812,605
Gadchiroli,September 2025,55361,84400.0,28.66,23.51,193178,359200.0,,,,,,,,300,,,,7065,75,57227,4142,1589,340,491,1740,2080,138,112400.0,177700.0,47900.0,326700.0,508000.0,88900.0,36.59,338000.0,923600.0,8.0,139,200.0,650,1500.0,150,300.0,865,3600.0,3164.0,6319,14.0,33385.0,45142,10022.0,14941,33.0,2222,3300.0,7.0,13449,46500.0,,,,,,,,,,,0.0,0,0.0,54471,30060.0,146114,313000,91.25,248000,343000,23700.0,155000,148000,8000,319000,303000,15000,3265,2519,,1466,3500.0,8361,20500.0,2361,5000.0,17784,33700.0,4161.0,3619.0,2409,2255,66.0,47.0,215,124
Gondia,September 2025,7966,5100.0,12.05,7.42,66092,68600.0,,,,,,,,300,,,,10360,113,106250,6123,3570,1092,1155,3633,4725,160,157200.0,80100.0,362000.0,282600.0,168600.0,530600.0,61.04,599300.0,981800.0,41.0,319,400.0,2864,2000.0,355,800.0,2864,2000.0,9672.0,24504,20.0,82534.0,120908,4878.0,6540,5.0,5005,5900.0,4.0,24463,165500.0,,,,,,,,,,,5200.0,16,5700.0,128074,81700.0,217171,637000,93.4,462000,682000,40700.0,372000,344000,28000,645000,611000,33000,7810,5564,,2724,7000.0,9707,20800.0,3017,5700.0,12856,24200.0,15178.0,9541.0,3990,2561,205.0,145.0,1061,680
Hingoli,September 2025,38520,16500.0,21.96,8.84,175419,186200.0,,,,,,,,500,95,,,6595,69,60955,3948,3457,343,1358,4472,4815,125,126300.0,378500.0,5100.0,135600.0,376600.0,600.0,99.45,509900.0,512800.0,21.0,188,300.0,6000,2400.0,204,500.0,6000,2400.0,17132.0,18512,13.0,121008.0,138346,58963.0,53419,39.0,3786,4900.0,9.0,13457,56800.0,,,,,,,,,,,6300.0,2,9400.0,198187,167380.0,175175,608000,92.26,412000,659000,23200.0,213000,,220000,478000,463000,15000,4801,3640,,5328,6900.0,16502,28700.0,3253,3100.0,10824,11300.0,4809.0,3070.0,1362,878,143.0,124.0,543,345
Jalgaon,September 2025,78407,69900.0,33.4,28.02,234739,249500.0,,,,,,,,500,65,,,30595,358,175610,15141,6086,1234,2668,7520,8754,644,414300.0,1101000.0,1159200.0,653300.0,1263300.0,1625300.0,75.51,2674500.0,3541900.0,86.0,1330,2000.0,10607,4500.0,1552,3900.0,10607,4500.0,68659.0,14068,4.0,484015.0,318028,139673.0,32496,10.0,17449,18800.0,4.0,71078,492700.0,,,,,,,,,,,200.0,11,100.0,390258,448250.0,399382,1506000,92.79,1159000,1623000,62400.0,244000,,256000,1317000,1254000,63000,43657,34161,,5236,5500.0,15131,18800.0,1811,1700.0,5526,5800.0,19807.0,12032.0,5269,3239,638.0,572.0,1910,1257
Jalna,September 2025,51867,70400.0,14.65,7.9,354097,891200.0,,,,,,,,2500,149,,,11275,123,108802,6134,4032,575,2360,5817,6392,205,239500.0,292500.0,703600.0,167900.0,252400.0,602400.0,120.82,1235600.0,1022700.0,100.0,383,600.0,682,1000.0,416,1000.0,682,1000.0,69564.0,76793,32.0,227974.0,238898,146689.0,148047,62.0,10743,8800.0,4.0,33944,226000.0,,,,,,,,,,,,,,349316,337160.0,290114,795000,92.66,507000,858000,32700.0,,,,585000,564000,21000,20390,15131,,4214,11300.0,21537,45900.0,2009,4100.0,10976,20000.0,11068.0,6131.0,2541,1474,356.0,310.0,938,535
Kolhapur,September 2025,179779,204900.0,42.88,37.66,419290,544000.0,,,,,,,,4000,106,,,39500,644,186201,13278,3768,1203,2602,5166,6370,667,985900.0,975700.0,2809200.0,1069600.0,1053400.0,3109200.0,91.18,4770900.0,5232300.0,49.0,2527,3100.0,2347,6500.0,2813,6400.0,3226,13100.0,23078.0,10732,3.0,360144.0,327098,79903.0,88950,27.0,21379,60500.0,4.0,115398,1347900.0,,,,,,,,,,,,,,375185,388830.0,471690,1286000,87.3,1075000,1473000,63500.0,,,,1369000,1311000,59000,47382,40283,,4145,5400.0,21344,27000.0,1483,1200.0,9046,9500.0,19921.0,12657.0,4484,2726,648.0,503.0,1948,1251
Latur,September 2025,34971,62300.0,5.63,7.06,621631,881700.0,,,,,,,,1000,149,,,16465,178,102494,6585,3129,570,1522,4080,4651,331,317100.0,274300.0,1445900.0,371400.0,357000.0,1234700.0,103.78,2037300.0,1963100.0,49.0,627,1200.0,2437,4700.0,718,2300.0,2437,4700.0,15931.0,11111,3.0,306756.0,317909,70417.0,86985,27.0,8770,9400.0,2.0,48912,380500.0,,,,,,,,,,,200.0,3,2000.0,355225,314980.0,269446,877000,91.74,675000,956000,40700.0,410000,,427000,820000,792000,28000,18706,13906,,8959,13500.0,61559,64000.0,1005,1300.0,9284,8600.0,11361.0,7112.0,2782,1735,223.0,184.0,947,572
Mumbai,September 2025,45826,38700.0,10.49,6.05,436934,639700.0,,,,,,,,300,19,,,62685,788,176417,11922,15376,192,474,15658,15850,982,44800.0,33800.0,247732100.0,100.0,,173114100.0,143.15,247810700.0,173114200.0,41.0,2068,15000.0,4645,40300.0,5138,90100.0,12409,218800.0,19429.0,25698,20.0,138959.0,128476,82914.0,89287,69.0,76502,1537500.0,9.0,339597,16661500.0,,,,,,,,,,408,1084.0,1238,6492.0,,,,936000,89.83,852000,1042000,57100.0,620000,595000,24000,1502000,1418000,84000,243201,145703,,11367,14400.0,34651,41000.0,4286,4500.0,11987,11300.0,238.0,92.0,27,17,228.0,11.0,160,85
Mumbai Suburban,September 2025,29260,127500.0,10.18,2.12,287491,6004100.0,,,,,,,,300,21,,,117290,1485,377256,27380,,,,,,1493,2100.0,28400.0,62335900.0,9200.0,,103607600.0,60.19,62366400.0,103616800.0,,,,,,,,,,,,,,,,,,36134,245200.0,3.0,285127,9152400.0,,,,,,,,,,0,0.0,6,667.0,,,,,,,,,848000,815000,33000,2094000,1928000,166000,,,,2808,14100.0,16705,88800.0,948,3500.0,5247,51800.0,1216.0,728.0,234,146,221.0,132.0,587,339
Nagpur,September 2025,8659,15600.0,1.35,2.0,640747,780100.0,,,,,,,,300,8,,,60750,699,305303,18358,3889,1272,1684,4301,5573,891,609400.0,853900.0,7609000.0,1031400.0,1190300.0,12277600.0,62.57,9072300.0,14499300.0,42.0,4205,8400.0,6295,15000.0,5183,19300.0,9407,46300.0,60101.0,46782,24.0,326942.0,191435,119652.0,97518,51.0,56509,123100.0,5.0,274127,2568300.0,,,,,,,,,,,,,,156650,218170.0,174457,1347000,93.02,1145000,1448000,86700.0,845000,809000,35000,1896000,1819000,77000,117024,96384,,3523,19100.0,20972,121300.0,884,6300.0,5919,29200.0,17447.0,10742.0,3802,2388,320.0,240.0,1356,820
Nanded,September 2025,81154,125700.0,17.58,13.92,461623,902500.0,,,,,,,,500,52,,,19925,211,157786,10384,10070,1363,4455,13162,14525,308,326500.0,456600.0,1141000.0,322500.0,495200.0,1162200.0,97.19,1924100.0,1979800.0,39.0,628,1000.0,11003,5200.0,716,2000.0,11003,5200.0,32260.0,32806,11.0,361045.0,297822,158954.0,152074,51.0,12899,10200.0,4.0,51089,292400.0,,,,,,,,,,,0.0,0,0.0,406916,386860.0,380490,1372000,90.03,1033000,1524000,56500.0,605000,581000,24000,1374000,1333000,40000,35634,25192,,12141,41400.0,113257,277800.0,4769,12600.0,68544,82400.0,15280.0,9267.0,3917,2421,315.0,250.0,1053,637
Nandurbar,September 2025,180981,132300.0,36.46,19.66,496420,672900.0,,,,,,,,300,1,,,8485,90,64901,7286,2675,453,985,3207,3660,115,104900.0,203100.0,237300.0,126400.0,267700.0,317600.0,76.61,545200.0,711700.0,92.0,172,300.0,2807,700.0,200,700.0,2807,700.0,18344.0,12615,19.0,110396.0,67074,40676.0,30503,45.0,3632,3500.0,6.0,10624,62000.0,,,,,,,,,,,,,,73022,113440.0,102854,759000,94.29,594000,805000,24400.0,258000,244000,14000,520000,490000,30000,6760,5465,,12537,19200.0,40369,67100.0,4116,7200.0,12805,22600.0,4643.0,2975.0,1298,829,205.0,182.0,661,507
Nashik,September 2025,29106,41300.0,29.65,20.67,98174,199900.0,,,,,,,,3000,564,,,52725,622,305104,21700,7002,1655,3152,8499,10154,842,746500.0,1491100.0,6014700.0,1018000.0,1939300.0,6912900.0,83.61,8252200.0,9870200.0,141.0,2374,4100.0,15879,8600.0,3002,12200.0,15879,8600.0,129799.0,64732,24.0,621851.0,271858,236053.0,126361,46.0,24220,71900.0,4.0,125203,1847700.0,,,,,,,,,,,100.0,0,500.0,425522,815090.0,427272,2264000,93.9,1591000,2411000,133000.0,895000,850000,45000,1847000,1735000,112000,88430,74416,,959,2700.0,5271,15800.0,5592,9300.0,39235,75200.0,15661.0,9851.0,4039,2531,935.0,630.0,2345,1561
Osmanabad,September 2025,85847,291800.0,10.76,20.28,797673,1438700.0,,,,,,,,1000,226,,,11130,123,76242,5551,2894,480,2847,5261,5741,206,211700.0,356800.0,382700.0,275400.0,498200.0,369200.0,83.24,951200.0,1142800.0,23.0,356,600.0,1219,1500.0,388,1000.0,1428,4300.0,29309.0,21009,16.0,168626.0,129011,81002.0,67265,52.0,4063,5200.0,4.0,21027,131200.0,,,,,,,,,,,,,,226007,272390.0,233466,,,,,,314000,306000,9000,666000,647000,19000,8116,5129,,7413,17400.0,103265,108300.0,5942,12800.0,66247,86800.0,10831.0,6962.0,2676,1745,381.0,321.0,885,562
Palghar,September 2025,3978,5400.0,12.5,5.14,31831,104500.0,,,,,,,,300,10,,,16810,235,105860,7509,2787,780,2434,4440,5221,386,194100.0,590500.0,2554300.0,526000.0,1299500.0,2996000.0,69.25,3338800.0,4821400.0,26.0,716,1500.0,9316,8200.0,907,3700.0,10113,14100.0,9157.0,10850,40.0,47800.0,27424,23828.0,19470,71.0,10489,17800.0,3.0,48889,566400.0,,,,,,,,,,,0.0,0,0.0,9468,43590.0,95204,904000,91.5,673000,988000,51000.0,316000,,336000,687000,641000,46000,40746,31193,,868,3600.0,5935,27100.0,1377,4000.0,9925,28500.0,7845.0,4578.0,2000,1166,232.0,192.0,949,655
Parbhani,September 2025,157696,161900.0,38.47,33.21,409961,487300.0,,,,,,,,1500,51,,,10175,108,86632,5461,3254,358,1408,4303,4662,186,175600.0,448300.0,438700.0,151300.0,318900.0,527700.0,106.48,1062600.0,997900.0,29.0,274,400.0,22147,3300.0,321,1000.0,22147,3300.0,61833.0,66488,24.0,272842.0,279585,169930.0,160160,57.0,9684,10800.0,8.0,25683,133300.0,,,,,,,,,,,1200.0,6,1200.0,314791,346220.0,249584,802000,88.04,553000,911000,33100.0,291000,,300000,667000,649000,18000,25848,17579,,8332,9700.0,30574,34700.0,2677,2700.0,10021,9200.0,7907.0,4403.0,1992,1146,277.0,210.0,982,596
Pune,September 2025,108367,263800.0,11.28,9.42,960722,2800900.0,,,,,,,,2500,95,,,134425,1813,549429,37487,8238,2720,5726,11243,13964,472,2155000.0,4986200.0,44444800.0,2743300.0,5150100.0,50375800.0,88.53,51586000.0,58269200.0,47.0,5788,14700.0,17720,26300.0,8048,48400.0,25620,103600.0,40621.0,18165,16.0,325812.0,116053,77401.0,37535,32.0,46331,339200.0,4.0,348400,8681100.0,,,,,,,,,,,0.0,0,1100.0,531471,890990.0,432972,1843000,88.56,1465000,2081000,144400.0,2254000,2194000,59000,4547000,4398000,149000,135632,101408,,13458,47400.0,109054,291300.0,3165,10500.0,24947,74400.0,24818.0,15430.0,4480,2657,1090.0,835.0,3052,1784
Raigad,September 2025,7563,6400.0,6.65,3.1,113723,206200.0,,,,,,,,300,52,,,42175,527,170711,11999,2127,856,2295,3566,4422,596,756300.0,1317500.0,4394400.0,1686300.0,2201400.0,3663200.0,85.66,6468200.0,7550900.0,37.0,1390,2900.0,5472,5500.0,1763,7900.0,6425,21500.0,1879.0,3252,8.0,28342.0,38455,8383.0,14413,37.0,9278,24400.0,3.0,69982,813500.0,,,,,,,,,,,0.0,0,0.0,61148,51360.0,111131,546000,81.01,460000,674000,41700.0,379000,,401000,957000,907000,50000,25953,19531,,2311,9500.0,10613,62800.0,1355,3900.0,4755,16500.0,10222.0,5992.0,2518,1557,660.0,596.0,1198,869
Ratnagiri,September 2025,5666,17600.0,6.25,7.19,90676,244600.0,,,,,,,,300,8,,,23715,312,104170,7539,1384,574,1025,1835,2409,338,367000.0,825600.0,8600.0,709700.0,1339200.0,,58.63,1201200.0,2048900.0,29.0,806,1100.0,4823,5900.0,867,1700.0,4823,5900.0,5622.0,2229,8.0,56456.0,26331,14909.0,6898,26.0,6873,15300.0,5.0,38470,323200.0,,,,,,,,,,,100.0,0,200.0,168147,81480.0,153344,355000,88.53,253000,401000,26300.0,249000,237000,13000,745000,720000,25000,8252,6762,,1647,3900.0,6703,21200.0,324,1800.0,1166,6000.0,13670.0,7984.0,2089,1191,399.0,340.0,724,437
Sangli,September 2025,45538,100800.0,18.37,11.56,247841,871500.0,,,,,,,,2500,79,,,28450,515,107353,7769,2777,782,1629,3624,4406,548,845800.0,799500.0,1317900.0,906300.0,958700.0,1635400.0,84.65,2963200.0,3500400.0,71.0,1294,1500.0,2038,3800.0,1384,2700.0,2038,3800.0,46427.0,28948,15.0,487389.0,193834,166728.0,100678,52.0,14203,32800.0,6.0,62279,590000.0,,,,,,,,,,,2500.0,19,14600.0,363431,388260.0,397001,835000,86.35,690000,967000,37100.0,295000,283000,12000,707000,672000,36000,28702,23937,,5035,13600.0,30725,138400.0,433,1600.0,5986,7100.0,17830.0,10895.0,3874,2281,779.0,370.0,3356,1284
Satara,September 2025,43478,57800.0,7.67,7.72,566867,748900.0,,,,,,,,3500,69,,,33385,629,138763,9852,3284,1326,2759,4716,6043,665,937300.0,1270200.0,586000.0,1297400.0,1589500.0,1082100.0,70.38,2793500.0,3969000.0,10.0,1982,2800.0,45967,40100.0,2097,4100.0,45967,40100.0,19026.0,10550,3.0,325509.0,364169,35977.0,17966,5.0,10757,15400.0,4.0,53980,437000.0,,,,,,,,,,,1100.0,0,2300.0,493477,461500.0,446221,805000,90.25,615000,892000,40500.0,363000,,384000,794000,755000,39000,20387,14797,,21012,17600.0,44899,44500.0,7291,5200.0,11924,12900.0,15851.0,10389.0,3661,2311,359.0,300.0,1591,1083
Sindhudurg,September 2025,3399,9800.0,4.28,6.51,79348,149900.0,,,,,,,,300,48,,,16515,253,56274,3669,573,253,420,740,993,260,434000.0,311600.0,4200.0,707400.0,632600.0,,55.96,749800.0,1340000.0,51.0,936,1100.0,2362,3000.0,974,1500.0,2362,3000.0,2355.0,1332,3.0,47976.0,40182,8042.0,5960,15.0,4006,6700.0,5.0,31563,126000.0,,,,,,,,,,,0.0,0,0.0,50132,51270.0,120241,179000,89.05,139000,201000,14500.0,124000,,130000,416000,400000,16000,4437,3911,,1589,2400.0,4938,9700.0,381,700.0,1168,1800.0,8845.0,4938.0,1493,872,235.0,188.0,558,351
Solapur,September 2025,104937,265500.0,14.46,18.49,725916,1435400.0,,,,,,,,2500,93,,,33130,381,240880,15494,5431,1285,3353,7499,8784,652,585600.0,1577300.0,1672100.0,599900.0,1426300.0,2065400.0,93.73,3835000.0,4091600.0,80.0,1654,2100.0,18233,4100.0,1766,3300.0,18233,4100.0,114877.0,62865,22.0,613950.0,291654,197163.0,117538,40.0,28654,41000.0,6.0,132301,686200.0,,,,,,,,,,,100.0,0,500.0,356141,642230.0,490290,1598000,90.8,1354000,1760000,86600.0,662000,,704000,1630000,1560000,70000,53536,43258,,9557,16000.0,123005,84700.0,2247,3100.0,33219,22200.0,22474.0,13225.0,4515,2643,559.0,497.0,1519,976
Thane,September 2025,4309,14300.0,11.53,4.05,37375,353800.0,,,,,,,,300,263,,,91755,1164,531706,43995,6119,1584,5576,10110,11695,1085,446300.0,562400.0,22534400.0,525900.0,526000.0,33352000.0,68.43,23543200.0,34403900.0,115.0,2656,7300.0,30009,27500.0,4407,31600.0,30009,27500.0,25358.0,33279,32.0,134356.0,104197,84470.0,75349,72.0,39709,174400.0,4.0,221882,4218100.0,,,,,,,,,,,0.0,0,1000.0,47402,52550.0,72458,1491000,92.38,1227000,1614000,82800.0,848000,815000,33000,2164000,2062000,102000,180707,143025,,4766,21300.0,37433,186500.0,1348,5300.0,10022,43700.0,12918.0,8336.0,2641,1726,467.0,399.0,1611,1139
Wardha,September 2025,106840,103000.0,12.22,19.26,874401,534500.0,,,,,,,,300,7,,,14320,155,96201,9305,1902,676,930,2156,2832,181,353700.0,184900.0,535000.0,254900.0,333500.0,745400.0,80.49,1073600.0,1333800.0,49.0,795,1100.0,1382,2000.0,864,1800.0,1551,3700.0,58050.0,45392,39.0,164464.0,117678,105493.0,79822,68.0,9844,9900.0,5.0,47797,194100.0,,,,,,,,,,0,0.0,109,2006.0,143323,190540.0,128760,352000,92.63,289000,380000,21100.0,288000,276000,12000,602000,574000,27000,11255,8677,,4206,6900.0,158567,65800.0,1940,2300.0,116384,37900.0,10904.0,6909.0,2292,1432,122.0,98.0,485,296
