district,period,acp_achievement__ach,acp_achievement__target,cd_ratio__approved_by_government,cd_ratio__forwarded_by_nodal_officer,cd_ratio__forwarded_by_slbc,cd_ratio__processed_by_bank_branch,crop_loan__ach,crop_loan__achieve_ment,crop_loan__achievem_ent,crop_loan__achievement,crop_loan__ag_target,crop_loan__no,crop_loan__riculture_achievement,crop_loan__target,education_loan__0,education_loan__102_28,education_loan__10_86,education_loan__12_58,education_loan__21_72,education_loan__35_59,education_loan__3_21,education_loan__4_35,education_loan__6_23,education_loan__7_74,education_loan__approved_by_government,education_loan__forwarded_by_nodal_officer,education_loan__forwarded_by_slbc,education_loan__processed_by_bank_branch,education_loan__sbi,education_loan__sponsor_bank,rseti__bpl,rseti__sc,rseti__st,rseti__women,uncategorized__achievement,uncategorized__achievement_of_q1,uncategorized__achievement_of_q3,uncategorized__target_for_2020_21,uncategorized__target_for_2021_22,uncategorized__target_for_2022_23
Idukki,March 2024,115.43%,98368300,,,,,95.54%,,,53267461,,,,55754300,,,,,,,,,,,,,,,,,535,64,28,561,,,,,,
Kannur,March 2024,100.46%,196173100,,,,,125.31%,,,98837729,,,,78873700,,,,,,,,,,,,,,,,,786,84,64,734,,,,,,
Kollam,March 2024,117.88%,200000000,,,,,130.46%,,,101657152,,,,77920700,,,,,,,,,,,,,,,,,642,121,0,595,,,,,,
Kottayam,March 2024,103.44%,224000000,,,,,102.81%,,,88673669,,,,86250000,,,,,,,,,,,,,,,,,710,137,14,632,,,,,,
Kozhikode,March 2024,102.97%,337901537,,,,,104.21%,,,103643488,,,,99453814,,,,,,,,,,,,,,,,,621,64,36,587,,,,,,
Malappuram,March 2024,98.65%,188000000,,,,,111.22%,,,97869942,,,,88000000,,,,,,,,,,,,,,,,,706,134,14,528,,,,,,
Palakkad,March 2024,138.09%,200380000,,,,,118.65%,,,117083351,,,,98680000,,,,,,,,,,,,,,,,,823,267,23,878,,,,,,
Pathanamthitta,March 2024,95.93%,126179300,,,,,104.66%,,,54202554,,,,51788100,,,,,,,,,,,,,,,,,812,202,6,657,,,,,,
Thrissur,March 2024,117.54%,370014600,,,,,114.60%,,,126063747,,,,110001000,,,,,,,,,,,,,,,,,700,218,4,592,,,,,,
Wayanad,March 2024,98.82%,70000000,,,,,85.00%,,,38249967,,,,45000000,,,,,,,,,,,,,,,,,520,32,100,592,,,,,,
Alappuzha,June 2024,34.36%,200772500,,,,,31.62%,,,30742153,,,,97215400,,,,,,,,,,,,,,,,,120,1,4,121,,,,,,
Ernakulam,June 2024,31.89%,1542076002,,,,,32.77%,,,60234929,,,,183792533,,,,,,,,,,,,,,,,,191,25,1,179,,,,,,
Idukki,June 2024,22.45%,173668553,,,,,21.14%,,,18177094,,,,85989694,,,,,,,,,,,,,,,,,176,12,31,194,,,,,,
Kannur,June 2024,32.49%,196566950,,,,,29.40%,,,28995530,,,,98629450,,,,,,,,,,,,,,,,,150,24,6,153,,,,,,
Kollam,June 2024,39.23%,221999993,,,,,37.08%,,,36927405,,,,99594976,,,,,,,,,,,,,,,,,240,50,33,238,,,,,,
Kottayam,June 2024,35.77%,248970000,,,,,34.16%,,,32005916,,,,93700000,,,,,,,,,,,,,,,,,151,28,2,142,,,,,,
Kozhikode,June 2024,18.86%,645135321,,,,,19.76%,,,35677576,,,,180547794,,,,,,,,,,,,,,,,,205,27,1,206,,,,,,
Malappuram,June 2024,32.28%,206500000,,,,,34.79%,,,32706898,,,,94000000,,,,,,,,,,,,,,,,,230,59,3,191,,,,,,
Palakkad,June 2024,32.53%,283700000,,,,,33.47%,,,40499211,,,,121000000,,,,,,,,,,,,,,,,,114,46,0,141,,,,,,
Pathanamthitta,June 2024,31.15%,131062220,,,,,31.45%,,,18353361,,,,58361520,,,,,,,,,,,,,,,,,344,80,2,240,,,,,,
Thrissur,June 2024,44.79%,405063190,,,,,37.07%,,,46345625,,,,125028770,,,,,,,,,,,,,,,,,243,85,6,184,,,,,,
Wayanad,June 2024,34.07%,75000000,,,,,28.90%,,,13292778,,,,46000000,,,,,,,,,,,,,,,,,106,9,26,149,,,,,,
Alappuzha,September 2024,67.03%,200772500,,,,,60.74%,,,59046869,,,,97215400,,,,,,,,,,,,,,,,,501,27,5,543,,,,,,
Ernakulam,September 2024,55.22%,1542076002,,,,,58.82%,,,108100287,,,,183792533,,,,,,,,,,,,,,,,,404,67,6,361,,,,,,
Idukki,September 2024,39.00%,173668553,,,,,40.50%,,,34825856,,,,85989694,,,,,,,,,,,,,,,,,514,44,73,388,,,,,,
Kannur,September 2024,60.25%,196566950,,,,,59.78%,,,58956089,,,,98629450,,,,,,,,,,,,,,,,,411,57,15,351,,,,,,
Kollam,September 2024,69.67%,221999993,,,,,70.75%,,,70461011,,,,99594976,,,,,,,,,,,,,,,,,485,95,33,455,,,,,,
Kottayam,September 2024,64.68%,248970000,,,,,64.03%,,,59998566,,,,93700000,,,,,,,,,,,,,,,,,347,54,8,351,,,,,,
Kozhikode,September 2024,51.89%,431133224,,,,,57.54%,,,67964627,,,,118117910,,,,,,,,,,,,,,,,,420,59,3,430,,,,,,
Malappuram,September 2024,64.79%,206500000,,,,,69.95%,,,65756117,,,,94000000,,,,,,,,,,,,,,,,,495,114,5,442,,,,,,
Palakkad,September 2024,59.16%,283700000,,,,,62.44%,,,75552330,,,,121000000,,,,,,,,,,,,,,,,,329,155,4,457,,,,,,
Pathanamthitta,September 2024,58.97%,131062220,,,,,63.00%,,,36765618,,,,58361520,,,,,,,,,,,,,,,,,642,136,3,504,,,,,,
Thrissur,September 2024,77.11%,405063190,,,,,65.02%,,,81293341,,,,125028770,,,,,,,,,,,,,,,,,547,166,8,484,,,,,,
Wayanad,September 2024,55.24%,75000000,,,,,52.21%,,,24015316,,,,46000000,,,,,,,,,,,,,,,,,294,24,59,342,,,,,,
Alappuzha,December 2024,86.55%,200772500,,,,,84.95%,,,82587416,,,,97215400,,,,,,,,,,,,,,,,,748,46,5,780,,,,,,
Ernakulam,December 2024,76.48%,1542076002,,,,,81.56%,,,149904219,,,,183792533,,,,,,,,,,,,,,,,,593,95,6,547,,,,,,
Idukki,December 2024,54.67%,173668553,,,,,58.77%,,,50539945,,,,85989694,,,,,,,,,,,,,,,,,710,78,81,599,,,,,,
Kannur,December 2024,86.72%,196566950,,,,,91.67%,,,90417787,,,,98629450,,,,,,,,,,,,,,,,,589,77,28,497,,,,,,
Kollam,December 2024,95.14%,221999993,,,,,101.14%,,,100732497,,,,99594976,,,,,,,,,,,,,,,,,687,144,33,661,,,,,,
Kottayam,December 2024,87.44%,248970000,,,,,91.03%,,,85297220,,,,93700000,,,,,,,,,,,,,,,,,789,128,15,822,,,,,,
Kozhikode,December 2024,72.34%,431133224,,,,,86.20%,,,101813001,,,,118117910,,,,,,,,,,,,,,,,,587,67,4,585,,,,,,
Malappuram,December 2024,84.30%,206500000,,,,,103.55%,,,97333216,,,,94000000,,,,,,,,,,,,,,,,,686,142,7,617,,,,,,
Palakkad,December 2024,86.13%,283700000,,,,,92.54%,,,111968552,,,,121000000,,,,,,,,,,,,,,,,,641,242,24,741,,,,,,
Pathanamthitta,December 2024,80.54%,131062220,,,,,88.44%,,,51615865,,,,58361520,,,,,,,,,,,,,,,,,918,194,3,712,,,,,,
Thrissur,December 2024,107.34%,405063190,,,,,94.34%,,,117946611,,,,125028770,,,,,,,,,,,,,,,,,908,245,33,818,,,,,,
Wayanad,December 2024,78.96%,75000000,,,,,77.28%,,,35548195,,,,46000000,,,,,,,,,,,,,,,,,469,27,101,592,,,,,,
Alappuzha,March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979,69,5,1019,,,,,,
Ernakulam,March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,150,6,748,,,,,,
Idukki,March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877,89,88,765,,,,,,
Kannur,March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,102,35,657,,,,,,
Kollam,March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,193,33,896,,,,,,
Kottayam,March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,169,23,1023,,,,,,
Kozhikode,March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,91,4,771,,,,,,
Malappuram,March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,214,12,832,,,,,,
Palakkad,March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,287,24,951,,,,,,
Pathanamthitta,March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139,270,3,925,,,,,,
Thrissur,March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070,288,62,920,,,,,,
Wayanad,March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,39,127,808,,,,,,
Alappuzha,June 2025,27.83%,250000000,,,,,,,,22.99%,,4,,118451100,,,,,,,,,,,,,,,,,234,8,0,246,,,,,,
Ernakulam,June 2025,29.88%,1662148761,,,,,,,,25.27%,,7,,206937872,,,,,,,,,,,,,,,,,191,37,0,226,,,,,,
Idukki,June 2025,28.86%,134399992,,,,,,,,24.00%,,6,,73120661,,,,,,,,,,,,,,,,,133,10,8,134,,,,,,
Kannur,June 2025,27.67%,250022199,,,,,,,,22.54%,,13,,132612754,,,,,,,,,,,,,,,,,180,20,4,177,,,,,,
Kollam,June 2025,33.40%,270000000,,,,,,,,24.97%,,2,,136000000,,,,,,,,,,,,,,,,,238,49,0,225,,,,,,
Kottayam,June 2025,31.82%,297460000,,,,,,,,25.47%,,5,,120800000,,,,,,,,,,,,,,,,,162,32,2,132,,,,,,
Kozhikode,June 2025,30.93%,448701467,,,,,,,,24.20%,,11,,142645486,,,,,,,,,,,,,,,,,197,21,1,164,,,,,,
Malappuram,June 2025,27.04%,270700000,,,,,,,,25.84%,,10,,133000000,,,,,,,,,,,,,,,,,5,11,0,19,,,,,,
Palakkad,June 2025,32.24%,356000000,,,,,,,,25.52%,,9,,168000000,,,,,,,,,,,,,,,,,252,46,5,210,,,,,,
Pathanamthitta,June 2025,28.63%,148004894,,,,,,,,24.17%,,3,,72000825,,,,,,,,,,,,,,,,,251,20,0,236,,,,,,
Thrissur,June 2025,29.46%,630000000,,,,,,,,23.37%,,8,,170000000,,,,,,,,,,,,,,,,,235,63,2,210,,,,,,
Wayanad,June 2025,29.07%,93000000,,,,,,,,27.30%,,12,,54500000,,,,,,,,,,,,,,,,,39,6,2,64,,,,,,
Alappuzha,September 2025,54.61%,250000000,,,,,,,,50.21%,,4,,118451100,,,,,,,,,,,,,,,,,432,8,0,475,,,,,,
Ernakulam,September 2025,55.79%,1662148761,,,,,,,,51.65%,,7,,206937872,,,,,,,,,,,,,,,,,374,79,2,409,,,,,,
Idukki,September 2025,55.73%,134399992,,,,,,,,50.60%,,6,,73120661,,,,,,,,,,,,,,,,,364,39,22,344,,,,,,
Kannur,September 2025,54.86%,250022199,,,,,,,,48.77%,,13,,132612754,,,,,,,,,,,,,,,,,365,49,9,363,,,,,,
Kollam,September 2025,63.92%,270000000,,,,,,,,53.29%,,2,,136000000,,,,,,,,,,,,,,,,,442,97,0,419,,,,,,
Kottayam,September 2025,62.79%,297460000,,,,,,,,53.11%,,5,,120800000,,,,,,,,,,,,,,,,,392,65,4,356,,,,,,
Kozhikode,September 2025,58.46%,448701467,,,,,,,,52.90%,,11,,142645486,,,,,,,,,,,,,,,,,450,48,4,380,,,,,,
Malappuram,September 2025,53.02%,270700000,,,,,,,,54.70%,,10,,133000000,,,,,,,,,,,,,,,,,453,51,23,410,,,,,,
Palakkad,September 2025,46.62%,356000000,,,,,,,,46.77%,,9,,168000000,,,,,,,,,,,,,,,,,452,86,11,450,,,,,,
Pathanamthitta,September 2025,57.55%,148004894,,,,,,,,52.18%,,3,,72000825,,,,,,,,,,,,,,,,,535,71,1,459,,,,,,
Thrissur,September 2025,54.62%,630000000,,,,,,,,49.50%,,8,,170000000,,,,,,,,,,,,,,,,,353,94,5,298,,,,,,
Wayanad,September 2025,56.42%,93000000,,,,,,,,54.12%,,12,,54500000,,,,,,,,,,,,,,,,,299,23,22,421,,,,,,
Alappuzha,December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,42,0,670,,,,,,
Ernakulam,December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,95,3,588,,,,,,
Idukki,December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,67,71,595,,,,,,
Kannur,December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,63,17,525,,,,,,
Kollam,December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,131,2,581,,,,,,
Kottayam,December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,109,10,573,,,,,,
Kozhikode,December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,73,6,587,,,,,,
Malappuram,December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,71,25,507,,,,,,
Palakkad,December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,127,11,606,,,,,,
Pathanamthitta,December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747,125,1,649,,,,,,
Thrissur,December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586,145,16,483,,,,,,
Wayanad,December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,35,31,668,,,,,,
