district,period,aadhaar_authentication__aadhaar_seeded_casa,aadhaar_authentication__authenticated_casa,aadhaar_authentication__mobile_seeded_sb,aadhaar_authentication__operative_casa,aadhaar_authentication__operative_sb,aadhaar_authentication__pct_aadhaar_seeding,aadhaar_authentication__pct_authentication,aadhaar_authentication__pct_mobile_seeding,atm__atm_new_fy,atm__atm_rural,atm__atm_semi_urban,atm__atm_total,atm__atm_urban,banking_parameter__agri_adv_ac,banking_parameter__agri_adv_amt,banking_parameter__dri_ac,banking_parameter__dri_amt,banking_parameter__minority_ac,banking_parameter__minority_amt,banking_parameter__msme_ac,banking_parameter__msme_amt,banking_parameter__nri_deposit,banking_parameter__other_ps_ac,banking_parameter__other_ps_amt,banking_parameter__pct_agri_adv,banking_parameter__pct_psa,banking_parameter__sc_ac,banking_parameter__sc_amt,banking_parameter__shg_ac,banking_parameter__shg_amt,banking_parameter__small_marginal_farmers_ac,banking_parameter__small_marginal_farmers_amt,banking_parameter__st_ac,banking_parameter__st_amt,banking_parameter__total_advances,banking_parameter__total_priority_ac,banking_parameter__total_priority_amt,banking_parameter__women_ac,banking_parameter__women_amt,branch_network__branch_new_fy,branch_network__branch_rural,branch_network__branch_semi_urban,branch_network__branch_urban,branch_network__total_branch,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_branch,credit_deposit_ratio__total_deposit,kcc__kcc_activated,kcc__kcc_ah_os_ac,kcc__kcc_ah_os_amt,kcc__kcc_fish_os_ac,kcc__kcc_fish_os_amt,kcc__kcc_issued_qtr_ac,kcc__kcc_issued_qtr_amt,kcc__kcc_os_amt,kcc__kcc_rupay,kcc__total_kcc_ac,kcc__total_kcc_amt,pmegp__pmegp_forwarded_mm,pmegp__pmegp_forwarded_no,pmegp__pmegp_pending_mm,pmegp__pmegp_pending_no,pmegp__pmegp_rejected_mm,pmegp__pmegp_rejected_no,pmegp__pmegp_sanctioned_mm,pmegp__pmegp_sanctioned_no,pmegp__pmegp_target_mm,pmegp__pmegp_target_no,pmjdy__pmjdy_aadhaar_seeded,pmjdy__pmjdy_amount,pmjdy__pmjdy_pct_aadhaar,pmjdy__pmjdy_pct_rupay,pmjdy__pmjdy_pct_zero_balance,pmjdy__pmjdy_rupay_issued,pmjdy__pmjdy_rural,pmjdy__pmjdy_urban,pmjdy__pmjdy_zero_balance,pmjdy__total_pmjdy_ac,pmmy__pmmy_kishore_ac,pmmy__pmmy_kishore_amt,pmmy__pmmy_shishu_ac,pmmy__pmmy_shishu_amt,pmmy__pmmy_target,pmmy__pmmy_tarun_ac,pmmy__pmmy_tarun_amt,pmmy__pmmy_tarun_plus_ac,pmmy__pmmy_tarun_plus_amt,pmmy__pmmy_total_ac,pmmy__pmmy_total_amt,rseti__rseti_beneficiaries_qtr,rseti__rseti_cumulative_beneficiaries,rseti__rseti_cumulative_programs,rseti__rseti_programs_qtr,rseti__rseti_settled_bank,rseti__rseti_settled_own,rseti__rseti_settled_total,rseti__rseti_settled_wage,rseti__rseti_settlement_pct,rseti__rseti_target_candidates,rseti__rseti_target_programs,sacp__sacp_agri_infra_disb_ac,sacp__sacp_agri_infra_disb_amt,sacp__sacp_agri_infra_os_ac,sacp__sacp_agri_infra_os_amt,sacp__sacp_agri_infra_pct_ach_ac,sacp__sacp_agri_infra_pct_ach_amt,sacp__sacp_agri_infra_target_ac,sacp__sacp_agri_infra_target_amt,sacp__sacp_crop_loan_disb_ac,sacp__sacp_crop_loan_disb_amt,sacp__sacp_crop_loan_os_ac,sacp__sacp_crop_loan_os_amt,sacp__sacp_crop_loan_pct_ach_ac,sacp__sacp_crop_loan_pct_ach_amt,sacp__sacp_crop_loan_target_ac,sacp__sacp_crop_loan_target_amt,sacp__sacp_education_disb_ac,sacp__sacp_education_disb_amt,sacp__sacp_education_os_ac,sacp__sacp_education_os_amt,sacp__sacp_education_pct_ach_ac,sacp__sacp_education_pct_ach_amt,sacp__sacp_education_target_ac,sacp__sacp_education_target_amt,sacp__sacp_housing_disb_ac,sacp__sacp_housing_disb_amt,sacp__sacp_housing_os_ac,sacp__sacp_housing_os_amt,sacp__sacp_housing_pct_ach_ac,sacp__sacp_housing_pct_ach_amt,sacp__sacp_housing_target_ac,sacp__sacp_housing_target_amt,sacp__sacp_other_ps_disb_ac,sacp__sacp_other_ps_disb_amt,sacp__sacp_other_ps_os_ac,sacp__sacp_other_ps_os_amt,sacp__sacp_other_ps_pct_ach_ac,sacp__sacp_other_ps_pct_ach_amt,sacp__sacp_other_ps_target_ac,sacp__sacp_other_ps_target_amt,sacp__sacp_term_loan_disb_ac,sacp__sacp_term_loan_disb_amt,sacp__sacp_term_loan_os_ac,sacp__sacp_term_loan_os_amt,sacp__sacp_term_loan_pct_ach_ac,sacp__sacp_term_loan_pct_ach_amt,sacp__sacp_term_loan_target_ac,sacp__sacp_term_loan_target_amt,sacp__sacp_total_agri_disb_ac,sacp__sacp_total_agri_disb_amt,sacp__sacp_total_agri_os_ac,sacp__sacp_total_agri_os_amt,sacp__sacp_total_agri_pct_ach_ac,sacp__sacp_total_agri_pct_ach_amt,sacp__sacp_total_agri_target_ac,sacp__sacp_total_agri_target_amt,sacp__sacp_total_msme_disb_ac,sacp__sacp_total_msme_disb_amt,sacp__sacp_total_msme_os_ac,sacp__sacp_total_msme_os_amt,sacp__sacp_total_msme_pct_ach_ac,sacp__sacp_total_msme_pct_ach_amt,sacp__sacp_total_msme_target_ac,sacp__sacp_total_msme_target_amt,sacp__sacp_total_ps_disb_ac,sacp__sacp_total_ps_disb_amt,sacp__sacp_total_ps_os_ac,sacp__sacp_total_ps_os_amt,sacp__sacp_total_ps_pct_ach_ac,sacp__sacp_total_ps_pct_ach_amt,sacp__sacp_total_ps_target_ac,sacp__sacp_total_ps_target_amt,sarfaesi__sarfaesi_col2,sarfaesi__sarfaesi_col3,sarfaesi__sarfaesi_col4,sarfaesi__sarfaesi_col5,sarfaesi__sarfaesi_col6,sarfaesi__sarfaesi_col7,social_security_schemes__pmjjby_achievement,social_security_schemes__pmjjby_enrolment,social_security_schemes__pmjjby_pct,social_security_schemes__pmjjby_target,social_security_schemes__pmsby_achievement,social_security_schemes__pmsby_enrolment,social_security_schemes__pmsby_pct,social_security_schemes__pmsby_target
Gir Somnath,September 2019,,,,,,,,,,0,0,24,0,82914,163151.48,5013,4350.94,229,184,6582,38087.5,14323.27,9496,22392.19,64.94,89.01,124,82.68,1040,1308.14,158,32,54663,91001.72,251241.7,98992,223631.17,490,1657.79,,0,26,41,54,49.68,270899.37,121,545298.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966,19472.38,2583,22788.62,80.03,234.07,1207,8319.15,66747,102525.22,68713,125919.92,56.33,68.09,118492,150575.38,276,617.33,531,1635.97,332.53,22.65,83,2725.8,320,1003.41,2228,15805.9,336.84,13.68,95,7334.91,3313,3492.32,6728,4723.58,48.94,26.85,6770,13004.36,3868,5272.83,11618,14442.94,13.42,12.26,28816,43006.34,71581,127270.43,82914,163151.48,48.2,63.04,148515,201900.87,2498,28435.19,6582,38087.5,59.69,123.02,4185,23114.3,77991,160849.82,98992,223631.17,48.85,64.84,159648,248080.24,,,,,,,,,,,,,,
Jamnagar,September 2019,,,,,,,,,,1,0,107,1,158430,313497.84,5700,6681.59,423,282,33499,268375.17,146344.45,17511,128048.13,23.06,52.22,205,75.23,996,1360.6,194,43.5,96439,133143.98,1359603.96,209440,709921.14,126,393.12,,0,99,49,112,85.67,1345443.66,262,1570455.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,17869.74,1474,21247.51,37.74,62.38,7869,28646.25,129037,210680.34,130558,255138.66,99.57,94.8,129597,222238.09,679,1504.3,1632,4086.2,74.86,51.33,907,2930.53,1277,8271.67,15348,120039.7,46.47,33.74,2748,24516.3,441,1201.15,529,2727.01,23.84,11.17,1850,10749.15,4763,10306.87,26398,37111.67,81.94,36.68,5813,28095.91,136770,238856.95,158430,313497.84,95.46,85.62,143279,278980.25,8495,93450.11,33499,269869.73,122.94,177.56,6910,52629.33,147662,343284.18,209440,711415.7,94.84,92.83,155694,369805.56,,,,,,,,,,,,,,
Junagadh,September 2019,,,,,,,,,,0,0,60,0,161438,377849.96,6335,6569.04,441,463,19426,118397.26,31527.24,12093,84882.57,60.15,92.52,158,67.77,2904,3856.52,199,36.95,104021,181085.63,628145.5,192957,581129.79,175,578.64,,0,63,79,95,52.43,669711.27,242,1277338.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366,25497.55,2736,42268.12,8.2,59.05,16655,43181.92,159601,259798.07,135268,280364.89,64.71,89.23,246637,291142.94,1400,1750.97,1374,4593.57,95.63,23.71,1464,7384.66,1147,6326.86,9621,76432.44,28.69,22.67,3998,27909.84,862,2700.86,1089,3013.77,9.55,7.61,9028,35489.54,6440,18246.07,23434,55216.95,16.95,26.71,37989,68301.57,167407,303541.69,161438,377849.96,55.57,75.39,301281,402626.43,4226,47164.63,19426,118397.26,43.84,84.95,9639,55518.68,175044,361569.01,192957,581129.79,53.79,68.36,325410,528929.15,,,,,,,,,,,,,,
Kachchh,September 2019,,,,,,,,,,1,0,131,1,104898,318878.69,10101,13206.52,807,999,52258,369798.45,1259442.61,23398,160604.15,22.5,59.91,1182,683.8,2344,3835.83,287,55,45740,121298.84,1417509.68,180554,849281.29,4855,3804.27,,0,115,132,160,41.1,1536568.84,413,3738392.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156,7058.77,3246,43683.07,34.8,127.48,3322,5537,56835,107662.3,76205,219706.27,66.67,85.13,85244,126463,407,1735.86,1210,3800.63,26.38,37.57,1543,4620,2337,11937.22,20571,148630.06,57.76,32.61,4046,36605,1547,4056.08,1614,7767.67,5.64,11.51,27426,35241,5378,12674.82,25447,55489.35,42.75,29.55,12579,42898,63369,127395.89,104898,318878.69,62.65,72.84,101145,174898,13619,133101.62,52258,369798.45,53.3,193.33,25551,68846,81287,278638.46,180554,849281.29,50.9,87.02,159711,320210,,,,,,,,,,,,,,
Kheda,September 2019,,,,,,,,,,0,0,51,0,160959,240501.79,5639,5997.26,432,227,39811,80216.77,218588.84,31593,101981.48,42.97,75.52,1686,353.67,4731,5729.67,2183,459.6,59725,74932.94,559743.11,232363,422700.04,412,687,,0,60,99,138,37.56,567294.31,299,1510288.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207,10706.41,5341,40033.71,0,0,0,0,34953,54381.11,76613,149943.86,47.96,42.19,72887,128898,439,1801.47,1114,3672.95,24.61,25.17,1784,7158,1393,7549.17,10071,59785.62,37.2,27,3745,27959,3738,9998.9,20408,38522.91,29.32,31.4,12749,31846,19638,16022.05,79005,50524.22,63.34,26.33,31006,60849,56798,81109.57,160959,240501.79,54.67,42.75,103893,189747,9795,36803.3,39811,80216.77,159.06,141.74,6158,25965,72164,137263.84,232363,422700.04,56.23,48.55,128342,282699,,,,,,,,,,,,,,
Mahesana,September 2019,,,,,,,,,,0,0,65,0,209951,441389.13,15159,23442.84,198,97,40383,211785.65,31294.11,32127,121305.8,35.17,61.71,961,463.24,4371,4127.15,402,198.2,88503,133423.27,1255106.07,282461,774480.58,1735,1666.77,,0,63,142,184,79.52,1207251.99,391,1518259.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211,55386.36,9611,102790.2,39.41,75.64,13222,73226,110379,180639.6,138859,273419.81,37.78,65.57,292188,275500,253,1189.13,1229,3814.49,12.93,13.51,1957,8800,1543,6461.65,15238,109227.11,20.15,13.52,7656,47787,2139,2242.91,15658,7566.2,49.88,12.77,4288,17563,18161,17230.09,61481,65179.12,53.87,29.21,33714,58980,133751,253256.05,209951,441389.13,39.44,62.12,339124,407706,12252,107381.81,40383,211785.65,21.95,56.63,55814,189635,149947,370966.51,282461,774480.58,36.64,55.06,409242,673735,,,,,,,,,,,,,,
Mahisagar,September 2019,,,,,,,,,,0,0,1,0,87864,73254.98,5926,4321.61,53,17,7240,9675.86,27612.16,4285,12111.83,56.27,73.01,207,92.85,15839,9645.84,202,33.11,31232,29463.61,130176.47,99389,95042.67,713,269.9,,0,0,35,57,34.49,122944.18,92,356463.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,5133.14,559,9922.61,27.15,251.62,895,2040,21505,22537.58,56641,51935.24,54.05,60.08,39790,37510,126,409.9,270,658.48,31.9,32.15,395,1275,128,339.88,1751,10174.76,22.65,12.54,565,2710,355,261.03,2264,1278.59,37.37,22.03,950,1185,10174,5862.02,30664,11397.13,317.94,50.89,3200,11520,31922,33532.74,87864,73254.98,72.74,65.66,43885,51070,1456,3772.54,7240,9675.86,138.01,160.19,1055,2355,33990,38356.08,99389,95042.67,72.44,64.52,46920,59445,,,,,,,,,,,,,,
Morbi,September 2019,,,,,,,,,,0,0,31,0,116697,240439,5084,8404.31,93,131,24920,473791.51,18513.22,6074,31093.16,19.77,61.3,79,36.28,755,733.72,139,30.43,84927,111596.78,1215876.91,147691,745323.67,34,535.76,,0,49,38,74,170.11,1387062.6,161,815407.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,21093.25,5513,59908.85,8.04,85.39,19270,24703.12,98525,128647.2,94924,142972,51.61,80.1,190911,160600,380,642.71,247,886.96,73.36,58.34,518,1101.7,850,3969.55,4047,25150.97,109.25,39.53,778,10042.5,449,1141.51,1778,4878.23,21.66,48.93,2073,2332.9,4486,6015.78,16260,37558.15,13.41,14.57,33460,41296.87,104561,155756.23,116697,240439,42.92,68.74,243641,226599.99,6365,184705.93,24920,473791.51,106.17,69.96,5995,264028.69,112606,346235.95,147691,745323.67,44.5,68.12,253072,508267.08,,,,,,,,,,,,,,
Navsari,September 2019,,,,,,,,,,0,0,74,0,50889,125451.14,2739,2883.65,200,87,36176,94681.66,595740.94,25743,138060.14,24.61,70.28,419,194.13,22848,21361.47,165,387.96,24267,24409.21,509701.32,112808,358192.94,929,514,,0,67,57,159,25.16,523099.16,283,2079023.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343,18949.41,4342,39033.3,0,0,0,0,5756,21635.09,27270,57245.55,60.52,57.77,9511,37452.97,447,1840.71,1028,4074.37,34.54,44.41,1294,4145.22,1611,8797.14,15061,113037.76,45.74,23.68,3522,37153.64,2676,3153.25,9654,20948.01,32.37,15.85,8267,19888.46,4985,11246.21,19277,29172.29,29.93,22.25,16653,50553.81,12084,51830.71,50889,125451.14,46.19,58.89,26164,88006.78,11428,31325.02,36176,94681.66,173.44,96.58,6589,32435.46,28246,96946.83,112808,358192.94,61.62,53.38,45836,181629.56,,,,,,,,,,,,,,
Panch Mahals,September 2019,,,,,,,,,,0,0,34,0,128262,99212.99,10000,8052.45,327,215,17208,50929.87,19668.35,13430,45446.84,32.58,64.23,661,226.13,14298,13874.57,352,72.47,44386,46162.86,304528.81,158900,195589.7,478,320.73,,0,39,49,89,48.78,312239.75,177,640059.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,5069.95,541,16391.49,0,0,0,0,18122,19946.57,69020,52812.6,52.24,45.83,34690,43526.57,299,1016.62,540,1729.78,0,78.46,0,1295.66,559,2771.04,5634,40601.24,0,19.46,0,14242.71,1003,618.26,7256,3115.82,17.03,13.25,5890,4666,19232,10945.92,58701,30008.9,128.39,42.66,14979,25661,37534,35962.44,128262,99212.99,75.57,51.98,49669,69187.57,4360,20805.07,17208,50929.87,0,99.61,0,20886.95,43757,61185.48,158900,195589.7,78.76,55.37,55559,110498.9,,,,,,,,,,,,,,
Patan,September 2019,,,,,,,,,,0,0,31,0,113535,250248.36,7568,9421.14,365,67,12439,35148.77,13135.02,7324,38375.21,65.77,85.09,1300,556.5,796,1517.35,289,54.98,49943,71997.41,380500.1,133298,323772.34,1415,1123.07,,0,38,59,70,66.82,375167.7,172,561456.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294,11158.94,4417,33185.96,8.75,56.33,14791,19811,72977,127969.97,82400,183608.47,27.46,69.16,265775,185037,296,707.12,383,1220.63,24.22,14.73,1222,4802,447,2747.27,4764,33984.36,14.81,11.7,3019,23477,298,584.64,2177,3170.22,2.9,2.84,10272,20602,4372,7934.39,26718,33453.93,18.57,10.01,23543,79255,78643,147063.3,113535,250248.36,25.86,51.76,304109,284103,3073,11427.03,12439,35148.77,26.61,44.11,11547,25903,82757,162529.36,133298,323772.34,24.98,45.06,331262,360660,,,,,,,,,,,,,,
Porbandar,September 2019,,,,,,,,,,0,0,37,0,50982,116457.95,5849,2490.6,161,269,6793,43093.28,177406.25,4981,32631.37,51.63,85.2,171,59.78,1462,1371.33,192,31.29,31834,49946.61,225555.22,62756,192182.6,579,2635.17,,0,48,16,28,30.77,253779.38,92,824682.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,18046.03,1380,20005.6,0,0,0,0,48731,72626.6,43197,83179.82,71.22,101.42,68420,71613.1,435,545.97,373,1214.93,169.92,121.33,256,450,432,1971.83,4179,21659.85,41.42,23.01,1043,8568,108,1803.26,417,7242.21,13.57,98.63,796,1828.4,1968,3640.03,6405,13272.53,35.42,8.75,5556,41616.87,51101,94312.66,50982,116457.95,69.08,83.29,73976,113229.97,1352,16277.99,6793,43093.28,8.12,22.59,16650,72050,53433,114971.71,62756,192182.6,57.63,58.62,92721,196126.37,,,,,,,,,,,,,,
Rajkot,September 2019,,,,,,,,,,210,229,50,439,327423,787333.23,13546,16225.36,477,652,105046,1277821.29,520258.04,89042,483378.65,13.9,44.99,609,187.75,3429,2577.03,256,182.06,198269,250241.17,5664884.56,521511,2548533.17,205,422.57,,239,77,100,237,101.51,4861782.84,653,4789639.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6256,71958.04,20656,241317.65,61.01,511.32,10254,14073,241594,289029.36,243146,359145.93,206.45,85.11,117024,339584,1233,2880.9,4113,15630.7,176.65,59.4,698,4850,6570,40686.5,53162,423930.84,247.18,39.34,2658,103430,10403,9150.17,31517,23030.63,630.48,19.65,1650,46570,18374,26879.17,63621,186869.65,27.93,26.42,65796,101734,266224,387866.57,327423,787333.23,137.89,85.17,193074,455391,24733,513073.39,105046,1277821.29,83.96,113.5,29459,452048,309308,959287.36,521511,2548533.17,135.86,89.14,227664,1076129,,,,,,,,,,,,,,
Sabar Kantha,September 2019,,,,,,,,,,0,0,5,0,221738,403236.86,12840,27567.26,307,191,23378,104177.03,15440.18,19676,68389.91,51.42,73.43,2381,475.6,5714,13180.05,474,60.76,54654,166069.94,784157.4,264792,575803.8,1953,864.32,,0,9,112,170,93.35,738010.31,291,790571.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3418,22281.4,5815,51555.78,24.98,122.72,13682,18157,56381,173329.78,139945,255728.36,24.07,76.32,234268,227115,463,1644.33,723,2105.98,42.09,32.88,1100,5001,1330,9041.26,7526,58416.72,19.03,28.42,6989,31812,3344,10274.17,11427,7867.21,38.01,25.68,8798,40007,16751,21174.65,75978,95952.72,46.88,23.7,35730,89362,76550,216785.83,221738,403236.86,26.98,64.78,283680,334634,7003,35927.71,23378,104177.03,117.9,66.68,5940,53883,88690,273673.3,264792,575803.8,28.94,58.81,306507,465337,,,,,,,,,,,,,,
Surat,September 2019,,,,,,,,,,572,610,29,1182,114187,537349.73,13464,28415.02,372,270,194939,2768447.82,508086.71,201216,1307772.03,5.49,47.11,816,305.2,33230,35986.24,281,85,45566,106678.66,9793764.96,510342,4613569.58,774,6796.27,,500,28,148,199,134.38,9760566.57,876,7263491.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6338,33561.07,13724,130831.89,60.28,109.24,10514,30723,22767,87444.95,51794,164307.01,28.77,32.54,79145,268691,1981,8407.42,5503,22765.28,24.11,22.08,8215,38083,11821,101855.3,117303,1212163.46,78.82,57.17,14997,178152,21456,13625.68,78339,52961.05,186.79,51.84,11487,26283,23080,97488.51,48669,242210.83,22.96,83.14,100525,117263,52185,218494.53,114187,537349.73,27.44,52.44,190184,416677,51472,914694.91,194939,2766953.26,107.35,90.91,47947,1006131,139205,1283419.73,510342,4612075.02,50.46,74.19,275872,1729968,,,,,,,,,,,,,,
Surendranagar,September 2019,,,,,,,,,,1,0,30,1,151486,321274.77,8872,10359.18,276,77,26980,101909.46,10839.3,5009,28952.34,55.84,78.58,386,92.91,4125,3713.85,158,45.64,63690,104033.79,575370.39,183475,452136.57,141,224.1,,0,44,72,83,70.94,574829.43,199,810289.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286,11300.92,1746,15953.77,32.57,99.06,3948,11408,94767,173650.44,121167,258335.13,102.28,78.49,92650,221243,690,741.57,572,1794.93,247.31,71.93,279,1031,642,2434.62,3892,25234.86,38.54,21.78,1666,11178,91,150.41,545,1922.55,8.47,10.47,1075,1436,7438,10661.15,28573,46985.87,14.74,8.51,50467,125338,103491,195612.51,151486,321274.77,70.37,54.64,147065,357989,9692,87567.39,26980,101909.46,101.22,176.02,9575,49748,114606,286506.5,183475,452136.57,71.78,67.99,159660,421382,,,,,,,,,,,,,,
Tapi,September 2019,,,,,,,,,,0,1,2,1,20713,51126.4,3073,4876.82,145,135,5393,15251.1,7654.58,6556,23851.42,42.9,75.7,872,213.99,21435,24465.76,133,57.21,10306,19544.14,119186.26,32662,90228.92,92,66.38,,0,1,36,45,34.53,121213.31,82,350992.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,4774.29,664,6496.78,22.52,83.77,1505,5699,4414,14968.56,11697,25644.75,11.67,19.23,37838,77857,463,632.76,299,1131.16,98.51,50.3,470,1258,259,1248.22,2646,20376.11,74,50.37,350,2478,333,346.02,3611,2344.15,6.48,7.27,5135,4760,3603,6459.8,8352,18984.87,25.63,36.85,14057,17531,8356,26202.65,20713,51126.4,15.65,25.92,53400,101087,1369,5569.18,5393,15251.1,488.93,280.99,280,1982,10780,33998.83,32662,90228.92,18.08,30.47,59635,111565,,,,,,,,,,,,,,
Vadodara,September 2019,,,,,,,,,,493,490,30,983,185994,333486.73,17227,24476.15,343,334,127468,1041273.89,1076808.94,171619,795660.03,6.15,40.02,467,184.86,18304,26177.06,518,723.6,76985,74711.64,5423378.53,485081,2170420.65,436,943.92,,446,36,73,181,73.13,6340120.69,736,8669903.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078,35671.2,5759,83591.1,638.59,174.01,482,20500,28956,57745.68,71511,159409.05,44.55,39.82,65000,145000,2413,7504.12,6781,33386.46,134.06,125.07,1800,6000,12819,56177.83,81701,697389,181.52,37.45,7062,150000,16244,9535.32,83106,46228.07,460.17,41.1,3530,23200,27134,25192.18,108724,90486.58,137.04,42.73,19800,58950,59168,118609.06,185994,333486.73,69.38,52.84,85282,224450,31555,411895.6,127468,1041273.89,175,76.56,18031,538000,122225,612762.85,485081,2170420.65,105.62,64.97,115725,943150,,,,,,,,,,,,,,
Valsad,September 2019,,,,,,,,,,0,3,74,3,39577,91583.69,4406,4075.74,573,49,43992,347899.36,99545.05,42962,192504.47,8.62,59.49,594,91.96,23075,72586.23,271,185.53,15826,21155.7,1062280.9,126531,631987.52,645,477.7,,1,94,85,87,63.09,1076176.62,267,1705786.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604,11229.35,4112,32264.03,31.51,246.91,5091,4548,8619,12208.82,19818,31835.35,51.17,55.44,16845,22022,955,1071.6,1199,4752.53,128.88,56.4,741,1900,2574,13843.6,23460,165936.17,77.44,39.55,3324,35000,5053,2890.89,18305,21815.77,108.78,82.6,4645,3500,6016,9026.56,15647,27484.31,38.69,34.81,15550,25930,16239,32464.73,39577,91583.69,43.32,61.84,37486,52500,13242,134877.05,43992,347899.36,211.6,139.05,6258,97000,38069,185342.66,126533,631987.52,72.39,95.83,52591,193400,,,,,,,,,,,,,,
Ahmadabad,December 2019,,,,,,,,,,1141,914,14,2055,224221,926622.44,30640,53559.89,1045,545.6,277330,4333659.67,1502527.98,262201,1405565.79,4.56,32.8,1091,332.01,10453,14923.45,2636,345.48,77266,128944.88,20322001.98,763752,6665847.9,928,3319.45,,1181,8,158,149,116.27,23267554.85,1500,20011212.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amreli,December 2019,,,,,,,,,,0,0,13,0,215284,433232.81,6766,7375.3,267,66.54,12519,55178.2,6567.78,5593,21977.7,84.7,99.79,375,54.74,804,736.75,300,540.64,111744,158588.89,511484.19,233396,510388.71,55,188.88,,0,33,85,139,75.64,610171.2,259,806685.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anand,December 2019,,,,,,,,,,1,0,61,1,172293,322391.98,6537,12094.45,539,668.61,47376,137796.93,679135.19,33228,124046.9,38.29,69.39,1725,438.25,4844,5131.38,1815,371.07,78578,120573.44,841937.2,252897,584235.81,413,3950.05,,0,73,189,147,27.06,857128.46,409,3167146.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arvalli,December 2019,,,,,,,,,,0,0,1,0,100576,183026.42,8257,19256.49,54,19.06,9388,24047.43,7337.13,3555,19937.99,71.43,88.6,1868,391.03,5031,11317.43,288,77.53,32637,93242.68,256230.78,113519,227011.84,637,1695.39,,0,1,57,80,70.23,261744.56,139,372707.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banas Kantha,December 2019,,,,,,,,,,0,0,53,0,274323,671482.98,13114,13611.53,207,37.51,23749,108798.6,6804.17,23362,68418.53,67.28,85.04,2809,730.45,4809,3489.4,210,71.6,121340,192337.92,998003.55,321434,848700.11,2663,1691.78,,0,83,61,206,98.97,1027034.02,354,1037750.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
