district,period,aadhaar_authentication__no_of_aadhaar_seeded_casa,aadhaar_authentication__no_of_authenticated_casa,aadhaar_authentication__no_of_operative_casa,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit,kcc__ah_applications_accepted,kcc__ah_applications_received,kcc__ah_applications_sanctioned,kcc__kcc_insured,kcc__kcc_pending,kcc__total_no_of_kcc,pmjdy__female_no,pmjdy__male_no,pmjdy__no_of_aadhaar_seeded,pmjdy__no_of_rupay_card_issued,pmjdy__rural_no,pmjdy__target_no,pmjdy__total_pmjdy_no,pmjdy__urban_no,sc_st_finance__sc_applications_no,sc_st_finance__sc_disbursement_no,sc_st_finance__sc_sponsored_no,shg__credit_linked_amt,shg__credit_linked_no,shg__savings_linked_amt,shg__savings_linked_no
Kaithal,June 2019,,,,111.82,646308.0,577998.0,,,,,,,,,,,,,,,,,,,,,
Karnal,June 2019,,,,133.49,2104673.0,1576652.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,June 2019,,,,66.27,709852.0,1071207.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,June 2019,,,,42.49,258715.0,608817.0,,,,,,,,,,,,,,,,,,,,,
Nuh,June 2019,,,,63.94,149538.0,233867.0,,,,,,,,,,,,,,,,,,,,,
Palwal,June 2019,,,,71.86,362972.0,505131.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,June 2019,,,,78.4,1892498.0,2413883.27,,,,,,,,,,,,,,,,,,,,,
Panipat,June 2019,,,,107.18,1284410.0,1198325.0,,,,,,,,,,,,,,,,,,,,,
Rewari,June 2019,,,,46.25,503921.0,1089626.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,June 2019,,,,52.18,900494.0,1725699.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,June 2019,,,,96.23,807610.0,839226.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,June 2019,,,,50.91,936496.0,1839685.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,June 2019,,,,60.05,833721.0,1388462.0,,,,,,,,,,,,,,,,,,,,,
Ambala,December 2019,,,,41.42,908851.0,2194302.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,December 2019,,,,70.18,583081.0,830798.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,December 2019,,,,55.29,182609.0,330297.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,December 2019,,,,69.46,2622296.0,3775188.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,December 2019,,,,100.25,627378.0,625812.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,December 2019,,,,59.75,8702597.0,14565281.0,,,,,,,,,,,,,,,,,,,,,
Hisar,December 2019,,,,88.01,1426515.0,1620927.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,December 2019,,,,46.04,504406.0,1095617.0,,,,,,,,,,,,,,,,,,,,,
Jind,December 2019,,,,83.41,644605.0,772817.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,December 2019,,,,107.04,687668.0,642449.0,,,,,,,,,,,,,,,,,,,,,
Karnal,December 2019,,,,126.43,2111081.0,1669788.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,December 2019,,,,64.83,757141.0,1167829.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,December 2019,,,,45.57,322317.0,707226.0,,,,,,,,,,,,,,,,,,,,,
Nuh,December 2019,,,,70.46,174916.0,248232.0,,,,,,,,,,,,,,,,,,,,,
Palwal,December 2019,,,,73.81,424347.0,574913.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,December 2019,,,,90.11,2343435.0,2600648.0,,,,,,,,,,,,,,,,,,,,,
Panipat,December 2019,,,,106.43,1435628.0,1348900.0,,,,,,,,,,,,,,,,,,,,,
Rewari,December 2019,,,,39.1,526949.0,1347716.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,December 2019,,,,49.46,899244.0,1818116.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,December 2019,,,,99.34,863034.0,868809.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,December 2019,,,,51.55,980924.0,1903006.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,December 2019,,,,61.1,805479.0,1318330.0,,,,,,,,,,,,,,,,,,,,,
Ambala,March 2020,,,,49.09,923360.0,1880800.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,March 2020,,,,67.79,662879.0,977900.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,March 2020,,,,60.07,190000.0,316300.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,March 2020,,,,66.06,2780000.0,4208600.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,March 2020,,,,97.23,758753.0,780400.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,March 2020,,,,58.26,8239000.0,14141300.0,,,,,,,,,,,,,,,,,,,,,
Hisar,March 2020,,,,85.54,1630827.0,1906600.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,March 2020,,,,49.19,700910.0,1424800.0,,,,,,,,,,,,,,,,,,,,,
Jind,March 2020,,,,82.89,712448.0,859500.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,March 2020,,,,102.78,699651.0,680700.0,,,,,,,,,,,,,,,,,,,,,
Karnal,March 2020,,,,120.59,2161629.0,1792500.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,March 2020,,,,62.29,823539.0,1322200.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,March 2020,,,,48.84,391725.0,802000.0,,,,,,,,,,,,,,,,,,,,,
Nuh,March 2020,,,,70.01,197300.0,281800.0,,,,,,,,,,,,,,,,,,,,,
Palwal,March 2020,,,,73.82,454900.0,616200.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,March 2020,,,,90.1,2373900.0,2634700.0,,,,,,,,,,,,,,,,,,,,,
Panipat,March 2020,,,,104.78,1503236.0,1434700.0,,,,,,,,,,,,,,,,,,,,,
Rewari,March 2020,,,,44.34,608227.0,1371700.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,March 2020,,,,51.45,1004367.0,1952300.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,March 2020,,,,99.76,973272.0,975600.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,March 2020,,,,55.57,1113800.0,2004300.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,March 2020,,,,62.08,866100.0,1395200.0,,,,,,,,,,,,,,,,,,,,,
Ambala,June 2020,,,,56.19,931281.0,1657378.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,June 2020,,,,67.8,593120.0,874779.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,June 2020,,,,55.33,209965.0,379501.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,June 2020,,,,55.34,2537298.0,4584673.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,June 2020,,,,120.71,558767.0,462900.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,June 2020,,,,55.37,10003134.0,18066552.0,,,,,,,,,,,,,,,,,,,,,
Hisar,June 2020,,,,83.37,1487476.0,1784146.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,June 2020,,,,75.59,699472.0,925406.0,,,,,,,,,,,,,,,,,,,,,
Jind,June 2020,,,,81.52,662862.0,813091.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,June 2020,,,,106.57,688937.0,646492.0,,,,,,,,,,,,,,,,,,,,,
Karnal,June 2020,,,,115.33,2054445.0,1781338.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,June 2020,,,,58.3,690686.0,1184785.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,June 2020,,,,53.99,406353.0,752636.0,,,,,,,,,,,,,,,,,,,,,
Nuh,June 2020,,,,71.33,184143.0,258145.0,,,,,,,,,,,,,,,,,,,,,
Palwal,June 2020,,,,75.25,448325.0,595793.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,June 2020,,,,79.18,2185193.0,2759695.0,,,,,,,,,,,,,,,,,,,,,
Panipat,June 2020,,,,75.18,1027400.0,1366600.0,,,,,,,,,,,,,,,,,,,,,
Rewari,June 2020,,,,50.83,646483.0,1271824.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,June 2020,,,,54.21,996401.0,1838115.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,June 2020,,,,94.26,867276.0,920081.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,June 2020,,,,57.29,1142900.0,1995054.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,June 2020,,,,64.43,824323.0,1279314.0,,,,,,,,,,,,,,,,,,,,,
Ambala,December 2020,,,,62.25,1152600.0,1851480.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,December 2020,,,,80.26,725951.0,904526.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,December 2020,,,,65.52,255400.0,389800.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,December 2020,,,,70.68,3518060.0,4977587.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,December 2020,,,,94.8,593944.0,626546.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,December 2020,,,,56.79,10605800.0,18675600.0,,,,,,,,,,,,,,,,,,,,,
Hisar,December 2020,,,,89.25,1687745.0,1890987.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,December 2020,,,,63.45,698197.0,1100342.0,,,,,,,,,,,,,,,,,,,,,
Jind,December 2020,,,,84.17,712334.0,846301.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,December 2020,,,,93.68,733672.0,783127.0,,,,,,,,,,,,,,,,,,,,,
Karnal,December 2020,,,,92.62,1777200.0,1918899.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,December 2020,,,,65.41,897617.0,1372296.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,December 2020,,,,79.5,560900.0,705500.0,,,,,,,,,,,,,,,,,,,,,
Nuh,December 2020,,,,69.04,181479.0,262870.0,,,,,,,,,,,,,,,,,,,,,
Palwal,December 2020,,,,76.91,497794.0,647210.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,December 2020,,,,90.62,2626600.0,2898628.0,,,,,,,,,,,,,,,,,,,,,
Panipat,December 2020,,,,98.98,1495566.0,1510930.0,,,,,,,,,,,,,,,,,,,,,
Rewari,December 2020,,,,66.24,797100.0,1203300.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,December 2020,,,,65.21,1263500.0,1937577.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,December 2020,,,,86.52,854600.0,987699.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,December 2020,,,,55.51,1106500.0,1993300.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,December 2020,,,,61.11,829941.0,1358074.0,,,,,,,,,,,,,,,,,,,,,
Ambala,March 2021,,,,50.41,994098.0,1972210.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,March 2021,,,,70.99,652720.0,919454.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,March 2021,,,,51.01,203968.0,399869.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,March 2021,,,,53.38,2804542.0,5253971.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,March 2021,,,,87.04,549999.0,631885.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,March 2021,,,,64.84,12807119.0,19753041.0,,,,,,,,,,,,,,,,,,,,,
Hisar,March 2021,,,,68.78,1335599.0,1941717.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,March 2021,,,,64.86,861275.0,1327884.0,,,,,,,,,,,,,,,,,,,,,
Jind,March 2021,,,,76.27,650294.0,852666.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,March 2021,,,,86.44,670765.0,776033.0,,,,,,,,,,,,,,,,,,,,,
Karnal,March 2021,,,,78.69,1502754.0,1909705.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,March 2021,,,,75.58,1027705.0,1359805.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,March 2021,,,,67.56,540758.0,800428.0,,,,,,,,,,,,,,,,,,,,,
Nuh,March 2021,,,,71.6,191869.0,267987.0,,,,,,,,,,,,,,,,,,,,,
Palwal,March 2021,,,,76.91,498507.0,648205.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,March 2021,,,,62.53,1958724.0,3132674.0,,,,,,,,,,,,,,,,,,,,,
Panipat,March 2021,,,,75.76,1218436.0,1608273.0,,,,,,,,,,,,,,,,,,,,,
Rewari,March 2021,,,,54.64,844480.0,1545481.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,March 2021,,,,61.02,1227462.0,2011575.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,March 2021,,,,90.46,864048.0,955129.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,March 2021,,,,69.11,1488688.0,2153933.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,March 2021,,,,84.6,1150490.0,1359875.0,,,,,,,,,,,,,,,,,,,,,
Ambala,June 2021,,,,50.22,1002187.0,1995496.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,June 2021,,,,67.3,645083.0,958583.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,June 2021,,,,51.06,198541.0,388846.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,June 2021,,,,78.85,1818377.0,2306212.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,June 2021,,,,79.41,510247.0,642548.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,June 2021,,,,69.62,13951800.0,20039809.0,,,,,,,,,,,,,,,,,,,,,
Hisar,June 2021,,,,88.45,1766878.0,1997559.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,June 2021,,,,60.0,748900.0,1248164.0,,,,,,,,,,,,,,,,,,,,,
Jind,June 2021,,,,81.73,724247.0,886171.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,June 2021,,,,96.7,731406.0,756384.0,,,,,,,,,,,,,,,,,,,,,
Karnal,June 2021,,,,79.64,1602681.0,2012490.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,June 2021,,,,63.42,874412.0,1378713.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,June 2021,,,,62.14,379377.0,610540.0,,,,,,,,,,,,,,,,,,,,,
Nuh,June 2021,,,,51.44,1991869.0,3872296.0,,,,,,,,,,,,,,,,,,,,,
Palwal,June 2021,,,,74.77,483693.0,646930.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,June 2021,,,,78.4,2728809.0,3480405.0,,,,,,,,,,,,,,,,,,,,,
Panipat,June 2021,,,,81.31,1233490.0,1517100.0,,,,,,,,,,,,,,,,,,,,,
Rewari,June 2021,,,,46.6,668079.0,1433559.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,June 2021,,,,57.21,1132390.0,1979501.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,June 2021,,,,88.28,800561.0,906865.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,June 2021,,,,48.89,1087189.0,2223645.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,June 2021,,,,60.69,857558.0,1413029.0,,,,,,,,,,,,,,,,,,,,,
Ambala,September 2021,,,,50.13,1049700.0,2093900.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,September 2021,,,,68.92,670000.0,972200.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,September 2021,,,,50.28,204000.0,405700.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,September 2021,,,,65.4,4347200.0,6646800.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,September 2021,,,,91.18,556300.0,610100.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,September 2021,,,,68.11,7195200.0,10563400.0,,,,,,,,,,,,,,,,,,,,,
Hisar,September 2021,,,,84.11,1606717.0,1910300.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,September 2021,,,,62.9,793977.0,1262314.0,,,,,,,,,,,,,,,,,,,,,
Jind,September 2021,,,,84.88,752791.0,886886.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,September 2021,,,,88.21,653666.0,741065.0,,,,,,,,,,,,,,,,,,,,,
Karnal,September 2021,,,,83.65,1686836.0,2016657.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,September 2021,,,,64.39,969476.0,1505604.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,September 2021,,,,42.12,392705.0,932423.0,,,,,,,,,,,,,,,,,,,,,
Nuh,September 2021,,,,68.4,187732.0,274476.0,,,,,,,,,,,,,,,,,,,,,
Palwal,September 2021,,,,75.13,487902.0,649435.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,September 2021,,,,69.66,9528000.0,13677000.0,,,,,,,,,,,,,,,,,,,,,
Panipat,September 2021,,,,81.02,1225170.0,1512225.0,,,,,,,,,,,,,,,,,,,,,
Rewari,September 2021,,,,50.99,705515.0,1383630.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,September 2021,,,,59.31,1192017.0,2009917.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,September 2021,,,,90.08,893971.0,992406.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,September 2021,,,,42.64,950215.0,2228578.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,September 2021,,,,68.8,989300.0,1437926.0,,,,,,,,,,,,,,,,,,,,,
Ambala,December 2021,,,,49.22,1093359.0,2221451.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,December 2021,,,,70.5,684335.0,970721.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,December 2021,,,,49.52,199221.0,402270.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,December 2021,,,,62.82,4090800.0,6511719.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,December 2021,,,,92.82,575600.0,620100.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,December 2021,,,,69.62,15101200.0,21691400.0,,,,,,,,,,,,,,,,,,,,,
Hisar,December 2021,,,,97.85,2053062.0,2098169.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,December 2021,,,,68.23,851200.0,1247514.0,,,,,,,,,,,,,,,,,,,,,
Jind,December 2021,,,,84.93,760197.0,895085.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,December 2021,,,,89.39,692500.0,774667.0,,,,,,,,,,,,,,,,,,,,,
Karnal,December 2021,,,,97.49,1986300.0,2037469.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,December 2021,,,,63.9,953860.0,1492637.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,December 2021,,,,61.91,560400.0,905121.0,,,,,,,,,,,,,,,,,,,,,
Nuh,December 2021,,,,73.36,195200.0,266083.0,,,,,,,,,,,,,,,,,,,,,
Palwal,December 2021,,,,75.46,492400.0,652534.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,December 2021,,,,52.25,2154500.0,4123200.0,,,,,,,,,,,,,,,,,,,,,
Panipat,December 2021,,,,100.07,1640000.0,1638850.0,,,,,,,,,,,,,,,,,,,,,
Rewari,December 2021,,,,53.97,751200.0,1391793.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,December 2021,,,,60.47,1223728.0,2023536.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,December 2021,,,,90.01,895600.0,995000.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,December 2021,,,,60.5,1399500.0,2313400.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,December 2021,,,,69.11,991000.0,1433908.0,,,,,,,,,,,,,,,,,,,,,
Ambala,March 2022,,,,47.18,1110827.0,2354450.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,March 2022,,,,74.94,751589.0,1002956.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,March 2022,,,,56.63,219951.0,388427.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,March 2022,,,,61.51,3973688.0,6460666.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,March 2022,,,,109.39,764108.0,698542.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,March 2022,,,,72.78,16810009.0,23098004.0,,,,,,,,,,,,,,,,,,,,,
Hisar,March 2022,,,,97.15,2071341.0,2132209.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,March 2022,,,,59.73,733200.0,1227603.0,,,,,,,,,,,,,,,,,,,,,
Jind,March 2022,,,,89.79,822637.0,916141.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,March 2022,,,,90.3,862522.0,955192.0,,,,,,,,,,,,,,,,,,,,,
Karnal,March 2022,,,,109.69,2278123.0,2076921.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,March 2022,,,,67.05,986907.0,1471936.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,March 2022,,,,58.53,459499.0,785079.0,,,,,,,,,,,,,,,,,,,,,
Nuh,March 2022,,,,77.96,222102.0,284891.0,,,,,,,,,,,,,,,,,,,,,
Palwal,March 2022,,,,75.5,495030.0,655631.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,March 2022,,,,59.01,2077029.0,3519982.0,,,,,,,,,,,,,,,,,,,,,
Panipat,March 2022,,,,122.67,2020343.0,1647024.0,,,,,,,,,,,,,,,,,,,,,
Rewari,March 2022,,,,53.19,733085.0,1378133.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,March 2022,,,,62.01,1273423.0,2053482.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,March 2022,,,,110.15,1253499.0,1137984.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,March 2022,,,,53.66,1304031.0,2430143.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,March 2022,,,,63.44,963257.0,1518304.0,,,,,,,,,,,,,,,,,,,,,
Ambala,June 2022,,,,46.36,1107368.0,2388783.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,June 2022,,,,76.33,761169.0,997186.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,June 2022,,,,57.02,233807.0,410039.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,June 2022,,,,56.32,3509277.0,6231459.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,June 2022,,,,105.03,692670.0,659491.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,June 2022,,,,74.5,18354701.0,24638561.0,,,,,,,,,,,,,,,,,,,,,
Hisar,June 2022,,,,96.3,2043142.0,2121604.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,June 2022,,,,63.0,765525.0,1215122.0,,,,,,,,,,,,,,,,,,,,,
Jind,June 2022,,,,88.78,825756.0,930126.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,June 2022,,,,84.37,675913.0,801133.0,,,,,,,,,,,,,,,,,,,,,
Karnal,June 2022,,,,104.27,2221678.0,2130604.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,June 2022,,,,64.51,993425.0,1540030.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,June 2022,,,,53.32,444886.0,834331.0,,,,,,,,,,,,,,,,,,,,,
Nuh,June 2022,,,,72.13,203585.0,282244.0,,,,,,,,,,,,,,,,,,,,,
Palwal,June 2022,,,,78.14,514108.0,657895.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,June 2022,,,,57.98,1993503.0,3438500.0,,,,,,,,,,,,,,,,,,,,,
Panipat,June 2022,,,,126.29,2096098.0,1659723.0,,,,,,,,,,,,,,,,,,,,,
Rewari,June 2022,,,,52.65,770615.0,1463718.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,June 2022,,,,65.35,1337687.0,2046851.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,June 2022,,,,102.22,1096718.0,1072927.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,June 2022,,,,54.07,1284249.0,2375053.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,June 2022,,,,62.99,966194.0,1533889.0,,,,,,,,,,,,,,,,,,,,,
Ambala,September 2022,,,,55.97,1352781.0,2416966.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,September 2022,,,,78.85,795980.0,1009527.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,September 2022,,,,56.95,243748.0,427980.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,September 2022,,,,57.9,3546332.0,6124564.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,September 2022,,,,116.87,787556.0,673892.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,September 2022,,,,74.19,19384000.0,26127500.0,,,,,,,,,,,,,,,,,,,,,
Hisar,September 2022,,,,92.54,2010515.0,2172562.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,September 2022,,,,68.93,879907.0,1276612.0,,,,,,,,,,,,,,,,,,,,,
Jind,September 2022,,,,91.59,864826.0,944286.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,September 2022,,,,121.79,671301.0,551206.0,,,,,,,,,,,,,,,,,,,,,
Karnal,September 2022,,,,97.28,2160338.0,2220837.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,September 2022,,,,65.36,1034157.0,1582330.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,September 2022,,,,53.11,463661.0,873068.0,,,,,,,,,,,,,,,,,,,,,
Nuh,September 2022,,,,72.62,211372.0,291063.0,,,,,,,,,,,,,,,,,,,,,
Palwal,September 2022,,,,81.12,542385.0,668629.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,September 2022,,,,59.24,1935362.0,3266996.0,,,,,,,,,,,,,,,,,,,,,
Panipat,September 2022,,,,129.21,2207158.0,1708244.0,,,,,,,,,,,,,,,,,,,,,
Rewari,September 2022,,,,52.65,770600.0,1463700.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,September 2022,,,,56.34,1251149.0,2220853.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,September 2022,,,,110.73,1147251.0,1036072.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,September 2022,,,,56.3,1365032.0,2424517.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,September 2022,,,,67.65,1082035.0,1599422.0,,,,,,,,,,,,,,,,,,,,,
Ambala,December 2022,,,,51.73,1326700.0,2564902.6161,843.0,843.0,818.0,,,,198397.0,169140.0,311980.0,243948.0,166650.0,,367610.0,181409.0,,111.0,689.0,,,,
Bhiwani,December 2022,,,,78.74,757600.0,962100.0,3178.0,3178.0,1977.0,,,,188576.0,156242.0,294533.0,238989.0,175141.0,,344856.0,125347.0,,182.0,637.0,,,,
Charki Dadri,December 2022,,,,53.74,218900.0,407300.0,2813.0,2813.0,1552.0,,,,65706.0,54287.0,99308.0,86236.0,84343.0,,119995.0,44325.0,,,,,,,
Faridabad,December 2022,,,,54.17,3582800.0,6614400.0,927.0,938.0,826.0,,,,354904.0,439484.0,693731.0,625993.0,112397.0,,794575.0,486934.0,,44.0,365.0,,,,
Fatehabad,December 2022,,,,111.84,758300.0,678000.0,442.0,442.0,180.0,,,,205971.0,180068.0,333649.0,277167.0,160232.0,,386079.0,143830.0,,142.0,967.0,,,,
Gurugram,December 2022,,,,73.22,18533200.0,25310000.0,1430.0,1430.0,598.0,,,,252097.0,611063.0,693545.0,699578.0,122113.0,,863726.0,595989.0,,47.0,118.0,,,,
Hisar,December 2022,,,,95.12,2090800.0,2198100.0,2171.0,2175.0,1885.0,,,,289963.0,257369.0,479331.0,429167.0,218044.0,,547466.0,236234.0,,215.0,1076.0,,,,
Jhajjar,December 2022,,,,93.6,1382100.0,1476600.0,1868.0,1868.0,683.0,,,,109323.0,116228.0,180867.0,161554.0,107572.0,,225578.0,99198.0,,79.0,529.0,,,,
